序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1998/03/31,松山,-,-,-,-,93,-,-,-,-,-,-,-,24.09,-,-,74.0
2,臺北市,1998/03/31,古亭,5.1,1.64,27.0,-,-,63,81.61,33.59,48.02,3.287,0.95,2.34,24.86,-,-,95.0
3,臺北市,1998/03/31,中山,8.5,1.97,23.8,-,92,-,96.52,48.69,47.82,3.953,1.11,2.85,24.66,-,-,86.0
4,臺北市,1998/03/31,大同,7.5,2.96,-,-,-,-,148.73,96.82,51.91,4.527,1.37,3.16,25.13,-,-,45.0
5,臺北市,1998/03/31,萬華,6.4,1.5,31.7,-,95,-,62.6,22.41,40.19,-,-,-,23.92,-,-,106.0
6,臺北市,1998/03/31,陽明,2.0,0.25,42.6,-,19,-,4.71,0.26,4.45,-,-,-,20.35,-,77.0,50.0
7,臺北市,1998/03/31,士林,3.6,1.32,11.7,-,86,-,57.67,24.46,33.21,-,-,-,23.85,-,-,68.0
8,臺北市,1998/03/30,松山,-,-,-,-,92,-,-,-,-,-,-,-,22.5,-,-,71.0
9,臺北市,1998/03/30,古亭,9.3,1.77,21.0,-,-,66,79.31,30.07,49.24,3.287,0.92,2.37,23.49,-,-,73.0
10,臺北市,1998/03/30,中山,9.4,1.65,20.3,-,78,-,86.02,40.52,45.51,3.124,0.71,2.41,23.28,-,-,91.0
11,臺北市,1998/03/30,大同,10.7,3.3,-,-,-,-,174.96,122.9,52.06,4.298,1.55,2.75,24.04,-,-,62.0
12,臺北市,1998/03/30,萬華,8.0,1.8,21.7,-,110,-,75.43,27.52,47.91,-,-,-,22.81,-,-,91.0
13,臺北市,1998/03/30,陽明,1.6,0.3,52.1,-,14,-,2.93,0.31,2.62,-,-,-,20.86,-,80.0,64.0
14,臺北市,1998/03/30,士林,4.0,1.32,14.0,-,101,-,53.5,21.02,32.48,-,-,-,22.83,-,-,76.0
15,臺北市,1998/03/29,松山,4.8,0.91,21.3,-,30,-,30.45,6.71,23.74,-,-,-,21.68,-,-,30.0
16,臺北市,1998/03/29,古亭,5.3,0.84,20.4,-,-,34,36.2,9.16,27.04,2.155,0.25,1.9,22.28,-,-,36.0
17,臺北市,1998/03/29,中山,4.9,1.04,20.1,-,40,-,38.39,10.14,28.25,2.308,0.15,2.16,22.7,-,-,40.0
18,臺北市,1998/03/29,大同,8.2,3.1,-,-,-,-,156.5,114.88,41.62,3.407,1.18,2.23,23.59,-,-,50.0
19,臺北市,1998/03/29,萬華,5.3,0.91,21.6,-,33,-,29.28,5.21,24.07,-,-,-,21.95,-,-,41.0
20,臺北市,1998/03/29,陽明,0.8,0.38,40.5,-,15,-,2.88,0.36,2.52,-,-,-,18.9,-,87.0,41.0
21,臺北市,1998/03/29,士林,1.4,0.98,13.5,-,53,-,31.52,8.62,22.9,-,-,-,22.85,-,-,51.0
22,臺北市,1998/03/28,松山,8.9,1.22,21.0,-,76,-,57.93,24.7,33.23,-,-,-,22.87,-,-,63.0
23,臺北市,1998/03/28,古亭,6.5,1.1,20.1,-,-,62,57.98,21.23,36.75,2.776,0.56,2.21,23.46,-,-,58.0
24,臺北市,1998/03/28,中山,6.5,1.21,23.1,-,79,-,55.19,16.85,38.34,2.789,0.4,2.38,23.82,-,-,64.0
25,臺北市,1998/03/28,大同,9.1,3.3,-,-,-,-,161.37,104.9,56.47,4.109,1.31,2.8,24.58,-,-,53.0
26,臺北市,1998/03/28,萬華,6.1,1.2,20.8,-,97,-,47.59,11.32,36.27,-,-,-,23.09,-,-,73.0
27,臺北市,1998/03/28,陽明,2.8,0.29,48.8,-,19,-,4.09,0.36,3.73,-,-,-,20.17,-,82.0,57.0
28,臺北市,1998/03/28,士林,2.6,1.13,20.0,-,89,-,42.78,11.67,31.11,-,-,-,23.53,-,-,69.0
29,臺北市,1998/03/27,松山,12.7,1.88,24.3,-,83,-,95.43,49.34,46.09,-,-,-,24.56,-,-,80.0
30,臺北市,1998/03/27,古亭,11.0,1.75,22.2,-,-,65,100.77,52.47,48.3,3.359,1.05,2.31,25.16,-,-,78.0
31,臺北市,1998/03/27,中山,10.5,2.07,32.2,-,76,-,102.07,48.34,53.73,4.144,1.13,3.01,25.05,-,-,126.0
32,臺北市,1998/03/27,大同,10.8,3.42,-,-,-,-,181.64,120.18,61.46,5.04,1.61,3.43,25.57,-,-,49.0
33,臺北市,1998/03/27,萬華,11.4,1.9,32.3,-,142,-,-,-,-,-,-,-,24.26,-,-,164.0
34,臺北市,1998/03/27,陽明,3.0,0.34,62.3,-,20,-,5.33,0.35,4.98,-,-,-,20.26,-,80.0,108.0
35,臺北市,1998/03/27,士林,5.5,1.52,20.9,-,87,-,76.63,36.49,40.14,-,-,-,24.23,-,-,72.0
36,臺北市,1998/03/26,松山,11.1,1.67,14.4,-,80,-,95.49,49.68,45.81,-,-,-,23.48,-,-,65.0
37,臺北市,1998/03/26,古亭,8.5,2.07,20.7,-,-,69,112.2,22.1,51.01,3.488,1.17,2.32,24.04,-,-,96.0
38,臺北市,1998/03/26,中山,8.9,1.84,16.7,-,75,-,96.11,52.08,44.03,3.494,0.79,2.7,23.48,-,-,68.0
39,臺北市,1998/03/26,大同,7.6,2.4,-,-,-,-,125.69,79.26,46.42,4.338,1.27,3.07,23.68,-,-,36.0
40,臺北市,1998/03/26,萬華,8.9,2.27,17.8,-,-,-,-,-,-,-,-,-,22.66,-,-,98.0
41,臺北市,1998/03/26,陽明,1.2,0.28,47.4,-,15,-,4.64,0.4,4.24,-,-,-,20.65,-,81.0,58.0
42,臺北市,1998/03/26,士林,2.8,1.04,13.1,-,77,-,44.51,19.01,25.5,-,-,-,22.63,-,-,63.0
43,臺北市,1998/03/25,松山,9.2,1.15,11.5,-,42,-,63.18,26.52,36.66,-,-,-,21.11,-,-,45.0
44,臺北市,1998/03/25,古亭,7.6,1.14,13.3,-,-,41,68.13,32.61,35.52,2.813,0.53,2.29,21.69,-,-,57.0
45,臺北市,1998/03/25,中山,10.2,1.32,11.6,-,53,-,77.3,37.29,40.01,3.112,0.59,2.53,21.78,-,-,52.0
46,臺北市,1998/03/25,大同,11.0,3.88,-,-,-,-,191.62,143.84,47.78,4.749,1.93,2.82,22.54,-,-,66.0
47,臺北市,1998/03/25,萬華,8.0,1.17,15.6,-,-,-,-,-,-,-,-,-,20.81,-,-,73.0
48,臺北市,1998/03/25,陽明,1.7,0.19,39.4,-,13,-,3.27,0.5,2.77,-,-,-,18.06,-,88.0,43.0
49,臺北市,1998/03/25,士林,5.3,1.17,10.8,-,66,-,62.8,31.89,30.91,-,-,-,21.29,-,-,58.0
50,臺北市,1998/03/24,松山,5.5,0.81,18.2,-,21,-,43.25,12.91,30.34,-,-,-,18.02,-,-,24.0
51,臺北市,1998/03/24,古亭,4.5,0.84,16.8,-,23,26,49.41,19.91,29.5,2.318,0.36,1.96,17.98,-,-,27.0
52,臺北市,1998/03/24,中山,6.9,1.0,13.6,-,27,-,53.96,19.12,34.84,2.568,0.33,2.07,18.76,-,-,27.0
53,臺北市,1998/03/24,大同,9.8,3.87,-,-,-,-,202.46,158.54,43.92,4.364,1.96,2.4,19.23,-,-,73.0
54,臺北市,1998/03/24,萬華,5.3,0.92,13.8,-,25,-,32.85,6.93,25.92,-,-,-,17.71,-,-,25.0
55,臺北市,1998/03/24,陽明,0.8,0.23,36.7,-,13,-,2.13,0.46,1.68,-,-,-,16.47,-,95.0,37.0
56,臺北市,1998/03/24,士林,2.9,0.65,13.3,-,33,-,30.86,6.48,24.39,-,-,-,18.67,-,-,33.0
57,臺北市,1998/03/23,松山,4.4,0.99,15.8,-,25,-,42.0,12.56,29.44,-,-,-,18.88,-,-,25.0
58,臺北市,1998/03/23,古亭,2.8,0.83,18.9,-,26,26,42.44,12.91,29.54,2.28,0.34,1.94,19.01,-,-,26.0
59,臺北市,1998/03/23,中山,3.7,1.07,13.2,-,31,-,54.34,18.1,36.23,2.525,0.38,2.14,19.73,-,-,31.0
60,臺北市,1998/03/23,大同,7.3,3.89,-,-,-,-,201.95,155.76,45.73,4.473,2.07,2.4,20.2,-,-,65.0
61,臺北市,1998/03/23,萬華,3.3,0.93,17.3,-,25,-,37.67,7.48,30.18,-,-,-,18.64,-,-,33.0
62,臺北市,1998/03/23,陽明,1.0,0.18,39.7,-,12,-,2.36,0.23,2.12,-,-,-,14.75,-,96.0,38.0
63,臺北市,1998/03/23,士林,1.5,0.53,16.6,-,28,-,23.15,3.64,19.51,-,-,-,20.15,-,-,28.0
64,臺北市,1998/03/22,松山,1.2,0.61,19.7,-,18,-,28.81,5.8,23.01,-,-,-,13.45,-,-,27.0
65,臺北市,1998/03/22,古亭,1.3,0.51,21.2,-,14,19,27.02,6.58,20.45,2.133,0.15,1.98,13.46,-,-,26.0
66,臺北市,1998/03/22,中山,1.8,0.65,19.1,-,27,-,35.68,9.66,26.02,2.254,0.08,2.18,14.42,-,-,27.0
67,臺北市,1998/03/22,大同,4.8,2.7,-,-,-,-,175.07,136.05,39.02,3.38,1.18,2.2,14.85,-,-,40.0
68,臺北市,1998/03/22,萬華,1.0,0.56,21.5,-,16,-,22.65,3.24,19.41,-,-,-,13.59,-,-,26.0
69,臺北市,1998/03/22,陽明,0.3,0.21,42.2,-,-,-,1.44,0.19,1.25,-,-,-,8.47,-,100.0,40.0
70,臺北市,1998/03/22,士林,0.6,0.29,24.3,-,12,-,10.61,1.26,9.35,-,-,-,14.79,-,-,25.0
71,臺北市,1998/03/21,松山,2.0,0.64,20.3,-,19,-,29.24,6.86,22.38,-,-,-,15.15,-,-,25.0
72,臺北市,1998/03/21,古亭,1.8,0.62,19.1,-,17,20,34.0,10.34,23.66,2.192,0.23,1.96,15.1,-,-,25.0
73,臺北市,1998/03/21,中山,2.4,0.68,18.1,-,39,-,40.13,12.64,27.5,2.318,0.21,2.1,16.32,-,-,39.0
74,臺北市,1998/03/21,大同,8.2,3.74,-,-,-,-,216.01,172.62,43.39,4.056,1.76,2.29,17.06,-,-,57.0
75,臺北市,1998/03/21,萬華,1.5,0.65,20.2,-,16,-,26.46,4.76,21.7,-,-,-,15.23,-,-,24.0
76,臺北市,1998/03/21,陽明,0.1,0.2,40.0,-,-,-,1.08,0.2,0.87,-,-,-,10.28,-,100.0,36.0
77,臺北市,1998/03/21,士林,1.2,0.47,17.4,-,21,-,20.64,3.92,16.71,-,-,-,16.68,-,-,22.0
78,臺北市,1998/03/20,松山,3.7,1.11,15.4,-,34,-,57.9,30.43,27.46,-,-,-,17.76,-,-,34.0
79,臺北市,1998/03/20,古亭,3.1,0.77,12.7,-,30,28,38.83,13.76,25.07,2.332,0.38,1.95,17.58,-,-,30.0
80,臺北市,1998/03/20,中山,2.5,1.21,13.7,-,65,-,55.07,24.61,30.47,2.723,0.46,2.27,18.82,-,-,57.0
81,臺北市,1998/03/20,大同,8.9,4.04,-,-,-,-,211.3,167.9,43.4,4.345,1.82,2.53,19.41,-,-,60.0
82,臺北市,1998/03/20,萬華,2.5,0.78,14.6,-,28,-,27.9,4.11,23.79,-,-,-,17.72,-,-,28.0
83,臺北市,1998/03/20,陽明,0.4,0.23,38.8,-,-,-,3.75,0.16,3.6,-,-,-,13.95,-,95.0,44.0
84,臺北市,1998/03/20,士林,1.9,0.96,10.6,-,41,-,38.52,14.59,23.93,-,-,-,19.38,-,-,41.0
85,臺北市,1998/03/19,松山,8.2,1.53,18.3,-,67,-,76.92,32.41,44.52,-,-,-,23.71,-,-,59.0
86,臺北市,1998/03/19,古亭,8.5,1.66,13.7,-,100,67,92.72,46.03,46.69,3.001,0.95,2.05,24.12,-,-,75.0
87,臺北市,1998/03/19,中山,8.4,1.69,19.9,-,97,-,85.08,35.69,49.39,3.372,0.8,2.58,24.14,-,-,74.0
88,臺北市,1998/03/19,大同,12.4,3.66,-,-,-,-,173.31,114.61,58.71,4.583,1.61,2.97,24.58,-,-,65.0
89,臺北市,1998/03/19,萬華,9.2,1.74,19.2,-,118,-,74.76,27.67,47.09,-,-,-,23.41,-,-,84.0
90,臺北市,1998/03/19,陽明,2.0,0.4,55.4,-,23,-,5.36,0.28,5.08,-,-,-,19.82,-,83.0,74.0
91,臺北市,1998/03/19,士林,5.0,1.14,17.1,-,95,-,50.64,12.75,37.89,-,-,-,23.62,-,-,73.0
92,臺北市,1998/03/18,松山,2.5,0.76,28.8,-,21,-,30.4,8.79,21.61,-,-,-,22.57,-,-,41.0
