序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppm)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","小時風速值 WS_HR (m/sec)","溫度 AMB_TEMP (℃)","降雨強度 RAIN_INT (㎜)","酸雨 PH_RAIN (pH)","相對濕度 RH (percent)","導電度 RAIN_COND (μmho/cm)"
50,臺北市,2015/09/23,松山,3.5,0.66,459.81,35.2,53,33,31.11,6.45,24.67,2.111,0.257,1.854,1.91,1.52,29.02,-,-,68.23,-
51,臺北市,2015/09/23,古亭,3.2,0.72,-,28.0,61,25,28.16,5.12,23.04,2.282,0.273,2.01,1.91,1.37,28.69,-,-,76.74,-
52,臺北市,2015/09/23,中山,4.4,0.97,-,25.8,59,35,42.42,11.43,30.99,2.358,0.373,1.985,1.72,0.86,29.65,-,-,70.79,-
53,臺北市,2015/09/23,大同,5.1,1.82,-,-,64,32,61.82,26.73,35.08,2.762,0.635,2.127,-,-,-,-,-,-,-
54,臺北市,2015/09/23,萬華,5.9,0.85,-,27.9,55,33,35.69,6.34,29.35,-,-,-,1.34,0.84,29.96,-,-,71.12,-
55,臺北市,2015/09/23,陽明,1.8,0.24,406.99,47.3,19,17,4.74,0.51,4.21,-,-,-,-,-,22.81,0.0,0.0,86.87,0.0
56,臺北市,2015/09/23,士林,11.0,0.53,-,30.9,47,31,22.3,3.63,18.66,-,-,-,1.93,1.68,28.87,-,-,70.44,-
57,臺北市,2015/09/22,松山,7.5,0.58,437.76,38.7,45,26,31.02,5.65,25.37,2.053,0.211,1.841,1.47,1.07,28.02,-,-,72.47,-
58,臺北市,2015/09/22,古亭,6.8,0.67,-,35.1,58,25,30.08,4.85,25.23,2.192,0.199,1.993,1.63,1.31,28.23,-,-,77.36,-
59,臺北市,2015/09/22,中山,8.1,0.79,-,36.5,52,32,38.06,6.49,31.57,2.224,0.259,1.966,1.53,1.13,29.22,-,-,71.41,-
60,臺北市,2015/09/22,大同,6.0,1.62,-,-,58,29,65.43,28.19,37.24,2.602,0.514,2.088,-,-,-,-,-,-,-
61,臺北市,2015/09/22,萬華,5.4,0.73,-,40.9,47,29,32.53,4.7,27.83,-,-,-,1.42,0.98,29.71,-,-,69.98,-
62,臺北市,2015/09/22,陽明,2.1,0.25,407.02,51.5,21,21,4.88,0.57,4.27,-,-,-,-,-,22.47,0.0,0.0,94.24,0.0
63,臺北市,2015/09/22,士林,13.3,0.47,-,42.4,42,27,21.74,3.58,18.16,-,-,-,1.82,1.62,28.83,-,-,69.09,-
64,臺北市,2015/09/21,松山,3.2,0.43,408.61,29.4,26,14,22.53,4.27,18.27,1.962,0.141,1.82,1.57,1.23,27.15,-,-,72.4,-
65,臺北市,2015/09/21,古亭,3.6,0.56,-,24.9,42,15,27.33,5.76,21.57,2.115,0.153,1.962,1.97,1.54,27.19,-,-,79.1,-
66,臺北市,2015/09/21,中山,4.5,0.65,-,25.8,37,20,31.82,7.31,24.51,2.115,0.204,1.911,1.73,1.33,27.94,-,-,73.12,-
67,臺北市,2015/09/21,大同,3.9,1.54,-,-,47,19,64.48,33.76,30.73,2.535,0.505,2.03,-,-,-,-,-,-,-
68,臺北市,2015/09/21,萬華,4.0,0.55,-,28.5,32,17,29.35,4.62,24.73,-,-,-,1.83,1.58,28.19,-,-,73.62,-
69,臺北市,2015/09/21,陽明,3.3,0.26,413.15,49.2,24,22,5.38,0.54,4.8,-,-,-,-,-,21.31,0.0,0.0,96.32,0.0
70,臺北市,2015/09/21,士林,10.9,0.37,-,44.3,34,24,15.17,1.89,13.28,-,-,-,1.76,1.53,27.7,-,-,70.36,-
71,臺北市,2015/09/20,松山,4.0,0.28,400.11,39.4,29,12,14.0,1.96,12.04,1.845,0.075,1.77,1.92,1.62,26.67,-,-,67.07,-
72,臺北市,2015/09/20,古亭,2.8,0.33,-,36.0,38,11,15.89,1.94,13.95,1.98,0.069,1.911,2.52,2.22,26.86,-,-,72.21,-
73,臺北市,2015/09/20,中山,4.0,0.39,-,35.9,32,14,20.88,3.74,17.14,1.925,0.101,1.824,2.32,1.99,27.51,-,-,67.96,-
74,臺北市,2015/09/20,大同,3.9,0.78,-,-,44,11,48.68,21.33,27.35,2.163,0.224,1.939,-,-,-,-,-,-,-
75,臺北市,2015/09/20,萬華,4.3,0.31,-,39.2,29,15,20.58,3.1,17.47,-,-,-,2.75,2.49,27.77,-,-,67.28,-
76,臺北市,2015/09/20,陽明,2.8,0.16,402.94,54.6,20,16,3.72,0.4,3.26,-,-,-,-,-,20.65,0.0,0.0,78.43,0.0
77,臺北市,2015/09/20,士林,12.8,0.21,-,48.7,32,20,8.48,0.99,7.48,-,-,-,2.51,2.28,27.13,-,-,65.1,-
78,臺北市,2015/09/19,松山,2.8,0.36,407.43,42.1,32,18,19.8,2.75,17.05,1.935,0.124,1.811,1.86,1.43,25.75,-,-,63.18,-
79,臺北市,2015/09/19,古亭,2.8,0.36,-,41.3,43,15,17.55,2.78,14.77,2.019,0.085,1.934,2.57,2.31,25.81,-,-,67.91,-
80,臺北市,2015/09/19,中山,2.3,0.49,-,36.8,37,20,26.02,3.56,22.45,2.045,0.148,1.897,2.27,2.05,26.68,-,-,64.71,-
81,臺北市,2015/09/19,大同,2.9,1.09,-,-,51,19,65.51,29.17,36.33,2.391,0.372,2.019,-,-,-,-,-,-,-
82,臺北市,2015/09/19,萬華,2.7,0.39,-,41.1,34,20,22.98,3.01,19.97,-,-,-,2.48,2.27,26.93,-,-,62.45,-
83,臺北市,2015/09/19,陽明,1.8,0.19,401.47,66.8,27,24,3.47,0.31,3.12,-,-,-,-,-,19.77,0.0,0.0,82.35,0.0
84,臺北市,2015/09/19,士林,9.3,0.28,-,53.9,38,22,12.17,2.16,10.0,-,-,-,2.38,1.97,26.15,-,-,64.37,-
85,臺北市,2015/09/18,松山,1.7,0.33,402.6,47.1,32,14,16.33,2.72,13.62,1.893,0.1,1.794,1.91,1.48,25.83,-,-,64.12,-
86,臺北市,2015/09/18,古亭,2.3,0.39,-,39.2,44,11,19.27,3.48,15.79,2.04,0.097,1.943,2.42,2.2,25.97,-,-,69.85,-
87,臺北市,2015/09/18,中山,2.4,0.52,-,40.9,40,17,26.87,5.34,21.53,2.029,0.141,1.889,2.1,1.93,26.98,-,-,64.37,-
88,臺北市,2015/09/18,大同,2.7,1.34,-,-,52,16,73.85,37.48,36.36,2.438,0.429,2.01,-,-,-,-,-,-,-
89,臺北市,2015/09/18,萬華,1.3,0.42,-,42.5,39,17,23.89,3.22,20.67,-,-,-,2.37,1.98,27.09,-,-,63.3,-
90,臺北市,2015/09/18,陽明,1.4,0.16,401.09,64.6,21,17,3.35,0.74,2.62,-,-,-,-,-,19.56,0.0,0.0,89.19,0.0
91,臺北市,2015/09/18,士林,8.9,0.31,-,53.1,36,20,12.88,1.77,11.14,-,-,-,2.01,1.68,26.21,-,-,62.77,-
92,臺北市,2015/09/17,松山,2.5,0.34,402.28,48.8,35,15,16.34,2.67,13.67,1.899,0.101,1.798,1.99,1.54,26.32,-,-,69.44,-
93,臺北市,2015/09/17,古亭,1.9,0.38,-,43.6,44,10,17.25,2.17,15.07,2.024,0.083,1.941,2.57,2.33,26.59,-,-,74.81,-
94,臺北市,2015/09/17,中山,2.0,0.55,-,41.7,36,16,26.72,4.55,22.16,2.02,0.14,1.88,2.19,1.88,27.14,-,-,70.68,-
95,臺北市,2015/09/17,大同,2.3,1.08,-,-,47,16,57.35,24.68,32.67,2.337,0.34,1.997,-,-,-,-,-,-,-
96,臺北市,2015/09/17,萬華,2.0,0.39,-,47.7,34,17,22.41,3.05,19.36,-,-,-,2.56,2.36,27.45,-,-,69.42,-
97,臺北市,2015/09/17,陽明,0.9,0.17,402.77,58.1,18,-,2.76,0.93,1.83,-,-,-,-,-,19.6,0.5,5.85,94.77,89.47
98,臺北市,2015/09/17,士林,9.0,0.3,-,54.4,31,18,10.1,1.21,8.9,-,-,-,1.53,1.19,26.53,-,-,67.85,-
99,臺北市,2015/09/16,松山,1.6,0.33,402.87,30.6,15,7,18.29,3.79,14.5,1.877,0.1,1.777,1.78,1.36,26.38,-,-,80.61,-
100,臺北市,2015/09/16,古亭,2.0,0.43,-,25.0,33,7,21.25,4.98,16.27,2.038,0.106,1.933,2.32,2.05,26.59,-,-,85.16,-
101,臺北市,2015/09/16,中山,1.9,0.55,-,23.8,20,9,25.6,5.17,20.43,2.024,0.149,1.875,2.06,1.79,27.34,-,-,80.16,-
102,臺北市,2015/09/16,大同,3.3,1.51,-,-,36,9,68.6,38.48,30.11,2.495,0.484,2.011,-,-,-,-,-,-,-
103,臺北市,2015/09/16,萬華,1.8,0.46,-,26.2,21,10,24.92,4.85,20.08,-,-,-,2.2,1.97,27.67,-,-,79.28,-
104,臺北市,2015/09/16,陽明,2.9,0.15,384.52,40.5,8,5,2.2,0.85,1.34,-,-,-,-,-,20.88,18.13,5.04,99.52,8.17
105,臺北市,2015/09/16,士林,8.6,0.32,-,32.6,21,10,12.15,1.43,10.78,-,-,-,1.52,1.05,26.81,-,-,77.23,-
106,臺北市,2015/09/15,松山,3.3,0.37,403.96,24.4,25,13,20.23,4.58,15.64,1.878,0.127,1.751,1.67,1.26,27.59,-,-,77.11,-
107,臺北市,2015/09/15,古亭,4.5,0.5,-,23.4,39,14,25.51,6.22,19.3,2.072,0.146,1.926,2.13,1.74,28.11,-,-,79.6,-
108,臺北市,2015/09/15,中山,3.2,0.61,-,24.1,43,22,27.99,7.61,20.38,2.034,0.181,1.853,2.03,1.66,28.65,-,-,76.7,-
109,臺北市,2015/09/15,大同,4.4,1.5,-,-,42,15,68.07,39.39,28.68,2.452,0.477,1.975,-,-,-,-,-,-,-
110,臺北市,2015/09/15,萬華,4.2,0.52,-,27.8,30,15,27.36,6.33,21.03,-,-,-,2.09,1.82,29.11,-,-,75.11,-
111,臺北市,2015/09/15,陽明,2.8,0.16,368.51,35.3,13,10,3.81,1.12,2.68,-,-,-,-,-,22.37,0.0,0.0,97.79,0.0
112,臺北市,2015/09/15,士林,9.4,0.31,-,33.7,28,14,12.86,2.47,10.38,-,-,-,1.67,1.47,28.65,-,-,71.9,-
113,臺北市,2015/09/14,松山,2.4,0.42,398.6,31.2,26,13,20.54,4.14,16.4,1.89,0.111,1.778,2.06,1.59,25.97,-,-,80.39,-
114,臺北市,2015/09/14,古亭,1.4,0.41,-,27.6,35,7,20.03,3.92,16.11,2.021,0.089,1.931,2.93,2.58,26.27,-,-,84.81,-
115,臺北市,2015/09/14,中山,2.6,0.57,-,28.5,39,13,26.53,7.09,19.43,1.994,0.14,1.853,2.73,2.51,27.01,-,-,79.96,-
116,臺北市,2015/09/14,大同,2.3,1.0,-,-,49,14,52.98,27.41,25.57,2.276,0.3,1.976,-,-,-,-,-,-,-
117,臺北市,2015/09/14,萬華,2.3,0.43,-,31.3,29,13,24.0,5.37,18.64,-,-,-,3.26,3.1,27.35,-,-,78.77,-
118,臺北市,2015/09/14,陽明,0.6,0.16,366.95,48.7,7,5,2.84,1.1,1.74,-,-,-,-,-,20.02,2.73,4.16,100.0,49.57
119,臺北市,2015/09/14,士林,9.0,0.24,-,44.8,28,12,7.85,2.56,5.32,-,-,-,3.59,3.3,26.81,-,-,73.52,-
120,臺北市,2015/09/13,松山,2.2,0.34,399.09,52.8,37,17,12.62,2.24,10.38,1.875,0.071,1.803,2.03,1.65,26.25,-,-,68.69,-
121,臺北市,2015/09/13,古亭,1.4,0.31,-,48.3,46,13,12.82,2.1,10.71,2.053,0.047,2.006,3.05,2.72,26.51,-,-,74.34,-
122,臺北市,2015/09/13,中山,2.3,0.45,-,47.3,44,20,18.24,2.2,16.04,1.984,0.105,1.879,2.57,2.25,27.19,-,-,69.91,-
123,臺北市,2015/09/13,大同,2.4,0.67,-,-,50,15,33.42,10.62,22.79,2.138,0.171,1.966,-,-,-,-,-,-,-
124,臺北市,2015/09/13,萬華,2.2,0.37,-,51.6,37,22,19.26,3.09,16.17,-,-,-,3.13,2.74,27.63,-,-,67.84,-
125,臺北市,2015/09/13,陽明,1.0,0.22,374.27,65.6,19,15,3.43,1.05,2.37,-,-,-,-,-,18.98,1.94,4.0,100.0,54.14
126,臺北市,2015/09/13,士林,9.4,0.26,-,62.7,37,21,6.86,0.69,6.16,-,-,-,2.83,2.56,26.6,-,-,67.05,-
127,臺北市,2015/09/12,松山,2.0,0.27,399.28,38.5,23,11,13.8,2.0,11.8,1.838,0.083,1.755,2.04,1.56,26.42,-,-,65.83,-
128,臺北市,2015/09/12,古亭,2.0,0.31,-,33.4,36,7,17.41,3.39,14.01,1.993,0.077,1.916,2.7,2.4,26.67,-,-,71.73,-
129,臺北市,2015/09/12,中山,2.6,0.41,-,35.7,31,14,20.0,3.76,16.22,1.945,0.116,1.828,2.52,2.19,27.64,-,-,66.37,-
130,臺北市,2015/09/12,大同,2.7,0.9,-,-,40,10,48.48,23.13,25.35,2.226,0.278,1.948,-,-,-,-,-,-,-
131,臺北市,2015/09/12,萬華,2.3,0.34,-,36.7,27,13,21.14,3.89,17.25,-,-,-,2.78,2.53,27.81,-,-,65.47,-
132,臺北市,2015/09/12,陽明,2.0,0.13,379.27,53.0,16,12,3.02,0.39,2.57,-,-,-,-,-,19.94,0.0,0.0,96.14,0.0
133,臺北市,2015/09/12,士林,9.2,0.19,-,49.1,25,13,8.55,2.31,6.24,-,-,-,2.66,2.41,27.1,-,-,63.09,-
134,臺北市,2015/09/11,松山,2.8,0.37,408.95,29.5,33,12,23.34,4.16,19.18,1.968,0.158,1.809,2.08,1.76,26.14,-,-,65.15,-
135,臺北市,2015/09/11,古亭,2.3,0.36,-,32.7,36,7,21.72,4.07,17.65,2.034,0.1,1.934,2.51,2.14,26.68,-,-,68.58,-
136,臺北市,2015/09/11,中山,2.8,0.54,-,28.9,32,14,29.92,7.26,22.67,2.031,0.163,1.868,2.15,1.81,27.38,-,-,65.32,-
137,臺北市,2015/09/11,大同,2.6,0.81,-,-,40,12,49.76,23.27,26.49,2.247,0.269,1.977,-,-,-,-,-,-,-
138,臺北市,2015/09/11,萬華,2.0,0.4,-,33.4,27,13,27.55,4.79,22.76,-,-,-,2.67,2.45,27.76,-,-,63.25,-
139,臺北市,2015/09/11,陽明,2.0,0.13,383.05,51.2,16,10,3.66,0.61,3.02,-,-,-,-,-,19.85,0.0,0.0,96.99,0.0
140,臺北市,2015/09/11,士林,-,0.22,-,47.2,25,11,8.39,0.74,7.63,-,-,-,2.68,2.5,26.62,-,-,64.23,-
141,臺北市,2015/09/10,松山,2.0,0.34,402.65,38.9,29,11,19.46,2.42,17.05,1.912,0.112,1.8,1.8,1.42,26.44,-,-,60.71,-
142,臺北市,2015/09/10,古亭,1.3,0.36,-,34.6,38,6,19.19,4.29,14.9,2.036,0.095,1.941,2.39,2.08,26.33,-,-,67.31,-
143,臺北市,2015/09/10,中山,1.8,0.53,-,31.4,32,10,28.0,5.87,22.13,2.041,0.16,1.881,2.06,1.67,27.57,-,-,61.45,-
144,臺北市,2015/09/10,大同,2.5,1.03,-,-,41,8,55.25,25.97,29.28,2.363,0.333,2.03,-,-,-,-,-,-,-
145,臺北市,2015/09/10,萬華,2.1,0.41,-,33.6,27,11,24.51,3.91,20.6,-,-,-,2.3,2.14,27.57,-,-,60.99,-
146,臺北市,2015/09/10,陽明,1.0,0.13,386.63,56.4,15,9,2.93,0.55,2.32,-,-,-,-,-,19.65,0.0,0.0,94.49,0.0
147,臺北市,2015/09/10,士林,-,0.33,-,38.5,30,14,15.25,1.68,13.59,-,-,-,1.99,1.41,26.37,-,-,62.29,-
148,臺北市,2015/09/09,松山,2.5,0.31,398.5,39.2,23,8,16.1,2.89,13.21,1.837,0.077,1.76,1.8,1.33,26.72,-,-,62.79,-
149,臺北市,2015/09/09,古亭,1.7,0.34,-,35.7,33,6,16.47,2.83,13.64,1.992,0.067,1.925,2.6,2.31,27.02,-,-,68.59,-
150,臺北市,2015/09/09,中山,2.2,0.47,-,32.9,30,9,24.67,5.25,19.42,1.988,0.143,1.846,2.15,1.9,27.94,-,-,63.49,-
151,臺北市,2015/09/09,大同,2.7,1.04,-,-,43,9,62.04,30.65,31.39,-,-,-,-,-,-,-,-,-,-
152,臺北市,2015/09/09,萬華,2.3,0.39,-,36.1,25,8,22.94,3.83,19.11,-,-,-,2.45,2.18,28.09,-,-,62.18,-
153,臺北市,2015/09/09,陽明,0.6,0.14,390.4,52.8,13,7,3.11,0.8,2.31,-,-,-,-,-,20.27,0.0,0.0,94.74,0.0
154,臺北市,2015/09/09,士林,8.6,0.24,-,47.1,26,10,10.47,1.88,8.58,-,-,-,2.45,2.3,27.09,-,-,61.73,-
155,臺北市,2015/09/08,松山,1.6,0.36,404.15,37.5,22,9,17.02,3.17,13.85,1.916,0.098,1.818,1.83,1.44,26.92,-,-,71.65,-
156,臺北市,2015/09/08,古亭,1.9,0.44,-,31.3,36,6,18.86,4.49,14.38,2.056,0.091,1.966,2.43,2.13,26.91,-,-,76.64,-
157,臺北市,2015/09/08,中山,1.3,0.59,-,29.2,27,7,27.08,6.68,20.4,2.1,0.181,1.919,2.07,1.68,28.01,-,-,71.74,-
158,臺北市,2015/09/08,大同,2.6,1.28,-,-,43,8,54.8,25.91,28.9,2.449,0.401,2.047,-,-,-,-,-,-,-
159,臺北市,2015/09/08,萬華,1.7,0.45,-,32.5,25,12,22.84,4.27,18.58,-,-,-,2.33,2.07,28.07,-,-,70.59,-
160,臺北市,2015/09/08,陽明,0.8,0.17,373.71,54.4,13,8,3.5,1.25,2.25,-,-,-,-,-,20.61,0.0,0.0,97.35,0.0
161,臺北市,2015/09/08,士林,8.5,0.31,-,41.4,22,11,12.26,3.05,9.21,-,-,-,2.08,1.5,27.15,-,-,69.49,-
162,臺北市,2015/09/07,松山,2.7,0.5,408.92,35.8,30,18,22.72,2.98,19.74,1.983,0.123,1.86,1.34,0.93,25.97,-,-,83.49,-
163,臺北市,2015/09/07,古亭,1.9,0.67,-,25.6,40,13,28.64,6.03,22.61,2.185,0.154,2.031,1.75,1.5,25.86,-,-,89.32,-
164,臺北市,2015/09/07,中山,2.6,0.67,-,30.0,30,20,29.51,4.72,24.79,2.12,0.179,1.941,1.77,1.43,26.8,-,-,84.33,-
165,臺北市,2015/09/07,大同,3.4,1.78,-,-,46,20,79.57,40.68,38.88,2.602,0.553,2.049,-,-,-,-,-,-,-
166,臺北市,2015/09/07,萬華,2.4,0.66,-,29.0,28,20,31.0,4.0,27.0,-,-,-,1.62,1.35,27.2,-,-,81.64,-
167,臺北市,2015/09/07,陽明,1.6,0.24,368.72,61.8,19,15,2.85,0.77,2.08,-,-,-,-,-,20.72,6.21,4.65,99.92,25.2
168,臺北市,2015/09/07,士林,8.3,0.45,-,40.4,31,18,14.93,1.82,13.12,-,-,-,1.69,1.38,26.02,-,-,81.79,-
169,臺北市,2015/09/06,松山,2.1,0.45,422.42,27.4,33,17,21.57,5.22,16.34,1.92,0.147,1.773,2.11,1.61,30.61,-,-,63.19,-
