序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppm)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","小時風速值 WS_HR (m/sec)","溫度 AMB_TEMP (℃)","降雨強度 RAIN_INT (㎜)","酸雨 PH_RAIN (pH)","相對濕度 RH (percent)","導電度 RAIN_COND (μmho/cm)"
1,臺北市,2015/09/30,松山,3.9,0.67,449.39,28.2,36,17,29.93,8.05,21.88,2.109,0.24,1.869,1.4,0.94,29.75,-,-,70.02,-
2,臺北市,2015/09/30,古亭,2.3,0.88,-,16.9,53,13,34.35,10.64,23.71,2.35,0.286,2.064,1.66,1.31,29.22,-,-,79.68,-
3,臺北市,2015/09/30,中山,4.1,1.07,-,20.8,43,22,45.27,15.27,30.0,2.401,0.339,2.062,1.37,0.65,30.43,-,-,72.39,-
4,臺北市,2015/09/30,大同,4.2,2.11,-,-,57,20,69.51,35.05,34.46,2.902,0.676,2.226,-,-,-,-,-,-,-
5,臺北市,2015/09/30,萬華,3.6,1.07,-,21.5,41,24,40.96,10.36,30.59,-,-,-,1.08,0.65,30.57,-,-,73.67,-
6,臺北市,2015/09/30,陽明,1.8,0.25,-,37.6,-,10,3.3,0.72,2.58,-,-,-,-,-,23.87,0.0,0.0,94.22,0.0
7,臺北市,2015/09/30,士林,8.5,0.56,-,15.9,37,20,18.6,4.03,14.56,-,-,-,1.4,1.12,29.66,-,-,72.73,-
8,臺北市,2015/09/29,松山,1.1,0.37,427.91,37.5,31,15,11.26,2.59,8.67,1.811,0.071,1.74,2.92,1.71,29.5,-,-,72.7,-
9,臺北市,2015/09/29,古亭,2.0,0.71,-,23.3,43,10,25.22,5.7,19.51,2.234,0.229,2.005,3.65,3.3,29.02,-,-,81.6,-
10,臺北市,2015/09/29,中山,1.8,0.67,-,26.1,35,15,24.7,7.23,17.47,2.095,0.187,1.908,3.38,2.92,30.0,-,-,75.17,-
11,臺北市,2015/09/29,大同,2.5,1.44,-,-,46,10,52.44,29.08,23.37,2.462,0.424,2.038,-,-,-,-,-,-,-
12,臺北市,2015/09/29,萬華,2.8,0.71,-,26.7,31,12,24.38,5.71,18.68,-,-,-,2.31,2.01,30.33,-,-,75.29,-
13,臺北市,2015/09/29,陽明,1.4,0.23,397.86,38.3,-,12,2.3,1.12,1.17,-,-,-,-,-,23.22,2.5,5.67,100.0,6.78
14,臺北市,2015/09/29,士林,8.5,0.32,-,19.0,28,12,14.43,2.26,12.18,-,-,-,4.24,4.0,29.62,-,-,73.6,-
15,臺北市,2015/09/28,松山,0.6,0.21,423.52,30.7,16,7,15.2,7.03,8.17,1.709,0.015,1.696,5.74,4.59,26.64,-,-,86.84,-
16,臺北市,2015/09/28,古亭,1.1,0.24,-,26.7,24,4,6.63,1.03,5.6,1.953,0.031,1.926,5.1,2.74,26.19,-,-,95.19,-
17,臺北市,2015/09/28,中山,1.0,0.26,-,30.6,15,6,7.09,1.35,5.72,1.85,0.043,1.807,4.45,2.19,27.12,-,-,89.02,-
18,臺北市,2015/09/28,大同,1.0,0.46,-,-,29,6,18.77,8.12,10.65,2.016,0.082,1.935,-,-,-,-,-,-,-
19,臺北市,2015/09/28,萬華,-,0.28,-,30.7,16,7,9.63,2.02,7.61,-,-,-,4.21,3.09,27.59,-,-,88.35,-
20,臺北市,2015/09/28,陽明,1.7,0.16,399.36,36.1,-,3,1.54,0.69,0.81,-,-,-,-,-,21.96,16.09,5.1,100.0,8.48
21,臺北市,2015/09/28,士林,8.1,0.2,-,35.7,16,8,8.28,1.37,6.91,-,-,-,6.42,4.55,27.07,-,-,83.23,-
22,臺北市,2015/09/27,松山,2.2,0.63,446.79,25.8,32,18,28.66,4.99,23.67,2.053,0.194,1.859,1.56,1.11,24.17,-,-,84.9,-
23,臺北市,2015/09/27,古亭,1.5,0.63,-,20.5,40,13,27.56,4.72,22.84,2.156,0.148,2.008,1.59,1.48,23.31,-,-,95.47,-
24,臺北市,2015/09/27,中山,2.4,0.77,-,21.6,36,20,31.49,3.82,27.67,2.28,0.245,2.035,1.48,1.11,24.62,-,-,87.71,-
25,臺北市,2015/09/27,大同,2.7,2.12,-,-,55,21,93.8,50.04,43.76,2.83,0.619,2.211,-,-,-,-,-,-,-
26,臺北市,2015/09/27,萬華,2.0,0.84,-,21.2,38,23,33.7,4.07,29.64,-,-,-,1.13,0.76,25.07,-,-,86.71,-
27,臺北市,2015/09/27,陽明,1.8,0.19,401.7,57.0,10,6,2.47,0.75,1.71,-,-,-,-,-,19.05,6.97,4.27,100.0,17.37
28,臺北市,2015/09/27,士林,8.9,0.79,-,23.5,40,25,27.73,1.19,26.51,-,-,-,1.41,1.01,24.06,-,-,85.56,-
29,臺北市,2015/09/26,松山,1.7,0.35,430.16,37.8,27,12,17.32,2.4,14.92,1.858,0.086,1.772,1.4,0.98,25.87,-,-,74.81,-
30,臺北市,2015/09/26,古亭,2.0,0.44,-,28.4,38,8,21.45,3.42,18.03,2.024,0.104,1.92,1.79,1.44,25.87,-,-,81.5,-
31,臺北市,2015/09/26,中山,2.2,0.49,-,32.6,30,12,23.77,4.4,19.37,1.969,0.117,1.852,1.57,1.01,26.76,-,-,74.35,-
32,臺北市,2015/09/26,大同,2.2,1.28,-,-,42,14,68.34,36.74,31.61,2.349,0.378,1.971,-,-,-,-,-,-,-
33,臺北市,2015/09/26,萬華,2.5,0.51,-,31.5,26,14,26.79,3.94,22.85,-,-,-,1.59,1.32,27.18,-,-,73.54,-
34,臺北市,2015/09/26,陽明,1.3,0.15,400.45,51.3,13,10,2.48,0.38,1.99,-,-,-,-,-,19.71,0.75,3.78,98.91,5.97
35,臺北市,2015/09/26,士林,8.4,0.38,-,36.6,28,16,15.52,1.53,14.0,-,-,-,1.22,0.89,26.3,-,-,72.2,-
36,臺北市,2015/09/25,松山,10.6,0.38,443.21,26.6,29,13,27.52,5.82,21.69,1.929,0.125,1.804,1.88,1.5,26.7,-,-,70.06,-
37,臺北市,2015/09/25,古亭,9.8,0.38,-,29.4,38,10,26.08,5.72,20.35,2.048,0.104,1.944,2.5,2.32,27.2,-,-,72.91,-
38,臺北市,2015/09/25,中山,4.9,0.58,-,27.6,31,13,32.03,8.71,23.33,2.052,0.168,1.885,2.45,2.13,27.62,-,-,70.71,-
39,臺北市,2015/09/25,大同,4.4,1.24,-,-,42,12,71.39,36.9,34.49,2.422,0.421,2.001,-,-,-,-,-,-,-
40,臺北市,2015/09/25,萬華,6.3,0.42,-,32.3,26,12,30.27,6.15,24.12,-,-,-,2.65,2.44,28.13,-,-,68.16,-
41,臺北市,2015/09/25,陽明,1.8,0.21,400.1,45.8,11,8,2.76,0.44,2.24,-,-,-,-,-,21.04,0.0,0.0,96.47,0.0
42,臺北市,2015/09/25,士林,9.8,0.37,-,37.9,26,12,13.52,1.98,11.54,-,-,-,2.02,1.77,27.0,-,-,70.08,-
43,臺北市,2015/09/24,松山,3.3,0.66,453.17,22.8,41,24,31.48,5.45,26.03,2.098,0.226,1.872,1.7,1.2,27.12,-,-,76.75,-
44,臺北市,2015/09/24,古亭,2.7,0.62,-,23.1,47,22,26.37,4.67,21.69,2.233,0.19,2.043,2.03,1.67,26.93,-,-,83.65,-
45,臺北市,2015/09/24,中山,3.9,0.88,-,19.4,47,26,39.49,8.9,30.59,2.249,0.274,1.976,1.89,1.29,28.0,-,-,77.42,-
46,臺北市,2015/09/24,大同,4.6,1.45,-,-,58,24,66.04,27.68,38.36,2.621,0.489,2.131,-,-,-,-,-,-,-
47,臺北市,2015/09/24,萬華,4.0,0.73,-,21.7,39,28,35.15,5.64,29.51,-,-,-,1.77,1.4,28.39,-,-,76.73,-
48,臺北市,2015/09/24,陽明,1.5,0.22,405.3,38.8,14,10,3.38,0.43,2.9,-,-,-,-,-,21.31,5.0,4.27,98.92,7.86
49,臺北市,2015/09/24,士林,10.2,0.47,-,32.5,37,24,17.38,2.39,14.99,-,-,-,1.71,1.47,27.25,-,-,76.76,-
