序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1994/01/31,松山,15.7,2.96,14.5,-,128,146,80.13,64.21,-,-,-,18.26,-,-,89.0
2,臺北市,1994/01/31,古亭,11.5,3.36,12.2,-,132,167,103.73,57.09,4.05,1.4,2.71,18.83,-,-,91.0
3,臺北市,1994/01/31,中山,18.2,3.48,11.2,-,102,155,91.08,64.24,4.22,1.48,2.74,18.44,-,-,76.0
4,臺北市,1994/01/31,大同,19.4,4.96,-,-,201,273,180.39,82.95,5.77,2.91,2.86,18.44,-,-,126.0
5,臺北市,1994/01/31,萬華,17.3,2.61,15.3,-,138,118,67.68,48.61,-,-,-,18.46,-,-,94.0
6,臺北市,1994/01/31,陽明,4.2,0.42,49.4,-,24,8,-,6.59,-,-,-,15.03,-,79.0,65.0
7,臺北市,1994/01/31,士林,11.2,1.82,14.7,-,96,102,57.68,38.68,-,-,-,18.12,-,-,73.0
8,臺北市,1994/01/30,松山,3.5,0.91,12.3,-,41,61,27.67,32.08,-,-,-,15.94,-,-,41.0
9,臺北市,1994/01/30,古亭,1.2,1.31,16.5,-,20,64,26.01,26.66,2.08,0.26,1.78,16.27,-,-,28.0
10,臺北市,1994/01/30,中山,3.3,1.0,9.8,-,24,56,21.92,31.82,2.23,0.26,1.97,16.17,-,-,24.0
11,臺北市,1994/01/30,大同,11.2,4.6,-,-,97,304,244.5,64.12,4.34,2.16,2.18,16.73,-,-,80.0
12,臺北市,1994/01/30,萬華,1.8,1.43,16.9,-,27,53,24.2,27.79,-,-,-,16.23,-,-,31.0
13,臺北市,1994/01/30,陽明,1.6,0.27,39.1,-,11,2,0.07,1.63,-,-,-,8.34,-,93.0,36.0
14,臺北市,1994/01/30,士林,2.0,0.54,24.2,-,24,20,3.91,14.33,-,-,-,16.48,-,-,28.0
15,臺北市,1994/01/29,松山,6.6,0.84,19.1,-,94,43,11.88,29.91,-,-,-,13.66,-,-,72.0
16,臺北市,1994/01/29,古亭,4.6,0.94,20.7,-,79,43,15.26,26.05,2.05,0.25,1.8,13.92,-,-,65.0
17,臺北市,1994/01/29,中山,6.2,1.03,15.9,-,58,52,17.93,32.45,2.21,0.24,1.96,13.91,-,-,54.0
18,臺北市,1994/01/29,大同,14.4,4.73,-,-,157,293,235.65,68.98,4.92,2.67,2.25,14.5,-,-,103.0
19,臺北市,1994/01/29,萬華,5.5,0.97,22.3,-,88,34,6.71,26.34,-,-,-,13.87,-,-,69.0
20,臺北市,1994/01/29,陽明,2.1,0.33,44.0,-,53,2,0.11,1.53,-,-,-,5.54,-,89.0,51.0
21,臺北市,1994/01/29,士林,2.0,0.55,31.3,-,73,16,3.26,11.16,-,-,-,13.81,-,-,62.0
22,臺北市,1994/01/28,松山,5.0,0.82,14.2,-,59,52,17.11,34.76,-,-,-,15.25,-,-,55.0
23,臺北市,1994/01/28,古亭,3.5,1.3,11.9,-,58,64,27.23,35.2,2.28,0.4,1.84,15.69,-,-,54.0
