序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
11,臺北市,1998/10/30,大同,5.2,3.0,-,-,-,-,143.09,98.05,45.04,3.515,1.1,2.42,26.04,-,-,59.0,-
12,臺北市,1998/10/30,萬華,-,1.09,18.9,-,37,-,35.5,7.9,27.6,-,-,-,25.93,-,-,56.0,-
13,臺北市,1998/10/30,陽明,0.5,0.28,39.0,-,13,-,1.79,0.4,1.39,-,-,-,18.81,-,92.0,46.0,-
14,臺北市,1998/10/30,士林,2.1,0.87,20.7,-,29,-,30.44,8.69,21.76,-,-,-,25.42,-,-,32.0,-
15,臺北市,1998/10/29,松山,6.4,0.77,11.5,-,33,-,52.03,20.1,31.92,-,-,-,25.63,-,-,33.0,-
16,臺北市,1998/10/29,古亭,5.6,0.97,12.0,-,33,20,51.86,20.87,30.99,2.413,0.42,1.99,24.79,-,-,33.0,-
17,臺北市,1998/10/29,中山,4.6,1.05,15.6,-,25,-,49.2,15.69,33.51,-,-,-,25.92,-,-,52.0,-
18,臺北市,1998/10/29,大同,6.4,3.85,-,-,-,-,183.24,134.36,48.88,4.119,2.14,1.98,26.32,-,-,60.0,-
19,臺北市,1998/10/29,萬華,6.3,1.12,11.0,-,31,-,43.64,12.61,31.03,-,-,-,25.78,-,-,31.0,-
20,臺北市,1998/10/29,陽明,0.3,0.19,37.6,-,13,-,1.63,0.25,1.38,-,-,-,19.07,-,95.0,35.0,-
21,臺北市,1998/10/29,士林,1.8,0.66,13.3,-,46,-,47.57,22.04,25.53,-,-,-,25.05,-,-,46.0,-
22,臺北市,1998/10/28,松山,5.2,1.31,5.9,-,62,-,69.79,29.88,39.91,-,-,-,25.28,-,-,56.0,-
23,臺北市,1998/10/28,古亭,4.3,1.45,8.2,-,59,26,67.54,32.19,35.34,2.942,0.76,2.18,24.06,-,-,55.0,-
24,臺北市,1998/10/28,中山,5.9,1.76,8.4,-,66,-,82.28,41.23,41.04,3.429,0.82,2.61,25.12,-,-,58.0,-
25,臺北市,1998/10/28,大同,6.0,2.72,-,-,-,-,106.86,68.79,38.07,4.051,1.33,2.72,25.18,-,-,43.0,-
26,臺北市,1998/10/28,萬華,6.7,1.49,10.2,-,64,-,47.6,14.55,33.06,-,-,-,25.05,-,-,57.0,-
27,臺北市,1998/10/28,陽明,1.4,0.3,33.6,-,17,-,3.56,0.09,3.47,-,-,-,19.3,-,95.0,36.0,-
28,臺北市,1998/10/28,士林,3.3,1.26,11.2,-,46,-,54.05,27.97,26.07,-,-,-,24.5,-,-,46.0,-
29,臺北市,1998/10/27,松山,3.3,0.79,9.4,-,30,-,55.92,25.32,30.59,-,-,-,25.24,-,-,30.0,-
30,臺北市,1998/10/27,古亭,3.2,1.21,9.9,-,29,17,56.74,30.12,26.62,2.573,0.61,1.96,23.83,-,-,29.0,-
31,臺北市,1998/10/27,中山,3.8,-,12.3,-,33,-,49.7,22.67,27.03,-,-,-,25.04,-,-,33.0,-
32,臺北市,1998/10/27,大同,4.9,2.99,-,-,-,-,-,87.98,-,4.302,1.91,2.17,25.19,-,-,52.0,-
33,臺北市,1998/10/27,萬華,3.8,0.92,11.9,-,25,-,31.76,8.48,23.28,-,-,-,25.12,-,-,25.0,-
34,臺北市,1998/10/27,陽明,0.7,0.18,33.3,-,13,-,1.57,0.3,1.27,-,-,-,19.79,-,97.0,34.0,-
35,臺北市,1998/10/27,士林,1.4,0.62,20.4,-,24,-,21.16,7.59,13.57,-,-,-,25.35,-,-,26.0,-
36,臺北市,1998/10/26,松山,3.4,0.33,11.7,-,15,-,59.73,25.18,34.56,-,-,-,24.23,-,-,21.0,-
37,臺北市,1998/10/26,古亭,1.6,0.63,17.1,-,14,14,30.0,8.53,21.47,2.04,0.24,1.8,22.69,-,-,27.0,-
38,臺北市,1998/10/26,中山,0.6,-,21.1,-,16,-,26.2,5.76,20.44,-,-,-,24.21,-,-,28.0,-
39,臺北市,1998/10/26,大同,3.5,3.4,-,-,-,-,-,110.79,-,3.719,1.68,2.04,24.31,-,-,55.0,-
40,臺北市,1998/10/26,萬華,1.5,0.76,17.0,-,14,-,24.82,4.81,20.01,-,-,-,24.07,-,-,28.0,-
41,臺北市,1998/10/26,陽明,0.2,0.16,40.5,-,13,-,0.42,0.05,0.37,-,-,-,19.57,-,98.0,54.0,-
42,臺北市,1998/10/26,士林,0.2,0.44,25.0,-,14,-,15.44,2.96,12.49,-,-,-,24.34,-,-,31.0,-
43,臺北市,1998/10/25,松山,3.5,0.29,13.6,-,16,-,84.54,48.73,31.36,-,-,-,23.78,-,-,29.0,-
44,臺北市,1998/10/25,古亭,1.6,0.53,15.4,-,14,13,29.29,7.02,22.27,2.033,0.17,1.87,22.34,-,-,28.0,-
45,臺北市,1998/10/25,中山,1.2,0.58,17.7,-,15,-,31.67,9.27,22.4,2.025,0.08,1.95,23.44,-,-,27.0,-
46,臺北市,1998/10/25,大同,2.2,2.05,-,-,-,-,-,81.69,-,3.114,0.81,2.31,23.31,-,-,30.0,-
47,臺北市,1998/10/25,萬華,1.4,0.68,15.8,-,14,-,28.46,7.04,21.41,-,-,-,23.4,-,-,28.0,-
48,臺北市,1998/10/25,陽明,0.2,0.17,41.6,-,13,-,0.57,0.22,0.35,-,-,-,19.12,-,98.0,41.0,-
49,臺北市,1998/10/25,士林,0.2,0.42,24.8,-,14,-,14.62,3.1,11.51,-,-,-,23.51,-,-,34.0,-
50,臺北市,1998/10/24,松山,2.7,0.35,24.0,-,20,-,30.37,5.57,24.8,-,-,-,23.21,-,-,30.0,-
51,臺北市,1998/10/24,古亭,2.2,0.56,20.6,-,18,14,30.24,5.82,24.42,2.06,0.18,1.88,21.9,-,-,25.0,-
52,臺北市,1998/10/24,中山,0.8,0.66,25.2,-,20,-,30.12,6.36,23.77,2.081,0.11,1.97,23.36,-,-,31.0,-
53,臺北市,1998/10/24,大同,3.5,2.95,-,-,-,-,-,-,-,3.71,1.33,2.38,23.68,-,-,47.0,-
54,臺北市,1998/10/24,萬華,2.3,0.74,23.7,-,17,-,24.3,2.48,21.82,-,-,-,23.23,-,-,31.0,-
55,臺北市,1998/10/24,陽明,0.3,0.23,47.6,-,13,-,0.7,0.01,0.69,-,-,-,18.1,-,99.0,43.0,-
56,臺北市,1998/10/24,士林,0.2,0.32,34.9,-,19,-,10.43,0.76,9.68,-,-,-,23.93,-,-,34.0,-
57,臺北市,1998/10/23,松山,2.1,0.63,17.0,-,25,-,44.98,12.72,32.26,-,-,-,23.6,-,-,30.0,-
58,臺北市,1998/10/23,古亭,1.7,0.87,16.0,-,24,16,42.62,12.95,29.68,2.263,0.33,1.94,22.6,-,-,29.0,-
59,臺北市,1998/10/23,中山,1.4,1.05,15.6,-,25,-,49.84,15.65,34.2,2.305,0.27,2.03,24.06,-,-,28.0,-
60,臺北市,1998/10/23,大同,5.8,5.07,-,-,-,-,-,-,-,4.805,2.42,2.39,24.53,-,-,82.0,-
61,臺北市,1998/10/23,萬華,1.7,1.02,17.4,-,21,-,32.53,5.49,27.05,-,-,-,23.85,-,-,30.0,-
62,臺北市,1998/10/23,陽明,0.3,0.19,44.8,-,13,-,0.74,0.02,0.73,-,-,-,18.04,-,98.0,40.0,-
63,臺北市,1998/10/23,士林,0.7,0.51,27.3,-,17,-,19.99,3.48,16.51,-,-,-,24.46,-,-,33.0,-
64,臺北市,1998/10/22,松山,1.2,0.61,17.6,-,30,-,41.21,11.43,29.78,-,-,-,23.14,-,-,30.0,-
65,臺北市,1998/10/22,古亭,1.6,1.27,10.9,-,31,18,67.99,32.74,35.25,2.552,0.49,2.06,21.6,-,-,31.0,-
66,臺北市,1998/10/22,中山,1.9,1.71,11.4,-,37,-,75.82,36.83,38.99,2.885,0.55,2.33,23.11,-,-,37.0,-
67,臺北市,1998/10/22,大同,5.3,3.91,-,-,-,-,-,-,-,4.574,2.01,2.57,23.04,-,-,62.0,-
68,臺北市,1998/10/22,萬華,1.9,1.28,10.8,-,28,-,46.6,13.24,33.36,-,-,-,22.73,-,-,28.0,-
69,臺北市,1998/10/22,陽明,0.2,0.19,44.4,-,13,-,0.73,0.01,0.73,-,-,-,17.6,-,93.0,39.0,-
70,臺北市,1998/10/22,士林,2.1,1.18,14.3,-,35,-,62.16,27.42,34.75,-,-,-,22.68,-,-,35.0,-
71,臺北市,1998/10/21,松山,1.4,0.41,24.5,-,36,-,31.86,6.39,25.46,-,-,-,22.88,-,-,36.0,-
72,臺北市,1998/10/21,古亭,1.4,0.83,17.1,-,37,18,44.34,14.04,30.3,2.402,0.35,2.06,21.6,-,-,37.0,-
73,臺北市,1998/10/21,中山,0.8,0.74,22.9,-,36,-,32.63,4.44,28.19,2.17,0.1,2.07,22.93,-,-,36.0,-
74,臺北市,1998/10/21,大同,5.6,3.49,-,-,-,-,-,-,-,4.369,2.01,2.36,23.3,-,-,51.0,-
75,臺北市,1998/10/21,萬華,1.7,0.93,19.8,-,38,-,31.61,4.37,27.25,-,-,-,22.84,-,-,38.0,-
76,臺北市,1998/10/21,陽明,0.2,0.07,46.0,-,13,-,0.89,0.02,0.87,-,-,-,15.83,-,88.0,44.0,-
77,臺北市,1998/10/21,士林,0.7,0.43,34.4,-,26,-,15.61,2.43,13.18,-,-,-,22.78,-,-,36.0,-
78,臺北市,1998/10/20,松山,2.2,0.55,19.5,-,32,-,42.53,10.52,32.01,-,-,-,22.51,-,-,32.0,-
79,臺北市,1998/10/20,古亭,2.1,0.83,15.1,-,34,18,49.03,15.91,33.12,2.402,0.3,2.11,21.46,-,-,34.0,-
80,臺北市,1998/10/20,中山,1.9,0.85,20.4,-,34,-,43.65,10.2,33.45,2.248,0.18,2.06,22.82,-,-,34.0,-
81,臺北市,1998/10/20,大同,7.1,4.19,-,-,-,-,-,-,-,4.531,2.27,2.26,23.33,-,-,65.0,-
82,臺北市,1998/10/20,萬華,2.8,0.87,18.6,-,33,-,35.13,6.7,28.43,-,-,-,22.63,-,-,36.0,-
83,臺北市,1998/10/20,陽明,0.2,0.18,47.0,-,13,-,1.04,0.01,1.02,-,-,-,15.34,-,88.0,42.0,-
84,臺北市,1998/10/20,士林,0.7,0.32,37.3,-,28,-,13.2,1.46,11.74,-,-,-,23.22,-,-,36.0,-
85,臺北市,1998/10/19,松山,4.4,0.71,21.7,-,54,-,45.49,8.8,36.69,-,-,-,23.63,-,-,52.0,-
86,臺北市,1998/10/19,古亭,3.2,-,28.6,-,53,25,35.53,6.82,28.7,2.324,0.27,2.05,22.88,-,-,51.0,-
87,臺北市,1998/10/19,中山,2.6,0.86,31.3,-,-,-,38.38,7.03,31.35,2.414,0.32,2.1,23.61,-,-,45.0,-
88,臺北市,1998/10/19,大同,7.0,3.81,-,-,-,-,-,-,-,4.211,1.84,2.37,24.21,-,-,62.0,-
89,臺北市,1998/10/19,萬華,4.1,0.85,31.8,-,53,-,27.32,2.13,25.19,-,-,-,23.87,-,-,51.0,-
90,臺北市,1998/10/19,陽明,1.2,0.3,53.1,-,-,-,1.75,0.02,1.74,-,-,-,15.75,-,88.0,56.0,-
91,臺北市,1998/10/19,士林,1.2,0.41,45.5,-,48,-,12.75,1.4,11.35,-,-,-,23.77,-,-,47.0,-
92,臺北市,1998/10/18,松山,5.5,1.02,28.6,-,91,-,56.5,18.31,38.2,-,-,-,23.13,-,-,70.0,-
93,臺北市,1998/10/18,古亭,4.6,-,34.9,-,97,39,36.51,7.86,28.65,2.313,0.28,2.03,22.18,-,-,73.0,-
94,臺北市,1998/10/18,中山,5.3,1.26,31.5,-,-,-,60.09,19.44,40.65,2.84,0.47,2.37,23.06,-,-,61.0,-
95,臺北市,1998/10/18,大同,7.7,3.34,-,-,-,-,172.23,109.49,62.74,4.349,1.49,2.86,23.56,-,-,50.0,-
96,臺北市,1998/10/18,萬華,4.8,0.97,42.6,-,91,-,23.54,1.17,22.37,-,-,-,23.26,-,-,71.0,-
97,臺北市,1998/10/18,陽明,3.8,0.5,69.1,-,-,-,2.79,0.08,2.72,-,-,-,16.7,-,86.0,66.0,-
98,臺北市,1998/10/18,士林,3.6,0.95,42.0,-,81,-,31.0,8.55,22.45,-,-,-,22.6,-,-,65.0,-
99,臺北市,1998/10/17,松山,3.0,-,16.2,-,-,-,60.3,20.21,40.09,-,-,-,23.34,-,-,56.0,-
100,臺北市,1998/10/17,古亭,3.4,1.07,17.6,-,73,-,51.27,16.35,34.91,2.895,0.52,2.37,22.19,-,-,62.0,-
101,臺北市,1998/10/17,中山,3.7,1.29,15.9,-,-,-,60.48,19.11,41.37,3.092,0.55,2.54,23.19,-,-,37.0,-
102,臺北市,1998/10/17,大同,7.4,3.37,-,-,-,-,165.58,113.47,52.11,4.709,1.78,2.92,23.61,-,-,71.0,-
103,臺北市,1998/10/17,萬華,3.9,0.99,23.1,-,55,-,31.19,4.39,26.8,-,-,-,23.5,-,-,53.0,-
104,臺北市,1998/10/17,陽明,1.1,0.41,52.1,-,20,-,-,-,-,-,-,-,15.88,-,97.0,65.0,-
105,臺北市,1998/10/17,士林,2.1,0.68,26.3,-,48,-,30.26,4.24,26.02,-,-,-,22.63,-,-,48.0,-
106,臺北市,1998/10/16,松山,2.8,-,13.7,-,-,-,46.97,25.95,19.69,-,-,-,24.11,-,-,29.0,-
107,臺北市,1998/10/16,古亭,0.8,0.96,15.8,-,16,6,16.39,3.06,13.32,2.021,0.14,1.88,22.36,-,-,26.0,-
108,臺北市,1998/10/16,中山,0.8,0.46,15.3,-,-,-,14.29,2.8,11.49,2.248,0.07,2.18,23.42,-,-,28.0,-
109,臺北市,1998/10/16,大同,0.8,0.57,-,-,-,-,25.28,12.12,13.16,2.571,0.17,2.4,22.96,-,-,11.0,-
110,臺北市,1998/10/16,萬華,0.9,0.39,16.4,-,-,-,11.76,1.63,10.13,-,-,-,23.66,-,-,29.0,-
111,臺北市,1998/10/16,陽明,0.5,0.32,27.9,-,-,-,-,-,-,-,-,-,19.7,-,98.0,31.0,-
112,臺北市,1998/10/16,士林,0.5,0.23,23.6,-,18,-,6.67,0.39,6.28,-,-,-,22.81,-,-,30.0,-
113,臺北市,1998/10/15,松山,2.8,0.34,3.6,-,15,-,58.25,41.54,16.71,-,-,-,26.45,-,-,15.0,-
114,臺北市,1998/10/15,古亭,0.9,0.35,5.5,-,16,12,24.26,12.9,11.36,1.947,0.13,1.82,25.17,-,-,16.0,-
115,臺北市,1998/10/15,中山,1.1,0.76,-,-,-,-,24.88,12.75,12.14,2.01,0.1,1.9,25.98,-,-,11.0,-
116,臺北市,1998/10/15,大同,3.4,2.85,-,-,-,-,148.72,123.68,25.03,3.31,1.08,2.23,26.03,-,-,45.0,-
117,臺北市,1998/10/15,萬華,1.2,0.68,4.3,-,14,-,22.62,10.53,12.09,-,-,-,26.26,-,-,14.0,-
118,臺北市,1998/10/15,陽明,0.5,0.25,15.9,-,14,-,1.26,0.1,1.16,-,-,-,20.94,-,95.0,15.0,-
119,臺北市,1998/10/15,士林,0.6,0.21,10.5,-,16,-,8.34,3.14,5.21,-,-,-,25.82,-,-,16.0,-
120,臺北市,1998/10/14,松山,2.0,0.31,3.6,-,19,-,36.17,19.69,16.48,-,-,-,28.38,-,-,19.0,-
121,臺北市,1998/10/14,古亭,1.0,0.61,6.9,-,20,12,26.47,14.7,11.76,2.12,0.24,1.88,27.31,-,-,20.0,-
122,臺北市,1998/10/14,中山,2.2,0.89,-,-,-,-,34.28,19.11,15.17,2.248,0.22,2.03,27.98,-,-,15.0,-
123,臺北市,1998/10/14,大同,7.1,3.98,-,-,-,-,165.33,138.23,27.09,4.035,1.83,2.21,28.55,-,-,68.0,-
124,臺北市,1998/10/14,萬華,1.2,0.56,5.5,-,17,-,21.95,9.15,12.8,-,-,-,28.5,-,-,17.0,-
125,臺北市,1998/10/14,陽明,2.3,0.12,13.5,-,18,-,3.6,0.37,3.23,-,-,-,20.97,-,90.0,18.0,-
126,臺北市,1998/10/14,士林,0.8,0.35,9.8,-,18,-,11.84,4.56,7.28,-,-,-,27.94,-,-,18.0,-
127,臺北市,1998/10/13,松山,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.0,-
128,臺北市,1998/10/13,古亭,0.9,0.55,10.7,-,27,16,28.59,11.8,16.79,2.159,0.26,1.9,29.2,-,-,27.0,-
129,臺北市,1998/10/13,中山,1.1,0.81,9.1,-,-,-,32.76,12.99,19.77,2.255,0.25,2.01,29.64,-,-,27.0,-
130,臺北市,1998/10/13,大同,6.2,3.55,-,-,-,-,144.49,113.01,31.48,4.113,1.79,2.33,30.42,-,-,57.0,-
131,臺北市,1998/10/13,萬華,0.8,0.78,10.7,-,20,-,23.16,6.61,16.55,-,-,-,30.07,-,-,20.0,-
132,臺北市,1998/10/13,陽明,3.6,0.14,21.3,-,20,-,5.22,0.98,4.25,-,-,-,21.55,-,87.0,28.0,-
133,臺北市,1998/10/13,士林,1.0,0.45,17.0,-,22,-,12.54,2.98,9.56,-,-,-,29.44,-,-,22.0,-
134,臺北市,1998/10/12,松山,2.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.0,-
135,臺北市,1998/10/12,古亭,1.3,0.79,5.3,-,25,15,38.93,24.2,14.73,2.388,0.34,2.05,29.4,-,-,25.0,-
136,臺北市,1998/10/12,中山,1.3,0.91,3.9,-,28,-,42.77,24.99,17.77,2.498,0.23,2.27,30.04,-,-,28.0,-
137,臺北市,1998/10/12,大同,6.8,4.0,-,-,-,-,156.16,132.6,24.35,4.256,1.8,2.45,30.93,-,-,63.0,-
138,臺北市,1998/10/12,萬華,1.3,0.85,6.1,-,25,-,28.25,13.11,15.14,-,-,-,30.15,-,-,25.0,-
139,臺北市,1998/10/12,陽明,1.5,0.16,20.4,-,14,-,2.04,0.26,1.78,-,-,-,23.23,-,85.0,50.0,-
140,臺北市,1998/10/12,士林,-,0.52,7.0,-,18,-,18.72,7.19,-,-,-,-,29.67,-,-,99.0,-
141,臺北市,1998/10/11,松山,1.9,0.54,10.8,-,18,-,33.27,12.46,20.81,-,-,-,29.72,-,-,20.0,-
142,臺北市,1998/10/11,古亭,1.6,0.87,12.7,-,23,15,32.95,12.89,20.07,2.188,0.27,1.92,29.17,-,-,23.0,-
143,臺北市,1998/10/11,中山,1.9,0.79,12.2,-,23,-,34.79,11.96,22.84,2.297,0.22,2.07,29.78,-,-,23.0,-
144,臺北市,1998/10/11,大同,6.2,3.27,-,-,-,-,137.86,104.96,32.9,3.754,1.49,2.27,30.52,-,-,50.0,-
145,臺北市,1998/10/11,萬華,1.7,0.81,15.5,-,20,-,23.14,4.04,19.1,-,-,-,29.74,-,-,34.0,-
146,臺北市,1998/10/11,陽明,1.8,0.18,28.5,-,14,-,3.69,0.16,3.53,-,-,-,22.83,-,86.0,51.0,-
147,臺北市,1998/10/11,士林,1.6,0.44,20.0,-,21,-,13.78,2.33,11.45,-,-,-,29.66,-,-,41.0,-
148,臺北市,1998/10/10,松山,2.8,0.61,13.0,-,22,-,34.81,9.36,25.45,-,-,-,27.98,-,-,23.0,-
149,臺北市,1998/10/10,古亭,2.5,0.61,16.0,-,22,15,29.57,8.62,20.95,2.084,0.18,1.9,27.53,-,-,22.0,-
150,臺北市,1998/10/10,中山,3.5,0.77,14.5,-,25,-,35.78,11.14,24.64,2.218,0.17,2.05,28.05,-,-,25.0,-
151,臺北市,1998/10/10,大同,9.0,4.26,-,-,-,-,173.99,133.48,40.51,4.271,1.97,2.3,28.94,-,-,77.0,-
152,臺北市,1998/10/10,萬華,2.9,0.87,15.8,-,21,-,26.62,5.48,21.15,-,-,-,28.33,-,-,25.0,-
153,臺北市,1998/10/10,陽明,1.6,0.19,32.1,-,13,-,3.42,0.16,3.26,-,-,-,20.85,-,93.0,32.0,-
154,臺北市,1998/10/10,士林,1.9,0.36,23.1,-,20,-,11.56,2.28,9.28,-,-,-,28.31,-,-,26.0,-
155,臺北市,1998/10/09,松山,5.5,0.94,11.0,-,44,-,62.76,23.88,38.88,-,-,-,25.95,-,-,44.0,-
156,臺北市,1998/10/09,古亭,3.9,0.67,16.2,-,39,23,38.69,11.25,27.44,2.246,0.29,1.95,24.98,-,-,39.0,-
157,臺北市,1998/10/09,中山,3.2,1.06,6.6,-,37,-,46.84,16.64,30.2,2.353,0.3,2.07,25.97,-,-,37.0,-
158,臺北市,1998/10/09,大同,8.7,4.54,-,-,-,-,198.25,149.18,49.08,4.508,2.26,2.24,26.77,-,-,77.0,-
159,臺北市,1998/10/09,萬華,4.0,0.88,19.4,-,33,-,29.31,4.86,24.45,-,-,-,25.95,-,-,33.0,-
160,臺北市,1998/10/09,陽明,0.3,0.2,43.5,-,13,-,0.77,0.01,0.76,-,-,-,18.82,-,96.0,38.0,-
161,臺北市,1998/10/09,士林,0.5,0.51,30.6,-,34,-,12.36,1.78,10.57,-,-,-,26.23,-,-,34.0,-
162,臺北市,1998/10/08,松山,3.4,0.6,18.6,-,36,-,36.2,7.59,28.61,-,-,-,26.99,-,-,36.0,-
163,臺北市,1998/10/08,古亭,4.0,0.89,17.8,-,39,19,35.16,9.76,25.39,2.15,0.29,1.86,26.1,-,-,39.0,-
164,臺北市,1998/10/08,中山,2.0,0.9,-,-,37,-,39.9,11.98,27.92,2.387,0.25,2.14,26.86,-,-,37.0,-
165,臺北市,1998/10/08,大同,7.2,3.99,-,-,-,-,177.43,129.05,48.38,4.482,2.09,2.39,27.67,-,-,68.0,-
166,臺北市,1998/10/08,萬華,3.3,0.79,22.2,-,34,-,25.06,4.0,21.06,-,-,-,27.05,-,-,34.0,-
167,臺北市,1998/10/08,陽明,0.6,0.12,43.9,-,13,-,0.69,0.11,0.58,-,-,-,20.16,-,89.0,56.0,-
168,臺北市,1998/10/08,士林,1.2,0.81,21.0,-,54,-,29.26,11.78,17.47,-,-,-,26.37,-,-,52.0,-
169,臺北市,1998/10/07,松山,2.1,0.93,9.9,-,31,-,49.1,16.73,32.37,-,-,-,26.84,-,-,31.0,-
170,臺北市,1998/10/07,古亭,3.2,1.27,8.5,-,36,22,62.19,30.85,30.76,2.775,0.63,2.13,25.66,-,-,36.0,-
171,臺北市,1998/10/07,中山,2.3,1.38,-,-,31,-,61.37,32.07,29.3,2.792,0.44,2.35,26.59,-,-,31.0,-
172,臺北市,1998/10/07,大同,7.2,4.83,-,-,-,-,190.69,144.85,45.44,5.279,2.48,2.8,27.06,-,-,76.0,-
173,臺北市,1998/10/07,萬華,3.6,1.25,11.1,-,38,-,40.03,11.72,28.32,-,-,-,26.45,-,-,38.0,-
174,臺北市,1998/10/07,陽明,0.1,0.15,35.6,-,13,-,0.52,0.02,0.49,-,-,-,20.24,-,93.0,34.0,-
175,臺北市,1998/10/07,士林,1.4,1.12,12.0,-,35,-,45.95,23.97,21.99,-,-,-,26.05,-,-,35.0,-
176,臺北市,1998/10/06,松山,2.5,1.17,3.3,-,20,-,64.6,32.51,32.09,-,-,-,25.78,-,-,21.0,-
177,臺北市,1998/10/06,古亭,2.3,1.73,2.1,-,22,15,78.47,52.39,26.08,2.855,0.73,2.12,24.38,-,-,27.0,-
178,臺北市,1998/10/06,中山,2.9,2.07,-,-,27,-,85.91,57.89,28.02,3.23,0.8,2.43,25.38,-,-,32.0,-
179,臺北市,1998/10/06,大同,6.1,5.24,-,-,-,-,208.61,172.15,36.47,4.77,2.16,2.61,25.45,-,-,73.0,-
180,臺北市,1998/10/06,萬華,2.9,1.62,2.3,-,22,-,52.43,27.83,24.6,-,-,-,25.32,-,-,24.0,-
181,臺北市,1998/10/06,陽明,0.1,0.17,25.8,-,13,-,0.44,0.1,0.34,-,-,-,20.77,-,96.0,29.0,-
182,臺北市,1998/10/06,士林,1.6,1.57,1.7,-,33,-,68.29,43.05,25.24,-,-,-,24.73,-,-,33.0,-
183,臺北市,1998/10/05,松山,1.5,1.07,18.0,-,35,-,49.12,18.03,31.09,-,-,-,25.97,-,-,35.0,-
184,臺北市,1998/10/05,古亭,1.5,1.6,8.4,-,43,25,69.27,32.83,36.44,3.012,0.7,2.31,23.98,-,-,43.0,-
185,臺北市,1998/10/05,中山,1.9,1.63,22.0,-,41,-,63.56,31.16,32.4,3.162,0.55,2.61,25.28,-,-,41.0,-
186,臺北市,1998/10/05,大同,2.2,2.67,-,-,-,-,111.5,74.99,36.51,3.976,0.78,3.19,24.94,-,-,50.0,-
187,臺北市,1998/10/05,萬華,1.2,1.41,13.5,-,43,-,37.46,10.63,26.84,-,-,-,25.09,-,-,43.0,-
188,臺北市,1998/10/05,陽明,0.3,0.24,44.8,-,13,-,0.74,0.02,0.72,-,-,-,20.97,-,95.0,45.0,-
189,臺北市,1998/10/05,士林,0.3,0.94,15.8,-,38,-,33.74,10.83,22.91,-,-,-,24.58,-,-,38.0,-
190,臺北市,1998/10/04,松山,1.0,0.39,24.4,-,21,-,21.86,2.59,19.27,-,-,-,25.66,-,-,26.0,-
191,臺北市,1998/10/04,古亭,1.4,1.14,14.6,-,26,20,52.41,24.17,28.23,2.501,0.45,2.06,23.88,-,-,26.0,-
192,臺北市,1998/10/04,中山,1.2,1.19,20.6,-,29,-,52.01,24.27,27.74,2.544,0.38,2.17,25.71,-,-,31.0,-
193,臺北市,1998/10/04,大同,4.3,3.29,-,-,-,-,172.49,127.24,45.25,3.712,1.29,2.42,25.73,-,-,53.0,-
