序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,1998/10/31,松山,3.2,0.67,21.5,-,48,-,43.69,9.36,34.32,-,-,-,25.25,-,-,48.0,-
2,臺北市,1998/10/31,古亭,3.0,0.95,20.5,-,49,29,41.62,11.1,30.52,2.312,0.33,1.98,24.24,-,-,49.0,-
3,臺北市,1998/10/31,中山,-,-,-,-,48,-,-,-,-,-,-,-,25.22,-,-,48.0,-
4,臺北市,1998/10/31,大同,7.1,4.11,-,-,-,-,182.61,128.68,53.94,4.959,2.39,2.57,25.84,-,-,59.0,-
5,臺北市,1998/10/31,萬華,-,1.02,25.2,-,46,-,29.28,3.32,25.96,-,-,-,25.35,-,-,46.0,-
6,臺北市,1998/10/31,陽明,0.2,0.32,45.7,-,14,-,1.9,0.38,1.52,-,-,-,18.47,-,93.0,47.0,-
7,臺北市,1998/10/31,士林,2.5,0.88,22.2,-,47,-,29.56,4.6,24.96,-,-,-,25.06,-,-,47.0,-
8,臺北市,1998/10/30,松山,3.8,0.64,11.9,-,37,-,52.53,19.21,33.32,-,-,-,25.77,-,-,37.0,-
9,臺北市,1998/10/30,古亭,2.6,1.03,14.8,-,35,22,50.43,23.18,27.25,2.473,0.45,2.02,24.59,-,-,46.0,-
10,臺北市,1998/10/30,中山,-,-,-,-,45,-,-,-,-,-,-,-,25.5,-,-,45.0,-
