序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1996/09/30,松山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,臺北市,1996/09/30,古亭,1.7,1.29,13.7,-,93,51,20.87,30.03,2.69,0.39,2.3,23.69,-,-,71.0
3,臺北市,1996/09/30,中山,2.3,1.38,16.3,-,37,50,17.26,32.5,2.69,0.49,2.21,23.77,-,-,37.0
4,臺北市,1996/09/30,大同,7.9,-,-,-,45,113,76.81,36.64,-,-,-,24.31,-,-,75.0
5,臺北市,1996/09/30,萬華,2.9,1.2,14.6,-,46,38,8.65,29.53,-,-,-,23.83,-,-,46.0
6,臺北市,1996/09/30,陽明,0.8,0.23,36.9,-,16,1,0.18,0.76,-,-,-,16.63,-,94.0,37.0
7,臺北市,1996/09/30,士林,0.8,0.79,24.5,-,37,26,5.55,20.54,-,-,-,23.9,-,-,37.0
8,臺北市,1996/09/29,松山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,臺北市,1996/09/29,古亭,0.4,0.9,15.6,-,27,36,14.44,21.11,2.19,0.31,1.88,23.35,-,-,27.0
10,臺北市,1996/09/29,中山,0.6,0.72,18.9,-,-,25,6.77,18.35,1.97,0.06,1.91,22.84,-,-,25.0
11,臺北市,1996/09/29,大同,1.2,-,-,-,21,47,27.43,19.53,-,-,-,23.13,-,-,21.0
12,臺北市,1996/09/29,萬華,0.4,0.56,20.5,-,19,18,2.25,15.64,-,-,-,23.35,-,-,26.0
13,臺北市,1996/09/29,陽明,0.3,0.21,30.2,-,14,-,-,-,-,-,-,18.87,-,99.0,29.0
14,臺北市,1996/09/29,士林,-,0.42,24.5,-,19,12,1.56,10.58,-,-,-,22.78,-,-,28.0
15,臺北市,1996/09/28,松山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,臺北市,1996/09/28,古亭,1.0,1.27,3.3,-,19,52,34.84,17.47,2.68,0.4,2.28,24.03,-,-,22.0
17,臺北市,1996/09/28,中山,1.7,1.38,1.4,-,-,61,41.76,19.56,2.6,0.21,2.39,24.35,-,-,23.0
18,臺北市,1996/09/28,大同,3.7,-,-,-,25,114,94.69,19.79,-,-,-,24.32,-,-,25.0
19,臺北市,1996/09/28,萬華,0.4,0.7,5.8,-,14,23,10.18,13.21,-,-,-,24.2,-,-,21.0
20,臺北市,1996/09/28,陽明,0.2,0.14,13.1,-,11,1,0.18,0.41,-,-,-,20.7,-,100.0,22.0
21,臺北市,1996/09/28,士林,0.2,0.96,3.2,-,17,39,23.56,14.97,-,-,-,24.24,-,-,17.0
22,臺北市,1996/09/27,松山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
