序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
52,臺北市,2014/06/23,中山,1.9,0.8,-,11.4,49,13,41.45,15.43,26.03,1.56,28.8,81.45
53,臺北市,2014/06/23,大同,3.4,1.83,-,-,53,11,71.32,40.87,30.44,-,-,-
54,臺北市,2014/06/23,萬華,2.3,0.61,-,15.5,26,14,28.01,6.62,21.39,1.35,28.86,80.9
55,臺北市,2014/06/23,陽明,1.7,0.14,397.47,24.3,14,10,6.75,2.23,4.51,-,22.7,97.69
56,臺北市,2014/06/23,士林,2.2,0.43,-,16.5,28,12,20.8,4.58,16.22,2.01,28.4,81.48
57,臺北市,2014/06/22,松山,2.8,0.54,473.12,20.4,34,18,26.58,6.37,20.21,1.2,28.31,82.5
58,臺北市,2014/06/22,古亭,3.0,0.65,-,16.5,44,19,31.7,8.45,23.24,1.28,28.7,85.79
59,臺北市,2014/06/22,中山,3.2,0.69,-,15.3,58,17,36.62,8.79,27.83,1.31,28.83,83.43
60,臺北市,2014/06/22,大同,4.0,1.3,-,-,53,15,70.25,37.85,32.41,-,-,-
61,臺北市,2014/06/22,萬華,3.7,0.71,-,14.8,32,18,38.12,9.12,29.0,1.24,28.93,83.23
62,臺北市,2014/06/22,陽明,1.9,0.14,401.97,28.5,16,11,6.36,1.81,4.56,-,23.31,96.67
63,臺北市,2014/06/22,士林,3.8,0.47,-,18.2,37,17,22.65,4.28,18.37,1.51,28.27,83.29
64,臺北市,2014/06/21,松山,3.0,0.64,477.46,27.8,35,23,31.68,8.32,23.36,1.17,28.61,79.89
65,臺北市,2014/06/21,古亭,3.0,0.64,-,24.3,56,22,36.32,11.01,25.3,1.41,28.99,80.61
66,臺北市,2014/06/21,中山,3.1,0.78,-,20.7,59,21,40.84,11.51,29.33,1.53,29.36,79.05
67,臺北市,2014/06/21,大同,4.1,1.51,-,-,58,17,69.79,35.91,33.88,-,-,-
68,臺北市,2014/06/21,萬華,4.8,0.64,-,22.7,35,21,31.78,6.42,25.35,1.27,29.39,78.88
69,臺北市,2014/06/21,陽明,2.0,0.17,405.5,35.0,19,14,6.24,1.73,4.51,-,23.35,95.71
70,臺北市,2014/06/21,士林,2.2,0.53,-,23.5,36,17,24.67,6.11,18.56,1.28,28.7,80.63
71,臺北市,2014/06/20,松山,3.4,0.66,476.16,16.2,38,22,36.76,12.22,24.54,1.26,28.09,82.36
72,臺北市,2014/06/20,古亭,2.9,0.68,-,16.0,48,20,33.63,9.76,23.86,1.27,28.4,84.78
73,臺北市,2014/06/20,中山,4.6,0.96,-,11.8,62,21,57.12,24.01,33.12,1.3,28.87,81.95
74,臺北市,2014/06/20,大同,5.7,2.06,-,-,60,20,102.77,65.38,37.39,-,-,-
75,臺北市,2014/06/20,萬華,3.7,0.79,-,13.8,37,24,42.11,12.51,29.6,1.33,29.0,81.16
76,臺北市,2014/06/20,陽明,2.3,0.18,407.3,24.4,21,16,7.38,1.88,5.47,-,23.21,95.28
77,臺北市,2014/06/20,士林,3.4,0.42,-,19.4,26,18,20.79,4.62,16.17,1.47,28.64,80.14
78,臺北市,2014/06/19,松山,3.7,0.52,463.24,15.6,33,17,29.08,8.36,20.72,1.47,28.8,77.74
79,臺北市,2014/06/19,古亭,2.5,0.65,-,15.2,39,14,30.11,9.06,21.06,1.41,29.22,78.75
80,臺北市,2014/06/19,中山,3.9,0.85,-,10.2,58,15,48.95,20.14,28.81,1.57,29.5,77.95
81,臺北市,2014/06/19,大同,4.6,1.4,-,-,54,13,73.48,41.63,31.84,-,-,-
82,臺北市,2014/06/19,萬華,2.6,0.68,-,10.8,30,14,36.3,11.3,25.0,1.41,29.62,77.34
83,臺北市,2014/06/19,陽明,2.0,0.14,406.54,26.7,18,13,7.48,2.47,5.01,-,23.18,94.36
84,臺北市,2014/06/19,士林,3.1,0.41,-,15.6,29,14,18.95,4.29,14.66,1.93,28.99,77.5
85,臺北市,2014/06/18,松山,1.3,0.46,453.43,20.9,31,15,26.84,8.58,18.26,1.96,30.16,68.13
86,臺北市,2014/06/18,古亭,3.1,0.47,-,19.3,36,13,23.53,5.54,17.99,2.06,30.4,68.74
87,臺北市,2014/06/18,中山,3.0,0.69,-,17.0,46,14,35.8,11.96,23.84,2.16,30.79,67.98
88,臺北市,2014/06/18,大同,3.7,1.58,-,-,47,12,62.38,34.44,27.94,-,-,-
89,臺北市,2014/06/18,萬華,2.6,0.51,-,20.5,28,17,26.59,6.31,20.27,1.87,30.83,68.11
90,臺北市,2014/06/18,陽明,2.0,0.14,402.96,25.6,16,10,6.59,2.16,4.43,-,23.38,92.74
91,臺北市,2014/06/18,士林,3.4,0.31,-,23.4,25,15,14.83,2.3,12.52,2.49,30.08,69.59
92,臺北市,2014/06/17,松山,2.1,0.64,466.23,18.3,34,14,36.42,15.28,21.14,2.23,30.77,64.67
93,臺北市,2014/06/17,古亭,2.2,0.52,-,18.1,37,10,22.69,6.05,16.64,2.34,30.38,68.74
94,臺北市,2014/06/17,中山,2.8,0.98,-,13.5,58,13,42.67,18.67,23.99,2.04,31.09,66.49
95,臺北市,2014/06/17,大同,3.4,1.82,-,-,52,11,58.63,33.56,25.07,-,-,-
96,臺北市,2014/06/17,萬華,1.9,0.55,-,20.8,29,15,21.12,5.0,16.12,2.13,30.71,68.13
97,臺北市,2014/06/17,陽明,1.6,0.15,402.45,29.0,15,9,4.89,1.64,3.26,-,23.54,90.85
98,臺北市,2014/06/17,士林,2.4,0.38,-,20.0,24,11,18.3,4.32,13.98,2.71,29.75,69.67
99,臺北市,2014/06/16,松山,1.8,0.6,456.11,15.3,30,17,30.1,9.0,21.09,1.27,28.14,77.56
100,臺北市,2014/06/16,古亭,2.2,0.64,-,15.6,34,15,29.0,7.89,21.11,1.32,28.57,77.92
101,臺北市,2014/06/16,中山,4.7,0.85,-,14.3,54,15,44.62,15.87,28.76,1.2,28.87,77.94
102,臺北市,2014/06/16,大同,4.1,1.81,-,-,47,12,78.56,44.88,33.68,-,-,-
103,臺北市,2014/06/16,萬華,3.0,0.76,-,16.7,27,18,33.88,8.27,25.61,1.14,28.95,76.78
104,臺北市,2014/06/16,陽明,1.4,0.16,401.98,31.4,11,8,2.66,1.41,1.25,-,22.7,93.87
105,臺北市,2014/06/16,士林,3.3,0.5,-,21.9,28,17,23.02,3.62,19.4,1.32,27.96,79.91
106,臺北市,2014/06/15,松山,2.8,0.62,439.19,16.3,33,21,30.71,9.55,21.16,1.48,28.1,78.69
107,臺北市,2014/06/15,古亭,2.5,0.59,-,13.9,39,21,29.83,6.92,22.91,1.17,28.34,81.21
108,臺北市,2014/06/15,中山,2.8,0.79,-,12.3,66,22,41.34,14.14,27.2,1.32,28.52,81.01
109,臺北市,2014/06/15,大同,4.0,1.32,-,-,56,19,55.85,26.36,29.49,-,-,-
110,臺北市,2014/06/15,萬華,3.3,0.8,-,12.5,39,27,37.86,12.16,25.69,1.1,28.44,81.73
111,臺北市,2014/06/15,陽明,1.9,0.19,408.53,28.1,12,9,4.91,1.26,3.65,-,22.32,96.59
112,臺北市,2014/06/15,士林,2.7,0.5,-,18.1,35,20,24.58,5.19,19.4,1.12,27.41,82.16
113,臺北市,2014/06/14,松山,2.8,0.44,417.03,42.4,38,22,18.82,4.23,14.6,1.7,28.54,70.6
114,臺北市,2014/06/14,古亭,3.3,0.54,-,40.4,54,25,22.3,3.2,19.1,1.93,28.84,71.85
115,臺北市,2014/06/14,中山,4.1,0.62,-,34.8,61,20,30.21,6.41,23.8,2.11,29.22,71.19
116,臺北市,2014/06/14,大同,4.2,1.3,-,-,55,17,59.22,26.72,32.5,-,-,-
117,臺北市,2014/06/14,萬華,3.9,0.61,-,39.7,38,26,27.82,4.32,23.5,2.1,29.0,72.58
118,臺北市,2014/06/14,陽明,2.2,0.23,401.71,47.9,17,15,5.38,1.35,4.03,-,22.74,94.64
119,臺北市,2014/06/14,士林,2.8,0.37,-,44.4,37,23,16.82,2.43,14.39,1.96,28.39,71.75
120,臺北市,2014/06/13,松山,1.8,0.41,417.31,40.8,57,34,17.74,3.43,14.31,2.29,27.22,66.25
121,臺北市,2014/06/13,古亭,1.8,0.37,-,41.1,59,30,16.33,2.47,13.86,3.55,27.77,63.06
122,臺北市,2014/06/13,中山,2.0,0.57,-,34.0,80,32,29.08,5.89,23.19,3.03,27.69,68.3
123,臺北市,2014/06/13,大同,2.9,1.15,-,-,75,26,67.2,30.73,36.48,-,-,-
124,臺北市,2014/06/13,萬華,2.4,0.46,-,36.4,56,34,26.15,4.49,21.66,3.71,27.49,67.67
125,臺北市,2014/06/13,陽明,1.7,0.19,407.52,57.3,35,31,1.88,0.49,1.36,-,19.89,93.02
126,臺北市,2014/06/13,士林,2.9,0.29,-,56.0,53,30,8.19,1.43,6.76,3.43,26.85,66.45
127,臺北市,2014/06/12,松山,0.5,0.31,415.39,28.2,31,16,13.93,3.6,10.33,2.5,26.01,68.77
128,臺北市,2014/06/12,古亭,1.4,0.31,-,26.7,42,17,15.98,4.06,11.92,3.12,26.57,67.31
129,臺北市,2014/06/12,中山,2.2,0.51,-,21.3,52,18,30.03,11.05,18.99,2.62,26.4,71.52
130,臺北市,2014/06/12,大同,3.8,0.84,-,-,51,10,52.35,28.01,24.34,-,-,-
131,臺北市,2014/06/12,萬華,2.4,0.38,-,21.1,38,17,23.32,5.12,18.2,3.45,26.3,70.29
132,臺北市,2014/06/12,陽明,1.5,0.14,409.0,39.4,18,12,1.4,0.42,0.87,-,18.73,95.32
133,臺北市,2014/06/12,士林,1.6,0.21,-,36.5,25,17,8.29,2.26,6.03,3.03,25.57,68.45
134,臺北市,2014/06/11,松山,-,-,-,-,-,-,-,-,-,-,-,-
135,臺北市,2014/06/11,古亭,1.1,0.43,-,18.0,22,6,22.39,5.46,16.93,1.87,25.69,86.65
136,臺北市,2014/06/11,中山,2.0,0.58,-,15.0,34,9,31.3,10.69,20.61,1.66,25.9,84.89
