序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1995/06/30,松山,12.2,1.67,27.1,-,97,69,20.57,48.59,-,-,-,28.84,-,-,81.0
2,臺北市,1995/06/30,古亭,8.7,1.84,17.3,-,-,68,25.66,42.35,3.0,0.56,2.44,28.56,-,-,46.0
3,臺北市,1995/06/30,中山,14.7,2.05,17.3,-,102,73,21.46,51.75,3.16,0.9,2.26,29.04,-,-,76.0
4,臺北市,1995/06/30,大同,15.6,5.98,-,-,122,214,142.1,71.44,4.83,2.44,2.39,29.87,-,-,99.0
5,臺北市,1995/06/30,萬華,8.0,1.45,18.2,-,103,53,6.5,46.59,-,-,-,28.32,-,-,77.0
6,臺北市,1995/06/30,陽明,9.1,0.31,50.6,-,33,8,0.75,6.85,-,-,-,23.72,-,86.0,81.0
7,臺北市,1995/06/30,士林,11.7,1.55,26.8,-,83,58,15.51,42.88,-,-,-,28.62,-,-,66.0
8,臺北市,1995/06/29,松山,15.5,1.54,18.0,-,60,80,32.67,47.47,-,-,-,28.24,-,-,79.0
9,臺北市,1995/06/29,古亭,6.0,1.82,18.5,-,-,71,32.7,38.53,3.26,0.62,2.64,28.06,-,-,75.0
10,臺北市,1995/06/29,中山,13.0,1.83,19.3,-,66,75,36.22,39.22,3.23,0.87,2.35,28.55,-,-,76.0
11,臺北市,1995/06/29,大同,-,-,-,-,70,-,-,-,-,-,-,29.19,-,-,60.0
12,臺北市,1995/06/29,萬華,8.6,1.43,21.8,-,61,51,9.52,41.35,-,-,-,28.1,-,-,81.0
13,臺北市,1995/06/29,陽明,6.5,0.27,46.3,-,22,8,0.45,7.06,-,-,-,23.37,-,86.0,119.0
14,臺北市,1995/06/29,士林,9.9,1.45,29.2,-,65,62,25.42,36.77,-,-,-,27.8,-,-,130.0
15,臺北市,1995/06/28,松山,7.9,1.03,9.4,-,40,48,15.91,31.66,-,-,-,25.54,-,-,40.0
16,臺北市,1995/06/28,古亭,6.6,1.16,9.2,-,-,52,20.21,31.9,2.67,0.36,2.31,25.82,-,-,18.0
17,臺北市,1995/06/28,中山,9.0,1.25,6.4,-,38,56,21.41,34.11,2.41,0.49,1.92,25.52,-,-,38.0
