序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2014/11/30,松山,3.1,0.79,436.51,16.8,44,27,35.3,12.02,23.27,1.52,25.45,74.96
2,臺北市,2014/11/30,古亭,3.0,0.72,-,14.7,53,28,27.7,6.53,21.17,1.15,25.78,80.04
3,臺北市,2014/11/30,中山,1.9,1.01,-,12.8,72,23,45.55,20.1,25.44,1.51,25.96,76.56
4,臺北市,2014/11/30,大同,3.6,1.25,-,-,60,17,46.58,20.02,26.56,-,-,-
5,臺北市,2014/11/30,萬華,3.7,0.9,-,12.6,48,27,37.52,12.4,25.12,1.11,25.85,77.17
6,臺北市,2014/11/30,陽明,1.5,0.2,405.17,31.1,14,11,4.68,0.88,3.79,-,19.29,89.69
7,臺北市,2014/11/30,士林,2.9,0.6,-,17.8,37,25,26.52,7.05,19.47,1.55,24.97,77.75
8,臺北市,2014/11/29,松山,4.9,0.65,425.64,22.1,36,19,32.71,9.51,23.2,1.28,25.91,75.69
9,臺北市,2014/11/29,古亭,3.8,0.64,-,19.4,49,22,30.09,7.8,22.28,1.24,26.33,79.16
10,臺北市,2014/11/29,中山,6.0,0.92,-,20.9,64,21,44.69,15.78,28.91,1.42,26.76,74.8
11,臺北市,2014/11/29,大同,5.5,1.63,-,-,59,15,63.13,29.88,33.25,-,-,-
12,臺北市,2014/11/29,萬華,5.4,0.74,-,22.9,37,21,32.48,7.22,25.26,1.46,26.44,76.24
13,臺北市,2014/11/29,陽明,2.6,0.24,404.88,37.5,13,10,6.29,0.91,5.32,-,20.86,84.2
14,臺北市,2014/11/29,士林,4.5,0.67,-,21.9,41,22,33.85,8.9,24.94,1.05,25.74,76.5
15,臺北市,2014/11/28,松山,4.4,0.56,427.15,19.1,33,19,31.78,7.88,23.9,1.48,24.21,80.94
16,臺北市,2014/11/28,古亭,4.1,0.73,-,17.0,44,22,36.31,9.63,26.68,1.41,24.8,82.21
17,臺北市,2014/11/28,中山,5.4,0.92,-,13.1,58,20,48.14,15.67,32.47,1.65,25.06,79.89
18,臺北市,2014/11/28,大同,5.6,2.0,-,-,58,19,90.19,54.42,35.77,-,-,-
19,臺北市,2014/11/28,萬華,4.8,0.84,-,14.9,35,21,43.39,12.35,31.04,1.4,24.89,79.98
20,臺北市,2014/11/28,陽明,1.9,0.21,402.2,34.4,11,9,5.12,1.46,3.65,-,19.92,84.14
21,臺北市,2014/11/28,士林,3.1,0.6,-,18.8,27,16,31.57,8.72,22.85,1.15,24.55,80.47
22,臺北市,2014/11/27,松山,3.8,0.57,420.75,22.2,25,12,31.87,8.29,23.58,1.74,22.53,85.06
23,臺北市,2014/11/27,古亭,2.4,0.55,-,22.8,35,12,25.71,5.41,20.3,2.78,23.18,87.49
24,臺北市,2014/11/27,中山,3.6,0.67,-,22.4,46,11,33.7,9.45,24.25,2.53,23.71,82.12
25,臺北市,2014/11/27,大同,4.1,1.67,-,-,44,8,78.29,47.49,30.81,-,-,-
26,臺北市,2014/11/27,萬華,3.0,0.56,-,22.0,26,12,31.61,7.97,23.64,2.83,23.46,82.85
27,臺北市,2014/11/27,陽明,1.3,0.22,404.47,44.3,5,2,2.18,0.93,1.25,-,17.17,99.52
28,臺北市,2014/11/27,士林,1.7,0.33,-,40.2,19,9,9.77,1.53,8.22,2.61,23.93,75.68
29,臺北市,2014/11/26,松山,2.7,0.47,417.89,32.8,31,14,21.7,3.7,18.0,2.15,22.16,76.9
30,臺北市,2014/11/26,古亭,2.1,0.51,-,27.7,38,17,21.16,4.7,16.46,2.73,22.52,77.3
31,臺北市,2014/11/26,中山,2.4,0.68,-,25.8,52,16,32.3,8.77,23.53,2.3,23.13,75.99
32,臺北市,2014/11/26,大同,2.9,1.35,-,-,55,12,65.23,32.71,32.53,-,-,-
33,臺北市,2014/11/26,萬華,1.9,0.57,-,26.4,35,20,26.35,5.08,21.27,2.7,22.81,75.62
34,臺北市,2014/11/26,陽明,1.2,0.25,406.81,46.5,11,9,3.05,1.03,2.01,-,15.39,93.69
35,臺北市,2014/11/26,士林,1.5,0.6,-,29.3,37,23,22.88,5.42,17.46,2.13,22.11,75.35
