序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1997/10/31,松山,1.4,0.45,39.7,-,44,-,16.17,1.76,14.41,-,-,-,19.41,-,-,57.0
2,臺北市,1997/10/31,古亭,2.0,0.63,29.7,-,55,38,32.33,7.17,25.15,2.178,0.16,2.02,19.05,-,-,55.0
3,臺北市,1997/10/31,中山,2.0,0.5,35.7,-,51,-,25.52,3.2,22.31,2.188,0.09,2.1,20.12,-,-,53.0
4,臺北市,1997/10/31,大同,4.9,2.52,-,-,41,-,97.04,65.86,31.18,2.979,0.86,2.12,20.38,-,-,41.0
5,臺北市,1997/10/31,萬華,2.0,0.7,34.5,-,61,-,23.32,2.07,21.25,-,-,-,19.11,-,-,55.0
6,臺北市,1997/10/31,陽明,0.9,0.23,53.2,-,32,-,1.63,0.08,1.55,-,-,-,11.79,-,90.0,62.0
7,臺北市,1997/10/31,士林,1.8,0.4,44.6,-,39,-,11.15,1.74,9.41,-,-,-,19.28,-,-,57.0
8,臺北市,1997/10/30,松山,3.2,0.85,29.8,-,45,-,39.45,7.24,32.21,-,-,-,19.89,-,-,45.0
9,臺北市,1997/10/30,古亭,2.8,1.01,25.6,-,53,30,44.68,11.21,33.47,2.206,0.25,1.95,19.63,-,-,52.0
10,臺北市,1997/10/30,中山,2.2,0.93,28.7,-,46,-,41.21,6.48,34.73,2.484,0.31,2.17,20.81,-,-,46.0
11,臺北市,1997/10/30,大同,8.5,4.55,-,-,54,-,158.87,114.76,44.11,4.225,2.06,2.17,21.39,-,-,66.0
12,臺北市,1997/10/30,萬華,1.9,0.99,30.9,-,51,-,31.45,2.48,28.97,-,-,-,19.71,-,-,51.0
13,臺北市,1997/10/30,陽明,0.4,0.27,61.3,-,22,-,1.45,0.09,1.36,-,-,-,13.6,-,96.0,62.0
14,臺北市,1997/10/30,士林,1.4,0.51,45.3,-,33,-,13.2,1.17,12.04,-,-,-,20.51,-,-,49.0
15,臺北市,1997/10/29,松山,2.5,0.83,15.3,-,-,-,40.72,11.48,29.24,-,-,-,20.21,-,-,30.0
16,臺北市,1997/10/29,古亭,2.6,1.04,13.6,-,21,14,47.53,18.3,29.23,2.192,0.26,1.93,19.79,-,-,25.0
17,臺北市,1997/10/29,中山,1.5,1.07,13.0,-,22,-,52.4,18.25,34.15,2.528,0.37,2.16,20.93,-,-,24.0
18,臺北市,1997/10/29,大同,8.1,5.35,-,-,38,-,181.38,144.54,36.84,4.483,2.28,2.2,21.39,-,-,82.0
19,臺北市,1997/10/29,萬華,1.7,1.05,16.3,-,31,-,37.32,8.17,29.15,-,-,-,19.99,-,-,31.0
20,臺北市,1997/10/29,陽明,-,-,-,-,-,-,-,-,-,-,-,-,15.23,-,100.0,-
21,臺北市,1997/10/29,士林,0.9,0.76,16.5,-,23,-,33.18,9.02,24.16,-,-,-,20.19,-,-,26.0
22,臺北市,1997/10/28,松山,4.4,0.87,12.4,-,34,-,49.15,14.15,34.99,-,-,-,19.95,-,-,33.0
23,臺北市,1997/10/28,古亭,2.4,0.63,18.7,-,32,17,33.85,8.89,24.96,2.271,0.18,2.09,19.88,-,-,32.0
24,臺北市,1997/10/28,中山,3.9,1.02,12.1,-,40,-,53.22,16.52,36.7,2.582,0.39,2.2,20.89,-,-,40.0
25,臺北市,1997/10/28,大同,8.1,4.97,-,-,42,-,173.43,132.35,41.08,4.382,2.11,2.27,21.48,-,-,73.0
26,臺北市,1997/10/28,萬華,3.5,0.86,18.8,-,37,-,31.82,4.62,27.2,-,-,-,19.83,-,-,37.0
27,臺北市,1997/10/28,陽明,0.2,0.16,46.2,-,13,-,0.68,0.01,0.66,-,-,-,14.54,-,99.0,41.0
28,臺北市,1997/10/28,士林,0.4,0.51,28.2,-,24,-,20.2,1.29,18.45,-,-,-,20.59,-,-,30.0
29,臺北市,1997/10/27,松山,2.0,0.82,20.7,-,23,-,33.16,6.99,26.16,-,-,-,20.04,-,-,29.0
30,臺北市,1997/10/27,古亭,1.9,0.82,20.0,-,32,20,34.01,8.17,25.84,2.16,0.15,2.01,20.04,-,-,32.0
31,臺北市,1997/10/27,中山,1.6,0.98,19.1,-,29,-,42.95,11.74,31.21,2.299,0.34,1.96,21.22,-,-,30.0
32,臺北市,1997/10/27,大同,6.7,4.78,-,-,38,-,159.6,120.38,39.22,4.3,2.04,2.26,21.89,-,-,76.0
33,臺北市,1997/10/27,萬華,1.8,0.87,24.1,-,33,-,26.66,3.01,23.66,-,-,-,20.2,-,-,33.0
34,臺北市,1997/10/27,陽明,0.1,0.24,46.8,-,13,-,1.57,0.01,1.55,-,-,-,14.65,-,93.0,42.0
35,臺北市,1997/10/27,士林,0.5,0.54,31.5,-,19,-,13.83,1.1,12.82,-,-,-,21.0,-,-,30.0
36,臺北市,1997/10/26,松山,3.0,0.66,23.5,-,44,-,26.72,4.97,21.75,-,-,-,23.69,-,-,44.0
37,臺北市,1997/10/26,古亭,2.2,0.67,25.0,-,59,32,27.1,6.67,20.43,2.171,0.1,2.07,24.35,-,-,54.0
38,臺北市,1997/10/26,中山,3.4,0.73,22.2,-,48,-,33.27,6.25,27.02,2.272,0.24,2.04,24.8,-,-,48.0
39,臺北市,1997/10/26,大同,7.2,3.47,-,-,37,-,121.24,85.17,36.07,3.526,1.28,2.24,25.48,-,-,44.0
40,臺北市,1997/10/26,萬華,1.5,0.75,27.3,-,48,-,22.54,2.4,20.14,-,-,-,24.1,-,-,48.0
41,臺北市,1997/10/26,陽明,1.5,0.32,48.4,-,22,-,3.1,0.21,2.88,-,-,-,18.09,-,88.0,49.0
42,臺北市,1997/10/26,士林,4.1,0.49,30.0,-,37,-,15.79,2.25,13.54,-,-,-,24.26,-,-,37.0
43,臺北市,1997/10/25,松山,5.4,1.06,18.1,-,56,-,47.45,13.48,33.97,-,-,-,23.63,-,-,53.0
44,臺北市,1997/10/25,古亭,1.4,0.8,27.2,-,68,35,29.82,5.98,23.84,2.322,0.17,2.16,24.0,-,-,59.0
45,臺北市,1997/10/25,中山,6.2,0.91,18.8,-,62,-,48.76,11.79,36.97,2.588,0.25,2.33,24.66,-,-,56.0
46,臺北市,1997/10/25,大同,10.5,3.74,-,-,45,-,142.48,98.78,43.7,4.047,1.57,2.48,25.26,-,-,60.0
47,臺北市,1997/10/25,萬華,1.2,0.85,26.6,-,60,-,26.71,2.83,23.88,-,-,-,23.63,-,-,55.0
48,臺北市,1997/10/25,陽明,0.8,0.31,55.3,-,24,-,1.6,0.19,1.41,-,-,-,17.12,-,87.0,50.0
49,臺北市,1997/10/25,士林,3.6,0.6,32.5,-,53,-,19.88,2.08,17.8,-,-,-,23.76,-,-,52.0
50,臺北市,1997/10/24,松山,3.7,1.11,17.2,-,52,-,52.66,19.49,33.17,-,-,-,23.66,-,-,51.0
51,臺北市,1997/10/24,古亭,3.1,0.99,18.5,-,59,37,45.12,16.07,29.05,2.387,0.29,2.09,23.22,-,-,54.0
52,臺北市,1997/10/24,中山,4.8,1.19,14.4,-,59,-,66.98,25.27,41.72,3.022,0.52,2.51,24.41,-,-,54.0
53,臺北市,1997/10/24,大同,9.2,4.53,-,-,62,-,162.39,116.05,46.34,4.525,2.09,2.44,25.03,-,-,76.0
54,臺北市,1997/10/24,萬華,1.8,0.91,25.8,-,58,-,29.5,3.77,25.73,-,-,-,23.24,-,-,54.0
55,臺北市,1997/10/24,陽明,0.4,0.25,52.7,-,20,-,0.89,0.04,0.85,-,-,-,18.39,-,82.0,54.0
56,臺北市,1997/10/24,士林,4.5,1.06,24.3,-,74,-,46.42,13.62,32.79,-,-,-,23.01,-,-,62.0
57,臺北市,1997/10/23,松山,4.1,1.1,13.7,-,50,-,54.22,22.0,32.23,-,-,-,24.46,-,-,50.0
58,臺北市,1997/10/23,古亭,4.4,1.27,14.2,-,60,40,59.54,30.72,28.83,2.39,0.45,1.95,23.87,-,-,55.0
59,臺北市,1997/10/23,中山,3.9,1.25,14.9,-,66,-,65.52,27.07,38.45,3.045,0.55,2.5,25.11,-,-,58.0
60,臺北市,1997/10/23,大同,8.6,4.97,-,-,60,-,181.06,138.44,42.62,4.713,2.34,2.37,25.93,-,-,78.0
61,臺北市,1997/10/23,萬華,3.0,0.85,22.8,-,61,-,27.43,3.28,24.15,-,-,-,23.89,-,-,56.0
62,臺北市,1997/10/23,陽明,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74.0,-
63,臺北市,1997/10/23,士林,4.0,1.33,17.6,-,73,-,60.01,23.23,36.77,-,-,-,23.54,-,-,62.0
64,臺北市,1997/10/22,松山,3.6,0.9,17.4,-,42,-,37.77,10.65,27.13,-,-,-,24.79,-,-,42.0
65,臺北市,1997/10/22,古亭,4.0,0.94,17.5,-,49,34,38.45,13.26,25.18,2.313,0.19,2.12,25.03,-,-,49.0
66,臺北市,1997/10/22,中山,4.4,1.06,14.9,-,53,-,47.94,15.09,32.85,2.778,0.42,2.36,25.77,-,-,52.0
67,臺北市,1997/10/22,大同,9.3,4.87,-,-,55,-,167.3,125.9,41.39,4.525,2.2,2.32,26.66,-,-,74.0
68,臺北市,1997/10/22,萬華,3.5,1.01,17.3,-,56,-,30.07,5.19,24.88,-,-,-,24.91,-,-,53.0
69,臺北市,1997/10/22,陽明,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87.0,-
70,臺北市,1997/10/22,士林,3.0,0.75,22.4,-,46,-,28.03,5.91,22.11,-,-,-,24.84,-,-,46.0
71,臺北市,1997/10/21,松山,7.0,0.78,11.5,-,29,-,36.99,9.75,27.24,-,-,-,25.1,-,-,29.0
72,臺北市,1997/10/21,古亭,5.9,0.9,11.6,-,40,21,37.68,11.86,25.82,2.145,0.24,1.9,25.11,-,-,40.0
73,臺北市,1997/10/21,中山,5.9,0.81,13.4,-,33,-,38.39,10.94,27.45,2.266,0.16,2.11,26.04,-,-,33.0
74,臺北市,1997/10/21,大同,10.8,4.44,-,-,40,-,145.65,110.72,34.94,4.051,1.93,2.12,26.77,-,-,68.0
75,臺北市,1997/10/21,萬華,5.3,0.96,11.9,-,39,-,33.9,7.7,26.2,-,-,-,25.11,-,-,39.0
76,臺北市,1997/10/21,陽明,1.3,0.18,-,-,-,-,-,-,-,-,-,-,19.77,-,98.0,36.0
77,臺北市,1997/10/21,士林,2.8,0.5,20.5,-,26,-,16.68,3.0,13.68,-,-,-,25.81,-,-,26.0
78,臺北市,1997/10/20,松山,3.9,0.81,17.1,-,28,-,33.01,8.64,24.37,-,-,-,25.96,-,-,28.0
79,臺北市,1997/10/20,古亭,1.2,0.78,19.2,-,31,18,29.48,8.62,20.86,2.15,0.16,2.0,25.83,-,-,31.0
80,臺北市,1997/10/20,中山,4.4,0.76,19.2,-,36,-,33.89,8.53,25.36,2.155,0.22,1.93,26.47,-,-,36.0
81,臺北市,1997/10/20,大同,8.5,4.07,-,-,43,-,133.48,97.93,35.55,3.873,1.69,2.18,27.15,-,-,63.0
82,臺北市,1997/10/20,萬華,2.2,0.93,18.7,-,31,-,28.92,6.12,22.81,-,-,-,25.63,-,-,31.0
83,臺北市,1997/10/20,陽明,4.5,0.2,35.5,-,13,-,6.97,0.21,6.76,-,-,-,19.18,-,93.0,37.0
84,臺北市,1997/10/20,士林,1.8,0.41,26.6,-,28,-,14.16,2.36,11.8,-,-,-,26.02,-,-,29.0
85,臺北市,1997/10/19,松山,6.1,0.69,20.7,-,33,-,32.09,5.8,26.29,-,-,-,24.68,-,-,38.0
86,臺北市,1997/10/19,古亭,3.9,0.56,27.0,-,33,19,27.15,5.23,21.92,2.102,0.14,1.96,25.18,-,-,33.0
87,臺北市,1997/10/19,中山,6.0,0.64,24.4,-,33,-,31.57,5.04,26.53,2.223,0.16,2.06,25.56,-,-,38.0
88,臺北市,1997/10/19,大同,9.5,3.22,-,-,28,-,122.89,84.08,38.81,3.509,1.35,2.16,26.25,-,-,46.0
89,臺北市,1997/10/19,萬華,4.5,0.75,24.8,-,30,-,26.9,3.41,23.49,-,-,-,24.92,-,-,37.0
90,臺北市,1997/10/19,陽明,2.0,0.18,47.8,-,13,-,2.62,0.15,2.48,-,-,-,18.16,-,86.0,45.0
91,臺北市,1997/10/19,士林,6.4,0.41,30.9,-,29,-,15.65,1.64,14.01,-,-,-,24.97,-,-,34.0
92,臺北市,1997/10/18,松山,5.8,0.84,20.0,-,31,-,40.73,10.33,30.39,-,-,-,23.53,-,-,33.0
93,臺北市,1997/10/18,古亭,3.2,0.75,25.8,-,35,20,33.05,6.82,26.23,2.154,0.23,1.92,23.64,-,-,35.0
94,臺北市,1997/10/18,中山,8.8,0.73,22.9,-,33,-,41.17,9.62,31.55,2.237,0.18,2.06,24.39,-,-,33.0
95,臺北市,1997/10/18,大同,13.1,3.94,-,-,35,-,152.94,109.48,43.46,3.845,1.65,2.2,25.12,-,-,57.0
96,臺北市,1997/10/18,萬華,3.9,0.85,24.8,-,31,-,30.74,4.25,26.5,-,-,-,23.5,-,-,33.0
97,臺北市,1997/10/18,陽明,0.5,0.2,49.8,-,13,-,1.31,0.27,1.04,-,-,-,17.11,-,87.0,45.0
98,臺北市,1997/10/18,士林,6.9,0.48,30.2,-,22,-,20.15,2.49,17.66,-,-,-,23.99,-,-,33.0
99,臺北市,1997/10/17,松山,5.6,0.72,22.2,-,24,-,33.26,6.63,26.63,-,-,-,24.23,-,-,31.0
100,臺北市,1997/10/17,古亭,4.8,0.73,22.3,-,33,17,32.2,6.99,25.22,2.085,0.15,1.93,24.34,-,-,34.0
101,臺北市,1997/10/17,中山,6.2,0.71,23.9,-,30,-,37.14,9.09,28.05,2.322,0.22,2.11,25.05,-,-,29.0
102,臺北市,1997/10/17,大同,12.0,4.09,-,-,40,-,148.05,107.29,40.76,4.078,1.91,2.17,25.83,-,-,54.0
103,臺北市,1997/10/17,萬華,5.2,0.83,25.1,-,29,-,28.33,4.09,24.23,-,-,-,24.2,-,-,31.0
104,臺北市,1997/10/17,陽明,0.9,0.27,47.8,-,13,-,2.1,0.05,2.05,-,-,-,17.7,-,93.0,42.0
105,臺北市,1997/10/17,士林,4.7,0.56,29.4,-,24,-,16.24,2.03,14.21,-,-,-,24.6,-,-,30.0
106,臺北市,1997/10/16,松山,5.8,0.77,20.1,-,27,-,31.73,5.54,26.19,-,-,-,25.08,-,-,28.0
107,臺北市,1997/10/16,古亭,3.9,0.83,19.5,-,36,22,31.6,7.25,24.35,2.219,0.26,1.96,25.21,-,-,36.0
108,臺北市,1997/10/16,中山,7.3,0.79,22.0,-,36,-,33.67,7.81,25.86,2.169,0.15,2.02,25.85,-,-,36.0
109,臺北市,1997/10/16,大同,12.6,3.95,-,-,37,-,136.64,97.38,39.26,4.028,1.85,2.18,26.67,-,-,58.0
110,臺北市,1997/10/16,萬華,5.4,0.92,22.0,-,37,-,28.56,4.44,24.12,-,-,-,25.11,-,-,37.0
111,臺北市,1997/10/16,陽明,0.2,0.32,46.3,-,13,-,2.0,0.43,1.57,-,-,-,18.42,-,93.0,42.0
112,臺北市,1997/10/16,士林,-,0.76,24.8,-,33,-,22.9,7.2,15.7,-,-,-,25.09,-,-,33.0
113,臺北市,1997/10/15,松山,9.6,1.39,20.9,-,-,-,60.69,21.84,38.85,-,-,-,25.89,-,-,102.0
114,臺北市,1997/10/15,古亭,7.3,1.46,20.6,-,77,42,59.45,25.15,34.3,2.908,0.63,2.27,26.19,-,-,85.0
115,臺北市,1997/10/15,中山,8.1,1.63,20.5,-,70,-,-,-,-,3.152,0.49,2.67,26.77,-,-,75.0
116,臺北市,1997/10/15,大同,11.9,4.11,-,-,60,-,144.65,101.09,43.56,4.834,1.89,2.95,27.46,-,-,61.0
117,臺北市,1997/10/15,萬華,8.6,1.45,25.2,-,70,-,52.02,18.43,33.59,-,-,-,26.09,-,-,90.0
118,臺北市,1997/10/15,陽明,5.0,0.46,42.2,-,16,-,6.3,0.42,5.88,-,-,-,21.2,-,80.0,44.0
119,臺北市,1997/10/15,士林,-,1.31,18.8,-,64,-,45.82,16.74,29.09,-,-,-,25.61,-,-,64.0
120,臺北市,1997/10/14,松山,5.9,1.16,11.0,-,-,-,53.11,19.93,33.18,-,-,-,25.97,-,-,48.0
121,臺北市,1997/10/14,古亭,3.8,1.26,13.7,-,59,30,49.38,18.91,30.47,2.435,0.44,2.0,25.62,-,-,55.0
122,臺北市,1997/10/14,中山,8.1,1.32,11.1,-,51,-,-,-,-,2.74,0.5,2.24,26.35,-,-,51.0
123,臺北市,1997/10/14,大同,12.2,4.03,-,-,45,-,138.93,101.99,36.94,4.379,1.85,2.52,27.02,-,-,68.0
124,臺北市,1997/10/14,萬華,5.5,1.23,15.4,-,55,-,42.31,8.92,33.4,-,-,-,25.49,-,-,56.0
125,臺北市,1997/10/14,陽明,2.7,0.46,41.6,-,15,-,3.99,0.15,5.21,-,-,-,20.8,-,80.0,53.0
126,臺北市,1997/10/14,士林,-,1.3,11.7,-,58,-,51.6,20.33,31.27,-,-,-,24.96,-,-,54.0
127,臺北市,1997/10/13,松山,3.3,1.19,27.1,-,-,-,52.49,20.13,32.35,-,-,-,26.22,-,-,85.0
128,臺北市,1997/10/13,古亭,3.5,1.49,28.5,-,58,31,58.07,26.75,31.33,2.658,0.56,2.1,26.43,-,-,83.0
129,臺北市,1997/10/13,中山,4.4,1.47,30.7,-,56,-,65.93,23.49,42.44,2.985,0.56,2.42,26.79,-,-,75.0
130,臺北市,1997/10/13,大同,8.3,3.85,-,-,52,-,141.3,94.58,46.72,4.32,1.66,2.66,27.53,-,-,60.0
131,臺北市,1997/10/13,萬華,2.9,1.06,37.4,-,48,-,31.51,4.3,27.2,-,-,-,26.0,-,-,99.0
132,臺北市,1997/10/13,陽明,3.3,0.43,57.8,-,15,-,-,0.05,1.01,-,-,-,21.17,-,83.0,83.0
133,臺北市,1997/10/13,士林,-,1.01,-,-,31,-,-,-,-,-,-,-,25.5,-,-,67.0
134,臺北市,1997/10/12,松山,5.1,0.72,18.4,-,-,-,28.44,5.11,23.33,-,-,-,24.5,-,-,28.0
135,臺北市,1997/10/12,古亭,4.0,0.71,18.6,-,29,18,30.01,6.39,23.63,2.144,0.17,1.97,24.62,-,-,29.0
136,臺北市,1997/10/12,中山,4.3,0.63,21.4,-,22,-,29.66,4.67,24.99,2.263,0.12,2.14,25.27,-,-,30.0
137,臺北市,1997/10/12,大同,8.4,3.36,-,-,29,-,138.35,100.25,38.11,3.553,1.36,2.2,26.09,-,-,50.0
138,臺北市,1997/10/12,萬華,3.2,0.81,20.7,-,26,-,26.87,3.16,23.71,-,-,-,24.44,-,-,29.0
139,臺北市,1997/10/12,陽明,0.9,0.21,43.2,-,13,-,2.02,0.11,1.9,-,-,-,18.71,-,88.0,42.0
140,臺北市,1997/10/12,士林,-,0.5,25.8,-,24,-,16.73,1.66,15.08,-,-,-,24.67,-,-,30.0
141,臺北市,1997/10/11,松山,3.1,0.93,16.0,-,-,-,41.76,13.46,28.3,-,-,-,23.19,-,-,30.0
142,臺北市,1997/10/11,古亭,3.4,0.96,14.1,-,39,25,40.8,11.42,29.37,2.446,0.26,2.18,23.21,-,-,39.0
143,臺北市,1997/10/11,中山,2.3,0.97,16.9,-,33,-,42.49,10.2,32.29,2.656,0.33,2.33,23.82,-,-,33.0
144,臺北市,1997/10/11,大同,6.4,4.09,-,-,43,-,163.06,120.89,42.18,3.905,1.66,2.25,24.48,-,-,61.0
145,臺北市,1997/10/11,萬華,2.0,0.94,21.6,-,34,-,29.51,3.16,26.35,-,-,-,23.09,-,-,34.0
146,臺北市,1997/10/11,陽明,0.1,0.28,49.1,-,13,-,1.48,0.1,1.38,-,-,-,17.16,-,93.0,44.0
147,臺北市,1997/10/11,士林,-,0.81,19.5,-,33,-,28.77,4.2,24.57,-,-,-,23.0,-,-,33.0
148,臺北市,1997/10/10,松山,3.5,1.36,10.5,-,57,-,65.54,22.29,43.25,-,-,-,22.7,-,-,53.0
149,臺北市,1997/10/10,古亭,3.0,1.44,9.5,-,71,42,57.87,18.33,39.54,2.767,0.53,2.23,22.26,-,-,61.0
150,臺北市,1997/10/10,中山,3.5,1.51,9.3,-,73,-,65.91,19.59,46.32,3.271,0.67,2.6,23.12,-,-,61.0
151,臺北市,1997/10/10,大同,4.7,3.16,-,-,52,-,107.49,67.93,39.56,3.67,1.28,2.39,23.25,-,-,51.0
152,臺北市,1997/10/10,萬華,2.8,1.15,20.4,-,63,-,35.48,3.22,32.25,-,-,-,22.16,-,-,57.0
153,臺北市,1997/10/10,陽明,3.9,0.35,52.0,-,19,-,5.91,0.09,5.82,-,-,-,17.47,-,96.0,53.0
154,臺北市,1997/10/10,士林,3.2,1.1,13.4,-,52,-,42.2,7.59,34.61,-,-,-,21.55,-,-,51.0
155,臺北市,1997/10/09,松山,5.8,1.23,22.5,-,65,-,53.49,14.34,39.15,-,-,-,24.43,-,-,58.0
156,臺北市,1997/10/09,古亭,2.4,1.11,28.7,-,78,48,47.49,12.43,35.06,2.378,0.34,2.04,24.83,-,-,64.0
157,臺北市,1997/10/09,中山,3.4,1.04,32.2,-,72,-,44.97,8.03,36.94,2.508,0.31,2.2,25.4,-,-,61.0
158,臺北市,1997/10/09,大同,8.4,4.39,-,-,75,-,178.78,123.95,54.83,4.28,2.03,2.25,26.15,-,-,67.0
159,臺北市,1997/10/09,萬華,2.8,1.19,33.1,-,77,-,38.28,4.87,33.42,-,-,-,24.63,-,-,63.0
160,臺北市,1997/10/09,陽明,9.3,0.36,59.9,-,29,-,7.77,0.16,7.6,-,-,-,18.47,-,84.0,59.0
161,臺北市,1997/10/09,士林,3.3,0.92,36.8,-,57,-,30.62,3.56,27.06,-,-,-,25.25,-,-,54.0
162,臺北市,1997/10/08,松山,6.0,0.88,22.7,-,46,-,47.69,7.98,39.71,-,-,-,24.01,-,-,46.0
