序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
24,臺北市,2017/10/11,中山,3.1,0.46,-,8.4,27,10,28.72,13.57,15.15,2.169,0.333,1.836,1.02,0.57,29.27,-,-,81.78,-
25,臺北市,2017/10/11,大同,3.8,0.69,-,-,36,-,41.53,26.58,14.96,2.029,0.211,1.818,-,-,-,-,-,-,-
26,臺北市,2017/10/11,萬華,3,0.55,-,10.4,23,7,35.35,20.83,14.52,-,-,-,1.66,0.92,29.78,-,-,75.32,-
27,臺北市,2017/10/11,陽明,2.6,0.05,404.66,20.5,6,2,1.94,0.36,1.55,-,-,-,3.8,-,21.56,4.5,4.66,97.97,20.73
28,臺北市,2017/10/11,士林,3.7,0.1,-,18.9,28,8,8.77,2.93,5.84,-,-,-,3.61,3.07,29.69,-,-,75.06,-
29,臺北市,2017/10/10,松山,2,0.16,405.55,13,19,7,11.96,4.72,7.24,1.78,0.059,1.722,2.11,1.63,29.42,-,-,72.57,-
30,臺北市,2017/10/10,古亭,1.3,0.13,-,16.3,12,7,7.3,2.18,5.11,1.809,0.05,1.759,3.43,3.02,30.27,-,-,70.63,-
31,臺北市,2017/10/10,中山,1.7,0.38,-,8.8,50,9,18.15,6.98,11.18,1.943,0.117,1.825,1.1,0.64,30.39,-,-,76.8,-
32,臺北市,2017/10/10,大同,1.3,0.54,-,-,33,5,33.56,21.44,12.13,1.983,0.158,1.825,-,-,-,-,-,-,-
33,臺北市,2017/10/10,萬華,1.6,0.42,-,10.9,20,7,24.55,14.12,10.42,-,-,-,1.6,0.72,30.98,-,-,69.86,-
34,臺北市,2017/10/10,陽明,3.5,0.05,406.09,14.8,7,4,3.98,0.48,3.5,-,-,-,4.63,-,22.34,1.3,4.38,97.66,31.88
35,臺北市,2017/10/10,士林,1.7,0.1,-,18.2,17,9,4.26,1.35,2.9,-,-,-,3.99,3.64,30.71,-,-,73.48,-
36,臺北市,2017/10/09,松山,1.8,0.23,404.9,12.8,19,9,11.58,4.66,6.92,1.762,0.054,1.708,2.14,1.6,29.59,-,-,70.98,-
37,臺北市,2017/10/09,古亭,1.5,0.13,-,15.4,14,10,7.44,2.37,5.07,1.818,0.044,1.774,3.6,3.26,30.53,-,-,68.31,-
38,臺北市,2017/10/09,中山,1.2,0.37,-,8.7,26,6,17.86,8.02,9.84,1.939,0.092,1.847,1.25,0.77,30.45,-,-,75.57,-
39,臺北市,2017/10/09,大同,1.6,0.59,-,-,35,5,34.94,23.33,11.6,1.997,0.172,1.824,-,-,-,-,-,-,-
40,臺北市,2017/10/09,萬華,1.6,0.39,-,10.4,21,6,23.98,13.81,10.17,-,-,-,1.67,0.73,31.05,-,-,69.05,-
41,臺北市,2017/10/09,陽明,2.5,0.05,404.57,15.4,8,4,2.54,0.36,2.16,-,-,-,-,-,22.75,0.5,4.27,94.39,49.3
42,臺北市,2017/10/09,士林,2,0.09,-,17.8,19,7,3.46,1.34,2.12,-,-,-,4.39,4.03,31.06,-,-,71.41,-
43,臺北市,2017/10/08,松山,1.5,0.27,409.63,25.6,18,9,12.2,2.85,9.35,1.795,0.036,1.759,2.54,2.07,27.04,-,-,85.46,-
44,臺北市,2017/10/08,古亭,1.8,0.27,-,26.8,18,10,11.01,2.42,8.59,1.909,0.05,1.859,3.34,3.04,28.29,-,-,82.19,-
45,臺北市,2017/10/08,中山,4.7,0.4,-,16.9,26,11,21.34,5.54,15.79,1.954,0.093,1.861,0.93,0.45,28.03,-,-,89.1,-
46,臺北市,2017/10/08,大同,4.3,0.41,-,-,39,9,25.05,10.65,14.43,1.973,0.116,1.857,-,-,-,-,-,-,-
47,臺北市,2017/10/08,萬華,2.1,0.43,-,21.4,30,8,23.43,9.9,13.53,-,-,-,1.8,0.98,28.8,-,-,82.4,-
48,臺北市,2017/10/08,陽明,0.9,0.12,409.37,32.3,5,2,1.9,0.32,1.54,-,-,-,4.64,-,21.82,4.86,4.41,99.09,38.73
49,臺北市,2017/10/08,士林,1.7,0.16,-,31.1,22,12,3.71,1,2.71,-,-,-,3.34,2.93,29.01,-,-,79.02,-
50,臺北市,2017/10/07,松山,2.9,0.3,412.34,28.1,22,14,16.11,2.63,13.48,1.847,0.062,1.785,2.28,1.78,26.37,-,-,85.31,-
51,臺北市,2017/10/07,古亭,2.2,0.3,-,30.7,22,12,14.71,2.12,12.59,1.963,0.066,1.897,3.03,2.65,27.21,-,-,84.38,-
52,臺北市,2017/10/07,中山,3.5,0.45,-,20,40,13,24.64,5.24,19.4,2.001,0.109,1.892,0.96,0.5,27.39,-,-,88.73,-
53,臺北市,2017/10/07,大同,2.5,0.62,-,-,44,12,36.29,14.2,22.09,2.047,0.165,1.882,-,-,-,-,-,-,-
54,臺北市,2017/10/07,萬華,3,0.53,-,21.9,31,12,32.38,12.55,19.83,-,-,-,1.67,0.81,27.94,-,-,82.95,-
55,臺北市,2017/10/07,陽明,0.6,0.14,409.89,40.5,5,2,1.67,0.34,1.28,-,-,-,3.32,-,20.9,2.47,4.23,99.24,55.62
56,臺北市,2017/10/07,士林,2.8,0.18,-,38.4,22,12,6.19,1.17,5.03,-,-,-,3.12,2.58,28.48,-,-,76.97,-
57,臺北市,2017/10/06,松山,2.6,0.33,412.6,22.1,22,10,19.09,4.19,14.9,1.844,0.084,1.761,2.37,1.93,27.63,-,-,82.97,-
58,臺北市,2017/10/06,古亭,2.2,0.35,-,23.3,21,11,19.2,4.07,15.12,2.009,0.095,1.914,2.79,2.51,28.52,-,-,81.82,-
59,臺北市,2017/10/06,中山,3.8,0.57,-,15.8,34,11,29.8,10.34,19.46,2.004,0.157,1.847,0.94,0.53,28.99,-,-,84.09,-
60,臺北市,2017/10/06,大同,4.6,0.76,-,-,42,12,56.45,32.59,23.86,2.079,0.221,1.858,-,-,-,-,-,-,-
61,臺北市,2017/10/06,萬華,3.8,0.67,-,17.6,30,11,40.79,19.69,21.1,-,-,-,1.57,0.83,29.3,-,-,80.05,-
62,臺北市,2017/10/06,陽明,1.6,0.12,408.74,34.8,5,2,1.88,0.84,0.99,-,-,-,3.27,-,21.9,4.07,4.6,98.88,40.1
63,臺北市,2017/10/06,士林,4.9,0.19,-,29.7,27,12,9.7,1.2,8.47,-,-,-,3.01,2.53,29.59,-,-,76.83,-
64,臺北市,2017/10/05,松山,2.3,0.29,410.66,30.6,27,13,16.43,2.51,13.93,1.856,0.085,1.771,2.36,2.01,27.17,-,-,77.74,-
65,臺北市,2017/10/05,古亭,1.7,0.3,-,32.5,32,12,16.87,3.11,13.76,1.984,0.077,1.907,3.35,2.99,28.08,-,-,76.16,-
66,臺北市,2017/10/05,中山,4.5,0.51,-,21.8,44,11,29.02,8.69,20.33,1.989,0.137,1.852,1.03,0.61,28.75,-,-,77.67,-
67,臺北市,2017/10/05,大同,6.5,0.58,-,-,50,11,38.74,17.59,21.15,2.024,0.161,1.863,-,-,-,-,-,-,-
68,臺北市,2017/10/05,萬華,3.1,0.59,-,25,38,13,33.8,13.48,20.31,-,-,-,1.76,1.04,28.83,-,-,74.82,-
69,臺北市,2017/10/05,陽明,2.1,0.13,408.75,38.1,13,8,3.08,0.65,2.41,-,-,-,3.82,-,20.51,0.89,4.27,98.55,78.32
70,臺北市,2017/10/05,士林,5.4,0.19,-,37.5,35,14,8.94,1.26,7.67,-,-,-,2.94,2.63,29.23,-,-,71.66,-
71,臺北市,2017/10/04,松山,3.4,0.28,411.76,33.1,24,12,15.53,2.2,13.33,1.842,0.057,1.785,2.02,1.48,25.93,-,-,84.37,-
72,臺北市,2017/10/04,古亭,2.7,0.32,-,35.2,27,11,15.15,3.04,12.1,1.989,0.06,1.929,2.64,2.33,26.43,-,-,85.36,-
73,臺北市,2017/10/04,中山,1.8,0.53,-,29,38,18,19.18,2.92,16.26,2.009,0.118,1.891,1,0.61,27.4,-,-,84.35,-
74,臺北市,2017/10/04,大同,0.9,0.67,-,-,48,11,33.52,14.3,19.22,2.053,0.17,1.883,-,-,-,-,-,-,-
75,臺北市,2017/10/04,萬華,2.8,0.49,-,28.6,34,13,27.27,8.9,18.37,-,-,-,1.43,0.68,27.51,-,-,81.48,-
76,臺北市,2017/10/04,陽明,2.3,0.14,409.99,44.8,6,3,1.85,0.31,1.44,-,-,-,2.15,-,20.29,3.48,4.29,98.68,66.25
77,臺北市,2017/10/04,士林,1,0.19,-,45.3,24,10,4.56,0.4,4.18,-,-,-,2.56,1.89,28.16,-,-,75.54,-
78,臺北市,2017/10/03,松山,5.6,0.43,438.4,23.7,36,27,24.22,4.83,19.39,1.989,0.15,1.839,2.23,1.87,29.05,-,-,75.35,-
79,臺北市,2017/10/03,古亭,5,0.42,-,29.2,37,25,20.32,3.51,16.81,2.05,0.105,1.946,2.63,2.27,29.64,-,-,74.18,-
80,臺北市,2017/10/03,中山,2.8,0.63,-,22.2,63,25,28.85,5.82,23.03,2.113,0.197,1.916,0.91,0.47,30.72,-,-,74.11,-
81,臺北市,2017/10/03,大同,4.8,1.05,-,-,60,26,54.03,25.04,28.99,2.307,0.317,1.99,-,-,-,-,-,-,-
82,臺北市,2017/10/03,萬華,5,0.75,-,19.7,44,25,39.85,13.36,26.49,-,-,-,1.36,0.62,30.78,-,-,71.04,-
83,臺北市,2017/10/03,陽明,1.8,0.16,417.58,38.9,17,13,3.99,0.33,3.61,-,-,-,1.89,-,22.53,2.28,4.04,92.32,82.62
84,臺北市,2017/10/03,士林,2.4,0.35,-,35.7,48,24,13.3,2.98,10.32,-,-,-,2.11,1.63,30.56,-,-,73.31,-
85,臺北市,2017/10/02,松山,6.3,0.58,446.31,43.8,40,35,30.19,4.99,25.21,2.052,0.189,1.864,1.64,1.32,30.5,-,-,66.82,-
86,臺北市,2017/10/02,古亭,4.6,0.57,-,45.1,44,29,23.3,3.02,20.28,2.118,0.141,1.978,1.7,1.31,30.96,-,-,67.6,-
87,臺北市,2017/10/02,中山,4.4,0.87,-,31.1,63,30,36.95,7.25,29.7,2.224,0.258,1.966,0.8,0.31,31.53,-,-,69.56,-
88,臺北市,2017/10/02,大同,3.8,1.55,-,-,72,37,59.22,24.53,34.69,2.689,0.572,2.118,-,-,-,-,-,-,-
89,臺北市,2017/10/02,萬華,5.2,1.06,-,28.5,53,34,49.31,15.31,34,-,-,-,0.86,0.56,32.23,-,-,64.9,-
90,臺北市,2017/10/02,陽明,1.9,0.22,423.03,52.6,27,23,4.37,0.24,4.16,-,-,-,1.5,-,23.88,0,0,86.33,0
91,臺北市,2017/10/02,士林,4.4,0.49,-,32.1,54,28,18.92,2.21,16.71,-,-,-,1.56,1.36,30.8,-,-,74.05,-
92,臺北市,2017/10/01,松山,1.9,0.31,420.14,35.7,20,13,14.31,2.75,11.56,1.877,0.086,1.791,1.56,0.99,30.59,-,-,62.5,-
93,臺北市,2017/10/01,古亭,1.3,0.4,-,44.5,22,19,12.38,1.57,10.8,2.025,0.087,1.938,1.68,1.56,31.48,-,-,60.4,-
94,臺北市,2017/10/01,中山,1.6,0.55,-,31.9,34,18,22.12,3.49,18.63,2.073,0.146,1.927,0.84,0.29,31.48,-,-,66.01,-
95,臺北市,2017/10/01,大同,2.8,0.95,-,-,43,17,45.99,21.49,24.49,2.25,0.275,1.975,-,-,-,-,-,-,-
96,臺北市,2017/10/01,萬華,1.3,0.7,-,33.2,28,19,32.81,10.52,22.29,-,-,-,0.95,0.48,32.34,-,-,58.96,-
97,臺北市,2017/10/01,陽明,2.4,0.16,412.32,42.4,17,13,2.79,0.26,2.52,-,-,-,2.77,-,23.51,0,0,87.79,0
98,臺北市,2017/10/01,士林,1.4,0.28,-,43.8,39,17,8.35,1.21,7.14,-,-,-,2.16,1.93,31.56,-,-,67.02,-
99,新北市,2017/10/14,板橋,1.9,0.26,-,13.6,8,1,16.08,4.36,11.71,1.858,0.082,1.775,3.03,2.65,26.99,4.24,5.57,87.72,8.67
100,新北市,2017/10/14,三重,3.8,0.94,-,-,23,5,74.41,54,20.41,2.168,0.305,1.863,-,-,26.96,-,-,82.78,-
101,新北市,2017/10/14,菜寮,1.9,0.2,-,15,6,2,14.16,3.79,10.36,-,-,-,3.25,2.96,26.96,-,-,90.11,-
102,新北市,2017/10/14,永和,2.3,0.28,-,15.3,7,5,15.24,6.26,8.99,1.848,0.074,1.774,3.22,3.04,26.06,-,-,87.25,-
103,新北市,2017/10/14,新莊,2.5,0.23,-,15.3,5,2,11.88,2.99,8.89,-,-,-,4.95,4.64,27.05,-,-,82.21,-
104,新北市,2017/10/14,新店,0.6,0.22,-,17.1,9,2,10.08,2.67,7.41,-,-,-,1.94,1.22,26.93,-,-,87.49,-
105,新北市,2017/10/14,淡水,1.3,0.14,-,16.1,7,2,5.65,1.21,4.42,-,-,-,1.6,-,26.48,-,-,90.83,-
106,新北市,2017/10/14,汐止,2.4,0.16,-,18.7,5,3,7.63,1.85,5.79,-,-,-,2.78,2.57,26.23,-,-,95.38,-
107,新北市,2017/10/14,土城,2,0.23,-,15.1,7,4,12.27,3.11,9.15,1.936,0.105,1.831,1.85,1.33,27.2,-,-,91.87,-
108,新北市,2017/10/14,林口,2.2,0.13,-,20.2,12,9,7.89,1.91,5.97,-,-,-,4.06,3.7,24.88,-,-,95.49,-
109,新北市,2017/10/14,萬里,2.4,0.05,-,22.6,37,9,3.29,0.83,2.45,-,-,-,5.46,5.31,26.61,3.75,5.56,89.65,46.31
110,新北市,2017/10/13,板橋,1.9,0.26,-,30.7,21,5,13.15,1.69,11.46,1.871,0.066,1.805,3.72,3.29,25.51,3.55,4.3,86.32,120.63
111,新北市,2017/10/13,三重,3.1,0.93,-,-,34,7,70.35,43.97,26.38,2.116,0.255,1.861,-,-,26.2,-,-,77.19,-
112,新北市,2017/10/13,菜寮,1.2,0.25,-,33,22,5,8.61,0.82,7.85,-,-,-,3.73,3.38,26.13,-,-,82.38,-
113,新北市,2017/10/13,永和,2.3,0.33,-,30.1,15,9,15.64,3.84,11.8,1.866,0.063,1.803,3.73,3.5,24.36,-,-,87.97,-
114,新北市,2017/10/13,新莊,1.3,0.26,-,32.8,17,5,9.93,2,7.93,-,-,-,5.26,4.97,26.18,-,-,76.3,-
115,新北市,2017/10/13,新店,1.5,0.27,-,29.9,16,7,12.17,1.91,10.26,-,-,-,2.11,1.24,25.4,-,-,88.54,-
116,新北市,2017/10/13,淡水,1.2,0.14,-,36,22,6,2.1,0.3,1.8,-,-,-,3.5,-,24.59,-,-,90.33,-
117,新北市,2017/10/13,汐止,7.2,0.22,-,31.3,22,8,14.14,2.48,11.66,-,-,-,4.46,3.81,24.83,-,-,93.95,-
118,新北市,2017/10/13,土城,1.6,0.28,-,29.5,21,8,12.72,0.87,11.82,1.947,0.085,1.863,2.04,0.8,25.63,-,-,92.06,-
119,新北市,2017/10/13,林口,1.3,0.16,-,36.2,27,14,9.66,3.05,6.61,-,-,-,5.4,5.18,23.23,-,-,93.06,-
120,新北市,2017/10/13,萬里,2.2,0.12,-,42.5,82,19,2.24,1.49,0.73,-,-,-,10.65,9.43,26.62,3.72,5.82,82.78,404.2
121,新北市,2017/10/12,板橋,3.6,0.31,-,16.3,15,5,19.3,5.88,13.42,1.888,0.097,1.79,2.88,2.33,26.41,6.42,4.4,85.79,30.31
122,新北市,2017/10/12,三重,3.2,1.09,-,-,33,8,71.2,47.68,23.52,2.269,0.346,1.924,-,-,26.43,-,-,80.56,-
123,新北市,2017/10/12,菜寮,2.1,0.36,-,17.5,21,6,16.56,3.97,12.57,-,-,-,2.7,2.33,26.45,-,-,87.1,-
124,新北市,2017/10/12,永和,2.8,0.39,-,17.6,13,8,20.25,7.39,12.85,1.942,0.08,1.863,2.74,2.4,25.8,-,-,85.55,-
125,新北市,2017/10/12,新莊,2.3,0.32,-,16.2,15,4,18.69,5.21,13.48,-,-,-,3.25,3.03,26.3,-,-,81.26,-
126,新北市,2017/10/12,新店,1.5,0.28,-,16.9,18,5,15.75,4.5,11.25,-,-,-,1.21,0.66,26.52,-,-,83.15,-
127,新北市,2017/10/12,淡水,1.8,0.14,-,20.8,21,5,5.44,1.87,3.56,-,-,-,1.91,-,26.09,-,-,85.08,-
128,新北市,2017/10/12,汐止,5.4,0.16,-,18.9,16,7,15.48,3.73,11.75,-,-,-,2.71,2.25,25.6,-,-,94.65,-
129,新北市,2017/10/12,土城,2.5,0.3,-,16.2,20,8,16.97,2.97,14,1.979,0.125,1.854,1.47,0.5,26.85,-,-,88.37,-
130,新北市,2017/10/12,林口,1.4,0.2,-,17.7,29,16,18.25,6.73,11.53,-,-,-,2.52,2.19,23.86,-,-,93.7,-
131,新北市,2017/10/12,萬里,2.7,0.1,-,29.2,59,15,2.81,1.37,1.42,-,-,-,6.82,6.45,27.59,0.63,4.72,82.61,184.68
132,新北市,2017/10/11,板橋,2.2,0.3,-,14.8,19,5,17.66,5.67,11.99,1.901,0.105,1.797,2.66,2.15,29.65,0.75,6,72.09,19.42
133,新北市,2017/10/11,三重,4.8,1.01,-,-,35,5,67.41,47.08,20.33,2.249,0.32,1.93,-,-,29.45,-,-,70.52,-
134,新北市,2017/10/11,菜寮,3.6,0.24,-,16.2,22,5,12.12,3.29,8.8,-,-,-,3.68,3.41,29.25,-,-,75.83,-
135,新北市,2017/10/11,永和,0.7,0.34,-,17,15,7,13.31,5.63,7.68,1.875,0.082,1.794,2.97,2.75,29.79,-,-,73.51,-
136,新北市,2017/10/11,新莊,2.5,0.21,-,16.4,18,3,11.46,2.85,8.6,-,-,-,4.74,4.4,29.62,-,-,67.19,-
137,新北市,2017/10/11,新店,1.6,0.23,-,18.9,16,4,8.58,2.82,5.76,-,-,-,2.4,1.8,29.24,-,-,72.28,-
138,新北市,2017/10/11,淡水,3.4,0.13,-,16.5,17,5,6.12,1.79,4.33,-,-,-,1.31,-,28.75,-,-,74.13,-
139,新北市,2017/10/11,汐止,2.2,0.18,-,17.3,16,6,11.35,4.04,7.3,-,-,-,2.6,2.35,28.25,-,-,83.97,-
140,新北市,2017/10/11,土城,0.8,0.24,-,17.3,20,6,9.99,1.54,8.44,1.934,0.087,1.848,1.7,0.63,29.8,-,-,74.03,-
141,新北市,2017/10/11,林口,3.3,0.18,-,17.3,25,13,13.6,5.16,8.45,-,-,-,3.67,3.14,26.68,-,-,82.68,-
142,新北市,2017/10/11,萬里,2.9,0.07,-,21.7,34,11,4.49,1.56,2.92,-,-,-,3.61,3.24,28,0.83,5.2,83.52,59.38
143,新北市,2017/10/10,板橋,1.6,0.23,-,14,17,4,12.14,3.34,8.79,1.86,0.069,1.791,2.53,2,30.79,0,0,67.19,0
144,新北市,2017/10/10,三重,1.9,0.81,-,-,34,7,57.77,44.92,12.85,2.189,0.251,1.938,-,-,30.68,-,-,65.79,-
145,新北市,2017/10/10,菜寮,1.3,0.22,-,15.5,20,5,7.89,1.84,6.05,-,-,-,4.05,3.59,30.35,-,-,71.14,-
146,新北市,2017/10/10,永和,0.4,0.22,-,16.6,12,5,7.32,3.19,4.13,1.836,0.057,1.779,3.07,2.83,31.05,-,-,69.4,-
147,新北市,2017/10/10,新莊,1.6,0.21,-,15.3,14,3,8.72,2.22,6.5,-,-,-,4.51,4.21,30.8,-,-,62.56,-
148,新北市,2017/10/10,新店,1.7,0.15,-,17.5,16,4,5.22,1.98,3.24,-,-,-,2.99,2.59,30.12,-,-,69.33,-
149,新北市,2017/10/10,淡水,3,0.1,-,15.3,17,5,4.95,1.15,3.8,-,-,-,2.18,-,30.41,-,-,68.35,-
150,新北市,2017/10/10,汐止,1.8,0.2,-,15.3,13,5,7.07,1.64,5.45,-,-,-,2.48,2.01,29.63,-,-,78.46,-
151,新北市,2017/10/10,土城,2.1,0.2,-,16.4,18,5,6.71,1.14,5.55,1.879,0.053,1.826,1.88,0.7,30.92,-,-,69.03,-
152,新北市,2017/10/10,林口,1.3,0.14,-,17.2,24,13,8.22,2.26,5.96,-,-,-,4.18,3.58,27.59,-,-,79.91,-
153,新北市,2017/10/10,萬里,1.4,0.11,-,16.5,30,10,5.07,2.12,2.96,-,-,-,2.08,1.25,28.31,0.5,4.8,84.92,67.84
154,新北市,2017/10/09,板橋,2.1,0.23,-,13.8,18,4,13.85,4.8,9.05,1.859,0.071,1.788,2.5,1.85,30.86,0,0,66.53,0
155,新北市,2017/10/09,三重,1.9,0.72,-,-,35,8,51.45,38.71,12.73,2.142,0.229,1.913,-,-,30.76,-,-,64.3,-
156,新北市,2017/10/09,菜寮,1.8,0.2,-,15.4,22,5,8.41,1.95,6.45,-,-,-,4.38,4,30.6,-,-,68.86,-
157,新北市,2017/10/09,永和,1.2,0.21,-,15.8,16,7,6.45,2.53,3.92,1.81,0.046,1.764,3.36,3,31.19,-,-,67.05,-
158,新北市,2017/10/09,新莊,1.4,0.2,-,14.7,16,3,8.2,1.55,6.62,-,-,-,4.76,4.26,30.94,-,-,61.32,-
159,新北市,2017/10/09,新店,1.4,0.19,-,15.7,19,5,7.98,2.33,5.65,-,-,-,2.65,2.19,29.93,-,-,70.39,-
160,新北市,2017/10/09,淡水,1.7,0.11,-,15.8,19,4,2.73,0.56,2.1,-,-,-,-,-,-,-,-,-,-
161,新北市,2017/10/09,汐止,1.1,0.17,-,15.7,17,7,7.85,2.73,5.11,-,-,-,2.43,2.12,29.84,-,-,76.73,-
162,新北市,2017/10/09,土城,1,0.21,-,15.1,17,5,8.36,2.04,6.32,1.877,0.058,1.819,1.88,0.65,30.74,-,-,70.65,-
163,新北市,2017/10/09,林口,1,0.12,-,16.3,27,11,7.2,1.77,5.42,-,-,-,4.05,3.4,27.96,-,-,76.92,-
164,新北市,2017/10/09,萬里,2.5,0.11,-,17.2,28,10,4.93,2.31,2.62,-,-,-,2.9,2.15,29.08,0.6,4.78,81.28,142.9
165,新北市,2017/10/08,板橋,2.9,0.29,-,26.5,24,6,10.7,2.07,8.63,1.903,0.07,1.833,3.65,3.18,28.72,1,5.7,79.06,7.33
166,新北市,2017/10/08,三重,4.8,0.9,-,-,42,11,61.68,39.86,21.83,2.227,0.255,1.972,-,-,28.7,-,-,74.19,-
167,新北市,2017/10/08,菜寮,4.4,0.26,-,25.6,28,11,11.1,1.51,9.58,-,-,-,3.81,3.37,28.45,-,-,81.7,-
168,新北市,2017/10/08,永和,1.7,0.33,-,27.9,23,10,9.8,2.84,6.97,1.879,0.063,1.817,3.43,3.23,28.94,-,-,79.1,-
169,新北市,2017/10/08,新莊,4.9,0.23,-,27.1,21,8,9.71,1.36,8.34,-,-,-,5.92,5.54,28.91,-,-,72.22,-
170,新北市,2017/10/08,新店,1.4,0.23,-,25.1,22,8,8.26,2.08,6.18,-,-,-,2.21,1.45,29.05,-,-,76.95,-
171,新北市,2017/10/08,淡水,1.5,0.15,-,26,19,7,3.57,0.75,2.78,-,-,-,1.78,-,28.26,-,-,78.68,-
172,新北市,2017/10/08,汐止,1.5,0.22,-,30.4,18,10,7.05,1.89,5.16,-,-,-,3.18,2.98,27.22,-,-,91,-
