序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2017/10/14,松山,2.2,0.14,411.63,7.4,10,8,39.17,19.1,20.08,1.759,0.063,1.696,2.36,2.02,26.03,-,-,89.64,-
2,臺北市,2017/10/14,古亭,1.3,0.2,-,14.6,7,6,14.86,3.95,10.91,1.798,0.04,1.758,3.1,2.87,26.43,-,-,91.49,-
3,臺北市,2017/10/14,中山,1.3,0.36,-,8.7,7,8,23.48,9.86,13.62,1.937,0.116,1.821,0.83,0.42,26.38,-,-,98.45,-
4,臺北市,2017/10/14,大同,2.1,0.41,-,-,24,3,31.02,17.34,13.68,1.917,0.126,1.791,-,-,-,-,-,-,-
5,臺北市,2017/10/14,萬華,2.6,0.39,-,11,13,5,30.68,16.31,14.37,-,-,-,1.53,0.7,27.34,-,-,90.1,-
6,臺北市,2017/10/14,陽明,2.7,0.05,403.2,20.9,5,-,2.42,0.71,1.68,-,-,-,4.9,-,21.81,8.7,5.16,98.65,3.71
7,臺北市,2017/10/14,士林,3,0.06,-,19.8,10,6,6,1.59,4.41,-,-,-,3.61,2.99,27.85,-,-,83.63,-
8,臺北市,2017/10/13,松山,2.2,0.2,412.31,26.1,18,9,23.85,7.02,16.81,1.78,0.043,1.738,3.43,2.88,24.65,-,-,87.76,-
9,臺北市,2017/10/13,古亭,2.6,0.29,-,28.8,14,10,17.14,2.94,14.21,1.85,0.039,1.812,3.45,3,24.77,-,-,92.6,-
10,臺北市,2017/10/13,中山,1.4,0.41,-,23.8,25,9,21.21,5.93,15.28,1.966,0.131,1.835,1,0.36,25.56,-,-,92.96,-
11,臺北市,2017/10/13,大同,1.3,0.57,-,-,38,5,35.36,18.27,17.09,1.97,0.142,1.828,-,-,-,-,-,-,-
12,臺北市,2017/10/13,萬華,1.8,0.47,-,24.9,24,6,30.02,12.8,17.22,-,-,-,1.79,0.88,25.89,-,-,87.77,-
13,臺北市,2017/10/13,陽明,1.3,0.12,406.45,38,5,2,1.37,0.79,0.54,-,-,-,3.8,-,19.97,14.8,4.64,98.87,38.61
14,臺北市,2017/10/13,士林,0.8,0.15,-,41,14,8,3.07,0.5,2.59,-,-,-,6.01,5.02,26.73,-,-,80.29,-
15,臺北市,2017/10/12,松山,3.4,0.2,409.63,16.9,15,8,19.04,5.88,13.16,1.783,0.059,1.723,2.33,1.69,25.39,-,-,88.89,-
16,臺北市,2017/10/12,古亭,3.1,0.24,-,17.1,10,9,18.26,5.36,12.89,1.863,0.058,1.806,2.78,2.31,25.94,-,-,89.78,-
17,臺北市,2017/10/12,中山,1.3,0.48,-,10.9,20,8,28.77,11.2,17.58,1.997,0.146,1.852,0.82,0.39,25.99,-,-,96.02,-
18,臺北市,2017/10/12,大同,2.5,1.07,-,-,36,-,61.78,41.4,20.38,2.178,0.335,1.842,-,-,-,-,-,-,-
19,臺北市,2017/10/12,萬華,4.1,0.58,-,11.3,20,7,41.51,22.25,19.26,-,-,-,1.34,0.61,26.58,-,-,89.35,-
20,臺北市,2017/10/12,陽明,1.6,0.06,404.47,26.4,6,3,1.11,0.79,0.5,-,-,-,3.04,-,20.4,2.81,4.6,97.86,29.58
21,臺北市,2017/10/12,士林,0.9,0.18,-,24.5,21,8,9,2.96,6.04,-,-,-,3.13,2.23,27.46,-,-,79.23,-
22,臺北市,2017/10/11,松山,2.4,0.21,407.11,14.1,18,7,16.14,5.97,10.18,1.802,0.075,1.727,2.35,1.83,28.16,-,-,77.78,-
23,臺北市,2017/10/11,古亭,1.2,0.24,-,16,16,8,12.41,4.88,7.53,1.861,0.046,1.816,3.3,2.85,29.1,-,-,75.84,-
