序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1995/10/31,松山,4.4,0.84,29.7,-,82,31,4.01,26.6,-,-,-,22.53,-,-,66.0
2,臺北市,1995/10/31,古亭,2.9,0.8,28.6,-,86,35,6.84,27.77,2.26,0.22,2.04,23.02,-,-,68.0
3,臺北市,1995/10/31,中山,4.6,1.02,24.3,-,90,44,10.08,34.05,2.54,0.35,2.18,22.92,-,-,70.0
4,臺北市,1995/10/31,大同,11.2,3.58,-,-,85,179,122.9,55.73,3.9,1.63,2.27,23.58,-,-,67.0
5,臺北市,1995/10/31,萬華,-,0.96,29.3,-,82,29,2.21,27.14,-,-,-,22.92,-,-,66.0
6,臺北市,1995/10/31,陽明,2.9,0.37,55.3,-,-,2,0.11,2.09,-,-,-,15.36,-,80.0,56.0
7,臺北市,1995/10/31,士林,4.4,0.86,36.7,-,86,27,7.04,20.17,-,-,-,22.64,-,-,68.0
8,臺北市,1995/10/30,松山,7.8,1.15,10.9,-,51,49,15.45,33.57,-,-,-,23.42,-,-,51.0
9,臺北市,1995/10/30,古亭,4.3,0.97,16.4,-,43,42,14.39,28.01,2.13,0.28,1.85,23.94,-,-,43.0
10,臺北市,1995/10/30,中山,5.2,1.32,12.3,-,49,55,20.83,34.4,2.54,0.47,2.07,24.24,-,-,49.0
11,臺北市,1995/10/30,大同,13.4,5.11,-,-,72,215,163.71,51.15,4.7,2.54,2.16,25.07,-,-,78.0
12,臺北市,1995/10/30,萬華,-,1.21,15.4,-,40,41,9.48,31.86,-,-,-,24.01,-,-,40.0
13,臺北市,1995/10/30,陽明,0.3,0.23,44.2,-,-,0,0.07,0.36,-,-,-,17.52,-,99.0,43.0
14,臺北市,1995/10/30,士林,-,0.73,24.6,-,30,32,10.82,21.36,-,-,-,24.59,-,-,39.0
15,臺北市,1995/10/29,松山,8.4,0.71,25.2,-,38,31,3.87,27.39,-,-,-,22.9,-,-,38.0
16,臺北市,1995/10/29,古亭,6.8,0.65,25.6,-,41,34,6.5,27.15,1.97,0.18,1.79,23.28,-,-,41.0
17,臺北市,1995/10/29,中山,2.3,0.74,27.8,-,47,32,6.55,25.82,2.27,0.23,2.04,23.45,-,-,47.0
18,臺北市,1995/10/29,大同,9.8,3.9,-,-,62,189,135.36,53.56,3.84,1.69,2.15,24.18,-,-,59.0
19,臺北市,1995/10/29,萬華,5.5,0.8,28.9,-,37,28,3.02,24.97,-,-,-,23.31,-,-,37.0
20,臺北市,1995/10/29,陽明,0.1,0.23,50.1,-,-,1,0.28,0.72,-,-,-,15.89,-,97.0,45.0
21,臺北市,1995/10/29,士林,-,0.45,41.1,-,29,11,0.96,10.52,-,-,-,23.86,-,-,42.0
22,臺北市,1995/10/28,松山,8.6,1.0,14.0,-,50,51,13.23,37.28,-,-,-,23.03,-,-,50.0
23,臺北市,1995/10/28,古亭,3.6,0.77,21.4,-,40,37,10.24,27.05,2.18,0.24,1.94,23.33,-,-,40.0
24,臺北市,1995/10/28,中山,4.8,1.05,18.0,-,43,47,13.19,34.07,2.43,0.34,2.09,23.69,-,-,43.0
25,臺北市,1995/10/28,大同,15.4,4.97,-,-,66,231,172.07,58.47,4.68,2.56,2.12,24.44,-,-,73.0
26,臺北市,1995/10/28,萬華,5.7,0.99,21.2,-,38,36,6.15,30.2,-,-,-,23.22,-,-,38.0
27,臺北市,1995/10/28,陽明,0.1,0.16,48.6,-,13,1,0.03,0.67,-,-,-,15.94,-,100.0,46.0
28,臺北市,1995/10/28,士林,0.3,0.44,37.0,-,26,12,1.25,10.52,-,-,-,23.7,-,-,36.0
29,臺北市,1995/10/27,松山,7.1,1.02,13.0,-,49,49,14.66,33.96,-,-,-,22.5,-,-,49.0
30,臺北市,1995/10/27,古亭,3.0,0.83,17.6,-,36,40,12.87,27.5,2.16,0.25,1.9,22.83,-,-,36.0
31,臺北市,1995/10/27,中山,3.3,0.88,18.1,-,40,42,12.61,29.07,2.41,0.3,2.11,23.08,-,-,40.0
32,臺北市,1995/10/27,大同,12.8,4.57,-,-,60,205,153.91,50.75,4.46,2.48,1.98,23.76,-,-,66.0
33,臺北市,1995/10/27,萬華,5.6,0.96,17.8,-,37,37,7.45,29.71,-,-,-,22.64,-,-,37.0
34,臺北市,1995/10/27,陽明,0.1,0.26,43.9,-,12,1,0.05,0.64,-,-,-,15.08,-,100.0,39.0
35,臺北市,1995/10/27,士林,0.3,0.4,35.1,-,31,11,1.73,9.25,-,-,-,23.42,-,-,35.0
36,臺北市,1995/10/26,松山,7.4,1.01,11.0,-,32,48,15.02,33.29,-,-,-,21.3,-,-,33.0
