序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,1999/02/28,松山,2.6,0.36,25.1,-,-,-,34.04,7.84,26.2,-,-,-,15.71,-,-,34.0,-
2,臺北市,1999/02/28,古亭,2.5,0.47,28.3,-,34,20,27.68,5.59,22.09,2.026,0.19,1.83,15.6,-,-,36.0,-
3,臺北市,1999/02/28,中山,2.9,0.49,28.2,-,44,-,30.31,5.33,24.99,-,-,-,16.08,-,-,44.0,-
4,臺北市,1999/02/28,大同,5.1,2.34,-,-,58,-,169.03,122.05,46.99,3.383,1.12,2.26,17.18,-,-,54.0,-
5,臺北市,1999/02/28,萬華,2.3,-,-,-,39,-,25.91,2.4,23.52,-,-,-,16.68,-,-,39.0,-
6,臺北市,1999/02/28,陽明,0.5,0.17,48.4,-,13,-,0.99,0.04,0.95,-,-,-,8.59,-,99.0,43.0,-
7,臺北市,1999/02/28,士林,0.5,0.23,29.8,-,33,-,10.94,1.09,9.86,-,-,-,16.03,-,-,33.0,-
8,臺北市,1999/02/27,松山,2.3,0.61,27.5,-,-,-,39.5,15.77,23.73,-,-,-,17.02,-,-,36.0,-
9,臺北市,1999/02/27,古亭,1.7,0.75,23.6,-,35,27,34.89,9.76,25.13,2.053,0.19,1.87,17.19,-,-,35.0,-
10,臺北市,1999/02/27,中山,1.8,0.86,25.7,-,50,-,44.32,16.2,28.12,2.75,0.28,2.47,18.01,-,-,50.0,-
11,臺北市,1999/02/27,大同,4.2,2.79,-,-,54,-,167.14,116.62,50.51,3.612,1.25,2.36,18.98,-,-,52.0,-
12,臺北市,1999/02/27,萬華,1.1,-,-,-,39,-,27.06,2.86,24.2,-,-,-,18.46,-,-,39.0,-
13,臺北市,1999/02/27,陽明,1.0,0.23,45.9,-,19,-,2.75,0.05,2.71,-,-,-,10.77,-,98.0,43.0,-
14,臺北市,1999/02/27,士林,1.1,0.64,22.9,-,29,-,25.23,9.77,15.46,-,-,-,17.75,-,-,29.0,-
15,臺北市,1999/02/26,松山,8.2,1.78,25.8,-,-,-,114.31,49.92,64.39,-,-,-,23.27,-,-,106.0,-
16,臺北市,1999/02/26,古亭,8.0,1.95,20.7,-,97,60,104.35,50.73,53.63,3.381,1.1,2.28,23.04,-,-,74.0,-
17,臺北市,1999/02/26,中山,8.6,1.85,22.0,-,119,-,106.79,43.98,62.81,-,-,-,23.44,-,-,99.0,-
18,臺北市,1999/02/26,大同,10.5,3.22,-,-,121,-,171.35,102.56,68.8,4.54,1.51,3.03,24.78,-,-,86.0,-
19,臺北市,1999/02/26,萬華,9.0,1.42,-,-,118,-,94.77,42.22,52.54,-,-,-,24.23,-,-,84.0,-
20,臺北市,1999/02/26,陽明,4.2,0.35,54.7,-,27,-,8.59,0.16,8.43,-,-,-,18.92,-,85.0,73.0,-
21,臺北市,1999/02/26,士林,6.4,1.18,15.5,-,69,-,60.83,21.16,39.66,-,-,-,22.91,-,-,65.0,-
22,臺北市,1999/02/25,松山,7.3,1.26,14.8,-,-,-,79.07,40.02,39.04,-,-,-,22.06,-,-,29.0,-
23,臺北市,1999/02/25,古亭,8.0,1.35,17.7,-,34,29,64.01,31.42,32.59,2.337,0.48,1.85,21.77,-,-,34.0,-
24,臺北市,1999/02/25,中山,6.9,1.19,16.9,-,38,-,91.03,42.73,46.1,-,-,-,22.35,-,-,38.0,-
25,臺北市,1999/02/25,大同,9.9,4.28,-,-,69,-,211.66,154.8,56.86,4.418,2.01,2.41,23.67,-,-,69.0,-
26,臺北市,1999/02/25,萬華,6.6,1.48,18.6,-,34,-,63.65,28.68,34.96,-,-,-,22.92,-,-,34.0,-
27,臺北市,1999/02/25,陽明,0.8,0.26,49.6,-,13,-,1.68,0.15,1.53,-,-,-,17.37,-,91.0,47.0,-
28,臺北市,1999/02/25,士林,3.3,0.95,18.2,-,31,-,42.07,16.44,25.63,-,-,-,22.5,-,-,31.0,-
29,臺北市,1999/02/24,松山,6.5,1.47,18.8,-,-,-,90.14,41.91,48.23,-,-,-,21.29,-,-,57.0,-
30,臺北市,1999/02/24,古亭,6.5,1.44,16.9,-,73,42,77.48,37.53,39.95,2.601,0.61,1.99,20.31,-,-,61.0,-
31,臺北市,1999/02/24,中山,6.6,1.63,21.2,-,85,-,81.06,39.9,41.17,-,-,-,21.0,-,-,67.0,-
32,臺北市,1999/02/24,大同,9.4,3.76,-,-,111,-,185.05,128.73,56.31,5.111,2.19,2.92,22.06,-,-,81.0,-
33,臺北市,1999/02/24,萬華,6.4,1.6,15.5,-,87,-,80.58,39.18,41.4,-,-,-,21.7,-,-,68.0,-
34,臺北市,1999/02/24,陽明,1.9,0.21,55.4,-,20,-,3.03,0.16,2.87,-,-,-,16.38,-,86.0,53.0,-
35,臺北市,1999/02/24,士林,4.0,1.21,-,-,53,-,57.66,30.65,27.01,-,-,-,20.65,-,-,51.0,-
36,臺北市,1999/02/23,松山,4.0,1.16,16.6,-,-,-,77.11,35.65,42.34,-,-,-,20.46,-,-,68.0,-
37,臺北市,1999/02/23,古亭,4.0,1.44,17.9,-,-,-,79.13,37.3,41.83,2.678,0.67,2.01,19.22,-,-,74.0,-
38,臺北市,1999/02/23,中山,3.0,1.38,20.3,-,52,-,-,-,-,-,-,-,20.13,-,-,71.0,-
39,臺北市,1999/02/23,大同,4.2,3.05,-,-,70,-,161.48,108.95,52.53,-,-,-,21.49,-,-,60.0,-
40,臺北市,1999/02/23,萬華,3.3,1.34,17.6,-,47,-,63.38,23.3,40.09,-,-,-,21.2,-,-,70.0,-
41,臺北市,1999/02/23,陽明,0.8,0.21,55.0,-,13,-,2.22,0.13,2.08,-,-,-,16.61,-,87.0,67.0,-
42,臺北市,1999/02/23,士林,2.2,0.88,15.5,-,32,-,44.55,17.13,27.43,-,-,-,19.37,-,-,42.0,-
43,臺北市,1999/02/22,松山,2.7,0.76,15.9,-,38,-,59.05,18.03,41.03,-,-,-,15.27,-,-,38.0,-
44,臺北市,1999/02/22,古亭,2.6,0.8,23.3,-,-,-,42.7,11.07,31.63,2.185,0.37,1.82,14.72,-,-,36.0,-
45,臺北市,1999/02/22,中山,1.6,0.88,20.6,-,24,-,-,-,-,-,-,-,15.49,-,-,30.0,-
46,臺北市,1999/02/22,大同,3.9,4.8,-,-,60,-,256.16,193.22,62.94,-,-,-,16.82,-,-,66.0,-
47,臺北市,1999/02/22,萬華,2.0,0.87,22.7,-,16,-,37.69,4.05,33.64,-,-,-,16.16,-,-,34.0,-
48,臺北市,1999/02/22,陽明,0.2,0.24,54.1,-,12,-,0.85,0.07,0.77,-,-,-,9.91,-,99.0,49.0,-
49,臺北市,1999/02/22,士林,0.9,0.54,26.2,-,14,-,22.05,4.21,17.84,-,-,-,16.03,-,-,32.0,-
50,臺北市,1999/02/21,松山,1.2,0.48,23.8,-,29,-,40.73,8.48,32.25,-,-,-,12.26,-,-,29.0,-
51,臺北市,1999/02/21,古亭,1.0,0.5,30.8,-,-,-,27.92,4.28,23.64,2.022,0.18,1.84,11.57,-,-,35.0,-
52,臺北市,1999/02/21,中山,1.1,0.72,24.9,-,33,-,-,-,-,-,-,-,12.11,-,-,39.0,-
53,臺北市,1999/02/21,大同,2.4,2.53,-,-,56,-,191.0,136.16,54.84,3.369,1.19,2.18,13.03,-,-,53.0,-
54,臺北市,1999/02/21,萬華,1.2,0.58,31.8,-,23,-,24.64,1.24,23.41,-,-,-,12.92,-,-,34.0,-
55,臺北市,1999/02/21,陽明,0.2,0.12,55.6,-,12,-,1.5,0.09,1.41,-,-,-,5.51,-,100.0,49.0,-
56,臺北市,1999/02/21,士林,0.3,0.35,33.9,-,19,-,12.77,0.69,12.08,-,-,-,12.33,-,-,34.0,-
57,臺北市,1999/02/20,松山,0.7,0.46,19.8,-,30,-,40.97,9.19,31.78,-,-,-,11.54,-,-,30.0,-
58,臺北市,1999/02/20,古亭,0.6,0.63,22.0,-,-,-,37.84,8.72,29.12,2.065,0.23,1.84,10.72,-,-,29.0,-
59,臺北市,1999/02/20,中山,1.0,0.7,19.3,-,29,-,-,-,-,-,-,-,11.49,-,-,29.0,-
60,臺北市,1999/02/20,大同,2.6,2.81,-,-,44,-,214.02,157.47,56.55,3.472,1.14,2.33,12.41,-,-,44.0,-
61,臺北市,1999/02/20,萬華,1.1,0.73,21.9,-,27,-,34.44,3.58,30.86,-,-,-,12.07,-,-,28.0,-
62,臺北市,1999/02/20,陽明,0.2,0.15,49.8,-,13,-,1.4,0.07,1.33,-,-,-,5.16,-,100.0,46.0,-
63,臺北市,1999/02/20,士林,0.9,0.45,24.6,-,19,-,19.4,1.66,17.74,-,-,-,11.49,-,-,28.0,-
64,臺北市,1999/02/19,松山,1.3,0.23,35.1,-,80,-,16.88,2.79,14.09,-,-,-,12.69,-,-,65.0,-
65,臺北市,1999/02/19,古亭,1.1,0.42,32.3,-,-,-,20.75,3.64,17.11,2.019,0.21,1.81,12.03,-,-,36.0,-
66,臺北市,1999/02/19,中山,1.0,0.47,33.4,-,95,-,20.2,2.63,17.57,-,-,-,12.44,-,-,73.0,-
67,臺北市,1999/02/19,大同,2.1,1.46,-,-,95,-,113.49,76.12,37.37,2.923,0.65,2.27,13.35,-,-,73.0,-
68,臺北市,1999/02/19,萬華,1.1,0.55,31.2,-,81,-,19.41,1.53,17.87,-,-,-,13.36,-,-,65.0,-
69,臺北市,1999/02/19,陽明,0.7,0.21,45.6,-,56,-,1.45,0.15,1.31,-,-,-,4.24,-,97.0,53.0,-
70,臺北市,1999/02/19,士林,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,臺北市,1999/02/18,松山,1.0,0.78,29.3,-,49,-,48.03,28.5,19.53,-,-,-,18.89,-,-,55.0,-
72,臺北市,1999/02/18,古亭,0.3,0.68,28.8,-,-,-,28.29,8.0,20.29,2.102,0.16,1.94,18.55,-,-,62.0,-
73,臺北市,1999/02/18,中山,1.1,0.81,30.5,-,44,-,39.38,15.79,23.59,-,-,-,19.29,-,-,68.0,-
74,臺北市,1999/02/18,大同,2.9,2.21,-,-,64,-,140.65,96.81,43.84,3.493,0.88,2.61,20.41,-,-,57.0,-
75,臺北市,1999/02/18,萬華,0.6,0.98,29.0,-,49,-,31.0,9.99,21.01,-,-,-,20.38,-,-,69.0,-
76,臺北市,1999/02/18,陽明,0.6,0.21,53.6,-,14,-,1.94,0.34,1.61,-,-,-,13.48,-,86.0,53.0,-
77,臺北市,1999/02/18,士林,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,臺北市,1999/02/17,松山,2.7,0.64,21.7,-,40,-,42.24,16.57,25.67,-,-,-,19.82,-,-,40.0,-
79,臺北市,1999/02/17,古亭,1.9,0.87,23.1,-,-,-,45.46,17.3,28.16,2.281,0.26,2.02,19.38,-,-,40.0,-
80,臺北市,1999/02/17,中山,2.1,0.95,18.5,-,43,-,53.56,22.65,30.91,-,-,-,19.46,-,-,43.0,-
81,臺北市,1999/02/17,大同,3.5,2.14,-,-,44,-,133.86,92.42,41.44,4.009,0.94,3.07,21.0,-,-,45.0,-
82,臺北市,1999/02/17,萬華,1.9,0.97,21.2,-,39,-,45.13,14.35,30.78,-,-,-,21.23,-,-,42.0,-
