序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1994/11/30,松山,13.7,1.26,6.9,-,61,64,29.01,35.34,-,-,-,22.13,-,-,55.0
2,臺北市,1994/11/30,古亭,5.3,1.17,10.2,-,34,51,20.89,29.78,2.31,0.36,1.95,22.49,-,-,34.0
3,臺北市,1994/11/30,中山,10.6,1.25,9.9,-,43,57,23.18,34.0,2.35,0.3,2.05,22.62,-,-,43.0
4,臺北市,1994/11/30,大同,18.6,6.06,-,-,95,292,231.88,60.22,5.2,2.89,2.32,23.3,-,-,94.0
5,臺北市,1994/11/30,萬華,6.5,1.33,12.8,-,39,46,14.89,30.67,-,-,-,22.68,-,-,39.0
6,臺北市,1994/11/30,陽明,7.3,0.27,35.5,-,12,5,0.3,5.18,-,-,-,15.12,-,93.0,34.0
7,臺北市,1994/11/30,士林,13.1,0.56,24.0,-,26,22,4.41,17.27,-,-,-,22.77,-,-,28.0
8,臺北市,1994/11/29,松山,9.8,1.57,7.5,-,79,70,35.98,34.23,-,-,-,20.55,-,-,65.0
9,臺北市,1994/11/29,古亭,6.3,1.57,6.8,-,62,62,29.35,32.86,3.16,0.34,2.82,20.86,-,-,56.0
10,臺北市,1994/11/29,中山,9.9,1.8,8.8,-,78,61,26.42,34.53,2.97,0.65,2.32,21.0,-,-,64.0
11,臺北市,1994/11/29,大同,15.7,6.1,-,-,145,288,228.6,58.93,5.82,3.12,2.7,21.68,-,-,97.0
12,臺北市,1994/11/29,萬華,5.3,1.41,9.0,-,55,46,14.61,31.85,-,-,-,20.96,-,-,53.0
13,臺北市,1994/11/29,陽明,0.4,0.47,39.8,-,17,2,0.02,1.53,-,-,-,14.64,-,87.0,36.0
14,臺北市,1994/11/29,士林,3.8,1.18,18.5,-,60,44,21.24,22.3,-,-,-,21.06,-,-,55.0
15,臺北市,1994/11/28,松山,11.0,2.23,4.8,-,81,70,30.48,38.45,-,-,-,21.73,-,-,65.0
16,臺北市,1994/11/28,古亭,10.2,2.27,2.8,-,78,93,53.64,38.89,3.81,1.08,2.73,21.88,-,-,64.0
17,臺北市,1994/11/28,中山,10.3,1.8,6.2,-,77,74,34.84,38.75,3.32,0.82,2.5,22.08,-,-,63.0
18,臺北市,1994/11/28,大同,10.5,3.62,-,-,102,151,103.77,46.98,4.86,2.05,2.8,22.24,-,-,76.0
19,臺北市,1994/11/28,萬華,11.3,1.77,5.3,-,75,70,33.06,36.71,-,-,-,21.83,-,-,63.0
