序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1998/05/31,松山,4.8,0.66,26.3,-,43,-,26.74,5.71,21.03,-,-,-,26.78,-,-,43.0
2,臺北市,1998/05/31,古亭,4.7,0.74,23.2,-,45,42,33.71,10.25,23.46,2.286,0.31,1.98,27.26,-,-,45.0
3,臺北市,1998/05/31,中山,6.5,0.74,27.0,-,55,-,32.68,7.03,25.64,2.155,0.14,2.02,27.78,-,-,53.0
4,臺北市,1998/05/31,大同,10.9,3.13,-,-,-,-,141.01,99.3,41.71,3.855,1.47,2.38,28.72,-,-,53.0
5,臺北市,1998/05/31,萬華,3.7,0.73,27.1,-,51,-,24.2,3.4,20.8,-,-,-,26.8,-,-,50.0
6,臺北市,1998/05/31,陽明,1.9,0.26,50.8,-,21,-,3.24,0.31,2.92,-,-,-,23.01,-,82.0,69.0
7,臺北市,1998/05/31,士林,4.2,0.53,24.5,-,51,-,19.67,2.23,17.44,-,-,-,28.12,-,-,51.0
8,臺北市,1998/05/30,松山,2.3,0.53,29.8,-,28,-,21.01,2.48,18.53,-,-,-,25.16,-,-,35.0
9,臺北市,1998/05/30,古亭,3.2,0.58,26.8,-,35,34,25.45,4.28,21.17,2.084,0.18,1.9,25.34,-,-,35.0
10,臺北市,1998/05/30,中山,1.8,0.64,30.7,-,40,-,24.71,3.57,21.13,2.286,0.1,2.19,25.81,-,-,40.0
11,臺北市,1998/05/30,大同,6.3,2.74,-,-,-,-,121.12,80.4,40.73,3.528,1.14,2.38,26.71,-,-,36.0
12,臺北市,1998/05/30,萬華,2.1,0.65,31.3,-,39,-,20.34,2.13,18.21,-,-,-,25.1,-,-,39.0
13,臺北市,1998/05/30,陽明,0.4,0.17,51.8,-,19,-,0.99,0.16,0.84,-,-,-,19.4,-,90.0,65.0
14,臺北市,1998/05/30,士林,1.8,0.59,26.2,-,41,-,25.22,6.2,19.03,-,-,-,25.82,-,-,41.0
15,臺北市,1998/05/29,松山,2.5,1.11,15.7,-,28,-,49.26,15.69,33.56,-,-,-,24.4,-,-,29.0
16,臺北市,1998/05/29,古亭,2.1,1.09,17.1,-,28,25,49.71,14.65,35.06,2.483,0.43,2.05,24.48,-,-,30.0
17,臺北市,1998/05/29,中山,2.6,1.36,13.1,-,35,-,56.92,16.24,40.68,2.692,0.5,2.19,25.01,-,-,35.0
18,臺北市,1998/05/29,大同,8.7,4.08,-,-,-,-,144.97,101.89,43.08,4.621,1.93,2.69,25.68,-,-,90.0
19,臺北市,1998/05/29,萬華,1.6,0.94,21.0,-,21,-,29.69,3.25,26.44,-,-,-,24.19,-,-,28.0
20,臺北市,1998/05/29,陽明,0.2,0.15,45.1,-,13,-,0.33,0.03,0.31,-,-,-,19.45,-,99.0,43.0
21,臺北市,1998/05/29,士林,2.0,0.93,10.9,-,38,-,41.39,8.91,32.48,-,-,-,24.99,-,-,38.0
22,臺北市,1998/05/28,松山,2.7,0.88,26.1,-,31,-,45.7,13.26,32.43,-,-,-,26.58,-,-,84.0
23,臺北市,1998/05/28,古亭,2.1,1.2,21.0,-,29,32,53.96,20.01,33.95,2.546,0.52,2.02,26.81,-,-,70.0
