序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1996/07/31,松山,0.0,-,13.1,-,27,7,4.09,2.51,-,-,-,26.99,-,-,27.0
2,臺北市,1996/07/31,古亭,0.1,0.21,15.6,-,17,4,0.54,3.49,1.81,0.02,1.79,26.16,-,-,18.0
3,臺北市,1996/07/31,中山,0.1,0.29,16.2,-,19,5,1.11,3.82,1.76,0.03,1.72,26.9,-,-,19.0
4,臺北市,1996/07/31,大同,0.5,0.57,-,-,19,15,8.66,6.05,1.6,0.03,1.57,26.32,-,-,19.0
5,臺北市,1996/07/31,萬華,0.1,0.34,12.4,-,17,8,2.12,5.82,-,-,-,26.96,-,-,17.0
6,臺北市,1996/07/31,陽明,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-
7,臺北市,1996/07/31,士林,-,0.21,16.6,-,29,2,0.45,1.35,-,-,-,26.84,-,-,29.0
8,臺北市,1996/07/30,松山,0.8,0.45,4.8,-,37,14,5.22,8.9,-,-,-,28.02,-,-,37.0
9,臺北市,1996/07/30,古亭,1.1,0.74,4.9,-,29,27,14.65,11.97,2.19,0.31,1.88,28.28,-,-,29.0
10,臺北市,1996/07/30,中山,1.5,0.85,4.9,-,35,28,15.4,12.54,2.2,0.28,1.92,28.27,-,-,35.0
11,臺北市,1996/07/30,大同,7.3,2.84,-,-,42,98,80.21,17.97,3.02,1.01,2.01,28.52,-,-,42.0
12,臺北市,1996/07/30,萬華,2.1,0.9,3.4,-,29,28,13.23,14.7,-,-,-,28.21,-,-,29.0
13,臺北市,1996/07/30,陽明,0.1,0.12,12.4,-,13,1,0.17,0.95,-,-,-,21.95,-,95.0,14.0
14,臺北市,1996/07/30,士林,0.5,0.49,6.7,-,49,18,10.01,7.7,-,-,-,28.15,-,-,49.0
15,臺北市,1996/07/29,松山,2.9,0.74,3.1,-,31,27,13.31,13.5,-,-,-,29.51,-,-,31.0
16,臺北市,1996/07/29,古亭,1.8,0.78,5.8,-,28,30,17.19,12.43,2.24,0.27,1.97,30.31,-,-,28.0
17,臺北市,1996/07/29,中山,2.3,0.74,5.0,-,34,31,16.55,14.1,2.2,0.22,1.98,29.47,-,-,34.0
18,臺北市,1996/07/29,大同,11.0,4.44,-,-,48,143,122.36,20.76,4.32,2.32,2.0,30.16,-,-,68.0
19,臺北市,1996/07/29,萬華,2.7,0.88,4.8,-,27,26,10.94,15.03,-,-,-,29.92,-,-,27.0
20,臺北市,1996/07/29,陽明,0.9,0.16,12.1,-,16,2,0.27,1.43,-,-,-,21.95,-,94.0,16.0
21,臺北市,1996/07/29,士林,2.7,0.4,7.2,-,33,14,6.3,7.55,-,-,-,29.59,-,-,33.0
22,臺北市,1996/07/28,松山,3.6,1.27,11.1,-,34,49,22.31,26.27,-,-,-,28.93,-,-,40.0
23,臺北市,1996/07/28,古亭,2.2,1.18,15.1,-,35,45,20.75,23.9,2.58,0.44,2.14,28.88,-,-,69.0
24,臺北市,1996/07/28,中山,4.2,1.59,16.3,-,42,64,31.83,32.28,3.2,0.63,2.56,28.86,-,-,74.0
25,臺北市,1996/07/28,大同,9.0,4.16,-,-,49,146,106.87,39.49,4.33,1.7,2.63,29.28,-,-,65.0
26,臺北市,1996/07/28,萬華,3.0,1.22,21.5,-,39,37,12.48,24.48,-,-,-,28.65,-,-,89.0
27,臺北市,1996/07/28,陽明,2.4,0.26,28.3,-,14,5,0.45,5.02,-,-,-,23.04,-,90.0,57.0
28,臺北市,1996/07/28,士林,1.7,1.26,19.1,-,49,45,22.37,22.37,-,-,-,28.32,-,-,75.0
29,臺北市,1996/07/27,松山,1.4,-,10.7,-,23,28,14.07,13.43,-,-,-,29.08,-,-,23.0
