序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1994/09/30,松山,16.8,1.33,17.6,-,99,75,24.92,50.45,-,-,-,23.28,-,-,74.0
2,臺北市,1994/09/30,古亭,10.4,1.33,20.5,-,76,66,20.1,45.64,2.61,0.34,2.27,22.54,-,-,63.0
3,臺北市,1994/09/30,中山,15.9,1.84,17.8,-,97,100,39.59,59.96,3.12,0.63,2.49,23.94,-,-,73.0
4,臺北市,1994/09/30,大同,24.2,-,-,-,145,289,205.14,83.64,5.83,3.0,2.83,25.0,-,-,105.0
5,臺北市,1994/09/30,萬華,11.8,0.99,30.1,-,61,36,3.95,32.45,-,-,-,23.67,-,-,55.0
6,臺北市,1994/09/30,陽明,4.9,0.26,69.6,-,50,2,0.03,2.36,-,-,-,19.49,-,53.0,77.0
7,臺北市,1994/09/30,士林,6.9,0.99,38.0,-,77,47,11.0,35.86,-,-,-,23.46,-,-,63.0
8,臺北市,1994/09/29,松山,4.6,1.14,24.9,-,78,64,21.37,42.47,-,-,-,23.57,-,-,64.0
9,臺北市,1994/09/29,古亭,3.0,1.27,23.9,-,58,58,19.73,38.24,2.51,0.36,2.15,22.92,-,-,53.0
10,臺北市,1994/09/29,中山,6.7,1.49,21.1,-,64,72,24.51,47.87,2.62,0.46,2.15,23.85,-,-,57.0
11,臺北市,1994/09/29,大同,11.4,3.33,-,-,96,206,145.64,59.91,4.82,2.38,2.44,24.54,-,-,73.0
12,臺北市,1994/09/29,萬華,5.3,0.91,30.7,-,64,34,4.12,29.83,-,-,-,23.43,-,-,57.0
13,臺北市,1994/09/29,陽明,1.6,0.17,60.8,-,16,2,0.04,1.91,-,-,-,16.8,-,74.0,59.0
14,臺北市,1994/09/29,士林,4.1,0.97,25.3,-,55,45,8.96,35.86,-,-,-,23.28,-,-,52.0
15,臺北市,1994/09/28,松山,3.0,1.06,24.4,-,78,49,14.18,34.78,-,-,-,23.86,-,-,64.0
16,臺北市,1994/09/28,古亭,2.4,1.14,23.3,-,56,51,15.43,35.56,2.29,0.25,2.03,22.25,-,-,53.0
17,臺北市,1994/09/28,中山,6.5,1.39,22.0,-,76,62,18.63,43.26,2.44,0.41,2.03,24.23,-,-,63.0
18,臺北市,1994/09/28,大同,13.3,4.29,-,-,114,222,161.09,60.62,4.48,2.02,2.46,25.15,-,-,82.0
19,臺北市,1994/09/28,萬華,6.5,1.02,24.4,-,82,36,5.63,30.71,-,-,-,23.98,-,-,66.0
20,臺北市,1994/09/28,陽明,1.3,0.22,57.6,-,19,3,0.11,2.39,-,-,-,16.9,-,82.0,55.0
21,臺北市,1994/09/28,士林,3.9,1.12,23.3,-,64,45,9.81,35.59,-,-,-,23.75,-,-,57.0
22,臺北市,1994/09/27,松山,3.9,0.97,30.0,-,75,47,15.44,31.44,-,-,-,24.42,-,-,63.0
23,臺北市,1994/09/27,古亭,3.1,1.33,21.4,-,63,54,17.38,36.76,2.43,0.33,2.09,23.46,-,-,56.0
24,臺北市,1994/09/27,中山,8.2,1.4,24.5,-,74,61,20.56,40.91,2.68,0.43,2.26,24.85,-,-,61.0
25,臺北市,1994/09/27,大同,13.6,4.39,-,-,112,216,152.75,62.96,4.8,2.28,2.51,25.58,-,-,81.0
26,臺北市,1994/09/27,萬華,7.5,1.26,23.1,-,67,42,7.97,33.54,-,-,-,24.49,-,-,59.0
27,臺北市,1994/09/27,陽明,0.8,0.29,57.1,-,22,2,0.06,1.75,-,-,-,17.02,-,88.0,59.0
28,臺北市,1994/09/27,士林,4.7,1.05,30.0,-,66,46,12.5,31.21,-,-,-,24.29,-,-,58.0
29,臺北市,1994/09/26,松山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,臺北市,1994/09/26,古亭,3.2,1.34,14.8,-,45,60,25.75,33.94,2.51,0.41,2.11,22.95,-,-,45.0
31,臺北市,1994/09/26,中山,4.3,1.31,15.3,-,48,69,30.08,38.8,2.9,0.44,2.46,24.08,-,-,48.0
32,臺北市,1994/09/26,大同,13.2,4.92,-,-,95,259,199.69,59.75,5.13,2.5,2.63,24.89,-,-,72.0
33,臺北市,1994/09/26,萬華,2.5,0.9,21.6,-,37,-,-,-,-,-,-,23.67,-,-,37.0
34,臺北市,1994/09/26,陽明,0.2,0.19,49.5,-,12,2,0.06,1.72,-,-,-,16.84,-,86.0,43.0
35,臺北市,1994/09/26,士林,2.9,1.02,18.5,-,39,50,18.07,29.3,-,-,-,23.33,-,-,39.0
36,臺北市,1994/09/25,松山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,臺北市,1994/09/25,古亭,3.9,0.94,20.2,-,42,49,16.38,32.17,3.13,0.26,2.86,23.54,-,-,42.0
38,臺北市,1994/09/25,中山,5.2,1.01,19.6,-,50,59,19.42,40.01,2.53,0.28,2.25,24.13,-,-,50.0
39,臺北市,1994/09/25,大同,13.1,3.46,-,-,82,221,163.43,57.94,4.05,1.54,2.5,24.81,-,-,66.0
