序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1997/06/30,松山,6.6,1.39,6.1,-,49,-,59.78,25.26,34.51,-,-,-,27.32,-,-,49.0
2,臺北市,1997/06/30,古亭,7.4,1.62,8.3,-,45,26,63.6,34.4,29.2,2.356,0.57,1.79,27.38,-,-,45.0
3,臺北市,1997/06/30,中山,9.3,1.54,6.8,-,48,-,65.02,30.74,34.27,2.974,0.61,2.37,27.52,-,-,48.0
4,臺北市,1997/06/30,大同,17.2,4.04,-,-,47,-,156.72,115.02,41.71,4.505,1.83,2.67,28.04,-,-,75.0
5,臺北市,1997/06/30,萬華,7.1,1.29,8.5,-,46,-,42.38,12.37,30.02,-,-,-,27.77,-,-,46.0
6,臺北市,1997/06/30,陽明,4.4,0.19,20.3,-,9,-,2.94,0.11,2.83,-,-,-,21.31,-,89.0,22.0
7,臺北市,1997/06/30,士林,5.5,1.18,7.2,-,45,-,51.41,22.89,28.52,-,-,-,26.75,-,-,45.0
8,臺北市,1997/06/29,松山,4.2,1.68,18.0,-,47,-,62.8,29.97,32.83,-,-,-,28.05,-,-,58.0
9,臺北市,1997/06/29,古亭,3.3,1.19,19.9,-,35,26,44.08,17.07,27.01,2.195,0.31,1.88,28.24,-,-,53.0
10,臺北市,1997/06/29,中山,6.5,1.73,16.7,-,46,-,64.94,26.23,38.7,3.011,0.66,2.35,28.15,-,-,64.0
11,臺北市,1997/06/29,大同,9.0,3.39,-,-,43,-,137.31,88.26,49.05,3.85,1.16,2.69,28.69,-,-,43.0
12,臺北市,1997/06/29,萬華,4.3,1.2,23.1,-,46,-,37.51,7.83,29.68,-,-,-,28.38,-,-,62.0
13,臺北市,1997/06/29,陽明,8.8,0.26,22.7,-,15,-,6.27,1.18,5.09,-,-,-,23.01,-,88.0,34.0
14,臺北市,1997/06/29,士林,3.5,1.34,16.5,-,40,-,49.9,16.92,32.98,-,-,-,27.53,-,-,54.0
15,臺北市,1997/06/28,松山,5.4,1.41,24.3,-,54,-,60.07,26.16,33.91,-,-,-,27.7,-,-,102.0
16,臺北市,1997/06/28,古亭,3.6,1.59,21.0,-,43,29,63.53,28.97,34.56,2.46,0.45,2.01,27.46,-,-,90.0
17,臺北市,1997/06/28,中山,7.3,1.85,19.8,-,51,-,78.29,35.71,42.57,3.212,0.76,2.45,27.45,-,-,72.0
18,臺北市,1997/06/28,大同,16.3,4.81,-,-,68,-,189.67,133.95,55.72,4.586,1.92,2.67,28.36,-,-,93.0
19,臺北市,1997/06/28,萬華,3.2,1.32,25.0,-,44,-,38.82,7.51,31.31,-,-,-,27.53,-,-,98.0
20,臺北市,1997/06/28,陽明,2.3,0.25,28.1,-,19,-,4.98,0.08,4.89,-,-,-,22.45,-,89.0,36.0
21,臺北市,1997/06/28,士林,5.7,1.18,18.3,-,46,-,53.0,18.51,34.48,-,-,-,27.16,-,-,57.0
