序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2014/03/31,松山,3.1,0.66,431.77,39.7,78,41,31.17,3.93,27.24,1.65,21.54,73.71
2,臺北市,2014/03/31,古亭,3.0,0.66,-,35.4,86,40,28.85,3.65,25.19,1.85,21.99,76.1
3,臺北市,2014/03/31,中山,2.6,0.86,-,35.0,99,52,43.34,10.0,33.34,1.83,22.47,74.81
4,臺北市,2014/03/31,大同,3.8,1.53,-,-,93,50,79.92,38.89,41.03,-,-,-
5,臺北市,2014/03/31,萬華,3.6,0.75,-,34.5,79,43,38.93,5.99,32.94,1.94,22.21,73.87
6,臺北市,2014/03/31,陽明,2.3,0.32,415.46,57.2,28,20,4.66,1.04,3.62,-,16.64,97.3
7,臺北市,2014/03/31,士林,3.1,0.45,-,54.5,61,41,15.87,1.04,14.84,2.18,22.04,72.89
8,臺北市,2014/03/30,松山,3.7,0.53,428.06,51.0,92,48,17.87,2.44,15.43,2.87,22.48,60.82
9,臺北市,2014/03/30,古亭,3.6,0.52,-,44.8,95,45,17.13,2.23,14.9,3.34,22.98,62.95
10,臺北市,2014/03/30,中山,3.8,0.63,-,43.9,108,54,26.82,6.07,20.75,2.64,23.48,61.83
11,臺北市,2014/03/30,大同,4.9,0.93,-,-,105,51,48.99,16.49,32.5,-,-,-
12,臺北市,2014/03/30,萬華,4.2,0.54,-,45.6,88,47,22.7,3.02,19.67,3.72,23.04,60.7
13,臺北市,2014/03/30,陽明,3.2,0.37,417.92,63.4,63,41,5.03,0.61,4.4,-,15.68,88.98
14,臺北市,2014/03/30,士林,4.5,0.41,-,56.9,76,46,13.25,2.41,10.84,3.25,22.95,59.92
15,臺北市,2014/03/29,松山,4.2,0.69,444.18,19.9,48,32,35.95,10.72,25.23,1.59,25.73,72.26
16,臺北市,2014/03/29,古亭,3.3,0.67,-,16.8,53,27,32.08,9.15,22.93,1.84,25.91,75.92
17,臺北市,2014/03/29,中山,5.0,0.97,-,15.0,79,42,52.21,22.45,29.76,1.64,26.73,72.75
18,臺北市,2014/03/29,大同,5.7,1.74,-,-,77,38,78.38,43.36,35.02,-,-,-
19,臺北市,2014/03/29,萬華,3.9,0.81,-,16.0,56,36,38.86,12.95,25.91,1.61,26.33,73.52
20,臺北市,2014/03/29,陽明,2.2,0.21,412.66,33.9,24,18,6.94,1.31,5.63,-,20.66,95.0
21,臺北市,2014/03/29,士林,4.3,0.53,-,20.2,55,31,25.98,5.96,20.02,2.18,25.94,74.56
22,臺北市,2014/03/28,松山,3.0,0.55,425.74,23.6,38,23,29.33,5.15,24.18,1.38,25.83,68.34
23,臺北市,2014/03/28,古亭,3.9,0.88,-,24.8,61,32,43.33,9.89,33.44,1.73,27.26,67.08
