序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2017/01/10,松山,2.3,0.56,408.55,31.5,57,32,25.95,5.88,20.07,2.009,0.127,1.882,2.18,1.61,18.75,-,-,64.16,-
2,臺北市,2017/01/10,古亭,2.1,0.54,-,36.5,42,33,18.88,3.88,15,2.047,0.11,1.937,3.11,2.8,18.84,-,-,65.43,-
3,臺北市,2017/01/10,中山,3.3,0.72,-,27.1,52,31,33.55,8.75,24.8,2.131,0.17,1.961,2.5,2.15,19.26,-,-,69.31,-
4,臺北市,2017/01/10,大同,4.4,0.89,-,-,69,30,50.4,22.56,27.84,2.276,0.229,2.047,-,-,-,-,-,-,-
5,臺北市,2017/01/10,萬華,2.8,0.59,-,30.1,52,30,27.92,5.45,22.47,-,-,-,3.04,2.78,19.39,-,-,64.12,-
6,臺北市,2017/01/10,陽明,0.8,0.39,419.94,46,27,22,2.99,0.85,2.1,-,-,-,-,-,10.81,0,0,96.36,0
7,臺北市,2017/01/10,士林,4,0.43,-,42.6,52,27,11.36,1.73,9.6,-,-,-,2.62,2.48,18.74,-,-,65.31,-
8,臺北市,2017/01/09,松山,2.5,0.62,423.38,27.5,37,22,23.97,4.13,19.83,2.036,0.132,1.903,2.27,1.8,17.82,-,-,69.84,-
9,臺北市,2017/01/09,古亭,2.7,0.63,-,30.3,38,26,21.5,3.79,17.71,2.101,0.129,1.971,2.9,2.6,17.87,-,-,71.9,-
10,臺北市,2017/01/09,中山,2.1,0.77,-,25.8,37,18,28.14,7.12,21.02,2.153,0.181,1.972,2.28,1.93,18.37,-,-,74.09,-
11,臺北市,2017/01/09,大同,2.5,0.89,-,-,56,19,43.42,19.25,24.16,2.256,0.209,2.046,-,-,-,-,-,-,-
12,臺北市,2017/01/09,萬華,2.7,0.62,-,28.3,38,18,-,-,-,-,-,-,3.11,2.87,18.52,-,-,68.84,-
13,臺北市,2017/01/09,陽明,0.6,0.45,427.99,42.7,14,10,2.77,0.46,2.27,-,-,-,-,-,10.08,0.5,3.73,99.38,81.08
14,臺北市,2017/01/09,士林,0.6,0.51,-,39.8,32,20,9.67,1.16,8.51,-,-,-,2.29,1.83,17.93,-,-,68,-
15,臺北市,2017/01/08,松山,2,0.66,444.19,17.3,31,16,27.04,7.9,19.14,2.145,0.196,1.95,1.69,1.32,20.41,-,-,81.2,-
16,臺北市,2017/01/08,古亭,1.9,0.6,-,18.5,31,23,22.58,4.71,17.86,2.135,0.156,1.979,2.1,1.85,20.45,-,-,82.06,-
17,臺北市,2017/01/08,中山,2.7,0.88,-,13.9,38,20,39.45,14.5,24.95,2.39,0.263,2.127,1.89,1.49,21,-,-,84.22,-
18,臺北市,2017/01/08,大同,3.3,1.15,-,-,49,21,63.11,32.3,30.81,2.719,0.35,2.369,-,-,-,-,-,-,-
19,臺北市,2017/01/08,萬華,1.8,0.71,-,16.1,34,20,-,-,-,-,-,-,2.15,1.71,21.13,-,-,80.5,-
20,臺北市,2017/01/08,陽明,0.6,0.35,426.01,36.3,7,4,4.04,0.77,3.27,-,-,-,-,-,14.15,0,0,97.19,0
21,臺北市,2017/01/08,士林,2.8,0.63,-,20.7,31,18,23.62,7.65,15.97,-,-,-,1.49,1.25,20.53,-,-,78.71,-
22,臺北市,2017/01/07,松山,2.7,0.6,433.28,24.9,39,22,30.94,5.78,25.16,2.056,0.181,1.875,1.46,1.07,22.52,-,-,81.68,-
23,臺北市,2017/01/07,古亭,2.9,0.67,-,21,46,32,32.77,6.48,26.29,2.232,0.245,1.987,1.44,1.08,22.76,-,-,81.4,-
