序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
24,臺北市,2017/01/07,中山,3.3,0.81,-,18.9,39,22,41.8,12.71,29.08,2.264,0.267,1.997,1.47,0.94,22.93,-,-,85.07,-
25,臺北市,2017/01/07,大同,3.6,1.21,-,-,52,18,59.52,26.21,33.31,2.528,0.385,2.143,-,-,-,-,-,-,-
26,臺北市,2017/01/07,萬華,3.5,0.7,-,20.4,54,24,-,-,-,-,-,-,1.37,0.95,23.24,-,-,81.7,-
27,臺北市,2017/01/07,陽明,1.6,0.22,413.12,39.4,13,10,4.2,1.17,3.02,-,-,-,-,-,16.83,0,0,90.37,0
28,臺北市,2017/01/07,士林,3.3,0.51,-,23.2,31,18,23.58,4.58,19,-,-,-,1.44,1.18,22.29,-,-,81.96,-
29,臺北市,2017/01/06,松山,5.7,0.73,447.02,13.7,58,34,47.88,15.38,32.5,2.271,0.305,1.967,1.44,1.12,22.19,-,-,81,-
30,臺北市,2017/01/06,古亭,4,0.7,-,15.2,64,42,40.88,10.21,30.68,2.263,0.274,1.99,1.55,1.39,22.45,-,-,80.36,-
31,臺北市,2017/01/06,中山,4.4,0.9,-,13.1,60,32,51.9,16.58,35.32,2.345,0.322,2.023,1.61,1.17,22.85,-,-,82.5,-
32,臺北市,2017/01/06,大同,6.4,1.35,-,-,70,35,80.91,44.18,36.73,2.616,0.479,2.137,-,-,-,-,-,-,-
33,臺北市,2017/01/06,萬華,4.6,0.74,-,14.2,60,36,46.84,12.6,34.25,-,-,-,1.62,1.38,23,-,-,79.31,-
34,臺北市,2017/01/06,陽明,2.3,0.24,417.75,41.1,16,12,3.73,0.8,2.95,-,-,-,-,-,15.94,2.63,4.19,96.55,27.02
35,臺北市,2017/01/06,士林,3.6,0.52,-,22.4,52,29,25.27,4.65,20.62,-,-,-,1.08,0.84,22.08,-,-,79.47,-
36,臺北市,2017/01/05,松山,3.8,0.77,454.43,21.6,54,31,47.31,14.18,33.13,2.268,0.296,1.972,1.2,0.86,22.33,-,-,75.52,-
37,臺北市,2017/01/05,古亭,4.4,0.86,-,21.3,65,42,47,11.96,35.04,2.362,0.367,1.995,1.27,1.1,22.44,-,-,75.82,-
38,臺北市,2017/01/05,中山,5,0.98,-,16.2,59,32,55.4,17.98,37.42,2.443,0.366,2.077,1.45,0.92,23.12,-,-,77.69,-
39,臺北市,2017/01/05,大同,5.2,1.61,-,-,72,33,78.2,37.75,40.45,2.827,0.607,2.22,-,-,-,-,-,-,-
40,臺北市,2017/01/05,萬華,6,0.96,-,17,59,37,48.99,11.11,37.88,-,-,-,1.07,0.76,23.11,-,-,75.5,-
41,臺北市,2017/01/05,陽明,1.3,0.27,420.33,49.4,28,25,6.19,0.6,5.53,-,-,-,-,-,16.55,0,0,92.53,0
42,臺北市,2017/01/05,士林,4.1,0.6,-,26.9,58,31,35.84,12.2,23.64,-,-,-,1.44,1.32,22.41,-,-,76.12,-
43,臺北市,2017/01/04,松山,1.6,0.4,421.46,19.6,20,8,27.37,7.95,19.42,1.937,0.135,1.802,1.62,1.22,22.77,-,-,76.68,-
44,臺北市,2017/01/04,古亭,1.8,0.37,-,24.5,19,10,22.07,5.31,16.76,1.978,0.102,1.876,2.41,2.23,23.34,-,-,74.11,-
45,臺北市,2017/01/04,中山,1.5,0.52,-,20.5,15,-,31.06,10.44,20.62,2.052,0.169,1.883,2.32,2.06,23.85,-,-,77.12,-
46,臺北市,2017/01/04,大同,2.9,0.9,-,-,33,7,58.97,33.49,25.48,2.244,0.292,1.952,-,-,-,-,-,-,-
47,臺北市,2017/01/04,萬華,1.9,0.41,-,20.2,25,9,28.65,7.89,20.76,-,-,-,2.56,2.32,23.92,-,-,73.91,-
48,臺北市,2017/01/04,陽明,2.5,0.13,407.87,38.3,5,3,2.23,0.51,1.66,-,-,-,-,-,16.11,0.83,4.2,96.95,33.61
49,臺北市,2017/01/04,士林,1.7,0.21,-,34.2,15,6,10.37,2.49,7.86,-,-,-,2.63,2.42,23.97,-,-,69.88,-
50,臺北市,2017/01/03,松山,1.3,0.4,424.17,18.7,27,10,29.76,6.05,23.71,1.956,0.142,1.813,1.56,1.23,20.43,-,-,88.22,-
51,臺北市,2017/01/03,古亭,1.8,0.41,-,25.1,24,16,24.24,4.15,20.09,2.016,0.115,1.901,2.39,2.23,20.82,-,-,87.08,-
52,臺北市,2017/01/03,中山,2.2,0.57,-,18.8,29,11,34.85,9.69,25.15,2.072,0.18,1.892,2.19,1.97,21.51,-,-,87.88,-
53,臺北市,2017/01/03,大同,2.9,1.08,-,-,43,10,69.3,38.55,30.75,2.319,0.351,1.969,-,-,-,-,-,-,-
54,臺北市,2017/01/03,萬華,2.7,0.42,-,20.1,20,13,31.15,6.87,24.28,-,-,-,2.57,2.37,21.64,-,-,84.14,-
55,臺北市,2017/01/03,陽明,1.5,0.16,408.92,44.4,5,2,1.13,0.32,0.79,-,-,-,-,-,15.06,0.81,4.09,99.07,53.21
56,臺北市,2017/01/03,士林,1.8,0.23,-,37.1,18,10,9.53,1.16,8.36,-,-,-,2.32,1.97,21.9,-,-,76.46,-
57,臺北市,2017/01/02,松山,1.6,0.51,436.97,21.9,29,16,31.82,8.84,22.98,2.095,0.181,1.913,1.51,1.18,21.54,-,-,72.79,-
58,臺北市,2017/01/02,古亭,1.8,0.5,-,24.8,33,22,26.62,5.98,20.64,2.114,0.159,1.955,1.73,1.37,21.4,-,-,74.51,-
59,臺北市,2017/01/02,中山,2.1,0.64,-,19.1,31,16,36.04,9.05,27,2.213,0.212,2.001,1.73,1.2,22.03,-,-,77.98,-
60,臺北市,2017/01/02,大同,2.8,1.09,-,-,45,12,64.73,33.41,31.33,2.524,0.344,2.18,-,-,-,-,-,-,-
61,臺北市,2017/01/02,萬華,2.3,0.54,-,20.7,32,17,31.81,7,24.81,-,-,-,1.63,1.26,22.06,-,-,73.97,-
62,臺北市,2017/01/02,陽明,1.6,0.21,411.64,38.8,15,11,3.95,1.15,2.79,-,-,-,-,-,15.38,0,0,92.58,0
63,臺北市,2017/01/02,士林,2.9,0.39,-,27.2,30,16,19.61,3.59,16.02,-,-,-,1.52,1.34,21.57,-,-,74.19,-
64,臺北市,2017/01/01,松山,1.7,0.3,417.98,33.1,22,9,15.3,3.58,11.72,1.856,0.07,1.786,1.87,1.33,22.59,-,-,64.73,-
65,臺北市,2017/01/01,古亭,1.3,0.3,-,33,18,12,14.64,2.64,12,1.934,0.067,1.868,2.54,2.34,22.98,-,-,64.83,-
66,臺北市,2017/01/01,中山,2.1,0.44,-,26.1,22,9,24.96,6.63,18.34,2.01,0.12,1.89,2.44,2.24,23.21,-,-,68.68,-
67,臺北市,2017/01/01,大同,0.8,0.7,-,-,34,6,49.59,23.87,25.72,2.171,0.193,1.978,-,-,-,-,-,-,-
68,臺北市,2017/01/01,萬華,1.4,0.39,-,25.8,23,9,26.82,6.93,19.89,-,-,-,2.41,2.23,23.47,-,-,64.6,-
69,臺北市,2017/01/01,陽明,1.2,0.14,407.44,41.6,9,5,1.62,0.38,1.21,-,-,-,-,-,15.64,0,0,88.55,0
70,臺北市,2017/01/01,士林,1.4,0.2,-,39.1,20,9,7.54,1.38,6.16,-,-,-,2.81,2.6,22.94,-,-,65.21,-
71,新北市,2017/01/10,板橋,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,0
72,新北市,2017/01/10,三重,5,2.23,-,-,68,30,95.09,57.14,37.95,2.554,0.438,2.116,-,-,19.45,-,-,61.66,-
73,新北市,2017/01/10,菜寮,4.4,0.57,-,35,50,28,18.69,2.42,16.27,-,-,-,3.39,3.18,19.37,-,-,62.88,-
74,新北市,2017/01/10,永和,2.3,0.63,-,36.8,45,33,19.51,5.23,14.29,2.098,0.173,1.925,2.86,2.81,18.85,-,-,65.5,-
75,新北市,2017/01/10,新莊,3.5,0.57,-,34.8,51,24,18.45,2.53,15.94,-,-,-,4.59,4.47,19.15,-,-,59.28,-
76,新北市,2017/01/10,新店,1.6,0.52,-,39.6,45,33,14.94,2.55,12.37,-,-,-,2.22,1.84,18.67,-,-,64.13,-
77,新北市,2017/01/10,淡水,1.8,0.49,-,31.5,49,28,12.12,2.41,9.71,-,-,-,-,-,-,-,-,-,-
78,新北市,2017/01/10,汐止,3,0.53,-,33,50,33,23.1,5.57,17.53,-,-,-,2.41,1.97,17.65,-,-,66.99,-
79,新北市,2017/01/10,土城,1.1,0.54,-,38,49,27,14.1,1.88,12.22,2.085,0.13,1.955,1.76,0.36,19.03,-,-,63.91,-
80,新北市,2017/01/10,林口,3.5,0.46,-,36.1,68,36,17.46,3.82,13.63,-,-,-,3.54,3.08,16.68,-,-,72.1,-
81,新北市,2017/01/10,萬里,1.6,0.38,-,50.3,71,34,4.66,1.34,3.32,-,-,-,6.09,5.96,18.02,0,0,68.18,0
82,新北市,2017/01/09,板橋,-,-,-,-,47,19,-,-,-,-,-,-,3.12,2.63,18.52,0,0,67.74,0
83,新北市,2017/01/09,三重,3.3,1.63,-,-,56,20,101.17,65.47,35.71,2.588,0.473,2.115,-,-,18.66,-,-,65.04,-
84,新北市,2017/01/09,菜寮,1.7,0.6,-,34.5,39,22,14.19,1.94,12.24,-,-,-,3.24,3.11,18.61,-,-,66.9,-
85,新北市,2017/01/09,永和,2.8,0.74,-,31.3,42,27,22.6,6.36,16.24,2.141,0.189,1.952,2.9,2.71,17.93,-,-,71.05,-
86,新北市,2017/01/09,新莊,2.4,0.6,-,34.1,41,17,14.45,1.23,13.22,-,-,-,4.71,4.46,18.17,-,-,63.49,-
87,新北市,2017/01/09,新店,1.9,0.59,-,34.8,39,26,15.5,2.1,13.37,-,-,-,2.02,1.61,17.58,-,-,70.24,-
88,新北市,2017/01/09,淡水,1.5,0.55,-,31.9,43,21,10.4,1.99,8.4,-,-,-,-,-,-,-,-,-,-
89,新北市,2017/01/09,汐止,3,0.56,-,31.8,43,27,18.02,2.8,15.22,-,-,-,2.37,2.2,16.35,-,-,74.65,-
90,新北市,2017/01/09,土城,3.3,0.6,-,31.2,44,22,18.78,3.54,15.25,2.115,0.139,1.976,1.52,0.69,18.14,-,-,69.73,-
91,新北市,2017/01/09,林口,2.2,0.5,-,33.6,59,28,16.45,3.66,12.79,-,-,-,3.05,2.8,15.78,-,-,77.32,-
92,新北市,2017/01/09,萬里,1.2,0.45,-,45.4,79,27,5.68,1.71,3.97,-,-,-,6.42,5.91,17.48,0,0,71.77,0
93,新北市,2017/01/08,板橋,4.4,0.66,-,15.3,50,21,27.29,5.96,21.34,2.209,0.24,1.969,2.04,1.7,20.91,0,0,76.83,0
94,新北市,2017/01/08,三重,3.2,1.59,-,-,50,19,88.36,55.5,32.86,2.697,0.519,2.178,-,-,21.1,-,-,75.48,-
95,新北市,2017/01/08,菜寮,3,0.73,-,19.5,41,26,26.24,6.94,19.29,-,-,-,2.05,1.79,21.71,-,-,79.39,-
96,新北市,2017/01/08,永和,1.6,0.82,-,17.9,32,21,29.44,10.5,18.94,2.244,0.254,1.99,1.9,1.73,20.6,-,-,79.75,-
97,新北市,2017/01/08,新莊,3.1,0.69,-,17.6,42,20,26.76,7.58,19.18,-,-,-,2.31,2.01,20.59,-,-,74.4,-
98,新北市,2017/01/08,新店,3.1,0.55,-,18.9,29,18,19.36,3.83,15.53,-,-,-,1.51,1,20.09,-,-,78.9,-
99,新北市,2017/01/08,淡水,2.2,0.51,-,22.9,40,21,14.04,2.37,11.67,-,-,-,-,-,-,-,-,-,-
100,新北市,2017/01/08,汐止,1.9,0.6,-,19.9,37,24,22.34,6.84,15.5,-,-,-,1.98,1.77,18.79,-,-,86.79,-
101,新北市,2017/01/08,土城,3.4,0.62,-,17.3,37,21,24.03,6.91,17.11,2.185,0.186,1.999,1.26,0.55,20.52,-,-,80.78,-
102,新北市,2017/01/08,林口,1.7,0.45,-,22.7,52,25,16.96,2.52,14.44,-,-,-,2.16,1.79,18.75,-,-,86.05,-
103,新北市,2017/01/08,萬里,2.3,0.42,-,30.1,48,14,10,1.82,8.18,-,-,-,2.59,1.94,19,1.31,3.65,86.95,221.05
104,新北市,2017/01/07,板橋,5,0.65,-,18.3,65,28,31.66,5.96,25.7,2.246,0.3,1.946,1.69,1.41,23.02,0,0,77.65,0
105,新北市,2017/01/07,三重,4.8,1.64,-,-,62,18,111.31,70.51,40.8,2.691,0.579,2.112,-,-,22.89,-,-,77.72,-
106,新北市,2017/01/07,菜寮,3.1,0.63,-,20.2,45,27,28.98,4.4,24.58,-,-,-,1.49,1.09,23.67,-,-,82.5,-
107,新北市,2017/01/07,永和,2.6,1.24,-,14.6,47,30,54.86,23.26,31.61,2.471,0.458,2.013,1.06,0.68,22.92,-,-,79.15,-
108,新北市,2017/01/07,新莊,4.9,0.62,-,21.3,52,27,27.37,5.52,21.85,-,-,-,1.32,1.03,22.66,-,-,74.24,-
109,新北市,2017/01/07,新店,3,0.54,-,20.3,46,30,24.4,4.61,19.79,-,-,-,1.5,1.1,22.24,-,-,78.56,-
110,新北市,2017/01/07,淡水,2.7,0.41,-,19.1,40,21,18.16,3.06,15.1,-,-,-,-,-,-,-,-,-,-
111,新北市,2017/01/07,汐止,3.9,0.57,-,25.8,43,27,29.06,5.52,23.54,-,-,-,1.29,1,21.6,-,-,82.77,-
112,新北市,2017/01/07,土城,3.8,0.57,-,18.4,51,30,28.02,6.91,21.11,2.199,0.243,1.956,1.16,0.86,22.55,-,-,81.42,-
113,新北市,2017/01/07,林口,3.2,0.39,-,24.5,71,37,20.33,3.89,16.44,-,-,-,1.71,1.38,20.31,-,-,89.87,-
114,新北市,2017/01/07,萬里,2.7,0.3,-,33.5,50,15,12.81,2.85,9.96,-,-,-,1.53,1.12,21.27,3.5,4.36,86.98,31.23
115,新北市,2017/01/06,板橋,7.1,0.77,-,14.3,78,37,41.15,9.37,31.78,2.366,0.391,1.975,1.81,1.39,22.74,0,0,76.63,0
116,新北市,2017/01/06,三重,5.2,1.76,-,-,79,31,120.81,76.66,44.15,2.761,0.643,2.117,-,-,22.86,-,-,74.54,-
117,新北市,2017/01/06,菜寮,4.4,0.67,-,20.1,59,36,33.72,6.47,27.25,-,-,-,1.61,1.27,23.35,-,-,78.79,-
118,新北市,2017/01/06,永和,3.6,0.99,-,14,60,39,47.17,16.65,30.52,2.39,0.389,2.001,1.52,1.43,22.52,-,-,78.65,-
119,新北市,2017/01/06,新莊,3.4,0.64,-,17.9,66,34,34.68,7.69,26.99,-,-,-,2.17,1.91,22.36,-,-,72.94,-
120,新北市,2017/01/06,新店,3.2,0.66,-,16.8,58,40,31.55,6.91,24.64,-,-,-,1.33,0.74,21.93,-,-,78.48,-
121,新北市,2017/01/06,淡水,2.8,0.46,-,23.3,56,31,20.19,2.67,17.52,-,-,-,-,-,-,-,-,-,-
122,新北市,2017/01/06,汐止,4.5,0.6,-,18.4,58,38,40.1,15.91,24.19,-,-,-,1.47,1.28,20.72,-,-,85.12,-
123,新北市,2017/01/06,土城,3.3,0.68,-,16,64,39,34.18,7.56,26.63,2.33,0.325,2.005,1.12,0.43,22.27,-,-,80.44,-
124,新北市,2017/01/06,林口,2.8,0.42,-,25.5,87,46,25.04,4.96,20.08,-,-,-,1.63,1.41,19.63,-,-,91.88,-
125,新北市,2017/01/06,萬里,3,0.32,-,31.4,51,24,12.63,3.71,8.92,-,-,-,1.84,1.42,20.6,1.33,3.94,85.72,93.66
126,新北市,2017/01/05,板橋,8.9,0.81,-,15.6,87,43,45.95,12.6,33.36,2.457,0.47,1.987,1.45,1.02,22.47,0,0,74.42,0
127,新北市,2017/01/05,三重,6.1,1.88,-,-,81,32,136.39,89.32,47.07,2.926,0.751,2.175,-,-,22.85,-,-,71.73,-
128,新北市,2017/01/05,菜寮,5.8,0.75,-,19.3,69,44,44.69,12.83,31.86,-,-,-,1.27,0.83,22.94,-,-,76.56,-
129,新北市,2017/01/05,永和,3.7,1.57,-,12.3,58,40,77.13,35.86,41.27,2.619,0.6,2.019,1.02,0.65,22.69,-,-,73.76,-
130,新北市,2017/01/05,新莊,7,0.79,-,15.6,76,41,47.78,16.27,31.51,-,-,-,1.35,1.05,22.22,-,-,71.5,-
131,新北市,2017/01/05,新店,4,0.67,-,22.6,53,37,36.19,6.8,29.39,-,-,-,1.32,0.96,21.84,-,-,74.7,-
132,新北市,2017/01/05,淡水,5.2,0.43,-,26.4,68,37,23.76,5.54,18.25,-,-,-,-,-,-,-,-,-,-
133,新北市,2017/01/05,汐止,4.6,0.78,-,16.6,63,39,58.56,26.62,31.94,-,-,-,1.09,0.74,20.95,-,-,80.53,-
134,新北市,2017/01/05,土城,6.5,0.73,-,16.5,64,40,53.18,22.57,30.62,2.435,0.437,1.998,1.02,0.75,21.8,-,-,79.2,-
135,新北市,2017/01/05,林口,4.5,0.42,-,24.3,88,48,33.71,11.35,22.36,-,-,-,1.4,1.27,20.45,-,-,83.91,-
136,新北市,2017/01/05,萬里,3.3,0.34,-,29.7,60,33,16.52,3.17,13.35,-,-,-,2.15,1.96,20.27,0,0,85.34,0
137,新北市,2017/01/04,板橋,2.9,0.47,-,21.7,24,6,23.95,4.87,19.08,2.016,0.176,1.839,2.79,2.44,23.79,0,0,70.38,0
138,新北市,2017/01/04,三重,3.1,1.47,-,-,34,6,95.46,62.37,33.09,2.554,0.468,2.086,-,-,24.15,-,-,67.4,-
139,新北市,2017/01/04,菜寮,1.7,0.4,-,26.6,13,8,16.71,2.66,14.05,-,-,-,2.86,2.68,24.48,-,-,70.34,-
140,新北市,2017/01/04,永和,1.6,0.54,-,25.1,14,8,24.6,8.35,16.26,2.018,0.168,1.85,2.48,2.37,23.4,-,-,72.73,-
141,新北市,2017/01/04,新莊,2.1,0.37,-,26,23,5,18.55,3.72,14.82,-,-,-,4.18,4.04,23.82,-,-,65.41,-
142,新北市,2017/01/04,新店,1.3,0.35,-,26.5,6,10,17.44,3.85,13.59,-,-,-,1.96,1.59,22.88,-,-,71.53,-
143,新北市,2017/01/04,淡水,1.8,0.24,-,28.3,18,7,8.81,0.92,7.91,-,-,-,-,-,-,-,-,-,-
144,新北市,2017/01/04,汐止,2.7,0.38,-,15.3,18,12,26.32,6.87,19.46,-,-,-,1.58,1.3,21.57,-,-,79.31,-
145,新北市,2017/01/04,土城,1.4,0.51,-,23.4,18,9,20.15,2.56,17.59,2.121,0.185,1.936,1.21,0.33,23.4,-,-,73.64,-
146,新北市,2017/01/04,林口,2,0.24,-,28.5,39,16,18.79,4.92,13.86,-,-,-,3.09,2.65,21.67,-,-,78.57,-
147,新北市,2017/01/04,萬里,2,0.18,-,28.9,24,5,10.08,2.78,7.3,-,-,-,1.7,1.37,20.94,2,4.19,86.38,47.71
148,新北市,2017/01/03,板橋,-,-,-,-,36,12,-,-,-,-,-,-,2.85,-,-,0.5,4.13,-,61.26
149,新北市,2017/01/03,三重,3.9,1.45,-,-,43,11,89.13,52.84,36.29,2.578,0.495,2.083,-,-,21.84,-,-,76.96,-
150,新北市,2017/01/03,菜寮,2.7,0.44,-,26.2,24,12,20.76,2.79,17.97,-,-,-,2.63,2.4,22.46,-,-,80.63,-
151,新北市,2017/01/03,永和,1.6,0.53,-,26.9,20,11,25.13,7.31,17.82,2.026,0.165,1.861,2.41,2.37,20.93,-,-,84.18,-
152,新北市,2017/01/03,新莊,3,0.41,-,25.7,26,9,20.86,2.91,17.95,-,-,-,3.81,3.54,21.48,-,-,75.27,-
153,新北市,2017/01/03,新店,1.6,0.42,-,25.3,13,12,21.7,3.96,17.74,-,-,-,1.25,0.94,20.54,-,-,83.52,-
154,新北市,2017/01/03,淡水,0.5,0.32,-,27.7,27,10,10.99,1.68,9.31,-,-,-,-,-,-,-,-,-,-
155,新北市,2017/01/03,汐止,2.8,0.37,-,15.8,27,16,29.38,5.83,23.55,-,-,-,1.6,1.44,19.03,-,-,91.92,-
156,新北市,2017/01/03,土城,1.6,0.39,-,28,25,12,16.25,1.05,15.22,2.031,0.143,1.889,1.21,0.28,21.22,-,-,83.91,-
157,新北市,2017/01/03,林口,2.6,0.27,-,27.5,44,19,20.75,4.2,16.55,-,-,-,2.75,2.63,19.63,-,-,87.56,-
158,新北市,2017/01/03,萬里,1.5,0.17,-,38.2,39,10,6.37,1.46,4.91,-,-,-,2.69,2.63,20.36,0.79,3.91,87.03,238.39
159,新北市,2017/01/02,板橋,2.7,0.46,-,24.3,46,19,22.87,3.82,19.05,2.097,0.199,1.898,1.73,1.29,21.71,0,0,70.04,0
160,新北市,2017/01/02,三重,2,1.39,-,-,45,14,92.63,55.84,36.78,2.648,0.488,2.16,-,-,21.83,-,-,71.52,-
161,新北市,2017/01/02,菜寮,2.7,0.57,-,22.5,37,21,27.46,6,21.47,-,-,-,1.51,1.14,22.08,-,-,74.44,-
162,新北市,2017/01/02,永和,2.7,0.8,-,21.6,29,20,38.26,14.31,23.95,2.226,0.28,1.946,1.52,1.18,21.6,-,-,72.85,-
163,新北市,2017/01/02,新莊,3.6,0.54,-,22.1,41,19,27.35,6.9,20.45,-,-,-,1.86,1.62,21.35,-,-,70.42,-
164,新北市,2017/01/02,新店,2.1,0.4,-,29.5,20,17,18.75,3.25,15.5,-,-,-,1.49,1.07,20.77,-,-,71.48,-
165,新北市,2017/01/02,淡水,2.1,0.51,-,18.6,40,19,22.61,5.37,17.24,-,-,-,-,-,-,-,-,-,-
166,新北市,2017/01/02,汐止,3.4,0.42,-,20.3,33,19,25.1,5.69,19.41,-,-,-,1.42,1.15,19.97,-,-,77.33,-
167,新北市,2017/01/02,土城,2.9,0.47,-,25.9,38,19,24.18,5.33,18.86,2.067,0.163,1.904,1.21,0.59,21.21,-,-,75.57,-
168,新北市,2017/01/02,林口,3.1,0.34,-,26.6,62,30,19.65,3.06,16.6,-,-,-,2.34,1.87,19.45,-,-,86.81,-
169,新北市,2017/01/02,萬里,1.8,0.24,-,28.4,31,14,9.6,2.75,6.85,-,-,-,2.97,2.35,19.33,0,0,82.8,0
170,新北市,2017/01/01,板橋,5.8,0.4,-,27.6,24,5,19.62,4.92,14.7,1.983,0.147,1.836,2.46,2.05,23.2,0,0,62.3,0
171,新北市,2017/01/01,三重,1.7,1.11,-,-,34,7,84.28,51.68,32.6,2.449,0.356,2.092,-,-,23.32,-,-,61.21,-
172,新北市,2017/01/01,菜寮,1.4,0.35,-,32.5,20,8,14.54,2,12.52,-,-,-,3.11,2.95,23.43,-,-,62.96,-
173,新北市,2017/01/01,永和,1.5,0.41,-,33.7,13,9,15.9,4.58,11.32,1.991,0.135,1.855,2.56,2.46,22.97,-,-,64.63,-
174,新北市,2017/01/01,新莊,1.6,0.38,-,31.5,21,7,14.84,3.12,11.71,-,-,-,3.84,3.7,23.09,-,-,59.33,-
175,新北市,2017/01/01,新店,1.4,0.23,-,38.4,5,9,7.65,1.52,6.13,-,-,-,3.09,2.94,22.41,-,-,63.44,-
176,新北市,2017/01/01,淡水,1.6,0.16,-,36.7,21,5,3.28,1.36,1.92,-,-,-,-,-,-,-,-,-,-
