序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1997/07/31,松山,1.0,0.64,7.7,-,30,-,26.06,11.6,14.45,-,-,-,30.72,-,-,30.0
2,臺北市,1997/07/31,古亭,1.9,0.98,8.4,-,33,19,39.3,22.43,16.88,2.01,0.21,1.8,31.37,-,-,33.0
3,臺北市,1997/07/31,中山,4.2,1.13,7.7,-,-,-,46.13,20.24,25.89,2.135,0.28,1.85,31.14,-,-,24.0
4,臺北市,1997/07/31,大同,12.5,4.89,-,-,48,-,172.81,141.07,31.75,4.632,2.18,2.45,32.13,-,-,82.0
5,臺北市,1997/07/31,萬華,5.0,0.72,9.4,-,42,-,27.89,6.69,21.21,-,-,-,31.59,-,-,42.0
6,臺北市,1997/07/31,陽明,3.3,0.29,14.1,-,33,-,5.92,0.12,5.81,-,-,-,23.75,-,86.0,33.0
7,臺北市,1997/07/31,士林,3.3,0.76,9.7,-,35,-,27.6,11.58,16.02,-,-,-,30.1,-,-,35.0
8,臺北市,1997/07/30,松山,2.7,0.75,18.2,-,36,-,30.87,11.78,19.09,-,-,-,30.84,-,-,60.0
9,臺北市,1997/07/30,古亭,1.7,1.02,9.5,-,-,27,38.8,21.56,17.24,1.746,0.3,1.45,30.16,-,-,32.0
10,臺北市,1997/07/30,中山,4.1,1.09,19.2,-,-,-,46.37,20.65,25.72,2.287,0.17,2.12,31.09,-,-,70.0
11,臺北市,1997/07/30,大同,11.0,4.66,-,-,48,-,176.51,139.24,37.27,4.449,2.01,2.44,32.65,-,-,79.0
12,臺北市,1997/07/30,萬華,2.5,0.73,23.8,-,36,-,22.51,3.87,18.64,-,-,-,31.97,-,-,80.0
13,臺北市,1997/07/30,陽明,4.4,0.28,24.0,-,22,-,4.71,0.18,4.53,-,-,-,24.52,-,81.0,40.0
14,臺北市,1997/07/30,士林,3.2,0.74,19.3,-,37,-,25.7,8.77,16.93,-,-,-,30.21,-,-,61.0
15,臺北市,1997/07/29,松山,6.7,0.84,26.2,-,47,-,35.75,8.98,26.77,-,-,-,30.05,-,-,75.0
16,臺北市,1997/07/29,古亭,6.5,1.12,25.8,-,55,39,43.45,18.26,25.19,2.123,0.34,1.78,30.4,-,-,84.0
17,臺北市,1997/07/29,中山,9.6,1.22,27.2,-,59,-,52.12,17.15,34.97,2.546,0.44,2.1,30.35,-,-,90.0
18,臺北市,1997/07/29,大同,15.9,4.87,-,-,56,-,179.43,130.7,48.73,4.76,2.24,2.52,31.88,-,-,83.0
19,臺北市,1997/07/29,萬華,7.8,0.51,32.5,-,64,-,29.06,3.04,26.02,-,-,-,30.94,-,-,106.0
20,臺北市,1997/07/29,陽明,4.0,0.27,23.6,-,33,-,5.21,0.12,5.09,-,-,-,23.71,-,82.0,46.0
21,臺北市,1997/07/29,士林,5.7,0.72,23.2,-,56,-,28.24,6.53,21.71,-,-,-,29.43,-,-,60.0
22,臺北市,1997/07/28,松山,4.7,0.9,28.3,-,62,-,37.99,8.53,29.46,-,-,-,30.22,-,-,76.0
23,臺北市,1997/07/28,古亭,4.5,1.34,32.6,-,69,50,49.12,20.1,29.03,2.141,0.34,1.81,30.23,-,-,87.0
24,臺北市,1997/07/28,中山,8.0,1.38,30.8,-,71,-,58.13,14.22,43.91,2.698,0.52,2.17,30.34,-,-,92.0
25,臺北市,1997/07/28,大同,14.3,4.52,-,-,77,-,161.48,108.02,53.45,4.682,2.05,2.63,31.75,-,-,91.0
26,臺北市,1997/07/28,萬華,6.4,1.06,45.9,-,-,-,29.25,1.58,27.67,-,-,-,30.84,-,-,122.0
27,臺北市,1997/07/28,陽明,8.6,0.33,33.8,-,39,-,-,-,-,-,-,-,23.75,-,76.0,51.0
28,臺北市,1997/07/28,士林,5.6,0.9,30.2,-,66,-,34.07,7.46,26.6,-,-,-,29.66,-,-,76.0
29,臺北市,1997/07/27,松山,6.3,0.8,38.8,-,55,-,31.08,4.67,26.41,-,-,-,29.88,-,-,72.0
30,臺北市,1997/07/27,古亭,6.9,0.98,35.0,-,65,48,40.54,11.62,28.92,2.025,0.22,1.81,30.06,-,-,72.0
31,臺北市,1997/07/27,中山,7.7,1.08,36.3,-,53,-,46.47,8.69,37.78,2.491,0.36,2.13,30.17,-,-,74.0
32,臺北市,1997/07/27,大同,12.9,3.85,-,-,65,-,166.28,106.63,59.66,3.984,1.54,2.45,31.67,-,-,58.0
33,臺北市,1997/07/27,萬華,7.7,0.87,47.5,-,-,-,27.84,1.76,26.07,-,-,-,30.91,-,-,101.0
34,臺北市,1997/07/27,陽明,7.4,0.4,38.6,-,31,-,-,-,-,-,-,-,23.72,-,75.0,49.0
35,臺北市,1997/07/27,士林,7.9,1.03,34.6,-,64,-,38.29,7.8,30.49,-,-,-,29.25,-,-,77.0
36,臺北市,1997/07/26,松山,5.7,0.97,24.1,-,44,-,45.45,12.97,32.48,-,-,-,28.98,-,-,75.0
37,臺北市,1997/07/26,古亭,7.4,1.27,28.6,-,53,35,56.93,21.84,35.09,2.214,0.3,1.91,29.6,-,-,109.0
