序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1998/09/30,松山,3.4,1.31,16.3,-,32,-,70.61,29.4,41.2,-,-,-,26.35,-,-,38.0
2,臺北市,1998/09/30,古亭,2.3,1.29,16.0,-,38,-,63.99,33.86,30.14,2.775,0.63,2.15,25.67,-,-,38.0
3,臺北市,1998/09/30,中山,4.9,1.62,16.3,-,53,-,79.01,45.92,33.09,-,-,-,26.01,-,-,51.0
4,臺北市,1998/09/30,大同,7.1,3.18,-,-,-,-,140.57,101.3,38.52,4.791,1.69,3.1,26.75,-,-,55.0
5,臺北市,1998/09/30,萬華,4.7,0.99,17.9,-,29,-,37.54,12.95,24.59,-,-,-,26.18,-,-,39.0
6,臺北市,1998/09/30,陽明,0.5,0.24,45.9,-,13,-,1.42,0.03,1.39,-,-,-,18.75,-,87.0,45.0
7,臺北市,1998/09/30,士林,2.0,1.13,18.1,-,39,-,42.56,17.08,25.48,-,-,-,25.36,-,-,39.0
8,臺北市,1998/09/29,松山,2.8,1.4,9.8,-,25,-,66.94,26.63,40.31,-,-,-,25.22,-,-,25.0
9,臺北市,1998/09/29,古亭,3.5,1.59,7.4,-,30,-,75.83,43.01,32.82,2.785,0.78,2.01,23.38,-,-,30.0
10,臺北市,1998/09/29,中山,4.6,1.73,11.4,-,43,-,69.06,38.47,30.59,3.379,0.9,2.37,24.46,-,-,43.0
11,臺北市,1998/09/29,大同,5.9,2.69,-,-,-,-,110.3,73.27,37.03,4.208,1.47,2.74,24.34,-,-,52.0
12,臺北市,1998/09/29,萬華,5.6,1.2,12.1,-,28,-,41.43,16.7,24.73,-,-,-,24.42,-,-,28.0
13,臺北市,1998/09/29,陽明,0.7,0.26,38.0,-,13,-,1.42,0.13,1.29,-,-,-,19.03,-,99.0,42.0
14,臺北市,1998/09/29,士林,2.5,1.2,14.8,-,39,-,43.38,22.61,20.78,-,-,-,23.33,-,-,39.0
15,臺北市,1998/09/28,松山,4.0,0.95,2.3,-,32,-,73.45,48.4,25.05,-,-,-,25.95,-,-,32.0
16,臺北市,1998/09/28,古亭,2.5,1.37,2.1,-,17,-,65.57,46.49,19.08,2.511,0.57,1.94,24.5,-,-,22.0
17,臺北市,1998/09/28,中山,2.5,1.37,2.4,-,19,-,60.75,42.71,18.04,2.818,0.57,2.25,25.75,-,-,22.0
18,臺北市,1998/09/28,大同,3.8,3.42,-,-,-,-,151.29,125.65,25.64,3.794,1.5,2.3,25.59,-,-,65.0
19,臺北市,1998/09/28,萬華,3.4,1.41,1.1,-,16,-,50.41,32.11,18.3,-,-,-,25.58,-,-,22.0
20,臺北市,1998/09/28,陽明,0.1,0.11,17.1,-,-,-,0.42,0.12,0.29,-,-,-,21.1,-,96.0,19.0
21,臺北市,1998/09/28,士林,0.8,0.84,3.6,-,30,-,40.7,27.34,13.35,-,-,-,25.11,-,-,30.0
22,臺北市,1998/09/27,松山,2.4,0.62,5.3,-,24,-,36.35,21.98,14.38,-,-,-,26.64,-,-,24.0
23,臺北市,1998/09/27,古亭,2.0,0.8,4.3,-,19,-,39.19,23.97,15.21,2.109,0.27,1.84,25.42,-,-,19.0
24,臺北市,1998/09/27,中山,2.1,0.83,4.2,-,18,-,41.21,26.79,14.41,2.247,0.15,2.09,26.57,-,-,18.0
25,臺北市,1998/09/27,大同,3.7,3.54,-,-,-,-,189.6,159.4,30.2,3.736,1.57,2.17,26.57,-,-,61.0
26,臺北市,1998/09/27,萬華,1.9,0.85,3.6,-,15,-,31.53,17.26,14.27,-,-,-,26.65,-,-,15.0
27,臺北市,1998/09/27,陽明,0.1,0.12,15.4,-,13,-,0.56,0.15,0.4,-,-,-,21.23,-,95.0,15.0
28,臺北市,1998/09/27,士林,1.1,0.6,5.8,-,27,-,22.84,13.17,9.67,-,-,-,26.48,-,-,27.0
29,臺北市,1998/09/26,松山,2.3,0.75,9.3,-,26,-,38.0,12.2,25.8,-,-,-,25.98,-,-,26.0
30,臺北市,1998/09/26,古亭,2.3,0.86,7.5,-,20,16,42.8,17.48,25.32,2.223,0.31,1.92,24.82,-,-,20.0
31,臺北市,1998/09/26,中山,0.9,0.97,9.4,-,28,-,43.2,17.78,25.41,2.39,0.23,2.16,25.98,-,-,28.0
32,臺北市,1998/09/26,大同,5.5,4.62,-,-,-,-,194.32,153.91,40.41,4.459,2.1,2.36,26.26,-,-,72.0
33,臺北市,1998/09/26,萬華,1.8,0.93,9.0,-,16,-,32.33,8.79,23.54,-,-,-,25.98,-,-,16.0
34,臺北市,1998/09/26,陽明,0.1,0.18,27.6,-,13,-,0.64,0.14,0.51,-,-,-,20.81,-,96.0,33.0
35,臺北市,1998/09/26,士林,0.3,0.61,13.0,-,22,-,18.78,3.81,14.97,-,-,-,26.6,-,-,22.0
36,臺北市,1998/09/25,松山,4.6,0.69,21.2,-,20,-,40.27,9.9,30.37,-,-,-,26.94,-,-,31.0
37,臺北市,1998/09/25,古亭,3.6,0.64,22.9,-,35,19,33.74,8.3,25.44,2.203,0.27,1.93,26.42,-,-,35.0
38,臺北市,1998/09/25,中山,3.4,0.74,24.1,-,23,-,34.22,7.78,26.45,2.229,0.16,2.07,26.76,-,-,32.0
39,臺北市,1998/09/25,大同,8.1,3.66,-,-,-,-,162.7,116.13,46.57,4.079,1.66,2.41,27.67,-,-,62.0
40,臺北市,1998/09/25,萬華,4.3,0.77,24.7,-,22,-,27.35,4.32,23.04,-,-,-,26.92,-,-,30.0
41,臺北市,1998/09/25,陽明,0.1,0.19,45.7,-,13,-,0.91,0.12,0.79,-,-,-,19.44,-,91.0,41.0
42,臺北市,1998/09/25,士林,1.2,0.4,32.7,-,27,-,18.09,3.98,14.11,-,-,-,26.91,-,-,36.0
43,臺北市,1998/09/24,松山,4.4,0.75,19.2,-,26,-,39.77,9.85,30.46,-,-,-,26.84,-,-,32.0
44,臺北市,1998/09/24,古亭,2.8,0.65,26.1,-,39,21,32.7,7.25,25.45,2.257,0.29,1.97,26.09,-,-,39.0
45,臺北市,1998/09/24,中山,2.4,0.64,29.3,-,32,-,30.1,5.39,24.7,2.218,0.12,2.1,26.74,-,-,36.0
46,臺北市,1998/09/24,大同,7.4,3.67,-,-,-,-,147.66,101.19,46.47,3.765,1.66,2.11,27.52,-,-,59.0
47,臺北市,1998/09/24,萬華,3.4,0.86,26.7,-,25,-,28.11,4.14,23.97,-,-,-,26.85,-,-,35.0
48,臺北市,1998/09/24,陽明,0.2,0.22,49.1,-,13,-,1.03,0.13,0.91,-,-,-,18.52,-,97.0,46.0
49,臺北市,1998/09/24,士林,2.3,0.41,35.1,-,36,-,16.2,2.51,13.7,-,-,-,26.73,-,-,39.0
50,臺北市,1998/09/23,松山,5.0,0.87,21.7,-,52,-,46.02,8.82,37.2,-,-,-,26.28,-,-,51.0
51,臺北市,1998/09/23,古亭,2.9,0.48,33.3,-,51,27,30.25,5.49,24.77,2.351,0.29,2.06,25.76,-,-,51.0
52,臺北市,1998/09/23,中山,2.8,0.71,33.8,-,56,-,32.46,4.67,27.8,2.161,0.18,1.98,26.17,-,-,53.0
53,臺北市,1998/09/23,大同,7.6,3.77,-,-,-,-,159.91,105.53,54.38,3.978,1.73,2.24,26.91,-,-,57.0
54,臺北市,1998/09/23,萬華,3.4,0.85,37.0,-,46,-,24.93,2.66,22.27,-,-,-,26.47,-,-,46.0
55,臺北市,1998/09/23,陽明,0.7,0.28,57.0,-,19,-,1.29,0.13,1.16,-,-,-,18.48,-,93.0,61.0
56,臺北市,1998/09/23,士林,1.6,0.46,42.8,-,51,-,16.45,1.96,14.5,-,-,-,26.13,-,-,51.0
57,臺北市,1998/09/22,松山,3.7,1.02,28.6,-,-,-,49.99,11.76,38.23,-,-,-,25.8,-,-,67.0
58,臺北市,1998/09/22,古亭,3.0,1.0,27.6,-,74,37,44.83,9.7,35.13,2.47,0.37,2.1,24.93,-,-,62.0
59,臺北市,1998/09/22,中山,3.0,1.0,29.6,-,68,-,43.53,6.53,37.0,2.561,0.28,2.28,25.65,-,-,59.0
60,臺北市,1998/09/22,大同,8.9,4.7,-,-,-,-,204.54,135.47,69.07,4.557,2.21,2.35,26.48,-,-,74.0
61,臺北市,1998/09/22,萬華,3.3,1.09,35.1,-,60,-,28.51,2.1,26.42,-,-,-,25.71,-,-,55.0
62,臺北市,1998/09/22,陽明,0.9,0.4,60.6,-,28,-,1.76,0.14,1.62,-,-,-,18.8,-,91.0,63.0
63,臺北市,1998/09/22,士林,2.8,0.79,38.1,-,68,-,24.13,1.95,22.18,-,-,-,25.63,-,-,59.0
64,臺北市,1998/09/21,松山,4.0,1.36,11.9,-,49,-,63.19,15.62,47.57,-,-,-,25.7,-,-,49.0
65,臺北市,1998/09/21,古亭,4.1,1.29,13.7,-,75,34,57.88,16.23,41.65,2.751,0.59,2.16,24.48,-,-,62.0
66,臺北市,1998/09/21,中山,4.9,1.28,16.8,-,62,-,51.35,12.12,39.23,2.986,0.51,2.48,25.75,-,-,56.0
67,臺北市,1998/09/21,大同,7.9,2.73,-,-,-,-,112.83,64.24,48.59,3.852,1.36,2.49,25.93,-,-,51.0
68,臺北市,1998/09/21,萬華,5.9,1.23,20.9,-,58,-,36.66,3.07,33.59,-,-,-,25.64,-,-,54.0
69,臺北市,1998/09/21,陽明,1.0,0.38,49.2,-,16,-,2.77,0.13,2.64,-,-,-,18.22,-,97.0,54.0
70,臺北市,1998/09/21,士林,3.3,0.87,23.2,-,53,-,30.53,5.12,25.4,-,-,-,25.24,-,-,51.0
71,臺北市,1998/09/20,松山,5.5,0.98,37.5,-,42,-,53.67,9.66,44.02,-,-,-,27.6,-,-,97.0
72,臺北市,1998/09/20,古亭,5.8,1.09,36.7,-,79,38,57.68,14.46,43.21,2.795,0.54,2.25,27.07,-,-,96.0
73,臺北市,1998/09/20,中山,6.3,1.18,38.1,-,65,-,54.25,10.96,43.28,2.881,0.52,2.36,27.28,-,-,96.0
74,臺北市,1998/09/20,大同,7.1,2.37,-,-,-,-,104.78,52.59,52.19,3.586,0.85,2.74,28.07,-,-,35.0
75,臺北市,1998/09/20,萬華,7.3,1.09,48.7,-,64,-,36.27,3.16,33.11,-,-,-,27.46,-,-,118.0
76,臺北市,1998/09/20,陽明,3.9,0.36,71.5,-,22,-,5.78,0.47,5.31,-,-,-,21.89,-,76.0,89.0
77,臺北市,1998/09/20,士林,6.7,1.01,38.2,-,57,-,36.07,5.51,30.56,-,-,-,26.44,-,-,83.0
78,臺北市,1998/09/19,松山,4.1,0.93,32.2,-,41,-,52.25,12.72,39.53,-,-,-,26.69,-,-,77.0
79,臺北市,1998/09/19,古亭,3.9,1.2,23.3,-,54,29,66.29,25.25,41.04,2.556,0.46,2.1,25.43,-,-,52.0
80,臺北市,1998/09/19,中山,3.7,0.99,33.3,-,63,-,46.75,9.21,37.54,2.652,0.39,2.27,26.42,-,-,58.0
81,臺北市,1998/09/19,大同,6.5,3.25,-,-,-,-,147.59,96.8,50.79,4.084,1.42,2.66,27.29,-,-,56.0
82,臺北市,1998/09/19,萬華,3.9,0.92,37.0,-,53,-,28.89,2.21,26.68,-,-,-,26.52,-,-,59.0
83,臺北市,1998/09/19,陽明,1.1,0.27,61.2,-,18,-,3.78,0.21,3.56,-,-,-,18.82,-,84.0,60.0
84,臺北市,1998/09/19,士林,2.5,0.79,35.6,-,48,-,25.59,3.63,21.96,-,-,-,25.71,-,-,48.0
85,臺北市,1998/09/18,松山,1.1,0.6,33.4,-,26,-,25.78,3.79,21.99,-,-,-,26.97,-,-,40.0
86,臺北市,1998/09/18,古亭,1.3,0.9,23.9,-,35,20,45.6,16.24,29.35,2.452,0.39,2.06,26.36,-,-,35.0
87,臺北市,1998/09/18,中山,1.1,0.7,33.8,-,38,-,31.68,5.05,26.63,-,-,-,26.96,-,-,40.0
88,臺北市,1998/09/18,大同,4.3,3.03,-,-,-,-,136.02,87.66,48.36,3.807,1.29,2.51,27.67,-,-,44.0
89,臺北市,1998/09/18,萬華,1.2,0.81,30.4,-,33,-,24.21,2.65,21.56,-,-,-,26.79,-,-,38.0
90,臺北市,1998/09/18,陽明,0.6,0.22,55.2,-,14,-,1.38,0.15,1.23,-,-,-,18.91,-,90.0,49.0
91,臺北市,1998/09/18,士林,2.4,0.67,32.9,-,41,-,29.96,7.48,22.48,-,-,-,26.46,-,-,41.0
92,臺北市,1998/09/17,松山,1.3,0.61,22.7,-,25,-,35.94,9.1,26.84,-,-,-,27.02,-,-,33.0
93,臺北市,1998/09/17,古亭,1.6,0.69,21.6,-,31,20,38.5,15.21,23.29,2.433,0.32,2.11,26.38,-,-,31.0
94,臺北市,1998/09/17,中山,1.3,0.66,23.9,-,32,-,35.5,7.03,28.47,-,-,-,26.9,-,-,35.0
95,臺北市,1998/09/17,大同,6.0,3.66,-,-,-,-,173.22,122.6,50.62,4.291,1.73,2.56,27.75,-,-,54.0
96,臺北市,1998/09/17,萬華,1.5,0.74,26.7,-,29,-,23.36,3.13,20.23,-,-,-,27.02,-,-,35.0
97,臺北市,1998/09/17,陽明,0.2,0.19,48.2,-,14,-,1.66,0.14,1.53,-,-,-,19.24,-,87.0,44.0
98,臺北市,1998/09/17,士林,2.7,0.59,23.4,-,37,-,32.46,9.75,22.71,-,-,-,26.19,-,-,37.0
99,臺北市,1998/09/16,松山,2.1,0.71,17.2,-,27,-,37.92,9.08,28.85,-,-,-,27.1,-,-,31.0
100,臺北市,1998/09/16,古亭,2.5,0.81,17.1,-,38,24,42.79,16.17,26.62,2.443,0.35,2.09,26.43,-,-,38.0
101,臺北市,1998/09/16,中山,1.4,0.72,21.8,-,42,-,34.11,8.15,25.96,-,-,-,27.09,-,-,42.0
102,臺北市,1998/09/16,大同,6.1,3.7,-,-,-,-,150.78,108.41,42.37,4.071,1.84,2.23,27.86,-,-,62.0
103,臺北市,1998/09/16,萬華,2.2,0.79,21.0,-,29,-,24.92,3.2,21.72,-,-,-,27.16,-,-,32.0
104,臺北市,1998/09/16,陽明,0.2,0.21,45.7,-,16,-,1.54,0.11,1.43,-,-,-,19.79,-,88.0,45.0
105,臺北市,1998/09/16,士林,1.8,0.62,24.2,-,36,-,24.24,6.42,17.81,-,-,-,26.75,-,-,36.0
106,臺北市,1998/09/15,松山,5.2,0.75,13.6,-,42,-,38.92,11.58,27.34,-,-,-,29.52,-,-,42.0
107,臺北市,1998/09/15,古亭,5.1,0.73,16.8,-,37,26,39.25,13.57,25.68,2.305,0.25,2.06,28.98,-,-,37.0
108,臺北市,1998/09/15,中山,5.2,0.89,15.5,-,42,-,39.05,12.21,26.83,2.35,0.25,2.1,29.51,-,-,42.0
109,臺北市,1998/09/15,大同,8.6,4.42,-,-,-,-,162.79,120.41,42.38,4.114,1.89,2.23,30.61,-,-,70.0
110,臺北市,1998/09/15,萬華,4.4,0.86,18.2,-,32,-,27.11,4.66,22.44,-,-,-,29.79,-,-,32.0
111,臺北市,1998/09/15,陽明,4.3,0.22,35.1,-,14,-,5.58,1.02,4.56,-,-,-,23.15,-,84.0,60.0
112,臺北市,1998/09/15,士林,3.8,0.55,19.1,-,37,-,18.82,2.38,16.44,-,-,-,29.7,-,-,37.0
113,臺北市,1998/09/14,松山,4.7,0.82,16.1,-,28,-,36.72,12.14,24.59,-,-,-,30.01,-,-,30.0
114,臺北市,1998/09/14,古亭,2.8,0.83,18.7,-,30,19,34.26,10.37,23.89,2.319,0.3,2.02,29.89,-,-,30.0
115,臺北市,1998/09/14,中山,5.7,0.72,20.1,-,36,-,32.44,8.06,24.51,2.323,0.19,2.13,29.91,-,-,36.0
116,臺北市,1998/09/14,大同,8.6,3.64,-,-,-,-,135.82,97.72,38.1,3.838,1.59,2.25,30.73,-,-,60.0
117,臺北市,1998/09/14,萬華,3.4,0.95,20.0,-,27,-,28.05,6.49,21.56,-,-,-,30.45,-,-,30.0
118,臺北市,1998/09/14,陽明,2.4,0.22,36.0,-,14,-,2.84,0.17,2.66,-,-,-,22.28,-,91.0,37.0
119,臺北市,1998/09/14,士林,12.5,0.48,19.3,-,33,-,24.2,5.83,18.37,-,-,-,29.9,-,-,33.0
120,臺北市,1998/09/13,松山,1.3,0.63,20.0,-,23,-,24.94,5.01,19.93,-,-,-,30.59,-,-,27.0
121,臺北市,1998/09/13,古亭,0.3,0.47,23.2,-,27,16,20.17,4.45,15.71,2.172,0.16,2.01,30.05,-,-,27.0
