序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1996/05/31,松山,7.6,2.56,8.9,-,64,120,75.08,44.59,-,-,-,24.92,-,-,57.0
2,臺北市,1996/05/31,古亭,5.9,2.64,12.5,-,63,101,63.84,37.34,2.39,0.55,-,25.25,-,-,66.0
3,臺北市,1996/05/31,中山,10.3,2.58,12.8,-,62,115,71.94,43.55,4.21,1.03,3.17,25.02,-,-,56.0
4,臺北市,1996/05/31,大同,14.3,4.42,-,-,73,185,136.03,48.76,5.53,2.25,3.28,25.36,-,-,64.0
5,臺北市,1996/05/31,萬華,10.1,2.93,13.2,-,66,91,50.97,40.4,-,-,-,25.09,-,-,75.0
6,臺北市,1996/05/31,陽明,1.6,0.19,22.6,-,12,3,0.16,2.49,-,-,-,20.07,-,97.0,33.0
7,臺北市,1996/05/31,士林,6.3,1.81,11.5,-,59,78,52.08,26.24,-,-,-,24.65,-,-,55.0
8,臺北市,1996/05/30,松山,15.2,1.57,10.0,-,50,84,39.86,44.21,-,-,-,23.39,-,-,50.0
9,臺北市,1996/05/30,古亭,9.2,2.4,15.6,-,64,99,55.9,42.9,-,-,-,24.1,-,-,57.0
10,臺北市,1996/05/30,中山,14.2,1.83,11.0,-,59,93,44.42,48.79,3.27,0.84,2.42,23.68,-,-,55.0
11,臺北市,1996/05/30,大同,27.3,6.36,-,-,82,283,219.32,63.94,5.69,3.23,2.46,24.2,-,-,100.0
12,臺北市,1996/05/30,萬華,13.2,2.87,16.6,-,67,104,51.06,52.61,-,-,-,24.03,-,-,62.0
13,臺北市,1996/05/30,陽明,3.4,0.25,26.8,-,15,5,0.27,5.11,-,-,-,20.07,-,100.0,34.0
14,臺北市,1996/05/30,士林,9.3,1.91,6.9,-,76,79,39.01,39.62,-,-,-,23.52,-,-,63.0
15,臺北市,1996/05/29,松山,7.7,1.12,9.6,-,28,53,16.08,37.1,-,-,-,22.49,-,-,28.0
16,臺北市,1996/05/29,古亭,4.5,1.4,14.0,-,25,56,23.77,32.7,2.64,0.48,2.17,22.79,-,-,28.0
17,臺北市,1996/05/29,中山,8.6,1.69,8.2,-,58,75,34.47,40.16,2.94,0.63,2.32,22.68,-,-,54.0
18,臺北市,1996/05/29,大同,21.6,6.61,-,-,75,287,229.37,57.21,5.35,3.06,2.29,23.34,-,-,105.0
19,臺北市,1996/05/29,萬華,5.9,1.48,12.3,-,31,51,15.59,35.27,-,-,-,22.85,-,-,31.0
20,臺北市,1996/05/29,陽明,0.4,0.26,30.7,-,-,3,0.03,3.15,-,-,-,18.91,-,100.0,35.0
21,臺北市,1996/05/29,士林,3.0,1.19,6.0,-,34,52,21.61,29.92,-,-,-,22.96,-,-,34.0
22,臺北市,1996/05/28,松山,6.9,1.64,3.2,-,47,73,37.55,35.72,-,-,-,24.01,-,-,47.0
23,臺北市,1996/05/28,古亭,4.4,1.9,6.8,-,41,75,41.47,33.32,3.33,0.69,2.63,24.32,-,-,41.0
