序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2015/05/31,松山,2.7,0.34,415.39,31.8,31,16,16.91,2.9,14.01,1.83,28.28,76.73
2,臺北市,2015/05/31,古亭,2.7,0.43,-,23.0,39,18,19.45,2.92,16.54,1.67,28.69,76.46
3,臺北市,2015/05/31,中山,2.5,0.53,-,25.1,36,17,24.83,6.01,18.81,1.79,28.54,81.12
4,臺北市,2015/05/31,大同,3.0,0.82,-,-,46,12,31.19,10.53,20.66,-,-,-
5,臺北市,2015/05/31,萬華,2.6,0.5,-,25.6,30,14,23.57,3.8,19.76,1.44,28.24,80.44
6,臺北市,2015/05/31,陽明,1.4,0.15,402.87,34.4,12,10,3.71,1.04,2.67,-,21.58,90.36
7,臺北市,2015/05/31,士林,2.0,0.24,-,35.4,31,13,11.53,2.29,9.24,2.3,27.73,79.24
8,臺北市,2015/05/30,松山,3.9,0.49,425.73,22.7,34,15,26.79,6.78,20.01,2.3,31.29,62.49
9,臺北市,2015/05/30,古亭,2.6,0.4,-,19.5,37,15,18.93,4.11,14.82,2.33,31.11,63.77
10,臺北市,2015/05/30,中山,2.3,0.7,-,15.7,37,18,34.53,11.43,23.1,2.09,32.02,64.72
11,臺北市,2015/05/30,大同,2.7,1.39,-,-,46,17,44.78,22.18,22.6,-,-,-
12,臺北市,2015/05/30,萬華,1.4,0.48,-,21.9,24,14,21.39,5.07,16.31,2.1,31.19,65.86
13,臺北市,2015/05/30,陽明,1.1,0.15,399.85,29.6,18,12,5.22,0.95,4.25,-,23.76,73.64
14,臺北市,2015/05/30,士林,2.2,0.27,-,24.7,39,14,15.26,2.61,12.65,2.74,30.81,68.52
15,臺北市,2015/05/29,松山,3.8,0.62,432.64,20.7,32,14,36.41,12.3,24.1,1.88,31.02,65.16
16,臺北市,2015/05/29,古亭,2.2,0.52,-,19.4,35,14,22.55,6.57,15.98,1.89,30.94,64.55
17,臺北市,2015/05/29,中山,3.6,0.89,-,17.5,36,17,41.08,15.59,25.49,1.78,32.15,64.4
18,臺北市,2015/05/29,大同,3.7,1.86,-,-,49,17,59.53,32.88,26.64,-,-,-
19,臺北市,2015/05/29,萬華,3.1,0.58,-,22.3,29,14,24.79,5.4,19.39,1.56,31.32,65.5
20,臺北市,2015/05/29,陽明,1.6,0.16,400.53,29.0,18,13,6.18,1.14,5.04,-,23.79,74.68
21,臺北市,2015/05/29,士林,2.6,0.33,-,24.9,42,14,20.26,3.65,16.61,1.99,31.05,67.56
22,臺北市,2015/05/28,松山,1.8,0.67,430.61,11.7,27,10,39.66,18.09,21.58,2.07,30.0,64.31
23,臺北市,2015/05/28,古亭,2.5,0.46,-,13.1,32,12,22.85,6.95,15.9,2.14,29.95,66.82
24,臺北市,2015/05/28,中山,2.6,0.98,-,9.1,28,12,46.19,22.96,23.23,1.78,30.58,67.1
