序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2017/06/30,松山,7.4,0.65,458.73,29.6,30,28,37.8,9.04,28.76,2.08,0.273,1.807,1.43,1.1,30.04,-,-,70.79,-
2,臺北市,2017/06/30,古亭,2.9,0.61,-,32.1,37,22,28.81,4.65,24.15,2.163,0.279,1.884,1.55,1.15,29.49,-,-,74.76,-
3,臺北市,2017/06/30,中山,4.6,0.83,-,21.4,41,-,42.92,9.73,33.19,2.238,0.352,1.886,1.47,0.88,29.7,-,-,58.57,-
4,臺北市,2017/06/30,大同,4.1,1.85,-,-,60,10,69.61,33.23,36.38,2.667,0.633,2.034,-,-,-,-,-,-,-
5,臺北市,2017/06/30,陽明,1.9,0.13,417.66,38.9,23,19,4.42,0.5,3.87,-,-,-,-,-,22.5,3,4.78,89.52,15.33
6,臺北市,2017/06/30,士林,3.2,0.55,-,26,38,21,25.13,2.27,22.85,-,-,-,1.63,1.35,28.83,-,-,75.67,-
7,臺北市,2017/06/26,松山,3.3,0.42,425.3,18.9,24,15,25.76,7.16,18.6,1.915,0.165,1.75,1.87,1.45,31.52,-,-,65.05,-
8,臺北市,2017/06/26,古亭,2.3,0.35,-,23.9,26,12,18.85,4.86,13.99,1.981,0.134,1.848,1.85,1.41,31.33,-,-,68.28,-
9,臺北市,2017/06/26,中山,2.4,0.61,-,19.4,27,11,30.65,10.77,19.88,1.984,0.207,1.777,1.93,1.39,32.09,-,-,63.91,-
10,臺北市,2017/06/26,大同,2.4,1.31,-,-,46,4,46.29,24.86,21.43,2.287,0.39,1.896,-,-,-,-,-,-,-
11,臺北市,2017/06/26,陽明,2.5,0.11,408.07,25.3,12,7,5.92,0.8,5.12,-,-,-,-,-,23.44,1.5,5.45,86.8,60.14
12,臺北市,2017/06/26,士林,2.3,0.23,-,24.5,25,9,13.79,3.02,10.77,-,-,-,2.62,2.23,31.1,-,-,66.7,-
13,臺北市,2017/06/25,松山,2.3,0.44,425.79,16.4,16,10,25.8,9.16,16.65,1.915,0.159,1.756,2.26,1.93,31.53,-,-,63.17,-
14,臺北市,2017/06/25,古亭,2.2,0.36,-,20.6,20,10,16.51,4.28,12.23,1.988,0.114,1.874,2.17,1.56,30.85,-,-,69.81,-
15,臺北市,2017/06/25,中山,2.7,0.55,-,15,26,11,28.75,11.33,17.42,1.948,0.165,1.783,2.02,1.53,31.8,-,-,64.82,-
16,臺北市,2017/06/25,大同,2.1,1.23,-,-,40,6,45.71,26.15,19.56,2.225,0.324,1.901,-,-,-,-,-,-,-
17,臺北市,2017/06/25,陽明,1.7,0.1,406.96,21.2,10,6,4.82,0.94,3.85,-,-,-,-,-,23.32,0,0,84.52,0
18,臺北市,2017/06/25,士林,2,0.22,-,19,25,10,12,2.26,9.74,-,-,-,2.42,2.12,30.79,-,-,66.62,-
19,臺北市,2017/06/24,松山,2.2,0.47,430.65,18.5,20,14,28.26,10.1,18.16,2.016,0.208,1.808,1.9,1.52,31.19,-,-,66.34,-
20,臺北市,2017/06/24,古亭,2.1,0.36,-,22.7,19,11,18.14,4.09,14.05,2.001,0.138,1.863,1.89,1.43,30.79,-,-,70.45,-
21,臺北市,2017/06/24,中山,2.7,0.66,-,15.4,26,11,32.25,11.06,21.2,2.071,0.222,1.849,1.93,1.29,31.57,-,-,64.48,-
22,臺北市,2017/06/24,大同,3.3,1.54,-,-,45,6,58.91,36.4,22.52,2.506,0.446,2.06,-,-,-,-,-,-,-
23,臺北市,2017/06/24,陽明,1.9,0.1,410.54,23.2,11,6,4.84,0.8,4,-,-,-,-,-,23.68,0,0,82.14,0
