序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2015/01/31,松山,2.3,0.55,24.6,27.0,17,23,3.93,18.57,1.94,13.71,81.94
2,臺北市,2015/01/31,古亭,2.4,0.56,24.1,36.0,21,21,4.43,16.2,2.94,14.44,83.5
3,臺北市,2015/01/31,中山,2.5,0.69,21.7,39.0,16,29,8.05,21.09,2.45,14.92,79.84
4,臺北市,2015/01/31,大同,2.7,1.08,-,43.0,13,59,31.7,27.68,-,-,-
5,臺北市,2015/01/31,萬華,2.0,0.57,22.4,28.0,18,24,4.9,19.02,3.04,14.67,76.74
6,臺北市,2015/01/31,陽明,1.4,0.38,40.0,5.0,3,3,0.51,2.0,-,7.36,100.0
7,臺北市,2015/01/31,士林,0.8,0.44,35.4,21.0,12,11,2.37,8.14,2.41,14.9,69.83
8,臺北市,2015/01/30,松山,0.7,0.35,25.5,16.0,5,20,3.75,15.76,2.34,16.25,77.46
9,臺北市,2015/01/30,古亭,1.1,0.43,20.1,30.0,7,24,4.83,18.67,2.56,16.98,79.64
10,臺北市,2015/01/30,中山,1.7,0.56,19.8,37.0,6,31,10.82,20.35,1.87,17.49,75.37
11,臺北市,2015/01/30,大同,2.8,0.98,-,26.0,5,65,39.36,26.1,-,-,-
12,臺北市,2015/01/30,萬華,1.4,0.47,17.7,18.0,6,30,7.99,22.13,1.94,17.21,73.39
13,臺北市,2015/01/30,陽明,0.5,0.18,37.8,5.0,2,2,1.31,1.14,-,9.45,100.0
14,臺北市,2015/01/30,士林,0.6,0.29,29.2,16.0,6,15,3.87,10.76,1.69,16.94,71.03
15,臺北市,2015/01/29,松山,3.4,0.49,21.1,27.0,7,33,10.13,22.95,1.71,17.67,82.33
16,臺北市,2015/01/29,古亭,3.2,0.5,20.0,34.0,10,30,8.21,21.84,2.4,18.51,83.51
17,臺北市,2015/01/29,中山,3.8,0.66,18.6,42.0,10,41,14.93,25.94,2.1,18.81,80.8
18,臺北市,2015/01/29,大同,5.0,1.28,-,41.0,9,81,49.48,31.61,-,-,-
19,臺北市,2015/01/29,萬華,4.3,0.53,18.1,26.0,10,37,11.32,25.58,2.46,18.56,79.15
20,臺北市,2015/01/29,陽明,0.6,0.16,42.4,6.0,4,2,1.09,0.73,-,11.8,99.99
21,臺北市,2015/01/29,士林,2.1,0.35,30.5,24.0,8,15,1.87,12.98,1.86,18.64,73.64
22,臺北市,2015/01/28,松山,2.4,0.46,24.3,20.0,13,28,6.18,22.02,2.04,14.61,86.29
23,臺北市,2015/01/28,古亭,2.1,0.43,26.2,34.0,15,20,3.69,16.0,3.0,15.21,88.44
24,臺北市,2015/01/28,中山,1.9,0.6,22.5,40.0,11,31,9.13,22.04,2.66,15.68,84.71
25,臺北市,2015/01/28,大同,3.1,1.34,-,40.0,12,79,47.33,31.36,-,-,-
26,臺北市,2015/01/28,萬華,2.6,0.47,23.6,29.0,14,27,6.03,21.08,3.27,15.44,82.34
27,臺北市,2015/01/28,陽明,0.5,0.23,42.9,5.0,2,2,1.11,1.33,-,8.75,100.0
28,臺北市,2015/01/28,士林,1.4,0.31,38.4,-,8,9,2.33,6.84,2.65,15.98,72.11
29,臺北市,2015/01/27,松山,1.9,0.55,35.4,39.0,25,26,3.83,22.03,2.0,17.03,85.89
30,臺北市,2015/01/27,古亭,2.1,0.6,29.5,51.0,29,26,3.83,22.16,2.48,17.49,91.56
31,臺北市,2015/01/27,中山,1.2,0.77,27.9,53.0,23,35,7.83,27.18,2.03,17.9,86.29
32,臺北市,2015/01/27,大同,2.9,1.54,-,50.0,21,88,48.11,40.31,-,-,-
33,臺北市,2015/01/27,萬華,1.7,0.63,30.1,36.0,24,29,4.36,24.64,2.42,17.73,84.31
34,臺北市,2015/01/27,陽明,1.2,0.37,52.4,5.0,3,2,0.69,1.79,-,11.2,100.0
35,臺北市,2015/01/27,士林,0.9,0.55,35.9,-,16,20,3.32,17.11,1.74,17.41,79.66
36,臺北市,2015/01/26,松山,4.7,0.76,12.2,42.0,26,52,17.18,35.3,1.33,18.75,75.83
37,臺北市,2015/01/26,古亭,3.7,0.71,15.8,49.0,29,41,12.17,28.53,1.56,19.18,79.37
38,臺北市,2015/01/26,中山,3.4,0.96,12.8,69.0,28,60,23.34,36.26,1.34,19.45,77.94
39,臺北市,2015/01/26,大同,4.5,1.46,-,64.0,23,86,47.25,39.09,-,-,-
40,臺北市,2015/01/26,萬華,3.9,0.82,12.0,47.0,26,50,14.94,35.27,1.32,19.16,76.16
41,臺北市,2015/01/26,陽明,2.0,0.21,46.5,16.0,12,3,0.38,2.63,-,13.34,91.17
42,臺北市,2015/01/26,士林,3.0,0.62,17.8,49.0,26,37,8.73,27.97,1.1,18.57,77.32
43,臺北市,2015/01/25,松山,4.7,0.84,20.3,53.0,29,51,16.84,33.81,1.28,19.68,59.05
44,臺北市,2015/01/25,古亭,4.4,0.92,14.1,62.0,37,52,13.93,38.13,1.27,19.8,65.84
45,臺北市,2015/01/25,中山,4.1,0.98,15.7,79.0,31,58,20.32,38.14,1.34,20.2,63.98
46,臺北市,2015/01/25,大同,4.2,1.57,-,76.0,32,83,39.96,43.05,-,-,-
47,臺北市,2015/01/25,萬華,4.4,1.1,12.6,55.0,35,61,20.99,39.87,1.02,19.63,64.17
48,臺北市,2015/01/25,陽明,2.5,0.22,44.8,20.0,14,5,0.71,4.53,-,13.89,73.98
49,臺北市,2015/01/25,士林,3.5,0.55,27.5,55.0,33,32,4.91,26.64,1.1,19.53,65.25
50,臺北市,2015/01/24,松山,3.0,0.89,23.7,63.0,35,49,15.58,33.87,1.53,16.88,60.38
51,臺北市,2015/01/24,古亭,3.1,0.9,22.3,68.0,44,48,13.81,34.01,1.49,18.07,61.57
52,臺北市,2015/01/24,中山,3.8,1.24,17.7,89.0,39,79,35.06,43.99,1.5,18.37,59.9
53,臺北市,2015/01/24,大同,4.7,1.81,-,82.0,40,119,67.78,51.42,-,-,-
54,臺北市,2015/01/24,萬華,3.2,1.1,21.1,63.0,41,58,19.0,38.65,1.12,18.21,56.86
55,臺北市,2015/01/24,陽明,2.3,0.29,54.7,35.0,26,5,0.81,4.36,-,11.77,72.04
56,臺北市,2015/01/24,士林,3.4,0.73,31.2,66.0,40,41,13.93,27.4,1.68,17.16,59.72
57,臺北市,2015/01/23,松山,5.1,0.84,24.2,71.0,42,49,15.67,32.85,1.81,14.45,59.11
58,臺北市,2015/01/23,古亭,3.7,0.73,31.5,69.0,46,32,7.11,25.17,2.26,15.52,59.61
59,臺北市,2015/01/23,中山,4.2,0.92,25.1,92.0,43,48,12.26,35.65,2.07,15.97,58.87
60,臺北市,2015/01/23,大同,5.2,1.37,-,83.0,41,88,45.14,43.15,-,-,-
61,臺北市,2015/01/23,萬華,3.9,0.76,26.5,66.0,43,42,9.44,32.22,2.24,15.59,55.79
62,臺北市,2015/01/23,陽明,4.5,0.38,56.3,42.0,34,5,1.12,4.34,-,7.92,80.93
63,臺北市,2015/01/23,士林,4.0,0.53,45.1,64.0,40,19,2.79,15.95,2.05,15.29,57.02
64,臺北市,2015/01/22,松山,4.0,0.77,28.0,84.0,43,42,10.24,31.64,1.59,14.44,64.0
65,臺北市,2015/01/22,古亭,4.0,0.79,30.1,93.0,49,36,8.02,27.94,1.83,15.0,65.49
66,臺北市,2015/01/22,中山,4.2,0.98,24.4,109.0,46,52,13.44,38.13,1.63,15.67,63.38
67,臺北市,2015/01/22,大同,5.8,1.76,-,100.0,44,102,53.08,49.4,-,-,-
