序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
68,臺北市,2015/01/22,萬華,5.0,0.89,27.4,80.0,44,42,8.83,33.56,1.23,15.33,59.95
69,臺北市,2015/01/22,陽明,4.9,0.4,61.2,59.0,42,5,0.6,4.39,-,7.57,81.04
70,臺北市,2015/01/22,士林,4.1,0.73,35.8,76.0,44,32,8.98,23.35,1.1,14.62,62.51
71,臺北市,2015/01/21,松山,2.7,0.77,20.3,58.0,28,44,12.43,31.25,1.4,17.82,72.1
72,臺北市,2015/01/21,古亭,2.1,0.68,22.0,68.0,32,32,6.84,25.17,1.77,17.93,77.29
73,臺北市,2015/01/21,中山,3.2,1.0,17.8,88.0,34,53,18.13,34.59,1.54,18.53,74.01
74,臺北市,2015/01/21,大同,3.9,1.6,-,79.0,30,76,39.83,36.59,-,-,-
75,臺北市,2015/01/21,萬華,2.9,0.78,22.2,62.0,31,34,6.16,27.84,1.53,17.94,73.31
76,臺北市,2015/01/21,陽明,1.4,0.28,51.4,26.0,19,4,1.18,2.88,-,10.86,89.97
77,臺北市,2015/01/21,士林,2.2,0.59,27.1,58.0,29,30,7.15,22.61,1.69,17.63,72.83
78,臺北市,2015/01/20,松山,3.4,0.63,32.0,76.0,32,32,6.74,25.6,1.87,17.98,61.08
79,臺北市,2015/01/20,古亭,2.0,0.58,34.5,78.0,36,24,4.54,19.89,2.9,18.79,63.2
80,臺北市,2015/01/20,中山,3.1,0.77,28.8,103.0,36,39,10.27,29.18,2.48,18.88,63.04
81,臺北市,2015/01/20,大同,3.8,1.44,-,91.0,32,87,47.84,39.4,-,-,-
82,臺北市,2015/01/20,萬華,2.5,0.6,29.8,75.0,34,34,6.99,26.66,3.04,18.56,60.41
83,臺北市,2015/01/20,陽明,4.0,0.3,52.0,43.0,29,5,1.2,3.37,-,10.31,95.49
84,臺北市,2015/01/20,士林,2.8,0.4,47.8,75.0,31,15,2.97,12.38,2.53,18.63,60.26
85,臺北市,2015/01/19,松山,3.4,0.52,39.3,77.0,32,24,3.35,20.67,2.33,15.88,54.99
86,臺北市,2015/01/19,古亭,2.8,0.46,41.2,79.0,39,19,3.22,15.32,3.63,16.27,58.85
87,臺北市,2015/01/19,中山,3.9,0.65,35.2,97.0,35,31,6.0,24.54,2.6,16.63,57.94
88,臺北市,2015/01/19,大同,4.9,0.98,-,88.0,31,62,28.0,33.77,-,-,-
89,臺北市,2015/01/19,萬華,3.9,0.52,34.5,72.0,34,28,4.35,23.62,3.37,16.29,55.06
90,臺北市,2015/01/19,陽明,2.8,0.32,54.7,48.0,32,4,0.34,3.19,-,7.87,89.6
91,臺北市,2015/01/19,士林,2.3,0.37,51.2,73.0,34,12,2.4,10.05,3.0,16.24,54.99
92,臺北市,2015/01/18,松山,2.3,0.39,33.0,36.0,17,16,2.6,13.57,2.15,16.51,61.55
93,臺北市,2015/01/18,古亭,1.8,0.39,31.7,48.0,22,15,2.75,12.42,2.86,17.14,64.38
94,臺北市,2015/01/18,中山,2.4,0.53,27.3,62.0,20,25,6.74,18.33,2.16,17.34,64.17
95,臺北市,2015/01/18,大同,3.1,0.79,-,57.0,18,52,26.29,25.75,-,-,-
96,臺北市,2015/01/18,萬華,2.3,0.44,27.1,39.0,20,23,4.54,18.51,2.81,16.99,61.12
97,臺北市,2015/01/18,陽明,1.2,0.25,42.0,20.0,14,2,0.86,1.54,-,8.75,96.42
98,臺北市,2015/01/18,士林,2.2,0.31,38.8,33.0,18,-,-,-,2.16,17.02,60.56
99,臺北市,2015/01/17,松山,3.9,0.58,36.3,98.0,56,20,2.5,17.16,2.46,15.26,55.71
100,臺北市,2015/01/17,古亭,4.1,0.6,33.7,104.0,65,20,2.63,17.32,3.03,15.68,59.75
101,臺北市,2015/01/17,中山,4.6,0.73,30.3,122.0,61,29,5.89,22.82,2.39,15.94,59.57
102,臺北市,2015/01/17,大同,4.5,0.94,-,110.0,55,50,23.38,27.05,-,-,-
103,臺北市,2015/01/17,萬華,4.3,0.63,29.3,93.0,61,26,4.47,22.02,3.08,15.65,56.08
104,臺北市,2015/01/17,陽明,3.2,0.43,45.5,65.0,53,4,0.45,3.98,-,7.14,92.03
105,臺北市,2015/01/17,士林,3.9,0.48,41.7,95.0,58,14,1.42,12.3,2.5,15.42,56.59
106,臺北市,2015/01/16,松山,3.5,0.43,28.9,34.0,18,26,6.36,19.72,2.03,16.92,67.04
107,臺北市,2015/01/16,古亭,2.4,0.5,26.9,43.0,19,28,7.57,20.08,2.33,17.79,68.3
108,臺北市,2015/01/16,中山,2.8,0.65,23.2,53.0,17,37,11.39,25.56,2.07,17.91,68.72
109,臺北市,2015/01/16,大同,3.6,1.17,-,53.0,15,83,48.09,34.91,-,-,-
110,臺北市,2015/01/16,萬華,2.9,0.49,23.0,37.0,18,33,8.12,25.29,2.53,17.67,65.74
111,臺北市,2015/01/16,陽明,1.7,0.2,44.3,19.0,13,2,0.34,1.72,-,9.59,99.16
112,臺北市,2015/01/16,士林,1.8,0.29,39.8,35.0,17,12,1.84,10.23,2.01,17.69,64.35
113,臺北市,2015/01/15,松山,1.8,0.44,21.1,30.0,13,27,5.67,21.74,1.71,15.92,64.61
114,臺北市,2015/01/15,古亭,1.6,0.44,22.6,41.0,15,24,6.03,17.62,2.44,16.37,67.97
115,臺北市,2015/01/15,中山,2.2,0.69,16.1,53.0,17,41,13.99,26.63,1.95,16.64,67.95
116,臺北市,2015/01/15,大同,3.0,1.18,-,48.0,12,79,47.57,31.12,-,-,-
117,臺北市,2015/01/15,萬華,2.0,0.5,17.5,34.0,15,32,8.15,24.12,2.44,16.41,64.45
118,臺北市,2015/01/15,陽明,1.4,0.21,37.9,16.0,11,3,0.77,2.5,-,8.34,98.29
119,臺北市,2015/01/15,士林,1.6,0.31,31.4,33.0,14,13,2.53,10.44,2.11,16.13,64.66
120,臺北市,2015/01/14,松山,2.3,0.46,25.5,17.0,7,28,7.15,20.79,2.14,16.46,74.71
121,臺北市,2015/01/14,古亭,1.9,0.51,20.2,31.0,12,27,4.51,22.46,2.11,16.51,82.77
122,臺北市,2015/01/14,中山,2.0,0.75,18.9,38.0,8,42,15.02,26.73,1.78,16.92,79.32
123,臺北市,2015/01/14,大同,2.4,0.96,-,34.0,7,51,24.23,26.63,-,-,-
124,臺北市,2015/01/14,萬華,2.3,0.55,19.1,23.0,8,30,5.21,24.82,1.88,16.52,77.44
125,臺北市,2015/01/14,陽明,0.7,0.22,43.0,7.0,5,3,0.42,2.29,-,9.5,99.26
126,臺北市,2015/01/14,士林,1.7,0.3,32.8,16.0,7,13,1.46,11.84,2.62,16.27,74.93
127,臺北市,2015/01/13,松山,1.0,0.42,36.0,28.0,12,24,6.69,17.4,2.42,19.81,67.03
128,臺北市,2015/01/13,古亭,1.6,0.4,33.8,34.0,14,18,3.29,14.93,3.8,20.57,68.97
129,臺北市,2015/01/13,中山,1.7,0.56,32.3,46.0,11,28,7.27,20.37,3.28,20.66,68.71
130,臺北市,2015/01/13,大同,3.2,1.85,-,46.0,12,85,50.61,34.72,-,-,-
131,臺北市,2015/01/13,萬華,2.2,0.49,32.0,30.0,12,22,3.7,18.71,2.68,20.38,66.97
132,臺北市,2015/01/13,陽明,0.8,0.22,46.1,12.0,8,4,0.34,3.91,-,13.03,96.08
133,臺北市,2015/01/13,士林,1.8,0.3,42.0,26.0,11,11,1.9,9.47,4.14,20.29,66.08
134,臺北市,2015/01/12,松山,2.5,0.44,40.8,51.0,23,25,3.08,21.42,2.28,16.94,64.92
135,臺北市,2015/01/12,古亭,2.4,0.39,42.0,53.0,25,18,2.71,15.16,3.6,17.34,69.03
136,臺北市,2015/01/12,中山,2.9,0.57,35.2,72.0,25,32,5.32,26.72,3.35,17.72,66.98
137,臺北市,2015/01/12,大同,3.7,1.28,-,70.0,24,81,41.73,38.83,-,-,-
138,臺北市,2015/01/12,萬華,2.8,0.47,36.8,47.0,25,27,3.48,23.51,3.84,17.4,64.55
139,臺北市,2015/01/12,陽明,2.5,0.25,57.5,25.0,21,3,0.77,2.27,-,10.28,91.36
140,臺北市,2015/01/12,士林,4.7,0.31,52.8,48.0,23,12,3.09,8.42,4.06,17.68,61.8
141,臺北市,2015/01/11,松山,4.5,0.46,46.2,61.0,30,18,2.08,15.48,2.0,17.25,57.33
142,臺北市,2015/01/11,古亭,3.2,0.42,44.8,68.0,34,13,1.89,11.3,3.5,17.47,62.72
143,臺北市,2015/01/11,中山,4.0,0.58,37.6,79.0,32,28,3.41,24.21,2.84,17.98,60.2
144,臺北市,2015/01/11,大同,3.9,1.12,-,78.0,28,67,30.05,36.77,-,-,-
145,臺北市,2015/01/11,萬華,3.2,0.48,38.4,64.0,33,24,3.06,21.2,2.93,17.67,57.59
146,臺北市,2015/01/11,陽明,3.6,0.31,58.7,37.0,29,3,0.38,2.51,-,9.89,89.08
147,臺北市,2015/01/11,士林,5.0,0.35,54.8,59.0,29,12,4.13,8.25,3.18,17.77,56.72
148,臺北市,2015/01/10,松山,3.1,0.39,31.0,40.0,16,23,3.45,19.56,1.86,16.59,56.36
149,臺北市,2015/01/10,古亭,2.4,0.34,33.6,43.0,19,17,3.53,13.68,2.84,17.05,59.33
150,臺北市,2015/01/10,中山,3.3,0.51,26.5,58.0,19,32,8.0,24.16,2.53,17.37,59.49
151,臺北市,2015/01/10,大同,4.2,1.06,-,51.0,14,71,36.87,33.84,-,-,-
152,臺北市,2015/01/10,萬華,3.3,0.42,27.0,39.0,16,27,4.31,22.5,2.93,17.01,56.44
153,臺北市,2015/01/10,陽明,2.9,0.2,47.1,21.0,16,2,0.52,1.65,-,9.07,91.49
154,臺北市,2015/01/10,士林,2.6,0.25,44.1,37.0,17,11,3.6,6.99,2.91,16.98,56.93
155,臺北市,2015/01/09,松山,1.7,0.45,25.6,44.0,20,29,6.92,22.44,1.83,15.62,57.7
156,臺北市,2015/01/09,古亭,2.2,0.43,28.9,50.0,22,21,4.24,16.8,2.95,16.13,60.15
157,臺北市,2015/01/09,中山,2.8,0.66,21.7,67.0,19,38,11.45,26.79,2.19,16.46,60.83
158,臺北市,2015/01/09,大同,4.2,0.93,-,61.0,19,67,35.88,31.25,-,-,-
159,臺北市,2015/01/09,萬華,2.9,0.49,22.7,48.0,21,33,8.34,24.79,2.94,16.1,57.17
160,臺北市,2015/01/09,陽明,1.7,0.23,43.8,23.0,17,2,0.45,1.68,-,7.75,94.22
161,臺北市,2015/01/09,士林,1.8,0.31,38.4,40.0,21,14,3.68,10.02,2.29,15.94,57.84
162,臺北市,2015/01/08,松山,3.0,0.47,28.5,69.0,37,21,3.7,16.85,2.05,13.33,58.09
163,臺北市,2015/01/08,古亭,3.4,0.5,25.2,76.0,40,22,4.9,16.88,2.63,13.71,61.92
164,臺北市,2015/01/08,中山,3.7,0.62,23.2,90.0,40,30,8.47,21.54,2.34,14.04,61.48
165,臺北市,2015/01/08,大同,4.8,1.2,-,84.0,33,73,44.18,29.23,-,-,-
166,臺北市,2015/01/08,萬華,3.8,0.55,22.1,70.0,37,28,6.74,21.21,2.32,13.78,57.26
167,臺北市,2015/01/08,陽明,2.6,0.31,38.3,35.0,27,4,0.47,3.7,-,5.35,95.4
168,臺北市,2015/01/08,士林,4.5,0.41,32.3,67.0,35,16,3.52,12.07,2.28,13.56,57.99
169,臺北市,2015/01/07,松山,1.4,0.5,30.7,19.0,13,21,3.43,17.08,2.15,15.02,78.49
170,臺北市,2015/01/07,古亭,1.6,0.58,26.0,31.0,14,23,5.16,18.02,2.64,15.63,80.9
171,臺北市,2015/01/07,中山,1.3,0.73,24.1,40.0,11,34,10.6,22.95,2.09,16.27,76.13
172,臺北市,2015/01/07,大同,2.0,1.17,-,34.0,10,64,35.43,28.15,-,-,-
173,臺北市,2015/01/07,萬華,2.1,0.57,24.7,26.0,11,27,5.66,21.07,2.48,15.91,74.09
174,臺北市,2015/01/07,陽明,1.1,0.35,41.9,-,5,4,0.86,2.68,-,8.69,100.0
175,臺北市,2015/01/07,士林,2.1,0.43,36.4,-,10,11,1.64,9.75,1.77,16.16,68.7
176,臺北市,2015/01/06,松山,1.8,1.18,21.4,54.0,33,67,36.93,29.9,1.62,19.09,76.12
177,臺北市,2015/01/06,古亭,2.8,0.81,20.2,53.0,35,39,13.97,24.62,2.09,19.65,77.57
178,臺北市,2015/01/06,中山,-,1.2,18.0,71.0,31,63,29.35,33.41,1.86,20.27,73.41
179,臺北市,2015/01/06,大同,3.6,2.17,-,67.0,29,112,69.35,42.71,-,-,-
180,臺北市,2015/01/06,萬華,1.9,0.89,19.1,47.0,28,45,14.53,30.08,2.04,19.91,72.16
181,臺北市,2015/01/06,陽明,2.0,0.34,44.6,14.0,9,6,0.97,4.68,-,14.7,90.41
182,臺北市,2015/01/06,士林,3.0,0.96,26.6,-,27,49,25.17,24.17,1.61,19.78,71.37
183,臺北市,2015/01/05,松山,4.4,1.7,5.6,49.0,28,119,75.92,43.53,0.76,18.19,76.05
184,臺北市,2015/01/05,古亭,2.9,1.48,6.6,58.0,32,83,40.89,42.38,0.84,19.03,76.74
185,臺北市,2015/01/05,中山,9.2,2.3,4.9,84.0,37,153,104.03,48.81,0.91,19.42,76.58
186,臺北市,2015/01/05,大同,5.9,2.8,-,75.0,34,176,125.11,51.29,-,-,-
187,臺北市,2015/01/05,萬華,4.5,1.71,7.1,49.0,30,97,52.04,45.04,0.76,19.27,72.91
188,臺北市,2015/01/05,陽明,1.7,0.19,41.8,14.0,9,4,0.44,3.47,-,14.63,80.51
189,臺北市,2015/01/05,士林,2.5,1.61,4.6,-,28,95,52.74,42.53,0.85,18.25,74.91
190,臺北市,2015/01/04,松山,4.0,0.83,17.9,40.0,21,52,20.4,31.72,1.06,16.98,69.18
191,臺北市,2015/01/04,古亭,3.1,0.72,21.0,50.0,27,39,10.29,28.24,1.52,17.84,69.9
192,臺北市,2015/01/04,中山,3.9,1.06,15.8,67.0,27,65,26.2,38.59,1.21,18.3,68.97
193,臺北市,2015/01/04,大同,3.8,1.49,-,63.0,24,92,52.94,39.36,-,-,-
194,臺北市,2015/01/04,萬華,2.8,0.91,17.8,47.0,27,46,12.54,33.13,0.95,17.94,66.92
195,臺北市,2015/01/04,陽明,2.2,0.28,48.5,30.0,23,7,0.6,5.97,-,12.81,83.98
196,臺北市,2015/01/04,士林,2.2,0.67,24.4,46.0,29,35,10.05,25.43,1.22,17.1,70.87
197,臺北市,2015/01/03,松山,1.2,0.49,23.3,30.0,8,34,11.98,21.8,1.64,15.76,59.4
198,臺北市,2015/01/03,古亭,1.4,0.41,27.0,33.0,12,25,7.1,17.72,2.28,16.97,59.07
199,臺北市,2015/01/03,中山,2.2,0.54,23.1,43.0,11,37,12.83,23.9,2.14,17.1,59.5
200,臺北市,2015/01/03,大同,3.3,1.09,-,41.0,7,86,51.0,34.52,-,-,-
201,臺北市,2015/01/03,萬華,2.3,0.47,22.1,32.0,11,36,11.85,23.82,2.31,16.9,56.03
202,臺北市,2015/01/03,陽明,2.1,0.15,43.3,16.0,9,4,1.18,2.54,-,9.28,87.54
203,臺北市,2015/01/03,士林,2.1,0.27,36.1,29.0,9,15,1.92,13.07,2.33,16.96,56.42
204,臺北市,2015/01/02,松山,1.5,0.33,31.0,39.0,14,18,3.12,15.04,2.0,13.98,55.02
205,臺北市,2015/01/02,古亭,1.4,0.29,32.5,47.0,16,14,2.72,11.19,3.29,14.49,57.78
206,臺北市,2015/01/02,中山,2.2,0.45,25.4,62.0,17,28,7.51,20.7,2.57,14.88,58.22
207,臺北市,2015/01/02,大同,3.1,0.67,-,54.0,12,53,27.07,26.38,-,-,-
208,臺北市,2015/01/02,萬華,1.9,0.34,26.2,39.0,13,24,4.91,18.84,3.13,14.46,54.44
209,臺北市,2015/01/02,陽明,1.9,0.18,42.4,22.0,12,2,0.75,1.33,-,6.4,87.37
210,臺北市,2015/01/02,士林,2.2,0.23,39.9,43.0,14,10,1.9,8.3,2.72,14.35,55.33
211,臺北市,2015/01/01,松山,4.6,0.47,34.8,91.0,34,17,1.94,15.25,2.43,13.74,52.98
212,臺北市,2015/01/01,古亭,4.8,0.47,31.7,100.0,45,18,2.99,15.29,2.95,14.08,57.04
213,臺北市,2015/01/01,中山,3.0,0.6,29.1,116.0,38,26,5.7,20.22,2.37,14.41,57.04
214,臺北市,2015/01/01,大同,4.8,0.81,-,108.0,33,50,24.45,25.24,-,-,-
215,臺北市,2015/01/01,萬華,4.8,0.52,27.8,91.0,37,25,4.57,20.68,2.85,14.07,53.1
216,臺北市,2015/01/01,陽明,4.1,0.35,41.4,46.0,27,5,0.69,4.62,-,5.67,87.16
217,臺北市,2015/01/01,士林,4.8,0.42,40.7,90.0,35,14,3.9,10.24,2.55,13.77,54.73
218,新北市,2015/01/31,板橋,2.0,0.61,23.7,31.0,16,23,3.75,19.02,2.69,14.45,74.69
219,新北市,2015/01/31,三重,2.5,1.66,-,37.0,11,91,59.53,31.63,-,15.11,70.61
220,新北市,2015/01/31,菜寮,1.5,0.56,23.9,24.0,15,17,2.3,14.63,2.95,14.75,72.08
221,新北市,2015/01/31,永和,2.0,0.67,27.3,28.0,18,22,6.83,15.07,2.76,14.54,84.59
222,新北市,2015/01/31,新莊,1.9,0.57,25.3,27.0,16,19,2.96,15.72,3.69,12.53,75.94
223,新北市,2015/01/31,新店,1.7,0.54,28.7,25.0,20,16,2.95,12.99,1.46,14.38,79.25
224,新北市,2015/01/31,淡水,1.5,0.42,35.8,25.0,16,5,1.51,3.87,-,-,-
225,新北市,2015/01/31,汐止,2.9,0.51,26.0,29.0,19,18,2.52,15.09,2.11,13.47,90.95
226,新北市,2015/01/31,土城,2.0,0.57,28.7,28.0,20,14,1.93,12.45,1.61,14.38,77.58
227,新北市,2015/01/31,林口,1.1,0.43,33.6,28.0,20,10,1.29,9.05,2.69,12.17,87.32
228,新北市,2015/01/31,萬里,1.8,0.38,41.5,60.0,18,4,0.9,3.2,7.58,15.13,84.13
229,新北市,2015/01/30,板橋,1.4,0.47,20.9,26.0,9,22,3.73,18.49,2.21,16.62,74.18
230,新北市,2015/01/30,三重,3.3,1.8,-,40.0,6,131,97.15,34.19,-,17.28,70.42
231,新北市,2015/01/30,菜寮,1.2,0.38,20.0,19.0,9,20,2.9,16.98,1.89,16.55,74.08
232,新北市,2015/01/30,永和,1.5,0.63,21.3,19.0,7,30,10.5,19.73,2.22,17.1,81.03
233,新北市,2015/01/30,新莊,1.4,0.37,25.8,22.0,5,17,3.7,13.08,3.81,14.54,79.25
234,新北市,2015/01/30,新店,1.1,0.36,23.4,16.0,11,17,2.95,14.28,1.46,16.36,81.23
235,新北市,2015/01/30,淡水,1.2,0.2,33.5,14.0,5,5,1.8,2.92,-,-,-
236,新北市,2015/01/30,汐止,0.4,0.28,27.4,15.0,6,15,3.49,11.15,1.99,15.75,88.16
237,新北市,2015/01/30,土城,1.5,0.42,22.9,23.0,13,20,2.54,16.98,1.64,16.41,78.04
238,新北市,2015/01/30,林口,0.9,0.19,34.0,20.0,10,6,1.27,5.1,2.54,13.32,93.19
239,新北市,2015/01/30,萬里,3.5,0.16,37.3,47.0,5,3,0.67,2.74,8.75,15.75,87.33
240,新北市,2015/01/29,板橋,3.9,0.54,22.1,27.0,11,27,5.35,22.08,2.16,18.41,76.38
241,新北市,2015/01/29,三重,5.2,1.6,-,39.0,7,96,64.09,31.46,-,18.83,74.34
242,新北市,2015/01/29,菜寮,3.3,0.49,20.7,23.0,10,24,5.45,18.73,2.49,18.48,76.14
243,新北市,2015/01/29,永和,3.1,0.71,21.9,25.0,8,35,12.72,22.0,2.29,18.62,84.64
