序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2015/03/31,松山,5.4,0.78,449.94,24.2,39,21,43.16,11.28,31.88,1.21,25.01,68.84
2,臺北市,2015/03/31,古亭,3.6,0.8,-,21.9,62,26,39.29,9.75,29.54,1.53,25.14,70.7
3,臺北市,2015/03/31,中山,3.1,1.04,-,21.9,72,28,53.84,18.46,35.38,1.45,25.99,71.35
4,臺北市,2015/03/31,大同,4.2,2.08,-,-,62,26,92.71,49.89,42.82,-,-,-
5,臺北市,2015/03/31,萬華,2.5,0.92,-,23.2,44,25,42.58,8.79,33.79,1.12,25.4,70.34
6,臺北市,2015/03/31,陽明,2.2,0.29,431.73,43.6,24,18,6.71,0.69,6.01,-,18.95,93.95
7,臺北市,2015/03/31,士林,2.7,0.61,-,31.2,-,25,29.44,6.61,22.84,1.63,25.27,71.88
8,臺北市,2015/03/30,松山,3.8,0.82,443.91,24.6,34,19,44.04,11.92,32.12,1.01,23.99,66.34
9,臺北市,2015/03/30,古亭,3.0,0.85,-,31.3,48,27,37.18,7.47,29.71,1.16,24.4,66.36
10,臺北市,2015/03/30,中山,3.9,0.99,-,28.9,55,23,51.15,14.25,36.9,1.17,25.15,66.66
11,臺北市,2015/03/30,大同,4.1,2.12,-,-,58,27,89.58,41.29,48.29,-,-,-
12,臺北市,2015/03/30,萬華,3.6,1.05,-,30.7,41,27,46.89,9.52,37.36,0.88,24.49,65.0
13,臺北市,2015/03/30,陽明,2.9,0.38,436.56,62.0,25,21,7.33,0.46,6.83,-,17.76,86.08
14,臺北市,2015/03/30,士林,2.3,0.66,-,39.9,-,21,27.78,3.93,23.85,1.08,24.26,66.53
15,臺北市,2015/03/29,松山,5.0,0.44,413.3,35.2,23,14,22.11,4.61,17.5,1.82,21.16,66.61
16,臺北市,2015/03/29,古亭,3.9,0.48,-,29.7,36,19,23.33,4.68,18.65,1.86,21.52,66.3
17,臺北市,2015/03/29,中山,4.2,0.64,-,25.0,45,16,36.3,8.25,28.05,1.8,22.07,68.54
18,臺北市,2015/03/29,大同,4.9,1.12,-,-,43,14,73.29,34.94,38.36,-,-,-
19,臺北市,2015/03/29,萬華,4.1,0.54,-,27.6,29,15,32.51,6.24,26.27,2.09,21.74,64.34
20,臺北市,2015/03/29,陽明,3.4,0.26,437.47,55.0,22,17,4.39,0.76,3.62,-,16.77,84.61
21,臺北市,2015/03/29,士林,3.1,0.42,-,37.6,-,15,18.48,3.85,14.63,1.66,21.52,63.61
