序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2014/09/30,松山,5.6,0.5,425.46,23.4,43,23,25.91,6.32,19.59,2.12,27.58,73.81
2,臺北市,2014/09/30,古亭,4.2,0.46,-,24.9,47,25,21.54,5.57,15.98,2.7,28.18,74.45
3,臺北市,2014/09/30,中山,2.2,0.63,-,22.1,58,21,31.26,9.78,21.48,2.1,28.97,69.79
4,臺北市,2014/09/30,大同,3.6,1.32,-,-,53,19,66.26,34.83,31.44,-,-,-
5,臺北市,2014/09/30,萬華,3.3,0.52,-,24.9,40,20,27.1,6.4,20.7,2.69,28.49,70.77
6,臺北市,2014/09/30,陽明,3.3,0.19,392.92,48.4,19,15,3.72,1.07,2.64,-,24.07,76.38
7,臺北市,2014/09/30,士林,2.1,0.4,-,38.5,37,24,16.62,3.46,13.16,2.09,28.07,68.04
8,臺北市,2014/09/29,松山,9.0,0.59,426.16,41.3,48,28,33.87,6.52,27.35,1.59,27.27,71.63
9,臺北市,2014/09/29,古亭,6.6,0.62,-,36.1,53,28,30.83,6.09,24.74,1.98,27.96,71.71
10,臺北市,2014/09/29,中山,10.5,0.75,-,36.6,72,31,39.28,7.58,31.7,1.81,28.58,68.83
11,臺北市,2014/09/29,大同,10.4,1.97,-,-,65,26,88.86,46.27,42.59,-,-,-
12,臺北市,2014/09/29,萬華,8.4,0.67,-,41.1,49,28,36.33,5.52,30.82,1.67,28.41,67.78
13,臺北市,2014/09/29,陽明,2.2,0.27,395.21,63.1,32,26,5.44,0.64,4.72,-,24.54,78.94
14,臺北市,2014/09/29,士林,5.8,0.52,-,51.3,50,30,-,-,-,1.57,27.93,63.12
15,臺北市,2014/09/28,松山,6.4,0.38,413.66,30.9,39,21,18.53,2.72,15.8,2.05,26.92,71.24
16,臺北市,2014/09/28,古亭,4.5,0.38,-,29.4,44,22,17.41,3.14,14.27,2.55,27.54,72.19
17,臺北市,2014/09/28,中山,5.2,0.46,-,29.4,56,21,21.45,3.36,18.09,2.36,28.13,69.27
18,臺北市,2014/09/28,大同,6.9,1.19,-,-,52,19,62.91,31.57,31.35,-,-,-
19,臺北市,2014/09/28,萬華,5.3,0.4,-,30.2,40,23,23.19,3.32,19.87,2.76,27.7,70.45
20,臺北市,2014/09/28,陽明,1.4,0.18,387.77,45.2,15,14,1.93,0.78,1.12,-,23.29,84.06
21,臺北市,2014/09/28,士林,4.7,0.33,-,40.7,37,23,13.76,2.53,11.23,2.09,27.7,65.81
22,臺北市,2014/09/27,松山,5.2,0.44,415.31,28.1,41,20,21.93,3.95,17.98,1.87,26.96,70.96
23,臺北市,2014/09/27,古亭,3.3,0.47,-,26.5,47,22,22.11,4.36,17.76,2.13,27.59,72.21
24,臺北市,2014/09/27,中山,3.1,0.56,-,25.0,58,19,27.41,6.12,21.3,2.01,28.17,69.06
25,臺北市,2014/09/27,大同,3.9,1.25,-,-,56,17,66.42,31.07,35.35,-,-,-
26,臺北市,2014/09/27,萬華,3.4,0.5,-,28.0,39,22,26.21,4.36,21.84,2.38,27.86,69.19
27,臺北市,2014/09/27,陽明,2.2,0.18,401.07,43.4,17,15,2.6,0.63,1.93,-,23.13,90.15
28,臺北市,2014/09/27,士林,4.6,0.36,-,36.6,36,22,16.8,3.55,13.25,2.15,27.54,67.88
29,臺北市,2014/09/26,松山,5.0,0.38,408.71,32.4,39,21,22.2,3.94,18.26,2.06,27.29,75.73
30,臺北市,2014/09/26,古亭,5.3,0.42,-,26.8,43,22,24.76,4.53,20.23,2.51,27.93,77.94
31,臺北市,2014/09/26,中山,4.1,0.54,-,28.7,55,20,26.6,5.5,21.09,2.46,28.29,74.61
32,臺北市,2014/09/26,大同,6.0,1.46,-,-,53,17,79.31,42.93,36.38,-,-,-
33,臺北市,2014/09/26,萬華,4.8,0.42,-,29.4,37,21,28.48,5.17,23.32,2.79,27.98,75.31
34,臺北市,2014/09/26,陽明,1.9,0.17,393.52,44.8,16,13,4.18,1.03,3.16,-,22.73,96.8
35,臺北市,2014/09/26,士林,4.7,0.26,-,43.7,35,22,11.99,1.84,10.14,2.33,27.91,72.45
36,臺北市,2014/09/25,松山,4.5,0.4,419.12,21.9,30,15,22.0,5.07,16.93,1.77,27.42,79.04
