序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,1998/11/30,松山,7.0,1.58,12.1,-,88,-,97.01,44.89,52.12,-,-,-,24.12,-,-,69.0,-
2,臺北市,1998/11/30,古亭,6.8,1.75,9.9,-,88,38,93.9,47.8,43.65,2.838,0.84,2.0,22.77,-,-,69.0,-
3,臺北市,1998/11/30,中山,19.0,-,11.9,-,105,-,-,-,-,3.408,1.0,2.12,23.88,-,-,77.0,-
4,臺北市,1998/11/30,大同,7.0,3.45,-,-,-,-,124.84,100.63,24.21,4.375,1.6,2.77,24.0,-,-,54.0,-
5,臺北市,1998/11/30,萬華,9.5,1.72,10.6,-,104,-,69.91,25.44,44.46,-,-,-,24.04,-,-,77.0,-
6,臺北市,1998/11/30,陽明,2.3,0.19,39.1,-,-,-,6.32,0.51,5.81,-,-,-,18.75,-,83.0,41.0,-
7,臺北市,1998/11/30,士林,6.0,1.09,13.4,-,69,-,62.32,25.1,37.22,-,-,-,23.49,-,-,60.0,-
8,臺北市,1998/11/29,松山,4.8,0.84,14.0,-,45,-,48.34,17.72,30.62,-,-,-,23.18,-,-,45.0,-
9,臺北市,1998/11/29,古亭,2.7,0.93,17.3,-,38,28,46.04,20.45,25.59,2.28,0.27,2.02,22.39,-,-,38.0,-
10,臺北市,1998/11/29,中山,5.5,-,16.0,-,44,-,-,-,-,2.431,0.29,2.14,23.26,-,-,44.0,-
11,臺北市,1998/11/29,大同,4.8,3.71,-,-,-,-,183.66,156.33,27.33,4.279,1.79,2.49,23.52,-,-,63.0,-
12,臺北市,1998/11/29,萬華,3.2,1.11,16.2,-,45,-,38.08,12.58,25.5,-,-,-,23.46,-,-,45.0,-
13,臺北市,1998/11/29,陽明,1.3,0.2,40.3,-,15,-,3.1,0.24,2.87,-,-,-,16.82,-,92.0,52.0,-
14,臺北市,1998/11/29,士林,3.3,0.33,23.0,-,35,-,21.56,3.9,17.65,-,-,-,23.38,-,-,35.0,-
15,臺北市,1998/11/28,松山,2.5,0.6,20.7,-,36,-,40.81,12.13,28.67,-,-,-,20.83,-,-,41.0,-
16,臺北市,1998/11/28,古亭,2.3,0.77,19.9,-,34,24,36.94,11.0,25.94,2.186,0.27,1.91,19.86,-,-,34.0,-
17,臺北市,1998/11/28,中山,3.2,-,19.7,-,31,-,-,-,-,2.211,0.25,1.96,20.95,-,-,38.0,-
18,臺北市,1998/11/28,大同,4.4,4.24,-,-,-,-,201.66,164.5,37.16,4.522,2.17,2.36,21.46,-,-,65.0,-
19,臺北市,1998/11/28,萬華,2.0,0.92,20.4,-,36,-,29.03,4.4,24.63,-,-,-,21.05,-,-,36.0,-
20,臺北市,1998/11/28,陽明,0.5,0.13,43.4,-,12,-,1.14,0.03,1.11,-,-,-,14.18,-,100.0,45.0,-
21,臺北市,1998/11/28,士林,1.2,0.42,26.6,-,25,-,23.56,4.32,19.24,-,-,-,21.09,-,-,39.0,-
22,臺北市,1998/11/27,松山,3.9,0.88,9.2,-,17,-,62.99,32.08,30.9,-,-,-,22.04,-,-,29.0,-
23,臺北市,1998/11/27,古亭,3.6,1.06,7.6,-,15,15,60.46,31.22,29.24,2.277,0.36,1.93,20.89,-,-,19.0,-
24,臺北市,1998/11/27,中山,7.6,-,6.9,-,19,-,-,-,-,2.43,0.44,1.99,21.92,-,-,25.0,-
25,臺北市,1998/11/27,大同,6.0,5.64,-,-,-,-,263.3,221.74,41.56,5.242,2.86,2.39,22.25,-,-,92.0,-
26,臺北市,1998/11/27,萬華,3.2,1.08,6.7,-,14,-,43.71,16.34,27.37,-,-,-,21.91,-,-,18.0,-
27,臺北市,1998/11/27,陽明,0.2,0.14,35.0,-,12,-,0.83,0.03,0.79,-,-,-,17.44,-,99.0,37.0,-
28,臺北市,1998/11/27,士林,2.0,0.61,8.1,-,18,-,46.25,19.64,26.6,-,-,-,21.64,-,-,29.0,-
29,臺北市,1998/11/26,松山,1.9,0.62,19.1,-,34,-,41.03,12.54,28.49,-,-,-,24.69,-,-,34.0,-
30,臺北市,1998/11/26,古亭,0.8,0.58,24.4,-,24,20,26.14,7.57,18.58,2.072,0.18,1.9,23.71,-,-,34.0,-
31,臺北市,1998/11/26,中山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,臺北市,1998/11/26,大同,4.6,4.08,-,-,-,-,186.13,144.43,41.7,4.727,2.38,2.35,24.91,-,-,65.0,-
33,臺北市,1998/11/26,萬華,0.8,0.79,21.5,-,22,-,25.92,5.76,20.16,-,-,-,24.75,-,-,30.0,-
34,臺北市,1998/11/26,陽明,2.9,0.09,37.5,-,16,-,4.47,0.12,4.34,-,-,-,17.49,-,96.0,37.0,-
35,臺北市,1998/11/26,士林,0.6,0.16,29.4,-,22,-,12.43,1.91,10.52,-,-,-,24.68,-,-,34.0,-
36,臺北市,1998/11/25,松山,3.0,0.56,20.3,-,25,-,42.82,11.66,31.17,-,-,-,21.36,-,-,35.0,-
37,臺北市,1998/11/25,古亭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,臺北市,1998/11/25,中山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
