序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
39,臺北市,1998/11/25,大同,4.8,3.8,-,-,-,-,184.95,136.14,48.8,4.315,1.99,2.32,21.58,-,-,65.0,-
40,臺北市,1998/11/25,萬華,2.0,0.84,20.5,-,23,-,31.14,7.02,24.12,-,-,-,21.46,-,-,31.0,-
41,臺北市,1998/11/25,陽明,1.4,0.03,46.3,-,12,-,-,-,-,-,-,-,15.54,-,100.0,45.0,-
42,臺北市,1998/11/25,士林,2.5,0.24,29.5,-,19,-,15.73,1.98,13.75,-,-,-,21.71,-,-,32.0,-
43,臺北市,1998/11/24,松山,4.1,0.6,17.8,-,23,-,46.86,13.22,33.64,-,-,-,20.63,-,-,30.0,-
44,臺北市,1998/11/24,古亭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,臺北市,1998/11/24,中山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,臺北市,1998/11/24,大同,5.1,4.26,-,-,-,-,210.1,157.74,52.37,4.22,1.93,2.29,21.45,-,-,67.0,-
47,臺北市,1998/11/24,萬華,3.7,0.76,18.7,-,17,-,29.67,4.32,25.35,-,-,-,20.84,-,-,28.0,-
48,臺北市,1998/11/24,陽明,0.1,0.13,49.4,-,13,-,0.83,0.6,0.23,-,-,-,15.28,-,100.0,44.0,-
49,臺北市,1998/11/24,士林,0.2,0.35,30.0,-,15,-,14.72,1.56,13.16,-,-,-,21.61,-,-,32.0,-
50,臺北市,1998/11/23,松山,3.3,0.8,23.7,-,37,-,45.52,10.84,34.68,-,-,-,20.65,-,-,39.0,-
51,臺北市,1998/11/23,古亭,2.3,0.86,24.4,-,36,25,40.86,10.64,30.22,-,-,-,19.73,-,-,44.0,-
52,臺北市,1998/11/23,中山,4.3,-,25.5,-,37,-,57.0,21.2,37.68,2.44,0.25,2.19,20.61,-,-,39.0,-
53,臺北市,1998/11/23,大同,4.5,4.57,-,-,-,-,218.6,161.05,57.55,4.623,2.46,2.16,-,-,-,73.0,-
54,臺北市,1998/11/23,萬華,2.4,1.01,24.3,-,-,-,32.57,4.95,27.62,-,-,-,20.97,-,-,40.0,-
55,臺北市,1998/11/23,陽明,-,-,50.8,-,18,-,2.35,1.13,-,-,-,-,-,-,100.0,53.0,-
56,臺北市,1998/11/23,士林,2.7,0.62,33.2,-,30,-,18.18,1.36,16.82,-,-,-,21.75,-,-,45.0,-
57,臺北市,1998/11/22,松山,1.5,0.41,29.7,-,22,-,27.65,4.75,22.89,-,-,-,19.46,-,-,34.0,-
58,臺北市,1998/11/22,古亭,1.0,0.51,30.3,-,28,19,24.87,4.79,20.07,-,-,-,18.61,-,-,36.0,-
59,臺北市,1998/11/22,中山,2.2,-,23.3,-,24,-,42.03,11.01,31.02,2.134,0.14,1.99,19.8,-,-,28.0,-
60,臺北市,1998/11/22,大同,2.8,2.9,-,-,-,-,175.64,125.75,49.88,3.86,1.44,2.42,-,-,-,43.0,-
61,臺北市,1998/11/22,萬華,1.8,0.59,28.5,-,-,-,21.03,1.77,19.26,-,-,-,19.9,-,-,32.0,-
62,臺北市,1998/11/22,陽明,-,-,-,-,14,-,2.35,1.18,1.17,-,-,-,-,-,100.0,54.0,-
63,臺北市,1998/11/22,士林,0.7,0.41,36.8,-,22,-,11.88,0.87,11.01,-,-,-,20.32,-,-,36.0,-
64,臺北市,1998/11/21,松山,2.4,0.48,19.5,-,17,-,37.56,10.16,27.4,-,-,-,22.17,-,-,29.0,-
65,臺北市,1998/11/21,古亭,3.6,0.84,14.7,-,19,16,47.3,15.68,31.63,-,-,-,21.13,-,-,23.0,-
66,臺北市,1998/11/21,中山,2.3,-,15.2,-,27,-,47.61,15.83,31.77,2.365,0.3,2.07,22.42,-,-,27.0,-
67,臺北市,1998/11/21,大同,3.9,4.17,-,-,-,-,201.92,152.25,49.67,4.522,2.07,2.45,-,-,-,69.0,-
68,臺北市,1998/11/21,萬華,2.8,1.08,11.9,-,-,-,42.28,11.52,30.76,-,-,-,22.3,-,-,22.0,-
69,臺北市,1998/11/21,陽明,-,-,-,-,13,-,2.3,1.02,1.28,-,-,-,-,-,99.0,40.0,-
70,臺北市,1998/11/21,士林,2.7,0.62,22.0,-,16,-,23.59,4.22,19.38,-,-,-,22.92,-,-,27.0,-
71,臺北市,1998/11/20,松山,3.0,0.55,19.0,-,20,-,41.83,11.18,30.65,-,-,-,19.91,-,-,30.0,-
72,臺北市,1998/11/20,古亭,3.0,0.68,20.1,-,20,19,32.99,8.22,24.77,-,-,-,18.88,-,-,24.0,-
73,臺北市,1998/11/20,中山,3.2,-,19.3,-,26,-,41.61,12.35,29.26,2.313,0.23,2.08,20.31,-,-,30.0,-
74,臺北市,1998/11/20,大同,4.6,3.53,-,-,-,-,181.07,133.32,47.75,4.152,1.85,2.3,20.86,-,-,58.0,-
75,臺北市,1998/11/20,萬華,2.8,0.75,19.4,-,-,-,28.24,4.37,23.86,-,-,-,20.12,-,-,28.0,-
76,臺北市,1998/11/20,陽明,0.4,0.26,43.5,-,12,-,0.6,0.04,0.56,-,-,-,14.29,-,98.0,38.0,-
77,臺北市,1998/11/20,士林,0.2,-,33.0,-,16,-,11.26,1.66,9.6,-,-,-,-,-,-,33.0,-
78,臺北市,1998/11/19,松山,4.1,0.54,15.8,-,15,-,44.09,13.59,30.5,-,-,-,20.36,-,-,25.0,-
79,臺北市,1998/11/19,古亭,2.7,0.72,15.3,-,14,16,37.19,11.05,26.14,2.432,0.24,2.51,19.21,-,-,24.0,-
80,臺北市,1998/11/19,中山,2.9,0.77,16.9,-,18,-,44.49,14.34,30.15,2.3,0.25,2.05,20.74,-,-,24.0,-
81,臺北市,1998/11/19,大同,4.7,3.57,-,-,-,-,182.81,136.76,46.05,4.388,2.11,2.28,21.19,-,-,57.0,-
82,臺北市,1998/11/19,萬華,3.5,0.76,15.6,-,15,-,30.84,6.03,24.81,-,-,-,20.51,-,-,23.0,-
83,臺北市,1998/11/19,陽明,0.1,0.18,42.0,-,13,-,0.58,0.04,0.53,-,-,-,15.04,-,98.0,36.0,-
84,臺北市,1998/11/19,士林,0.5,0.39,30.7,-,14,-,12.15,1.78,10.34,-,-,-,21.75,-,-,46.0,-
85,臺北市,1998/11/18,松山,3.3,0.52,17.2,-,22,-,44.13,12.92,31.21,-,-,-,19.51,-,-,31.0,-
86,臺北市,1998/11/18,古亭,1.4,0.61,20.0,-,17,18,31.46,8.09,23.37,2.187,0.21,1.98,18.48,-,-,29.0,-
87,臺北市,1998/11/18,中山,3.2,0.9,14.8,-,29,-,45.86,13.95,31.91,2.25,0.13,2.12,19.42,-,-,29.0,-
88,臺北市,1998/11/18,大同,4.7,3.51,-,-,-,-,191.85,143.73,48.13,3.854,1.87,1.98,19.87,-,-,59.0,-
89,臺北市,1998/11/18,萬華,1.7,0.71,19.2,-,17,-,27.34,4.1,23.25,-,-,-,19.61,-,-,29.0,-
90,臺北市,1998/11/18,陽明,0.4,0.16,43.2,-,12,-,1.0,0.05,0.96,-,-,-,13.45,-,99.0,39.0,-
91,臺北市,1998/11/18,士林,2.1,0.42,27.0,-,18,-,16.14,2.21,13.93,-,-,-,19.92,-,-,29.0,-
92,臺北市,1998/11/17,松山,3.5,1.04,17.7,-,48,-,59.84,27.04,32.81,-,-,-,21.8,-,-,48.0,-
93,臺北市,1998/11/17,古亭,1.9,1.08,13.2,-,49,30,50.98,20.52,30.46,2.635,0.47,2.16,20.69,-,-,49.0,-
94,臺北市,1998/11/17,中山,3.9,1.32,12.1,-,57,-,62.36,24.95,37.41,2.879,0.55,2.33,21.82,-,-,53.0,-
95,臺北市,1998/11/17,大同,5.1,3.9,-,-,-,-,201.37,148.44,52.93,4.077,1.98,2.1,22.2,-,-,61.0,-
96,臺北市,1998/11/17,萬華,3.2,1.1,13.5,-,51,-,35.98,7.93,28.05,-,-,-,21.9,-,-,50.0,-
97,臺北市,1998/11/17,陽明,1.1,0.4,40.2,-,14,-,2.69,0.64,2.05,-,-,-,15.49,-,93.0,49.0,-
98,臺北市,1998/11/17,士林,2.6,0.87,22.6,-,51,-,32.5,11.88,20.62,-,-,-,21.5,-,-,50.0,-
99,臺北市,1998/11/16,松山,7.3,1.44,39.1,-,72,-,98.67,45.43,53.24,-,-,-,27.01,-,-,190.0,-
100,臺北市,1998/11/16,古亭,6.2,1.64,26.8,-,75,36,84.6,35.17,45.26,3.049,0.85,2.2,25.92,-,-,122.0,-
101,臺北市,1998/11/16,中山,8.8,1.75,27.2,-,81,-,99.07,47.27,51.8,3.344,0.81,2.53,27.05,-,-,114.0,-
102,臺北市,1998/11/16,大同,6.5,2.76,-,-,-,-,142.59,88.16,54.43,4.198,1.43,2.77,26.9,-,-,40.0,-
103,臺北市,1998/11/16,萬華,8.4,1.57,28.3,-,85,-,61.15,20.83,40.33,-,-,-,-,-,-,136.0,-
104,臺北市,1998/11/16,陽明,1.7,0.27,33.5,-,13,-,3.36,0.4,2.96,-,-,-,22.97,-,74.0,53.0,-
105,臺北市,1998/11/16,士林,5.4,1.21,20.6,-,59,-,63.2,29.58,33.63,-,-,-,26.07,-,-,67.0,-
106,臺北市,1998/11/15,松山,3.9,0.69,13.1,-,31,-,47.03,22.03,24.99,-,-,-,27.27,-,-,31.0,-
107,臺北市,1998/11/15,古亭,2.9,0.98,11.3,-,30,20,54.16,28.38,25.78,2.491,0.41,2.08,26.69,-,-,30.0,-
108,臺北市,1998/11/15,中山,2.8,1.03,12.4,-,33,-,45.53,20.05,25.47,2.602,0.31,2.29,27.97,-,-,33.0,-
109,臺北市,1998/11/15,大同,4.6,3.81,-,-,-,-,185.39,144.82,40.56,4.262,1.66,2.6,28.08,-,-,65.0,-
110,臺北市,1998/11/15,萬華,2.5,0.97,12.5,-,25,-,34.67,10.52,24.14,-,-,-,27.99,-,-,30.0,-
111,臺北市,1998/11/15,陽明,2.1,0.24,30.9,-,14,-,2.82,0.4,2.42,-,-,-,21.9,-,81.0,29.0,-
112,臺北市,1998/11/15,士林,1.8,0.79,16.8,-,28,-,32.24,12.65,19.59,-,-,-,27.84,-,-,28.0,-
113,臺北市,1998/11/14,松山,2.8,0.71,12.5,-,38,-,57.82,26.21,31.61,-,-,-,25.04,-,-,38.0,-
114,臺北市,1998/11/14,古亭,1.1,0.92,10.1,-,31,21,52.34,24.07,28.26,2.598,0.43,2.17,24.32,-,-,31.0,-
115,臺北市,1998/11/14,中山,3.0,1.27,13.0,-,44,-,75.92,44.68,31.25,3.332,0.55,2.79,25.2,-,-,44.0,-
116,臺北市,1998/11/14,大同,4.9,3.57,-,-,-,-,203.22,157.7,45.53,4.569,1.76,2.81,25.01,-,-,50.0,-
117,臺北市,1998/11/14,萬華,2.7,0.93,12.3,-,34,-,-,-,-,-,-,-,25.56,-,-,34.0,-
118,臺北市,1998/11/14,陽明,4.3,0.15,34.5,-,15,-,7.17,1.52,5.65,-,-,-,18.98,-,81.0,36.0,-
119,臺北市,1998/11/14,士林,3.4,0.7,21.8,-,39,-,40.38,20.41,19.97,-,-,-,25.83,-,-,39.0,-
120,臺北市,1998/11/13,松山,4.0,0.99,25.9,-,41,-,76.05,34.91,41.14,-,-,-,23.55,-,-,95.0,-
121,臺北市,1998/11/13,古亭,3.7,1.2,25.7,-,48,25,70.07,30.56,39.51,2.669,0.61,2.06,23.13,-,-,86.0,-
122,臺北市,1998/11/13,中山,3.6,-,23.6,-,45,-,75.23,27.31,47.92,-,-,-,24.12,-,-,86.0,-
123,臺北市,1998/11/13,大同,5.7,3.76,-,-,-,-,196.56,135.76,60.8,4.674,1.98,2.7,24.21,-,-,72.0,-
124,臺北市,1998/11/13,萬華,5.3,1.18,26.0,-,48,-,-,-,-,-,-,-,24.17,-,-,105.0,-
125,臺北市,1998/11/13,陽明,2.0,0.2,48.8,-,13,-,3.91,0.28,3.63,-,-,-,17.81,-,81.0,63.0,-
126,臺北市,1998/11/13,士林,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
127,臺北市,1998/11/12,松山,4.4,0.6,14.9,-,26,-,49.55,16.38,33.18,-,-,-,22.03,-,-,30.0,-
128,臺北市,1998/11/12,古亭,1.0,0.43,24.2,-,23,17,26.29,6.95,19.34,2.187,0.16,2.03,21.5,-,-,25.0,-
129,臺北市,1998/11/12,中山,2.3,-,19.3,-,27,-,39.01,9.37,29.64,-,-,-,22.26,-,-,31.0,-
130,臺北市,1998/11/12,大同,4.7,2.68,-,-,-,-,166.68,119.07,47.61,3.939,1.52,2.42,-,-,-,42.0,-
131,臺北市,1998/11/12,萬華,1.1,0.65,21.4,-,21,-,25.78,3.4,22.38,-,-,-,22.57,-,-,28.0,-
132,臺北市,1998/11/12,陽明,1.3,0.13,42.8,-,12,-,2.32,0.13,2.19,-,-,-,14.25,-,89.0,43.0,-
133,臺北市,1998/11/12,士林,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
134,臺北市,1998/11/11,松山,4.1,0.45,22.1,-,29,-,46.05,16.51,29.54,-,-,-,21.58,-,-,31.0,-
135,臺北市,1998/11/11,古亭,3.5,0.6,22.6,-,29,20,36.78,11.55,25.24,2.289,0.22,2.07,20.86,-,-,29.0,-
136,臺北市,1998/11/11,中山,1.8,-,26.1,-,35,-,41.94,14.51,27.43,-,-,-,21.7,-,-,38.0,-
137,臺北市,1998/11/11,大同,4.7,2.46,-,-,-,-,187.37,139.34,48.04,4.231,1.93,2.3,22.45,-,-,53.0,-
138,臺北市,1998/11/11,萬華,3.2,0.66,24.8,-,29,-,27.3,4.39,22.9,-,-,-,21.94,-,-,32.0,-
139,臺北市,1998/11/11,陽明,0.9,0.18,48.3,-,13,-,1.52,0.43,1.08,-,-,-,13.82,-,91.0,59.0,-
140,臺北市,1998/11/11,士林,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,臺北市,1998/11/10,松山,2.9,0.69,26.5,-,88,-,54.81,18.04,36.77,-,-,-,21.75,-,-,69.0,-
142,臺北市,1998/11/10,古亭,3.5,0.98,22.2,-,82,35,49.28,17.36,31.92,2.467,0.39,2.08,20.55,-,-,66.0,-
143,臺北市,1998/11/10,中山,2.8,-,29.7,-,87,-,46.01,7.43,34.02,2.529,0.29,2.24,-,-,-,69.0,-
144,臺北市,1998/11/10,大同,5.7,3.44,-,-,-,-,192.92,134.46,58.46,-,-,-,22.29,-,-,53.0,-
145,臺北市,1998/11/10,萬華,2.8,0.85,27.9,-,76,-,28.37,2.91,25.45,-,-,-,21.6,-,-,63.0,-
146,臺北市,1998/11/10,陽明,2.0,0.32,55.6,-,51,-,1.64,0.26,1.38,-,-,-,13.93,-,91.0,63.0,-
147,臺北市,1998/11/10,士林,2.6,0.75,35.5,-,76,-,34.46,10.41,24.05,-,-,-,21.36,-,-,63.0,-
148,臺北市,1998/11/09,松山,2.5,0.91,13.4,-,64,-,66.27,23.37,42.9,-,-,-,22.89,-,-,57.0,-
149,臺北市,1998/11/09,古亭,2.4,1.25,13.7,-,59,29,67.54,30.87,36.67,2.766,0.52,2.02,21.53,-,-,54.0,-
150,臺北市,1998/11/09,中山,2.9,-,16.3,-,52,-,53.78,19.05,34.73,2.677,0.4,2.28,23.35,-,-,56.0,-
151,臺北市,1998/11/09,大同,5.1,3.56,-,-,-,-,194.94,138.24,56.7,-,-,-,23.51,-,-,62.0,-
152,臺北市,1998/11/09,萬華,2.0,0.99,20.4,-,56,-,35.17,5.74,29.43,-,-,-,22.9,-,-,53.0,-
153,臺北市,1998/11/09,陽明,2.2,0.3,54.0,-,27,-,2.63,0.25,2.38,-,-,-,15.65,-,90.0,62.0,-
154,臺北市,1998/11/09,士林,1.7,0.81,25.8,-,52,-,34.77,7.73,27.04,-,-,-,22.69,-,-,51.0,-
155,臺北市,1998/11/08,松山,3.6,0.73,16.4,-,55,-,54.96,19.79,35.17,-,-,-,23.18,-,-,53.0,-
156,臺北市,1998/11/08,古亭,1.2,0.62,23.9,-,39,21,34.69,10.85,23.84,2.405,0.22,2.19,22.67,-,-,39.0,-
157,臺北市,1998/11/08,中山,3.2,0.78,20.1,-,41,-,46.12,11.43,34.69,2.399,0.33,2.07,23.51,-,-,41.0,-
158,臺北市,1998/11/08,大同,5.2,3.05,-,-,-,-,183.36,130.55,52.8,3.995,1.5,2.5,23.97,-,-,50.0,-
159,臺北市,1998/11/08,萬華,1.3,0.68,26.1,-,36,-,24.51,2.64,21.86,-,-,-,23.72,-,-,36.0,-
160,臺北市,1998/11/08,陽明,2.5,0.13,46.6,-,16,-,2.8,0.2,2.6,-,-,-,16.27,-,86.0,42.0,-
161,臺北市,1998/11/08,士林,3.4,0.47,32.7,-,37,-,20.74,2.79,17.95,-,-,-,23.48,-,-,37.0,-
162,臺北市,1998/11/07,松山,1.9,0.5,24.5,-,46,-,46.21,16.11,30.1,-,-,-,22.83,-,-,46.0,-
163,臺北市,1998/11/07,古亭,1.9,0.74,19.2,-,42,24,44.19,14.59,29.6,2.486,0.31,2.18,21.7,-,-,42.0,-
164,臺北市,1998/11/07,中山,1.3,0.72,24.9,-,43,-,38.26,7.87,30.39,2.24,0.19,2.05,22.79,-,-,43.0,-
165,臺北市,1998/11/07,大同,4.6,3.19,-,-,-,-,182.14,132.37,49.77,4.093,1.61,2.48,23.24,-,-,45.0,-
166,臺北市,1998/11/07,萬華,1.4,0.81,23.9,-,43,-,30.26,4.73,25.53,-,-,-,23.07,-,-,43.0,-
167,臺北市,1998/11/07,陽明,0.9,0.12,46.1,-,15,-,1.59,0.3,1.29,-,-,-,14.7,-,92.0,44.0,-
168,臺北市,1998/11/07,士林,0.7,0.5,34.8,-,35,-,18.5,2.53,15.97,-,-,-,22.49,-,-,41.0,-
169,臺北市,1998/11/06,松山,0.7,0.36,34.1,-,57,-,25.87,3.3,22.58,-,-,-,23.08,-,-,54.0,-
170,臺北市,1998/11/06,古亭,0.9,0.84,22.6,-,62,23,43.67,11.67,31.99,2.309,0.33,1.98,22.06,-,-,56.0,-
171,臺北市,1998/11/06,中山,1.2,0.95,26.6,-,59,-,38.06,6.53,31.53,2.305,0.25,2.06,22.91,-,-,55.0,-
172,臺北市,1998/11/06,大同,3.3,2.87,-,-,-,-,165.53,114.89,50.64,3.949,1.55,2.4,23.37,-,-,42.0,-
173,臺北市,1998/11/06,萬華,1.5,0.96,24.8,-,58,-,33.99,4.1,29.89,-,-,-,23.23,-,-,54.0,-
174,臺北市,1998/11/06,陽明,0.6,0.17,50.5,-,20,-,1.64,0.27,1.37,-,-,-,14.78,-,95.0,49.0,-
175,臺北市,1998/11/06,士林,0.6,0.54,38.2,-,39,-,18.42,2.13,16.28,-,-,-,22.73,-,-,39.0,-
176,臺北市,1998/11/05,松山,0.5,0.35,41.3,-,109,-,22.57,1.61,20.96,-,-,-,23.76,-,-,79.0,-
177,臺北市,1998/11/05,古亭,1.1,0.91,26.6,-,112,33,39.82,8.28,31.54,2.318,0.31,2.0,22.71,-,-,81.0,-
178,臺北市,1998/11/05,中山,0.6,0.88,34.4,-,108,-,29.76,2.62,27.14,2.346,0.22,2.09,23.68,-,-,79.0,-
179,臺北市,1998/11/05,大同,2.3,2.79,-,-,-,-,148.63,98.2,50.43,3.737,1.42,2.32,24.03,-,-,40.0,-
180,臺北市,1998/11/05,萬華,1.2,1.0,29.8,-,106,-,30.66,2.57,28.09,-,-,-,23.76,-,-,78.0,-
181,臺北市,1998/11/05,陽明,0.3,0.3,56.3,-,29,-,1.36,0.24,1.12,-,-,-,16.1,-,96.0,56.0,-
182,臺北市,1998/11/05,士林,0.2,0.53,44.9,-,89,-,14.23,1.6,12.63,-,-,-,23.45,-,-,69.0,-
183,臺北市,1998/11/04,松山,2.1,0.39,16.0,-,32,-,34.84,10.77,24.07,-,-,-,25.39,-,-,39.0,-
184,臺北市,1998/11/04,古亭,3.3,0.7,14.5,-,33,18,35.84,12.6,23.24,2.226,0.24,1.99,24.66,-,-,33.0,-
185,臺北市,1998/11/04,中山,2.0,0.8,18.3,-,30,-,30.12,8.36,21.76,2.144,0.14,2.0,25.71,-,-,30.0,-
186,臺北市,1998/11/04,大同,3.8,3.14,-,-,-,-,147.6,109.86,37.75,4.099,1.78,2.32,26.22,-,-,45.0,-
187,臺北市,1998/11/04,萬華,2.8,0.81,15.6,-,29,-,28.11,7.1,21.01,-,-,-,25.85,-,-,29.0,-
188,臺北市,1998/11/04,陽明,1.1,0.2,35.2,-,13,-,2.24,0.86,1.38,-,-,-,18.85,-,92.0,40.0,-
189,臺北市,1998/11/04,士林,0.9,0.42,26.6,-,22,-,15.32,5.06,10.25,-,-,-,25.93,-,-,32.0,-
190,臺北市,1998/11/03,松山,4.0,0.57,15.7,-,42,-,49.07,15.42,33.65,-,-,-,24.92,-,-,42.0,-
191,臺北市,1998/11/03,古亭,3.7,0.81,18.8,-,45,23,40.74,12.57,28.16,2.271,0.26,2.01,24.12,-,-,45.0,-
192,臺北市,1998/11/03,中山,3.6,0.93,20.2,-,38,-,40.38,10.7,29.68,2.211,0.2,2.01,25.01,-,-,38.0,-
193,臺北市,1998/11/03,大同,5.1,3.71,-,-,-,-,172.97,124.81,48.17,4.441,2.04,2.41,25.58,-,-,62.0,-
194,臺北市,1998/11/03,萬華,4.1,0.93,20.3,-,38,-,34.41,7.92,26.49,-,-,-,25.28,-,-,38.0,-
195,臺北市,1998/11/03,陽明,0.3,0.21,46.1,-,13,-,0.76,0.19,0.58,-,-,-,18.05,-,97.0,41.0,-
