序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1998/07/31,松山,6.1,1.15,32.2,-,46,-,53.76,18.19,35.57,-,-,-,31.71,-,-,87.0
2,臺北市,1998/07/31,古亭,5.7,1.11,29.3,-,56,30,55.29,23.27,32.02,2.404,0.48,1.92,31.03,-,-,81.0
3,臺北市,1998/07/31,中山,6.2,1.07,22.4,-,39,-,47.09,16.67,30.42,2.632,0.39,2.24,32.46,-,-,71.0
4,臺北市,1998/07/31,大同,6.8,3.84,-,-,-,-,158.52,110.49,48.03,4.438,1.96,2.48,32.76,-,-,52.0
5,臺北市,1998/07/31,萬華,4.9,0.74,28.6,-,48,-,29.42,5.22,24.2,-,-,-,30.39,-,-,73.0
6,臺北市,1998/07/31,陽明,5.5,0.19,30.3,-,16,-,11.18,0.81,10.37,-,-,-,25.07,-,80.0,56.0
7,臺北市,1998/07/31,士林,6.0,0.84,15.5,-,44,-,44.08,15.51,25.17,-,-,-,30.97,-,-,55.0
8,臺北市,1998/07/30,松山,6.8,1.0,22.3,-,36,-,46.66,18.6,28.05,-,-,-,30.71,-,-,79.0
9,臺北市,1998/07/30,古亭,6.3,1.11,16.2,-,37,25,56.04,23.96,32.08,2.507,0.56,1.95,30.1,-,-,52.0
10,臺北市,1998/07/30,中山,5.7,1.16,17.6,-,33,-,51.3,21.0,30.3,2.802,0.46,2.34,31.34,-,-,69.0
11,臺北市,1998/07/30,大同,7.3,4.45,-,-,-,-,173.36,130.2,43.16,4.749,2.27,2.48,31.28,-,-,77.0
12,臺北市,1998/07/30,萬華,5.4,1.01,21.6,-,42,-,39.21,9.87,29.34,-,-,-,29.52,-,-,84.0
13,臺北市,1998/07/30,陽明,4.8,0.25,23.9,-,15,-,11.14,1.16,9.98,-,-,-,24.31,-,82.0,51.0
14,臺北市,1998/07/30,士林,4.5,0.78,14.7,-,39,-,43.94,18.07,25.87,-,-,-,30.42,-,-,70.0
15,臺北市,1998/07/29,松山,4.1,1.4,13.7,-,33,-,69.1,38.07,31.03,-,-,-,28.32,-,-,46.0
16,臺北市,1998/07/29,古亭,2.4,1.15,15.1,-,27,22,57.54,30.46,27.08,2.458,0.46,1.99,28.67,-,-,38.0
