序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1998/04/30,松山,10.8,1.37,15.2,-,44,-,82.21,41.51,40.7,-,-,-,26.06,-,-,70.0
2,臺北市,1998/04/30,古亭,8.0,1.73,7.8,-,-,46,87.74,43.25,44.49,3.159,0.83,2.33,26.37,-,-,47.0
3,臺北市,1998/04/30,中山,10.8,1.96,13.4,-,72,-,103.31,54.47,48.84,3.588,0.89,2.7,26.59,-,-,61.0
4,臺北市,1998/04/30,大同,10.7,3.14,-,-,-,-,135.08,87.73,47.35,4.901,1.67,3.23,27.01,-,-,45.0
5,臺北市,1998/04/30,萬華,8.2,1.56,22.5,-,75,-,62.39,19.48,42.91,-,-,-,25.69,-,-,77.0
6,臺北市,1998/04/30,陽明,2.9,0.28,46.9,-,18,-,5.62,0.27,5.35,-,-,-,21.41,-,84.0,67.0
7,臺北市,1998/04/30,士林,7.3,1.31,13.5,-,-,-,58.22,25.83,32.39,-,-,-,25.71,-,-,34.0
8,臺北市,1998/04/29,松山,7.0,1.58,8.1,-,41,-,86.37,45.17,41.2,-,-,-,23.99,-,-,41.0
9,臺北市,1998/04/29,古亭,6.9,1.75,7.4,-,37,32,90.37,53.19,37.18,3.103,0.91,2.2,23.98,-,-,37.0
10,臺北市,1998/04/29,中山,9.3,1.98,6.8,-,82,-,109.02,58.26,50.77,3.313,0.77,2.54,24.68,-,-,66.0
11,臺北市,1998/04/29,大同,12.2,4.36,-,-,-,-,198.95,145.11,53.84,5.075,2.18,2.89,24.97,-,-,70.0
12,臺北市,1998/04/29,萬華,8.7,1.66,7.6,-,47,-,78.59,37.91,40.68,-,-,-,23.74,-,-,47.0
13,臺北市,1998/04/29,陽明,1.1,0.19,31.9,-,12,-,3.14,0.25,2.89,-,-,-,19.82,-,87.0,36.0
14,臺北市,1998/04/29,士林,3.7,1.3,7.3,-,-,-,60.8,26.09,34.71,-,-,-,24.24,-,-,26.0
15,臺北市,1998/04/28,松山,7.1,1.12,9.7,-,38,-,60.49,28.07,32.42,-,-,-,24.02,-,-,38.0
16,臺北市,1998/04/28,古亭,6.9,1.42,7.9,-,44,34,74.0,39.38,34.62,2.786,0.59,2.2,23.97,-,-,44.0
17,臺北市,1998/04/28,中山,10.6,1.45,7.5,-,67,-,80.48,39.89,40.59,2.764,0.51,2.25,24.85,-,-,59.0
18,臺北市,1998/04/28,大同,15.9,5.1,-,-,-,-,234.01,183.2,50.81,-,-,-,25.5,-,-,87.0
19,臺北市,1998/04/28,萬華,6.3,1.33,7.9,-,42,-,56.0,21.05,34.95,-,-,-,23.78,-,-,42.0
20,臺北市,1998/04/28,陽明,0.7,0.2,43.0,-,13,-,1.96,0.18,1.78,-,-,-,20.22,-,86.0,44.0
21,臺北市,1998/04/28,士林,7.3,1.15,7.6,-,52,-,54.91,18.76,36.15,-,-,-,24.49,-,-,51.0
22,臺北市,1998/04/27,松山,9.2,1.1,11.3,-,41,-,59.66,23.54,36.12,-,-,-,23.08,-,-,41.0
23,臺北市,1998/04/27,古亭,6.6,1.26,9.9,-,42,34,65.4,27.26,38.14,3.083,0.54,2.55,23.13,-,-,42.0
