序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
24,臺北市,1998/04/27,中山,7.6,1.28,11.5,-,89,-,67.9,25.61,42.29,2.694,0.4,2.3,23.86,-,-,70.0
25,臺北市,1998/04/27,大同,13.1,4.63,-,-,-,-,210.71,154.33,56.38,-,-,-,24.62,-,-,71.0
26,臺北市,1998/04/27,萬華,6.8,1.32,10.7,-,37,-,55.16,16.77,38.39,-,-,-,23.05,-,-,37.0
27,臺北市,1998/04/27,陽明,0.3,0.24,45.7,-,13,-,2.5,0.18,2.32,-,-,-,18.92,-,90.0,55.0
28,臺北市,1998/04/27,士林,3.8,0.9,15.4,-,37,-,33.89,7.44,26.44,-,-,-,24.04,-,-,37.0
29,臺北市,1998/04/26,松山,3.2,0.88,16.2,-,27,-,42.59,10.94,31.65,-,-,-,21.09,-,-,30.0
30,臺北市,1998/04/26,古亭,3.6,1.03,12.7,-,30,27,54.52,17.85,36.67,2.393,0.39,2.0,20.71,-,-,30.0
31,臺北市,1998/04/26,中山,6.9,1.21,10.2,-,33,-,66.04,21.05,44.99,2.389,0.24,2.15,21.89,-,-,33.0
32,臺北市,1998/04/26,大同,10.7,4.05,-,-,-,-,212.17,156.06,56.11,-,-,-,22.19,-,-,61.0
33,臺北市,1998/04/26,萬華,4.1,1.16,11.7,-,33,-,48.41,11.65,36.76,-,-,-,20.87,-,-,33.0
34,臺北市,1998/04/26,陽明,0.7,0.28,46.4,-,13,-,3.88,0.21,3.67,-,-,-,17.91,-,92.0,46.0
35,臺北市,1998/04/26,士林,2.7,0.91,12.3,-,32,-,39.31,9.85,29.46,-,-,-,21.83,-,-,32.0
36,臺北市,1998/04/25,松山,3.3,0.71,15.8,-,32,-,32.09,6.79,25.3,-,-,-,21.85,-,-,32.0
37,臺北市,1998/04/25,古亭,3.2,0.75,15.9,-,39,37,33.91,9.05,24.85,2.281,0.28,2.0,21.2,-,-,39.0
38,臺北市,1998/04/25,中山,3.4,0.89,15.9,-,62,-,40.23,10.8,29.43,2.258,0.24,2.02,22.42,-,-,56.0
39,臺北市,1998/04/25,大同,7.4,3.13,-,-,-,-,254.48,225.61,76.36,-,-,-,22.85,-,-,50.0
40,臺北市,1998/04/25,萬華,3.9,0.77,10.2,-,40,-,28.6,3.41,25.2,-,-,-,21.52,-,-,40.0
41,臺北市,1998/04/25,陽明,0.6,0.25,38.9,-,13,-,3.14,0.28,2.86,-,-,-,17.21,-,97.0,45.0
42,臺北市,1998/04/25,士林,1.4,0.59,18.8,-,32,-,19.6,3.98,15.62,-,-,-,22.22,-,-,32.0
43,臺北市,1998/04/24,松山,4.8,1.23,21.4,-,53,-,54.55,23.51,31.04,-,-,-,29.18,-,-,59.0
44,臺北市,1998/04/24,古亭,4.8,1.14,15.1,-,67,45,59.95,29.25,30.69,2.756,0.61,2.15,29.21,-,-,59.0
45,臺北市,1998/04/24,中山,7.8,-,14.2,-,-,-,63.13,29.54,33.59,2.978,0.68,2.3,29.85,-,-,87.0
46,臺北市,1998/04/24,大同,10.7,2.97,-,-,-,-,-,-,-,4.408,1.66,2.74,30.5,-,-,48.0
47,臺北市,1998/04/24,萬華,4.9,0.83,17.4,-,71,-,32.9,10.4,22.5,-,-,-,28.36,-,-,61.0
48,臺北市,1998/04/24,陽明,4.9,0.16,33.2,-,20,-,9.08,1.26,7.82,-,-,-,22.84,-,80.0,56.0
49,臺北市,1998/04/24,士林,5.0,0.66,16.4,-,51,-,28.2,7.67,20.52,-,-,-,29.38,-,-,51.0
50,臺北市,1998/04/23,松山,8.7,1.49,17.5,-,52,-,77.82,40.96,36.86,-,-,-,26.74,-,-,62.0
51,臺北市,1998/04/23,古亭,6.4,1.59,19.0,-,67,48,79.78,39.49,40.29,2.858,0.75,2.11,27.19,-,-,66.0
52,臺北市,1998/04/23,中山,11.6,1.59,14.0,-,61,-,94.62,47.84,46.78,3.275,0.84,2.44,27.52,-,-,56.0
53,臺北市,1998/04/23,大同,15.7,4.23,-,-,-,-,-,-,-,5.101,2.17,2.93,28.15,-,-,68.0
54,臺北市,1998/04/23,萬華,7.7,1.53,23.7,-,78,-,61.22,20.78,40.45,-,-,-,26.55,-,-,88.0
55,臺北市,1998/04/23,陽明,3.4,0.21,31.9,-,23,-,7.96,0.48,7.48,-,-,-,21.78,-,84.0,59.0
56,臺北市,1998/04/23,士林,7.0,1.23,11.7,-,59,-,54.06,25.58,28.48,-,-,-,27.21,-,-,55.0
57,臺北市,1998/04/22,松山,4.6,1.84,14.9,-,57,-,92.84,49.13,43.71,-,-,-,24.6,-,-,71.0
58,臺北市,1998/04/22,古亭,6.7,1.74,20.2,-,61,48,84.3,34.82,49.48,3.169,0.89,2.27,25.16,-,-,71.0
59,臺北市,1998/04/22,中山,7.6,2.09,12.3,-,60,-,103.47,46.98,56.5,3.665,0.94,2.73,25.81,-,-,55.0
60,臺北市,1998/04/22,大同,11.6,4.68,-,-,-,-,-,-,-,5.212,2.27,2.94,26.42,-,-,84.0
61,臺北市,1998/04/22,萬華,6.1,1.43,22.9,-,67,-,58.77,11.6,47.17,-,-,-,24.76,-,-,83.0
62,臺北市,1998/04/22,陽明,2.6,0.21,47.0,-,17,-,5.15,0.18,4.97,-,-,-,21.56,-,83.0,55.0
63,臺北市,1998/04/22,士林,3.7,1.29,13.8,-,51,-,52.72,19.44,33.28,-,-,-,25.09,-,-,51.0
64,臺北市,1998/04/21,松山,8.4,1.9,7.5,-,60,-,111.16,69.62,41.54,-,-,-,23.73,-,-,55.0
65,臺北市,1998/04/21,古亭,7.0,1.95,10.8,-,72,44,107.05,59.25,47.8,3.466,1.04,2.42,23.82,-,-,61.0
66,臺北市,1998/04/21,中山,10.3,1.98,11.7,-,61,-,104.98,52.11,52.88,3.528,0.96,2.57,24.52,-,-,55.0
67,臺北市,1998/04/21,大同,15.2,5.32,-,-,-,-,-,-,-,5.6,2.7,2.9,25.11,-,-,93.0
68,臺北市,1998/04/21,萬華,7.1,1.6,18.4,-,74,-,-,32.12,40.05,-,-,-,23.57,-,-,64.0
69,臺北市,1998/04/21,陽明,1.9,0.24,44.7,-,-,-,5.37,0.39,4.99,-,-,-,20.39,-,81.0,45.0
70,臺北市,1998/04/21,士林,5.0,1.51,11.0,-,54,-,66.29,29.05,37.23,-,-,-,23.98,-,-,52.0
71,臺北市,1998/04/20,松山,1.9,1.31,17.6,-,62,-,62.96,33.84,29.13,-,-,-,22.88,-,-,56.0
72,臺北市,1998/04/20,古亭,2.5,1.39,13.3,-,82,40,63.81,30.94,32.87,2.838,0.64,2.2,22.66,-,-,66.0
73,臺北市,1998/04/20,中山,3.2,1.47,14.7,-,68,-,70.1,29.14,40.96,2.887,0.56,2.33,23.43,-,-,59.0
74,臺北市,1998/04/20,大同,6.3,4.44,-,-,-,-,-,-,-,4.788,2.22,2.57,23.79,-,-,72.0
75,臺北市,1998/04/20,萬華,3.4,1.31,17.5,-,94,-,52.34,16.61,35.73,-,-,-,22.46,-,-,72.0
76,臺北市,1998/04/20,陽明,0.3,0.3,43.8,-,-,-,3.09,0.17,2.92,-,-,-,17.09,-,89.0,51.0
77,臺北市,1998/04/20,士林,1.6,1.06,15.0,-,55,-,43.56,16.44,27.12,-,-,-,22.97,-,-,53.0
78,臺北市,1998/04/19,松山,1.1,0.8,30.2,-,124,-,32.3,8.47,23.83,-,-,-,26.36,-,-,87.0
79,臺北市,1998/04/19,古亭,1.3,0.74,25.9,-,132,49,37.81,10.53,27.28,2.22,0.25,1.97,26.71,-,-,91.0
80,臺北市,1998/04/19,中山,2.6,1.12,25.8,-,124,-,45.72,9.48,36.24,2.47,0.36,2.11,27.06,-,-,87.0
81,臺北市,1998/04/19,大同,6.3,3.63,-,-,-,-,-,-,-,3.908,1.49,2.42,27.83,-,-,56.0
82,臺北市,1998/04/19,萬華,2.8,0.73,33.2,-,153,-,26.52,2.32,24.2,-,-,-,26.0,-,-,102.0
83,臺北市,1998/04/19,陽明,1.2,0.28,60.3,-,106,-,4.29,0.2,4.09,-,-,-,20.49,-,75.0,78.0
84,臺北市,1998/04/19,士林,1.5,0.72,28.5,-,137,-,24.02,3.13,20.89,-,-,-,26.47,-,-,93.0
85,臺北市,1998/04/18,松山,7.8,1.28,29.1,-,123,-,67.19,17.58,50.42,-,-,-,25.4,-,-,87.0
86,臺北市,1998/04/18,古亭,7.6,1.2,33.4,-,143,64,60.37,14.97,45.4,2.636,0.55,2.09,26.01,-,-,96.0
87,臺北市,1998/04/18,中山,7.4,1.43,30.6,-,80,-,62.96,16.29,46.68,2.821,0.54,2.28,26.14,-,-,86.0
88,臺北市,1998/04/18,大同,10.0,4.15,-,-,-,-,-,-,-,3.85,2.06,1.79,27.02,-,-,67.0
89,臺北市,1998/04/18,萬華,6.2,1.18,39.9,-,166,-,48.53,5.49,43.04,-,-,-,25.24,-,-,112.0
90,臺北市,1998/04/18,陽明,4.8,0.33,66.5,-,148,-,5.93,0.29,5.63,-,-,-,21.22,-,66.0,99.0
91,臺北市,1998/04/18,士林,5.1,1.2,26.4,-,132,-,47.19,6.88,40.31,-,-,-,25.54,-,-,91.0
92,臺北市,1998/04/17,松山,7.0,1.77,24.4,-,93,-,91.84,35.84,56.8,-,-,-,24.15,-,-,77.0
93,臺北市,1998/04/17,古亭,6.3,1.61,29.2,-,94,59,80.84,31.7,49.14,2.815,0.7,2.12,24.76,-,-,98.0
94,臺北市,1998/04/17,中山,8.0,1.9,18.8,-,-,-,87.07,27.03,60.04,3.135,0.83,2.31,24.83,-,-,61.0
95,臺北市,1998/04/17,大同,8.9,3.56,-,-,-,-,-,-,-,4.066,1.73,2.34,25.56,-,-,58.0
96,臺北市,1998/04/17,萬華,5.9,1.26,38.3,-,103,-,48.84,6.33,42.51,-,-,-,23.98,-,-,107.0
97,臺北市,1998/04/17,陽明,3.2,0.41,75.3,-,59,-,6.89,0.23,6.67,-,-,-,20.84,-,62.0,86.0
98,臺北市,1998/04/17,士林,5.4,1.45,26.1,-,96,-,60.7,15.37,45.33,-,-,-,24.25,-,-,73.0
99,臺北市,1998/04/16,松山,7.0,1.99,21.2,-,98,-,94.4,39.15,55.24,-,-,-,22.01,-,-,74.0
100,臺北市,1998/04/16,古亭,2.9,1.75,22.1,-,100,58,83.18,32.37,50.81,3.032,0.82,2.22,22.41,-,-,75.0
101,臺北市,1998/04/16,中山,8.3,1.91,17.8,-,102,-,87.49,22.27,65.21,3.267,0.86,2.41,23.12,-,-,76.0
102,臺北市,1998/04/16,大同,11.7,4.74,-,-,-,-,-,-,-,5.201,2.5,2.7,23.67,-,-,68.0
103,臺北市,1998/04/16,萬華,5.7,1.6,27.4,-,111,-,62.56,9.41,53.15,-,-,-,21.99,-,-,80.0
104,臺北市,1998/04/16,陽明,3.4,0.42,65.7,-,34,-,6.87,0.26,6.61,-,-,-,17.59,-,87.0,83.0
105,臺北市,1998/04/16,士林,5.7,1.11,31.2,-,89,-,50.94,9.5,41.44,-,-,-,22.92,-,-,70.0
106,臺北市,1998/04/15,松山,5.2,0.95,28.4,-,80,-,44.4,8.83,35.57,-,-,-,20.13,-,-,65.0
107,臺北市,1998/04/15,古亭,1.0,0.8,37.4,-,82,51,35.71,6.0,29.72,2.167,0.26,1.91,20.02,-,-,66.0
108,臺北市,1998/04/15,中山,5.8,1.18,18.0,-,85,-,53.12,11.89,41.23,2.471,0.25,2.22,20.89,-,-,67.0
109,臺北市,1998/04/15,大同,10.5,4.16,-,-,-,-,-,-,-,4.532,2.18,2.36,21.37,-,-,59.0
110,臺北市,1998/04/15,萬華,3.1,0.97,35.6,-,99,-,35.08,2.41,32.67,-,-,-,20.07,-,-,75.0
111,臺北市,1998/04/15,陽明,4.0,0.33,66.5,-,60,-,4.47,0.02,4.45,-,-,-,14.0,-,92.0,59.0
112,臺北市,1998/04/15,士林,7.4,0.59,38.5,-,77,-,20.77,1.51,19.26,-,-,-,21.28,-,-,64.0
113,臺北市,1998/04/14,松山,3.6,0.79,19.0,-,-,-,46.18,11.07,35.1,-,-,-,21.01,-,-,52.0
114,臺北市,1998/04/14,古亭,1.2,1.14,18.0,-,37,38,50.85,15.91,34.94,2.518,0.42,2.1,20.7,-,-,37.0
115,臺北市,1998/04/14,中山,4.2,1.34,7.2,-,49,-,60.77,18.06,42.71,2.628,0.51,2.12,21.72,-,-,49.0
116,臺北市,1998/04/14,大同,10.0,4.73,-,-,-,-,-,-,-,4.807,2.35,2.45,22.0,-,-,70.0
117,臺北市,1998/04/14,萬華,3.5,1.23,21.5,-,43,-,42.39,9.11,33.52,-,-,-,20.94,-,-,43.0
118,臺北市,1998/04/14,陽明,0.5,0.33,55.9,-,21,-,2.49,0.11,2.38,-,-,-,16.25,-,95.0,58.0
119,臺北市,1998/04/14,士林,1.9,0.96,18.4,-,46,-,34.9,5.48,29.42,-,-,-,21.25,-,-,46.0
120,臺北市,1998/04/13,松山,4.2,1.23,9.9,-,-,-,58.99,20.87,38.13,-,-,-,23.41,-,-,46.0
121,臺北市,1998/04/13,古亭,1.5,1.37,8.5,-,-,39,67.92,29.61,38.32,2.707,0.69,2.02,23.03,-,-,44.0
122,臺北市,1998/04/13,中山,6.3,1.41,4.8,-,53,-,64.08,24.56,39.52,2.833,0.61,2.22,23.98,-,-,52.0
123,臺北市,1998/04/13,大同,9.5,3.35,-,-,-,-,-,-,-,4.44,1.73,2.71,24.22,-,-,68.0
124,臺北市,1998/04/13,萬華,4.9,1.3,10.2,-,44,-,50.95,15.65,35.3,-,-,-,23.03,-,-,44.0
125,臺北市,1998/04/13,陽明,0.8,0.18,39.1,-,-,-,4.9,0.47,4.43,-,-,-,18.57,-,92.0,42.0
126,臺北市,1998/04/13,士林,3.2,0.9,10.6,-,31,-,38.93,11.13,27.8,-,-,-,23.76,-,-,31.0
127,臺北市,1998/04/12,松山,3.3,1.15,16.7,-,43,-,51.48,21.52,29.96,-,-,-,24.97,-,-,43.0
128,臺北市,1998/04/12,古亭,1.7,1.34,14.3,-,-,40,65.32,31.24,34.08,2.759,0.53,2.23,25.25,-,-,42.0
129,臺北市,1998/04/12,中山,5.2,1.6,10.1,-,66,-,72.79,33.64,39.16,3.206,0.61,2.6,25.29,-,-,58.0
130,臺北市,1998/04/12,大同,6.5,2.73,-,-,-,-,-,-,-,4.281,1.09,3.19,25.42,-,-,36.0
131,臺北市,1998/04/12,萬華,2.8,1.4,17.8,-,49,-,53.79,20.66,33.14,-,-,-,24.41,-,-,54.0
132,臺北市,1998/04/12,陽明,2.5,0.22,33.8,-,16,-,6.55,0.69,5.86,-,-,-,20.23,-,88.0,56.0
133,臺北市,1998/04/12,士林,3.0,1.01,14.5,-,45,-,42.17,13.16,29.01,-,-,-,24.52,-,-,45.0
134,臺北市,1998/04/11,松山,8.1,1.33,20.6,-,73,-,66.64,27.24,39.39,-,-,-,25.64,-,-,61.0
135,臺北市,1998/04/11,古亭,4.0,1.29,17.6,-,-,55,65.8,24.57,41.23,2.698,0.61,2.09,26.01,-,-,48.0
136,臺北市,1998/04/11,中山,9.0,1.39,12.9,-,60,-,62.96,21.38,41.58,2.787,0.61,2.18,26.27,-,-,55.0
137,臺北市,1998/04/11,大同,10.6,2.98,-,-,-,-,-,-,-,3.953,1.35,2.61,26.84,-,-,36.0
138,臺北市,1998/04/11,萬華,8.6,1.16,23.5,-,76,-,44.62,7.38,37.23,-,-,-,25.26,-,-,65.0
139,臺北市,1998/04/11,陽明,4.9,0.3,52.0,-,19,-,8.6,0.4,8.19,-,-,-,20.57,-,83.0,62.0
140,臺北市,1998/04/11,士林,6.6,1.03,18.1,-,69,-,43.88,10.56,33.32,-,-,-,26.0,-,-,59.0
141,臺北市,1998/04/10,松山,8.6,1.22,11.5,-,72,-,64.38,26.85,37.53,-,-,-,24.93,-,-,61.0
142,臺北市,1998/04/10,古亭,3.8,1.72,18.6,-,-,61,80.42,40.09,40.33,2.969,0.76,2.21,24.99,-,-,63.0
143,臺北市,1998/04/10,中山,8.4,1.63,16.6,-,67,-,77.81,33.33,44.48,3.166,0.71,2.45,25.96,-,-,60.0
144,臺北市,1998/04/10,大同,12.4,4.25,-,-,-,-,-,-,-,4.899,1.92,2.98,26.82,-,-,91.0
145,臺北市,1998/04/10,萬華,4.0,1.19,29.3,-,72,-,42.36,8.76,33.59,-,-,-,24.69,-,-,120.0
146,臺北市,1998/04/10,陽明,2.6,0.21,45.0,-,18,-,6.16,0.37,5.8,-,-,-,20.37,-,83.0,63.0
147,臺北市,1998/04/10,士林,4.4,0.99,14.0,-,78,-,39.87,10.26,29.62,-,-,-,25.56,-,-,64.0
148,臺北市,1998/04/09,松山,7.5,1.06,14.7,-,81,-,51.58,16.1,35.48,-,-,-,25.0,-,-,65.0
149,臺北市,1998/04/09,古亭,7.1,1.26,16.1,-,-,62,62.51,21.85,40.66,2.532,0.56,1.98,25.22,-,-,46.0
150,臺北市,1998/04/09,中山,10.3,1.34,18.9,-,73,-,61.05,16.36,44.69,2.865,0.55,2.32,25.85,-,-,62.0
151,臺北市,1998/04/09,大同,15.0,4.16,-,-,-,-,-,-,-,4.854,2.01,2.84,26.57,-,-,71.0
152,臺北市,1998/04/09,萬華,6.2,1.21,17.8,-,84,-,47.26,7.7,39.57,-,-,-,24.84,-,-,67.0
153,臺北市,1998/04/09,陽明,4.2,0.3,58.5,-,30,-,9.07,0.83,8.24,-,-,-,20.68,-,83.0,71.0
154,臺北市,1998/04/09,士林,5.4,0.98,15.4,-,89,-,43.81,8.94,34.87,-,-,-,25.48,-,-,69.0
155,臺北市,1998/04/08,松山,9.2,1.33,29.0,-,94,-,65.69,25.38,40.31,-,-,-,26.29,-,-,123.0
156,臺北市,1998/04/08,古亭,7.0,1.23,22.1,-,-,64,60.94,22.48,38.46,2.691,0.6,2.09,27.08,-,-,81.0
157,臺北市,1998/04/08,中山,7.8,1.5,24.1,-,78,-,68.79,27.7,41.09,3.22,0.61,2.61,27.23,-,-,119.0
158,臺北市,1998/04/08,大同,9.8,3.01,-,-,-,-,-,-,-,4.434,1.47,2.96,28.01,-,-,46.0
159,臺北市,1998/04/08,萬華,5.6,1.1,25.4,-,84,-,42.64,6.98,35.67,-,-,-,26.41,-,-,95.0
160,臺北市,1998/04/08,陽明,2.4,0.26,40.0,-,25,-,11.04,0.7,10.34,-,-,-,22.05,-,79.0,85.0
161,臺北市,1998/04/08,士林,4.3,1.03,17.3,-,80,-,44.65,14.22,30.42,-,-,-,26.55,-,-,71.0
162,臺北市,1998/04/07,松山,9.0,1.29,21.4,-,85,-,64.7,24.46,40.24,-,-,-,25.78,-,-,67.0
163,臺北市,1998/04/07,古亭,5.9,1.23,16.0,-,-,55,61.84,26.81,35.02,2.737,0.67,2.06,26.24,-,-,41.0
164,臺北市,1998/04/07,中山,9.0,1.55,17.1,-,71,-,72.21,33.3,38.91,3.127,0.6,2.53,26.44,-,-,61.0
165,臺北市,1998/04/07,大同,10.5,2.82,-,-,-,-,-,-,-,4.149,1.24,2.91,27.12,-,-,42.0
166,臺北市,1998/04/07,萬華,6.9,1.27,15.2,-,80,-,54.7,17.82,36.87,-,-,-,25.51,-,-,65.0
167,臺北市,1998/04/07,陽明,4.0,0.34,36.5,-,44,-,10.77,0.65,10.12,-,-,-,20.93,-,83.0,63.0
168,臺北市,1998/04/07,士林,5.4,1.21,13.3,-,79,-,56.59,24.5,32.09,-,-,-,25.76,-,-,64.0
169,臺北市,1998/04/06,松山,4.3,1.03,28.7,-,65,-,40.5,10.64,29.86,-,-,-,26.09,-,-,99.0
170,臺北市,1998/04/06,古亭,4.2,0.95,22.5,-,-,48,43.95,13.21,30.74,2.431,0.42,2.01,26.49,-,-,69.0
171,臺北市,1998/04/06,中山,7.6,1.16,23.1,-,58,-,45.87,12.01,33.85,2.553,0.29,2.26,26.65,-,-,70.0
172,臺北市,1998/04/06,大同,8.5,2.37,-,-,-,-,-,-,-,3.54,0.94,2.6,27.36,-,-,30.0
173,臺北市,1998/04/06,萬華,6.7,1.12,24.1,-,65,-,43.15,10.12,33.02,-,-,-,25.63,-,-,80.0
174,臺北市,1998/04/06,陽明,4.3,0.3,45.6,-,40,-,7.1,0.36,6.74,-,-,-,21.45,-,81.0,56.0
175,臺北市,1998/04/06,士林,3.5,1.19,15.3,-,71,-,48.14,18.63,29.51,-,-,-,25.73,-,-,60.0
176,臺北市,1998/04/05,松山,5.8,1.45,22.7,-,58,-,69.94,35.16,34.79,-,-,-,25.7,-,-,91.0
177,臺北市,1998/04/05,古亭,4.5,1.1,19.8,-,-,44,56.36,21.11,35.25,2.621,0.49,2.13,26.38,-,-,62.0
178,臺北市,1998/04/05,中山,6.7,1.77,25.0,-,72,-,79.56,35.95,43.61,3.57,0.72,2.85,26.39,-,-,67.0
179,臺北市,1998/04/05,大同,7.1,2.59,-,-,-,-,-,-,-,4.557,1.16,3.39,26.68,-,-,32.0
180,臺北市,1998/04/05,萬華,5.5,1.28,24.8,-,73,-,53.49,15.54,37.95,-,-,-,25.41,-,-,68.0
181,臺北市,1998/04/05,陽明,1.6,0.29,42.0,-,19,-,5.19,0.33,4.86,-,-,-,21.31,-,79.0,50.0
182,臺北市,1998/04/05,士林,3.4,1.42,20.1,-,83,-,59.37,20.69,38.68,-,-,-,25.28,-,-,67.0
183,臺北市,1998/04/04,松山,5.3,1.31,32.1,-,75,-,66.64,23.48,43.17,-,-,-,23.58,-,-,85.0
184,臺北市,1998/04/04,古亭,4.9,1.41,30.7,-,-,50,79.43,28.96,50.47,2.971,0.71,2.26,24.03,-,-,85.0
185,臺北市,1998/04/04,中山,5.6,1.59,30.2,-,82,-,75.58,23.22,52.35,3.083,0.7,2.39,23.82,-,-,93.0
186,臺北市,1998/04/04,大同,6.6,2.81,-,-,-,-,199.03,-,-,3.801,1.37,2.43,24.35,-,-,36.0
187,臺北市,1998/04/04,萬華,5.1,1.34,34.2,-,93,-,58.56,14.86,43.69,-,-,-,22.88,-,-,109.0
188,臺北市,1998/04/04,陽明,3.0,0.45,63.1,-,35,-,9.7,0.44,9.26,-,-,-,19.61,-,85.0,115.0
189,臺北市,1998/04/04,士林,3.5,1.12,23.4,-,85,-,45.93,11.84,34.09,-,-,-,22.98,-,-,67.0
190,臺北市,1998/04/03,松山,5.6,0.64,25.5,-,53,-,33.55,7.09,26.46,-,-,-,19.58,-,-,52.0
191,臺北市,1998/04/03,古亭,2.0,0.7,25.1,-,-,36,40.82,12.55,28.27,2.311,0.36,1.95,20.27,-,-,35.0
192,臺北市,1998/04/03,中山,4.0,0.76,27.0,-,59,-,37.59,9.25,28.34,2.131,0.1,2.03,20.37,-,-,55.0
193,臺北市,1998/04/03,大同,9.2,3.47,-,-,-,-,156.61,-,-,4.151,1.83,2.32,21.12,-,-,62.0
194,臺北市,1998/04/03,萬華,3.0,0.83,25.1,-,62,-,36.07,8.06,28.01,-,-,-,19.66,-,-,56.0
195,臺北市,1998/04/03,陽明,0.5,0.18,41.6,-,16,-,2.31,0.28,2.03,-,-,-,13.09,-,91.0,39.0
196,臺北市,1998/04/03,士林,3.5,0.36,28.5,-,53,-,13.38,0.88,12.5,-,-,-,20.13,-,-,52.0
197,臺北市,1998/04/02,松山,2.0,0.6,26.5,-,39,-,28.64,5.06,23.59,-,-,-,15.51,-,-,39.0
198,臺北市,1998/04/02,古亭,2.7,0.59,26.2,-,-,35,30.49,7.32,23.18,2.22,0.25,1.97,15.33,-,-,28.0
199,臺北市,1998/04/02,中山,2.3,0.75,26.3,-,35,-,31.33,5.78,25.55,2.283,0.19,2.09,16.12,-,-,35.0
