序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1998/08/31,松山,2.3,1.24,16.2,-,24,-,56.79,17.67,39.11,-,-,-,26.45,-,-,34.0
2,臺北市,1998/08/31,古亭,2.1,1.82,12.5,-,30,22,78.81,38.62,40.19,2.774,0.67,2.1,24.79,-,-,38.0
3,臺北市,1998/08/31,中山,2.0,1.82,9.0,-,34,-,75.32,32.79,42.53,2.938,0.55,2.39,25.75,-,-,34.0
4,臺北市,1998/08/31,大同,5.0,4.19,-,-,-,-,166.25,111.1,55.15,4.579,1.78,2.8,25.7,-,-,60.0
5,臺北市,1998/08/31,萬華,1.4,1.59,12.6,-,22,-,52.9,13.64,39.26,-,-,-,25.87,-,-,31.0
6,臺北市,1998/08/31,陽明,0.2,0.27,50.0,-,13,-,1.52,0.17,1.35,-,-,-,21.17,-,93.0,50.0
7,臺北市,1998/08/31,士林,1.0,1.41,10.8,-,43,-,-,-,-,-,-,-,25.14,-,-,43.0
8,臺北市,1998/08/30,松山,2.5,0.79,19.2,-,21,-,30.0,5.99,24.01,-,-,-,27.33,-,-,30.0
9,臺北市,1998/08/30,古亭,2.4,0.93,15.8,-,23,19,42.59,12.7,29.89,2.532,0.32,2.21,26.26,-,-,25.0
10,臺北市,1998/08/30,中山,5.4,1.0,13.1,-,26,-,39.45,9.58,29.86,2.526,0.28,2.24,27.18,-,-,26.0
11,臺北市,1998/08/30,大同,9.3,3.67,-,-,-,-,159.03,113.09,45.95,4.128,1.49,2.64,27.63,-,-,49.0
12,臺北市,1998/08/30,萬華,1.7,0.91,16.5,-,16,-,28.46,3.67,24.79,-,-,-,27.25,-,-,24.0
13,臺北市,1998/08/30,陽明,1.1,0.32,40.6,-,13,-,2.72,0.29,2.43,-,-,-,21.66,-,90.0,46.0
14,臺北市,1998/08/30,士林,1.0,0.98,15.5,-,27,-,-,-,-,-,-,-,26.99,-,-,33.0
15,臺北市,1998/08/29,松山,4.1,1.18,5.9,-,27,-,58.6,22.46,36.15,-,-,-,27.51,-,-,28.0
16,臺北市,1998/08/29,古亭,2.4,1.36,5.2,-,25,26,67.37,32.77,34.6,2.733,0.59,2.14,26.46,-,-,31.0
17,臺北市,1998/08/29,中山,3.4,1.47,3.6,-,39,-,65.25,28.79,36.47,3.04,0.62,2.42,27.24,-,-,39.0
18,臺北市,1998/08/29,大同,8.1,4.49,-,-,-,-,168.02,124.55,43.47,4.722,2.16,2.57,27.68,-,-,75.0
19,臺北市,1998/08/29,萬華,1.9,1.14,7.1,-,20,-,40.42,11.31,29.11,-,-,-,27.36,-,-,29.0
20,臺北市,1998/08/29,陽明,3.4,0.21,25.3,-,13,-,6.95,0.83,6.12,-,-,-,22.08,-,87.0,30.0
21,臺北市,1998/08/29,士林,1.9,1.08,6.7,-,29,-,-,-,-,-,-,-,26.38,-,-,30.0
22,臺北市,1998/08/28,松山,3.4,1.22,13.2,-,32,-,66.7,20.43,46.27,-,-,-,29.78,-,-,38.0
23,臺北市,1998/08/28,古亭,2.7,1.05,18.9,-,38,22,53.62,19.71,33.9,2.53,0.51,2.02,28.15,-,-,39.0
24,臺北市,1998/08/28,中山,3.7,1.35,12.9,-,40,-,54.73,19.99,34.75,2.631,0.53,2.11,29.42,-,-,43.0
25,臺北市,1998/08/28,大同,7.9,3.97,-,-,-,-,160.42,110.52,49.9,4.305,1.82,2.48,30.04,-,-,63.0
26,臺北市,1998/08/28,萬華,3.1,0.9,18.1,-,35,-,31.35,4.35,27.0,-,-,-,29.15,-,-,40.0
27,臺北市,1998/08/28,陽明,2.8,0.19,29.2,-,13,-,7.18,1.2,5.98,-,-,-,23.04,-,84.0,41.0
28,臺北市,1998/08/28,士林,2.4,0.98,12.7,-,39,-,-,-,-,-,-,-,28.88,-,-,39.0
29,臺北市,1998/08/27,松山,3.9,1.17,22.2,-,43,-,61.41,15.51,45.9,-,-,-,31.82,-,-,54.0
30,臺北市,1998/08/27,古亭,3.5,1.01,23.9,-,39,25,56.36,19.65,36.71,2.456,0.5,1.95,30.63,-,-,51.0
31,臺北市,1998/08/27,中山,3.3,1.22,18.5,-,50,-,51.88,14.17,37.71,2.727,0.47,2.26,31.67,-,-,50.0
32,臺北市,1998/08/27,大同,9.2,4.33,-,-,-,-,167.87,114.42,53.45,4.391,2.1,2.29,32.92,-,-,79.0
33,臺北市,1998/08/27,萬華,2.8,0.6,26.0,-,36,-,24.38,2.58,21.8,-,-,-,31.12,-,-,54.0
34,臺北市,1998/08/27,陽明,4.1,0.27,27.1,-,16,-,9.66,0.31,9.35,-,-,-,24.73,-,81.0,38.0
35,臺北市,1998/08/27,士林,3.5,0.93,18.9,-,46,-,-,-,-,-,-,-,31.08,-,-,46.0
36,臺北市,1998/08/26,松山,4.5,1.06,23.1,-,43,-,58.26,20.73,37.53,-,-,-,32.08,-,-,48.0
37,臺北市,1998/08/26,古亭,3.6,0.99,27.2,-,37,24,54.01,18.32,35.69,2.423,0.48,1.94,30.39,-,-,64.0
38,臺北市,1998/08/26,中山,4.3,1.25,15.7,-,43,-,53.31,14.63,38.69,-,-,-,31.23,-,-,47.0
39,臺北市,1998/08/26,大同,9.6,4.15,-,-,-,-,155.36,105.38,49.98,4.031,1.8,2.23,32.38,-,-,78.0
40,臺北市,1998/08/26,萬華,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,臺北市,1998/08/26,陽明,6.1,0.19,32.8,-,15,-,10.97,1.64,9.32,-,-,-,24.75,-,80.0,46.0
42,臺北市,1998/08/26,士林,5.5,0.96,12.7,-,41,-,-,-,-,-,-,-,30.89,-,-,45.0
43,臺北市,1998/08/25,松山,4.5,1.02,20.5,-,52,-,58.82,24.2,34.62,-,-,-,31.88,-,-,55.0
44,臺北市,1998/08/25,古亭,1.4,1.03,18.1,-,-,29,45.93,16.61,29.31,2.198,0.39,1.81,30.05,-,-,44.0
45,臺北市,1998/08/25,中山,5.6,1.28,15.7,-,47,-,52.96,17.99,34.97,2.584,0.39,2.2,31.08,-,-,47.0
46,臺北市,1998/08/25,大同,9.3,3.81,-,-,-,-,151.66,107.31,44.34,4.251,1.88,2.37,32.09,-,-,75.0
47,臺北市,1998/08/25,萬華,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,臺北市,1998/08/25,陽明,7.4,0.25,29.6,-,14,-,12.87,2.13,10.74,-,-,-,24.69,-,82.0,45.0
49,臺北市,1998/08/25,士林,3.2,1.07,10.4,-,51,-,-,-,-,-,-,-,30.49,-,-,50.0
50,臺北市,1998/08/24,松山,8.2,0.94,31.9,-,57,-,55.76,19.82,35.94,-,-,-,32.19,-,-,90.0
51,臺北市,1998/08/24,古亭,2.8,1.08,19.0,-,49,27,53.72,24.35,29.36,2.342,0.44,1.9,30.51,-,-,72.0
52,臺北市,1998/08/24,中山,5.2,0.96,16.8,-,44,-,37.93,13.55,24.38,2.644,0.39,2.25,31.49,-,-,63.0
53,臺北市,1998/08/24,大同,7.0,2.55,-,-,-,-,105.31,72.65,32.65,3.86,1.42,2.44,32.46,-,-,40.0
54,臺北市,1998/08/24,萬華,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,臺北市,1998/08/24,陽明,6.8,0.25,24.2,-,17,-,13.56,1.88,11.68,-,-,-,24.91,-,81.0,47.0
56,臺北市,1998/08/24,士林,0.6,0.75,12.9,-,45,-,18.65,7.13,11.52,-,-,-,30.53,-,-,45.0
57,臺北市,1998/08/23,松山,3.2,0.72,29.0,-,36,-,42.14,16.52,25.62,-,-,-,31.94,-,-,54.0
58,臺北市,1998/08/23,古亭,2.4,0.74,23.4,-,34,25,37.8,13.21,24.59,2.131,0.26,1.88,30.47,-,-,-
59,臺北市,1998/08/23,中山,4.6,1.08,18.6,-,44,-,44.22,15.75,28.48,2.675,0.43,2.25,31.35,-,-,44.0
60,臺北市,1998/08/23,大同,7.4,2.82,-,-,-,-,115.57,76.57,38.99,3.929,1.33,2.6,32.12,-,-,47.0
61,臺北市,1998/08/23,萬華,3.6,0.74,24.5,-,38,-,25.16,6.26,18.9,-,-,-,31.14,-,-,51.0
62,臺北市,1998/08/23,陽明,2.6,0.26,30.8,-,15,-,7.4,0.97,6.43,-,-,-,24.91,-,81.0,43.0
63,臺北市,1998/08/23,士林,0.2,1.03,14.6,-,46,-,20.32,8.32,12.01,-,-,-,30.53,-,-,46.0
64,臺北市,1998/08/22,松山,4.2,0.98,22.8,-,60,-,51.89,23.05,28.84,-,-,-,31.06,-,-,76.0
65,臺北市,1998/08/22,古亭,3.5,1.14,20.0,-,50,27,51.42,21.9,29.53,2.394,0.47,1.93,29.94,-,-,-
66,臺北市,1998/08/22,中山,4.0,1.11,17.8,-,56,-,46.11,15.59,30.52,2.618,0.32,2.3,30.56,-,-,53.0
67,臺北市,1998/08/22,大同,6.3,3.59,-,-,-,-,147.93,101.23,46.69,4.012,1.53,2.48,31.17,-,-,62.0
68,臺北市,1998/08/22,萬華,3.7,1.06,17.6,-,53,-,36.01,9.1,26.91,-,-,-,30.66,-,-,62.0
69,臺北市,1998/08/22,陽明,2.5,0.26,36.9,-,20,-,6.14,0.52,5.61,-,-,-,23.9,-,84.0,58.0
70,臺北市,1998/08/22,士林,1.8,0.8,16.3,-,55,-,14.49,3.26,11.24,-,-,-,30.17,-,-,52.0
71,臺北市,1998/08/21,松山,1.8,0.74,4.5,-,24,-,42.26,28.65,13.61,-,-,-,32.48,-,-,24.0
72,臺北市,1998/08/21,古亭,0.8,0.55,6.0,-,16,14,29.26,18.15,11.11,2.004,0.18,1.82,31.61,-,-,16.0
73,臺北市,1998/08/21,中山,1.0,0.78,4.8,-,24,-,32.27,19.78,12.49,2.093,0.14,1.96,32.06,-,-,24.0
74,臺北市,1998/08/21,大同,5.5,4.11,-,-,-,-,172.67,147.88,24.79,4.577,2.16,2.42,32.82,-,-,68.0
75,臺北市,1998/08/21,萬華,1.3,0.69,4.2,-,15,-,22.05,10.94,11.11,-,-,-,32.42,-,-,15.0
76,臺北市,1998/08/21,陽明,2.8,0.1,13.4,-,13,-,3.52,0.73,2.79,-,-,-,23.97,-,82.0,14.0
77,臺北市,1998/08/21,士林,0.4,0.43,6.8,-,27,-,-,-,-,-,-,-,32.09,-,-,27.0
78,臺北市,1998/08/20,松山,4.2,0.86,2.9,-,31,-,51.24,33.47,17.76,-,-,-,29.41,-,-,31.0
79,臺北市,1998/08/20,古亭,2.1,0.73,4.7,-,21,15,36.76,21.92,14.83,2.244,0.32,1.93,29.02,-,-,21.0
80,臺北市,1998/08/20,中山,4.3,0.81,3.4,-,23,-,39.43,23.46,15.97,2.357,0.31,2.05,29.42,-,-,23.0
81,臺北市,1998/08/20,大同,10.1,4.23,-,-,-,-,170.43,144.64,25.79,4.091,2.07,2.02,29.89,-,-,68.0
82,臺北市,1998/08/20,萬華,2.9,0.9,3.6,-,17,-,33.37,18.09,15.27,-,-,-,29.89,-,-,17.0
83,臺北市,1998/08/20,陽明,3.6,0.14,14.2,-,12,-,4.09,0.9,3.19,-,-,-,22.5,-,86.0,16.0
84,臺北市,1998/08/20,士林,5.1,0.43,5.4,-,24,-,19.7,10.77,8.94,-,-,-,29.35,-,-,24.0
85,臺北市,1998/08/19,松山,7.4,0.78,19.1,-,43,-,36.88,16.11,20.77,-,-,-,32.3,-,-,47.0
86,臺北市,1998/08/19,古亭,4.8,0.83,20.5,-,51,29,38.01,15.97,22.03,2.124,0.29,1.84,31.28,-,-,50.0
87,臺北市,1998/08/19,中山,5.4,0.88,21.0,-,51,-,37.68,12.39,25.29,2.55,0.29,2.27,32.3,-,-,55.0
88,臺北市,1998/08/19,大同,9.7,3.83,-,-,-,-,160.65,115.98,44.67,4.41,1.71,2.51,33.0,-,-,55.0
89,臺北市,1998/08/19,萬華,6.0,0.74,28.3,-,49,-,26.16,5.45,20.71,-,-,-,32.01,-,-,61.0
90,臺北市,1998/08/19,陽明,3.4,0.2,31.0,-,15,-,4.17,0.44,3.73,-,-,-,24.66,-,83.0,56.0
91,臺北市,1998/08/19,士林,3.3,0.67,18.4,-,53,-,-,-,-,-,-,-,31.23,-,-,51.0
92,臺北市,1998/08/18,松山,8.5,0.82,30.2,-,35,-,38.57,9.4,29.16,-,-,-,31.4,-,-,94.0
93,臺北市,1998/08/18,古亭,6.3,0.9,28.9,-,50,32,46.73,15.37,31.36,2.389,0.43,1.96,30.69,-,-,95.0
