序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1995/02/28,松山,12.4,-,9.6,-,-,81,40.09,41.26,-,-,-,13.37,-,-,49.0
2,臺北市,1995/02/28,古亭,6.1,1.26,15.2,-,-,49,17.17,31.35,2.68,0.27,2.41,13.96,-,-,23.0
3,臺北市,1995/02/28,中山,10.9,1.95,13.1,-,139,87,32.27,54.59,3.68,0.97,2.71,13.92,-,-,95.0
4,臺北市,1995/02/28,大同,17.5,5.41,-,-,160,291,227.97,62.61,5.78,2.65,3.12,14.46,-,-,105.0
5,臺北市,1995/02/28,萬華,7.5,1.65,14.7,-,104,63,28.93,34.3,-,-,-,13.94,-,-,77.0
6,臺北市,1995/02/28,陽明,1.3,0.31,48.7,-,5,1,0.02,1.32,-,-,-,7.04,-,77.0,45.0
7,臺北市,1995/02/28,士林,7.2,1.3,21.7,-,104,70,33.0,36.31,-,-,-,13.58,-,-,77.0
8,臺北市,1995/02/27,松山,8.6,1.57,6.2,-,31,87,41.18,45.55,-,-,-,12.58,-,-,31.0
9,臺北市,1995/02/27,古亭,6.5,2.18,8.4,-,-,110,65.68,43.88,2.84,0.55,2.29,12.7,-,-,44.0
10,臺北市,1995/02/27,中山,11.8,2.2,5.7,-,39,117,45.71,71.37,3.21,0.88,2.33,12.81,-,-,40.0
11,臺北市,1995/02/27,大同,14.9,6.2,-,-,79,335,267.85,68.18,5.37,2.82,2.55,13.28,-,-,92.0
12,臺北市,1995/02/27,萬華,10.5,2.08,8.4,-,33,95,50.03,45.14,-,-,-,12.77,-,-,36.0
13,臺北市,1995/02/27,陽明,0.2,0.29,47.1,-,1,1,0.01,1.26,-,-,-,7.12,-,100.0,43.0
14,臺北市,1995/02/27,士林,5.9,1.52,7.5,-,36,86,39.99,46.26,-,-,-,12.8,-,-,36.0
15,臺北市,1995/02/26,松山,6.1,1.29,9.8,-,63,69,26.14,42.82,-,-,-,11.95,-,-,57.0
16,臺北市,1995/02/26,古亭,3.3,1.21,11.6,-,-,64,26.45,37.29,2.63,0.24,2.39,12.06,-,-,19.0
17,臺北市,1995/02/26,中山,7.2,1.57,6.8,-,70,83,22.73,60.06,2.68,0.44,2.25,12.08,-,-,60.0
18,臺北市,1995/02/26,大同,11.9,5.06,-,-,110,315,251.83,63.02,4.75,2.15,2.6,12.53,-,-,80.0
19,臺北市,1995/02/26,萬華,3.6,1.35,9.5,-,56,51,11.18,40.01,-,-,-,12.07,-,-,53.0
20,臺北市,1995/02/26,陽明,1.4,0.37,47.9,-,2,2,0.03,1.47,-,-,-,5.33,-,97.0,43.0
21,臺北市,1995/02/26,士林,5.7,1.13,16.0,-,54,64,23.43,40.51,-,-,-,11.99,-,-,52.0
22,臺北市,1995/02/25,松山,4.4,1.61,7.8,-,28,88,45.15,42.42,-,-,-,13.19,-,-,28.0
23,臺北市,1995/02/25,古亭,4.6,2.06,6.6,-,-,105,60.93,44.13,3.23,0.7,2.53,13.19,-,-,34.0
24,臺北市,1995/02/25,中山,6.0,1.83,5.5,-,34,84,26.0,57.63,3.05,0.74,2.31,13.09,-,-,34.0
25,臺北市,1995/02/25,大同,7.6,3.84,-,-,51,194,142.76,50.9,4.16,1.63,2.52,13.19,-,-,60.0
26,臺北市,1995/02/25,萬華,6.2,1.44,8.7,-,26,64,24.03,39.48,-,-,-,12.86,-,-,27.0
27,臺北市,1995/02/25,陽明,0.3,0.23,43.3,-,1,1,0.01,1.3,-,-,-,7.59,-,100.0,40.0
28,臺北市,1995/02/25,士林,3.8,1.19,9.6,-,26,66,25.78,40.57,-,-,-,13.02,-,-,28.0
29,臺北市,1995/02/24,松山,5.1,1.28,7.1,-,24,71,29.79,40.78,-,-,-,14.67,-,-,24.0
30,臺北市,1995/02/24,古亭,1.8,1.28,8.4,-,-,67,27.99,38.66,2.55,0.36,2.19,14.87,-,-,16.0
31,臺北市,1995/02/24,中山,4.8,1.8,5.3,-,29,84,25.56,58.04,2.94,0.69,2.25,15.01,-,-,29.0
32,臺北市,1995/02/24,大同,11.6,5.65,-,-,79,299,238.8,60.12,5.23,2.65,2.57,15.5,-,-,86.0
33,臺北市,1995/02/24,萬華,3.5,1.55,7.8,-,29,64,24.12,39.88,-,-,-,14.83,-,-,29.0
34,臺北市,1995/02/24,陽明,0.2,0.19,42.4,-,-,1,0.01,0.98,-,-,-,9.39,-,99.0,37.0
35,臺北市,1995/02/24,士林,3.3,1.07,9.5,-,28,62,21.59,40.74,-,-,-,14.86,-,-,28.0
36,臺北市,1995/02/23,松山,7.4,1.2,8.4,-,23,67,27.78,39.69,-,-,-,14.39,-,-,26.0
37,臺北市,1995/02/23,古亭,4.1,1.13,12.1,-,-,61,25.01,36.23,2.35,0.39,1.96,14.64,-,-,26.0
38,臺北市,1995/02/23,中山,5.9,1.78,5.8,-,22,87,27.85,58.98,2.72,0.6,2.11,14.67,-,-,26.0
39,臺北市,1995/02/23,大同,12.1,5.88,-,-,69,317,256.11,60.47,5.1,2.66,2.44,15.17,-,-,90.0
40,臺北市,1995/02/23,萬華,4.5,1.51,9.5,-,17,60,20.6,39.8,-,-,-,14.7,-,-,23.0
41,臺北市,1995/02/23,陽明,0.1,0.27,44.8,-,-,1,0.01,0.52,-,-,-,9.2,-,100.0,40.0
42,臺北市,1995/02/23,士林,3.3,1.16,7.8,-,21,65,23.69,41.28,-,-,-,14.59,-,-,27.0
43,臺北市,1995/02/22,松山,8.0,1.26,12.7,-,15,47,13.25,33.32,-,-,-,13.86,-,-,24.0
44,臺北市,1995/02/22,古亭,5.2,0.86,15.8,-,-,45,14.92,30.09,2.26,0.31,1.95,13.92,-,-,25.0
45,臺北市,1995/02/22,中山,6.8,1.36,19.9,-,22,75,29.74,45.61,2.48,0.48,1.99,14.24,-,-,42.0
46,臺北市,1995/02/22,大同,12.9,5.59,-,-,56,288,230.44,57.76,4.66,2.4,2.25,14.69,-,-,87.0
47,臺北市,1995/02/22,萬華,5.5,1.12,14.1,-,17,42,9.29,32.76,-,-,-,14.14,-,-,24.0
48,臺北市,1995/02/22,陽明,0.0,0.19,45.6,-,-,0,0.02,0.31,-,-,-,8.68,-,100.0,40.0
49,臺北市,1995/02/22,士林,2.3,0.87,21.5,-,21,44,15.48,28.35,-,-,-,14.63,-,-,31.0
50,臺北市,1995/02/21,松山,8.7,0.88,12.2,-,26,56,17.23,38.31,-,-,-,12.89,-,-,26.0
51,臺北市,1995/02/21,古亭,2.8,0.82,17.1,-,-,47,14.78,32.28,2.11,0.21,1.91,12.74,-,-,29.0
52,臺北市,1995/02/21,中山,6.4,1.34,30.5,-,22,67,29.09,38.38,2.34,0.35,1.99,12.89,-,-,50.0
53,臺北市,1995/02/21,大同,9.3,4.66,-,-,48,273,214.21,60.46,4.31,1.95,2.36,13.17,-,-,73.0
54,臺北市,1995/02/21,萬華,4.2,1.03,14.5,-,17,45,9.66,34.9,-,-,-,12.92,-,-,26.0
55,臺北市,1995/02/21,陽明,0.2,0.14,47.3,-,-,0,0.02,0.42,-,-,-,7.28,-,100.0,40.0
56,臺北市,1995/02/21,士林,2.9,0.54,26.3,-,14,29,4.44,24.61,-,-,-,13.13,-,-,36.0
57,臺北市,1995/02/20,松山,6.4,1.09,10.8,-,31,60,19.12,40.57,-,-,-,14.59,-,-,31.0
58,臺北市,1995/02/20,古亭,4.0,1.15,14.4,-,-,61,21.72,39.31,2.35,0.25,2.11,14.84,-,-,28.0
59,臺北市,1995/02/20,中山,5.3,1.36,34.5,-,27,67,27.21,39.63,2.42,0.39,2.03,14.96,-,-,44.0
60,臺北市,1995/02/20,大同,9.9,5.56,-,-,56,284,222.07,62.42,4.6,2.19,2.4,15.46,-,-,83.0
61,臺北市,1995/02/20,萬華,5.3,1.3,12.9,-,22,49,11.33,38.06,-,-,-,14.96,-,-,25.0
62,臺北市,1995/02/20,陽明,0.1,0.19,49.2,-,-,1,0.01,0.78,-,-,-,8.96,-,100.0,45.0
63,臺北市,1995/02/20,士林,1.3,0.79,26.2,-,23,21,15.25,24.66,-,-,-,15.39,-,-,34.0
64,臺北市,1995/02/19,松山,2.9,0.91,13.8,-,21,41,10.59,29.96,-,-,-,15.11,-,-,25.0
65,臺北市,1995/02/19,古亭,3.0,0.93,12.3,-,-,52,18.25,33.75,2.23,0.08,2.15,15.28,-,-,20.0
66,臺北市,1995/02/19,中山,3.6,1.27,34.2,-,27,63,26.1,36.58,2.25,0.2,2.06,15.44,-,-,45.0
67,臺北市,1995/02/19,大同,10.0,5.18,-,-,63,300,239.43,61.33,4.37,2.09,2.28,15.94,-,-,79.0
68,臺北市,1995/02/19,萬華,2.7,1.1,11.1,-,23,41,7.41,33.14,-,-,-,15.31,-,-,23.0
69,臺北市,1995/02/19,陽明,0.2,0.29,42.0,-,-,1,0.03,1.14,-,-,-,9.26,-,100.0,38.0
70,臺北市,1995/02/19,士林,2.8,1.1,8.5,-,44,62,21.45,40.49,-,-,-,15.33,-,-,44.0
71,臺北市,1995/02/18,松山,11.8,3.26,10.6,-,89,113,55.62,57.29,-,-,-,16.47,-,-,73.0
72,臺北市,1995/02/18,古亭,11.0,2.7,10.7,-,-,-,-,-,3.84,1.09,2.75,16.47,-,-,57.0
73,臺北市,1995/02/18,中山,15.7,2.88,28.3,-,100,-,-,-,4.04,1.45,2.58,16.53,-,-,81.0
74,臺北市,1995/02/18,大同,16.4,4.81,-,-,113,246,187.72,58.21,5.43,2.39,3.03,16.66,-,-,91.0
75,臺北市,1995/02/18,萬華,12.9,2.4,12.7,-,80,110,66.54,45.91,-,-,-,16.31,-,-,71.0
76,臺北市,1995/02/18,陽明,1.2,0.35,47.4,-,16,4,0.14,3.89,-,-,-,13.14,-,90.0,50.0
77,臺北市,1995/02/18,士林,11.8,2.62,10.6,-,103,110,48.35,50.55,-,-,-,15.96,-,-,90.0
78,臺北市,1995/02/17,松山,10.7,2.02,8.7,-,45,91,45.85,45.52,-,-,-,14.05,-,-,45.0
79,臺北市,1995/02/17,古亭,6.6,2.3,13.3,-,-,74,35.04,38.89,2.93,0.61,2.32,14.07,-,-,53.0
80,臺北市,1995/02/17,中山,9.6,1.84,15.4,-,41,-,-,-,2.62,0.66,1.96,14.5,-,-,41.0
81,臺北市,1995/02/17,大同,15.8,6.06,-,-,80,332,267.03,64.76,5.38,2.93,2.45,14.88,-,-,108.0
82,臺北市,1995/02/17,萬華,8.5,1.75,13.1,-,39,80,38.13,41.44,-,-,-,14.2,-,-,39.0
83,臺北市,1995/02/17,陽明,1.8,0.28,49.5,-,-,2,0.12,2.14,-,-,-,8.67,-,97.0,45.0
84,臺北市,1995/02/17,士林,5.5,0.97,27.6,-,25,29,4.24,24.66,-,-,-,15.03,-,-,41.0
85,臺北市,1995/02/16,松山,10.4,1.26,8.3,-,80,72,26.77,45.55,-,-,-,14.33,-,-,65.0
86,臺北市,1995/02/16,古亭,4.2,0.78,16.1,-,-,50,14.96,35.27,2.68,0.27,2.41,14.64,-,-,21.0
87,臺北市,1995/02/16,中山,10.1,1.58,8.0,-,80,83,36.38,46.25,2.58,0.4,2.18,14.71,-,-,65.0
88,臺北市,1995/02/16,大同,16.8,5.87,-,-,123,320,254.04,65.79,5.24,2.79,2.46,15.27,-,-,86.0
89,臺北市,1995/02/16,萬華,5.3,1.32,14.6,-,63,57,11.63,45.74,-,-,-,14.64,-,-,56.0
