序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1998/01/31,松山,1.6,0.72,14.5,-,22,-,38.0,12.56,25.44,-,-,-,16.84,-,-,23.0
2,臺北市,1998/01/31,古亭,2.4,0.66,19.3,-,21,21,35.59,11.76,23.83,2.275,0.2,2.07,17.14,-,-,24.0
3,臺北市,1998/01/31,中山,2.1,0.8,12.2,-,94,-,45.33,15.46,29.87,-,-,-,17.79,-,-,72.0
4,臺北市,1998/01/31,大同,5.6,3.02,-,-,-,-,183.62,140.85,42.77,3.708,1.25,2.45,18.15,-,-,44.0
5,臺北市,1998/01/31,萬華,2.2,0.89,16.4,-,21,-,39.28,11.93,27.35,-,-,-,16.94,-,-,27.0
6,臺北市,1998/01/31,陽明,0.3,0.13,43.9,-,12,-,1.2,0.19,1.01,-,-,-,12.29,-,97.0,38.0
7,臺北市,1998/01/31,士林,0.9,0.86,14.0,-,26,-,35.61,16.15,19.46,-,-,-,17.88,-,-,26.0
8,臺北市,1998/01/30,松山,1.5,0.59,17.6,-,19,-,29.27,6.65,22.62,-,-,-,14.09,-,-,22.0
9,臺北市,1998/01/30,古亭,2.2,0.48,24.3,-,27,26,24.48,5.38,19.1,2.13,0.13,2.0,14.2,-,-,29.0
10,臺北市,1998/01/30,中山,1.9,0.77,15.1,-,60,-,42.08,12.76,29.31,-,-,-,14.9,-,-,55.0
11,臺北市,1998/01/30,大同,4.8,2.76,-,-,-,-,184.62,143.11,41.51,3.35,1.11,2.24,15.27,-,-,44.0
12,臺北市,1998/01/30,萬華,1.8,0.61,23.8,-,21,-,22.14,1.94,20.2,-,-,-,13.99,-,-,27.0
13,臺北市,1998/01/30,陽明,0.2,0.19,44.1,-,12,-,0.63,0.03,0.6,-,-,-,9.2,-,98.0,40.0
14,臺北市,1998/01/30,士林,0.7,0.61,18.0,-,15,-,28.29,8.31,22.26,-,-,-,14.89,-,-,29.0
15,臺北市,1998/01/29,松山,2.3,0.52,26.2,-,41,-,23.31,3.63,19.67,-,-,-,12.1,-,-,41.0
16,臺北市,1998/01/29,古亭,2.0,0.53,28.5,-,51,45,25.02,4.92,20.1,2.156,0.12,2.03,11.79,-,-,50.0
17,臺北市,1998/01/29,中山,2.6,0.64,25.9,-,85,-,31.0,6.17,24.83,-,-,-,12.58,-,-,68.0
18,臺北市,1998/01/29,大同,5.3,2.28,-,-,-,-,162.88,120.93,41.95,3.128,0.83,2.3,12.77,-,-,37.0
19,臺北市,1998/01/29,萬華,2.4,0.69,28.3,-,58,-,22.44,1.45,20.99,-,-,-,11.64,-,-,54.0
