序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2014/02/28,松山,1.8,0.48,421.58,33.5,21,10,20.18,3.75,16.42,2.09,21.21,70.12
2,臺北市,2014/02/28,古亭,1.9,0.5,-,27.6,38,12,24.22,4.72,19.5,2.41,21.64,72.61
3,臺北市,2014/02/28,中山,3.4,0.7,-,27.7,56,14,36.54,12.11,24.44,2.19,22.22,71.4
4,臺北市,2014/02/28,大同,4.5,1.33,-,-,43,12,70.69,36.2,34.49,-,-,-
5,臺北市,2014/02/28,萬華,2.5,0.61,-,27.2,33,14,31.0,6.79,24.21,2.41,21.73,71.09
6,臺北市,2014/02/28,陽明,1.8,0.23,414.61,46.4,8,7,2.68,0.4,2.3,-,15.22,96.38
7,臺北市,2014/02/28,士林,2.9,0.45,-,36.1,37,13,19.4,4.91,14.49,2.41,21.76,69.65
8,臺北市,2014/02/27,松山,2.1,0.49,424.55,31.1,36,-,23.62,3.14,20.48,2.61,18.68,76.94
9,臺北市,2014/02/27,古亭,2.3,0.49,-,28.6,42,17,24.08,4.43,19.66,3.4,19.35,78.29
10,臺北市,2014/02/27,中山,2.8,0.66,-,27.3,58,19,32.83,8.12,24.71,2.39,19.86,77.33
11,臺北市,2014/02/27,大同,3.1,0.97,-,-,51,14,57.55,25.98,31.57,-,-,-
12,臺北市,2014/02/27,萬華,2.4,0.48,-,29.1,33,16,27.53,5.13,22.4,3.55,19.4,76.26
13,臺北市,2014/02/27,陽明,1.0,0.28,417.75,48.4,5,2,2.1,0.94,1.16,-,12.74,99.0
14,臺北市,2014/02/27,士林,3.4,0.43,-,37.2,38,19,17.85,4.67,13.18,2.6,19.39,73.88
15,臺北市,2014/02/26,松山,5.2,1.09,458.34,8.3,61,36,71.94,27.0,44.95,1.21,19.91,74.22
16,臺北市,2014/02/26,古亭,6.1,1.01,-,12.0,71,36,62.47,19.1,43.37,1.28,20.51,73.94
17,臺北市,2014/02/26,中山,6.8,1.42,-,8.3,101,39,89.98,40.69,49.29,1.37,20.88,75.08
18,臺北市,2014/02/26,大同,8.4,1.83,-,-,90,35,106.56,55.34,51.22,-,-,-
19,臺北市,2014/02/26,萬華,6.4,1.12,-,10.1,74,43,72.69,25.78,46.91,1.07,20.58,73.52
20,臺北市,2014/02/26,陽明,1.1,0.17,415.64,42.1,14,10,3.06,1.55,1.53,-,14.83,91.46
21,臺北市,2014/02/26,士林,6.0,0.77,-,13.9,73,34,49.18,15.45,33.72,1.29,19.79,76.75
22,臺北市,2014/02/25,松山,5.2,1.05,452.64,15.6,78,37,69.98,29.81,40.17,1.25,19.95,69.89
23,臺北市,2014/02/25,古亭,5.7,1.18,-,16.1,105,47,67.76,23.09,44.67,1.49,20.22,72.1
24,臺北市,2014/02/25,中山,6.2,1.55,-,15.5,132,47,92.6,44.0,48.59,1.47,20.19,74.11
25,臺北市,2014/02/25,大同,6.6,1.85,-,-,108,46,90.67,43.48,47.18,-,-,-
