序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2017/08/05,松山,2,0.51,431.36,23.8,33,21,27.04,8.44,18.6,1.99,0.179,1.812,2.27,1.8,31.93,-,-,64.01,-
2,臺北市,2017/08/05,古亭,1.6,0.36,-,25.8,39,18,19.39,4.71,14.68,2.067,0.135,1.932,2.22,1.53,31.74,-,-,69.46,-
3,臺北市,2017/08/05,中山,2.4,0.72,-,20.6,49,21,30.76,10.58,20.19,2.073,0.172,1.901,0.94,0.36,32.19,-,-,60.46,-
4,臺北市,2017/08/05,大同,3.4,1.67,-,-,58,16,56.81,31.02,25.79,2.454,0.428,2.027,-,-,-,-,-,-,-
5,臺北市,2017/08/05,萬華,0.9,0.62,-,21.2,40,21,27.23,9.84,17.39,-,-,-,0.97,0.35,32.85,-,-,65.95,-
6,臺北市,2017/08/05,陽明,1.6,0.17,410.39,27.9,22,16,5.49,0.62,4.8,-,-,-,1.86,-,22.88,0,0,86.86,0
7,臺北市,2017/08/05,士林,2.9,0.34,-,26.1,41,18,18.04,4.82,13.21,-,-,-,2.38,2.33,31.28,-,-,69.55,-
8,臺北市,2017/08/04,松山,2.9,0.65,443.07,24.1,31,23,34.51,9.53,24.99,2.134,0.252,1.882,1.43,1.05,30.21,-,-,74.1,-
9,臺北市,2017/08/04,古亭,2.4,0.68,-,24.4,41,20,31.11,7.52,23.59,2.225,0.253,1.972,1.43,1.14,29.75,-,-,80.61,-
10,臺北市,2017/08/04,中山,2.7,0.92,-,15.3,53,21,39.89,10.1,29.79,2.244,0.288,1.956,0.72,0.27,30.19,-,-,65.53,-
11,臺北市,2017/08/04,大同,4.5,2.55,-,-,61,11,101.92,66.33,35.59,2.989,0.817,2.173,-,-,-,-,-,-,-
12,臺北市,2017/08/04,萬華,2.4,1.1,-,15.7,42,26,48.91,17.8,31.1,-,-,-,0.85,0.48,30.81,-,-,77.6,-
13,臺北市,2017/08/04,陽明,1.6,0.18,411.15,31.1,20,16,5.97,0.66,5.27,-,-,-,2.04,-,24.05,0,0,88.88,0
14,臺北市,2017/08/04,士林,3.1,0.6,-,19.2,43,20,28.08,6.78,21.31,-,-,-,1.69,1.43,30.31,-,-,76.16,-
15,臺北市,2017/08/03,松山,4.9,0.56,438.43,30,30,19,30.29,6.06,24.24,2.074,0.208,1.866,1.58,1.16,29.85,-,-,74.18,-
16,臺北市,2017/08/03,古亭,3.5,0.51,-,31.1,29,17,22.88,4.08,18.81,2.174,0.201,1.973,1.49,1.24,29.78,-,-,77.93,-
17,臺北市,2017/08/03,中山,3,0.79,-,22.3,39,16,32.47,5.98,26.48,2.201,0.25,1.951,0.76,0.33,30.13,-,-,65.23,-
18,臺北市,2017/08/03,大同,4.1,2.06,-,-,51,11,74.17,41.24,32.93,2.796,0.637,2.158,-,-,-,-,-,-,-
19,臺北市,2017/08/03,萬華,3,0.88,-,16.7,36,16,43.53,14.44,29.09,-,-,-,0.88,0.45,30.72,-,-,75.25,-
20,臺北市,2017/08/03,陽明,1.6,0.19,416.59,38.7,22,19,4.56,0.63,3.87,-,-,-,1.41,-,23.6,0,0,92.85,0
21,臺北市,2017/08/03,士林,2.7,0.58,-,26.6,38,20,24.08,3.61,20.45,-,-,-,1.75,1.59,29.51,-,-,78.6,-
22,臺北市,2017/08/02,松山,4.8,0.58,443.99,17.6,30,17,33.61,8.43,25.18,2.118,0.24,1.878,1.2,0.92,29.62,-,-,74.65,-
23,臺北市,2017/08/02,古亭,3.6,0.54,-,26.1,30,15,26.55,4.9,21.65,2.156,0.201,1.955,1.48,1.23,29.15,-,-,80.07,-
