序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1997/05/31,松山,7.7,1.43,38.1,-,80,-,53.05,18.27,34.78,-,-,-,26.77,-,-,105.0
2,臺北市,1997/05/31,古亭,5.5,1.42,38.6,-,89,52,50.38,13.14,37.24,2.546,0.44,2.1,26.51,-,-,88.0
3,臺北市,1997/05/31,中山,8.0,1.52,47.4,-,88,-,51.89,11.05,40.85,2.955,0.55,2.41,27.01,-,-,123.0
4,臺北市,1997/05/31,大同,16.5,4.26,-,-,83,-,146.28,84.64,61.64,4.427,1.91,2.52,28.2,-,-,66.0
5,臺北市,1997/05/31,萬華,6.1,1.18,53.9,-,82,-,32.33,2.11,30.22,-,-,-,27.34,-,-,136.0
6,臺北市,1997/05/31,陽明,7.4,0.55,43.2,-,39,-,7.76,0.3,7.46,-,-,-,21.41,-,83.0,66.0
7,臺北市,1997/05/31,士林,5.9,1.06,36.7,-,80,-,35.64,4.2,31.44,-,-,-,26.05,-,-,88.0
8,臺北市,1997/05/30,松山,12.0,1.24,10.9,-,56,-,61.05,23.16,37.89,-,-,-,25.22,-,-,53.0
9,臺北市,1997/05/30,古亭,8.3,1.48,13.5,-,64,41,64.75,27.64,37.11,2.6,0.43,2.17,25.31,-,-,57.0
10,臺北市,1997/05/30,中山,9.7,1.24,14.7,-,52,-,56.4,19.63,36.77,2.785,0.49,2.3,25.57,-,-,51.0
11,臺北市,1997/05/30,大同,16.5,3.4,-,-,53,-,134.97,90.84,44.14,3.888,1.42,2.47,26.57,-,-,57.0
12,臺北市,1997/05/30,萬華,8.4,1.33,15.0,-,64,-,46.71,12.62,34.09,-,-,-,26.0,-,-,57.0
13,臺北市,1997/05/30,陽明,1.7,0.34,27.5,-,19,-,3.4,0.23,3.17,-,-,-,19.83,-,82.0,36.0
14,臺北市,1997/05/30,士林,3.3,1.0,13.7,-,49,-,39.41,8.41,31.0,-,-,-,25.02,-,-,49.0
15,臺北市,1997/05/29,松山,2.7,0.96,12.8,-,34,-,34.61,9.99,24.62,-,-,-,25.85,-,-,34.0
