序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1997/12/31,松山,4.9,1.19,12.9,-,34,-,61.82,30.85,30.97,-,-,-,19.87,-,-,34.0
2,臺北市,1997/12/31,古亭,2.2,1.14,15.9,-,34,32,54.3,32.23,22.07,2.455,0.4,2.06,19.95,-,-,34.0
3,臺北市,1997/12/31,中山,4.6,1.35,14.4,-,37,-,68.3,37.19,31.12,2.798,0.56,2.23,20.64,-,-,37.0
4,臺北市,1997/12/31,大同,10.3,4.95,-,-,32,-,234.25,191.57,42.68,4.89,2.43,2.46,20.82,-,-,93.0
5,臺北市,1997/12/31,萬華,3.2,1.0,17.4,-,33,-,34.95,11.37,23.57,-,-,-,19.79,-,-,33.0
6,臺北市,1997/12/31,陽明,1.5,0.21,40.1,-,14,-,-,-,-,-,-,-,13.71,-,92.0,44.0
7,臺北市,1997/12/31,士林,1.6,0.97,17.4,-,29,-,38.56,19.43,19.13,-,-,-,20.55,-,-,29.0
8,臺北市,1997/12/30,松山,2.4,0.97,9.1,-,38,-,40.56,13.65,26.91,-,-,-,17.9,-,-,38.0
9,臺北市,1997/12/30,古亭,2.1,1.08,8.4,-,41,33,46.77,20.27,26.5,-,-,-,17.43,-,-,41.0
10,臺北市,1997/12/30,中山,3.2,1.16,9.6,-,69,-,50.79,21.34,29.46,2.532,0.35,2.18,18.49,-,-,60.0
11,臺北市,1997/12/30,大同,9.3,4.56,-,-,39,-,213.78,176.89,36.89,4.667,2.15,2.52,18.86,-,-,65.0
12,臺北市,1997/12/30,萬華,2.8,1.16,8.6,-,48,-,34.16,7.53,26.63,-,-,-,17.5,-,-,48.0
13,臺北市,1997/12/30,陽明,1.6,0.32,35.1,-,13,-,-,-,-,-,-,-,12.33,-,98.0,34.0
14,臺北市,1997/12/30,士林,3.0,0.99,12.0,-,56,-,44.78,22.34,22.43,-,-,-,18.19,-,-,53.0
15,臺北市,1997/12/29,松山,8.5,1.36,14.9,-,77,-,72.99,30.45,42.54,-,-,-,21.73,-,-,64.0
16,臺北市,1997/12/29,古亭,8.4,1.49,10.1,-,94,62,80.96,43.88,37.09,-,-,-,21.5,-,-,72.0
17,臺北市,1997/12/29,中山,10.1,1.56,11.8,-,133,-,76.34,31.85,44.49,3.168,0.79,2.38,22.07,-,-,91.0
18,臺北市,1997/12/29,大同,10.8,2.61,-,-,51,-,106.58,68.39,38.2,4.216,1.52,2.69,22.11,-,-,50.0
19,臺北市,1997/12/29,萬華,8.2,1.14,12.4,-,90,-,49.55,14.2,35.35,-,-,-,20.93,-,-,70.0
20,臺北市,1997/12/29,陽明,4.1,0.24,47.0,-,27,-,-,-,-,-,-,-,15.96,-,89.0,63.0
21,臺北市,1997/12/29,士林,8.0,1.11,14.4,-,81,-,57.2,24.65,32.55,-,-,-,21.49,-,-,65.0
22,臺北市,1997/12/28,松山,3.0,0.84,16.8,-,20,-,41.48,16.72,24.76,-,-,-,21.38,-,-,24.0
23,臺北市,1997/12/28,古亭,2.6,0.79,18.5,-,23,23,38.24,14.41,23.82,2.236,0.17,2.06,21.69,-,-,27.0
24,臺北市,1997/12/28,中山,2.6,0.78,19.0,-,26,-,40.73,12.61,28.12,2.184,0.17,2.01,22.33,-,-,27.0
25,臺北市,1997/12/28,大同,6.0,3.73,-,-,23,-,140.23,109.39,30.84,3.956,1.7,2.26,22.71,-,-,61.0
26,臺北市,1997/12/28,萬華,1.6,0.91,18.7,-,18,-,32.25,8.19,24.05,-,-,-,21.53,-,-,27.0
27,臺北市,1997/12/28,陽明,1.2,0.15,40.1,-,13,-,-,-,-,-,-,-,15.52,-,93.0,38.0
28,臺北市,1997/12/28,士林,0.9,0.45,22.3,-,16,-,15.8,1.96,13.84,-,-,-,22.48,-,-,26.0
29,臺北市,1997/12/27,松山,3.2,0.76,15.1,-,29,-,40.73,13.04,27.69,-,-,-,19.88,-,-,29.0
30,臺北市,1997/12/27,古亭,2.3,0.85,11.9,-,29,28,44.5,17.55,26.95,2.303,0.32,1.98,19.58,-,-,29.0
31,臺北市,1997/12/27,中山,3.1,0.84,17.8,-,37,-,43.57,16.09,27.48,2.324,0.25,2.07,20.82,-,-,37.0
32,臺北市,1997/12/27,大同,6.8,4.14,-,-,30,-,151.54,120.11,31.43,4.6,2.13,2.47,21.05,-,-,56.0
33,臺北市,1997/12/27,萬華,2.3,0.96,13.1,-,27,-,35.16,8.46,26.69,-,-,-,19.64,-,-,27.0
34,臺北市,1997/12/27,陽明,0.3,0.1,43.2,-,13,-,-,-,-,-,-,-,13.57,-,96.0,39.0
35,臺北市,1997/12/27,士林,1.3,0.73,18.2,-,38,-,33.28,15.31,17.97,-,-,-,20.68,-,-,38.0
36,臺北市,1997/12/26,松山,7.2,1.21,10.0,-,40,-,74.14,38.91,35.24,-,-,-,20.81,-,-,40.0
37,臺北市,1997/12/26,古亭,5.3,1.46,14.0,-,56,32,74.96,43.22,31.74,2.894,0.71,2.19,21.34,-,-,53.0
38,臺北市,1997/12/26,中山,7.6,1.41,12.8,-,64,-,80.67,41.95,38.72,3.072,0.76,2.31,21.76,-,-,57.0
39,臺北市,1997/12/26,大同,8.2,3.85,-,-,34,-,133.34,100.48,32.87,4.505,1.98,2.52,21.54,-,-,59.0
40,臺北市,1997/12/26,萬華,5.8,1.16,14.1,-,54,-,53.81,21.19,32.62,-,-,-,20.69,-,-,52.0
41,臺北市,1997/12/26,陽明,3.4,0.14,39.3,-,13,-,0.79,-,-,-,-,-,15.57,-,92.0,42.0
42,臺北市,1997/12/26,士林,4.0,0.92,18.1,-,35,-,48.92,23.74,25.18,-,-,-,21.72,-,-,35.0
43,臺北市,1997/12/25,松山,6.8,0.76,12.5,-,31,-,48.63,18.57,30.06,-,-,-,18.66,-,-,31.0
44,臺北市,1997/12/25,古亭,4.0,0.69,15.4,-,28,26,41.93,15.45,26.48,2.412,0.26,2.15,18.84,-,-,28.0
45,臺北市,1997/12/25,中山,5.9,0.88,12.5,-,46,-,51.97,18.6,33.37,2.292,0.16,2.13,19.59,-,-,46.0
46,臺北市,1997/12/25,大同,9.1,3.95,-,-,29,-,160.69,126.75,33.94,4.327,1.92,2.41,19.98,-,-,56.0
47,臺北市,1997/12/25,萬華,3.6,0.8,14.6,-,25,-,35.58,8.0,27.58,-,-,-,18.56,-,-,25.0
48,臺北市,1997/12/25,陽明,0.4,0.11,41.4,-,13,-,-,-,-,-,-,-,12.51,-,94.0,36.0
49,臺北市,1997/12/25,士林,2.6,0.4,22.8,-,18,-,18.88,2.82,16.06,-,-,-,19.84,-,-,24.0
50,臺北市,1997/12/24,松山,2.4,0.83,15.3,-,33,-,44.12,15.31,28.81,-,-,-,17.29,-,-,33.0
51,臺北市,1997/12/24,古亭,2.5,1.1,10.5,-,50,32,62.15,28.63,33.52,2.542,0.46,2.08,17.22,-,-,50.0
52,臺北市,1997/12/24,中山,2.2,0.9,12.7,-,48,-,50.7,15.8,34.9,2.346,0.25,2.09,17.92,-,-,48.0
53,臺北市,1997/12/24,大同,7.8,4.83,-,-,31,-,165.57,132.46,33.11,4.64,2.21,2.43,18.37,-,-,67.0
54,臺北市,1997/12/24,萬華,2.2,1.07,10.3,-,41,-,45.29,11.02,34.27,-,-,-,17.04,-,-,41.0
55,臺北市,1997/12/24,陽明,0.4,0.26,41.7,-,14,-,0.88,-,-,-,-,-,10.55,-,97.0,37.0
56,臺北市,1997/12/24,士林,1.5,0.73,16.6,-,34,-,34.92,11.38,23.54,-,-,-,17.87,-,-,34.0
57,臺北市,1997/12/23,松山,2.5,1.07,8.3,-,30,-,57.44,27.22,30.23,-,-,-,16.78,-,-,30.0
58,臺北市,1997/12/23,古亭,2.9,1.61,8.2,-,39,38,81.29,52.21,29.08,2.95,0.81,2.14,16.28,-,-,39.0
59,臺北市,1997/12/23,中山,3.4,1.5,7.0,-,43,-,74.71,39.76,34.96,2.912,0.69,2.22,17.26,-,-,43.0
60,臺北市,1997/12/23,大同,4.9,3.4,-,-,30,-,104.1,77.25,26.85,4.069,1.49,2.45,17.43,-,-,50.0
61,臺北市,1997/12/23,萬華,2.0,1.14,8.9,-,30,-,45.29,16.25,29.04,-,-,-,16.18,-,-,30.0
62,臺北市,1997/12/23,陽明,0.5,0.25,33.1,-,13,-,2.51,0.12,2.4,-,-,-,11.03,-,100.0,35.0
63,臺北市,1997/12/23,士林,1.5,0.87,10.2,-,24,-,41.29,16.98,24.31,-,-,-,17.22,-,-,24.0
64,臺北市,1997/12/22,松山,2.3,0.84,15.0,-,25,-,43.08,13.41,29.67,-,-,-,18.2,-,-,26.0
65,臺北市,1997/12/22,古亭,0.8,0.99,-,-,16,29,-,-,-,-,-,-,17.81,-,-,26.0
66,臺北市,1997/12/22,中山,3.0,1.11,13.3,-,36,-,54.55,18.79,35.76,2.596,0.44,2.16,19.12,-,-,36.0
67,臺北市,1997/12/22,大同,8.2,4.55,-,-,38,-,149.44,115.1,34.34,4.669,2.1,2.57,19.46,-,-,77.0
