序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1997/04/30,松山,4.2,1.67,16.9,-,-,-,75.72,33.7,42.02,-,-,-,24.98,-,-,87.0
2,臺北市,1997/04/30,古亭,3.3,1.55,13.8,-,77,54,64.48,26.3,38.18,2.125,0.37,1.75,25.09,-,-,63.0
3,臺北市,1997/04/30,中山,6.5,1.67,16.0,-,75,-,66.6,22.45,44.15,3.198,0.75,2.45,25.36,-,-,63.0
4,臺北市,1997/04/30,大同,12.9,5.13,-,-,76,-,178.02,128.62,53.14,4.839,2.33,2.51,26.11,-,-,95.0
5,臺北市,1997/04/30,萬華,3.6,1.25,20.3,-,68,-,35.98,5.37,30.61,-,-,-,25.02,-,-,59.0
6,臺北市,1997/04/30,陽明,2.7,0.32,31.9,-,23,-,5.1,0.59,4.51,-,-,-,20.12,-,86.0,61.0
7,臺北市,1997/04/30,士林,4.7,1.53,13.7,-,83,-,66.66,28.06,38.59,-,-,-,25.29,-,-,66.0
8,臺北市,1997/04/29,松山,8.5,1.75,26.2,-,99,-,86.08,35.77,50.3,-,-,-,25.74,-,-,93.0
9,臺北市,1997/04/29,古亭,7.5,1.52,23.4,-,97,60,61.69,21.88,39.81,1.849,0.39,1.46,25.9,-,-,73.0
10,臺北市,1997/04/29,中山,13.2,1.85,23.9,-,99,-,86.32,34.09,52.23,3.628,1.0,2.63,25.86,-,-,92.0
11,臺北市,1997/04/29,大同,13.6,3.4,-,-,71,-,134.1,73.32,54.64,4.431,1.58,2.85,26.44,-,-,61.0
12,臺北市,1997/04/29,萬華,10.2,1.53,27.1,-,101,-,52.45,9.62,42.83,-,-,-,25.77,-,-,84.0
13,臺北市,1997/04/29,陽明,7.0,0.41,40.6,-,30,-,8.56,0.71,7.84,-,-,-,20.61,-,80.0,45.0
14,臺北市,1997/04/29,士林,8.3,1.15,19.9,-,72,-,50.13,15.41,34.71,-,-,-,25.33,-,-,61.0
15,臺北市,1997/04/28,松山,13.0,1.54,28.7,-,125,-,77.63,24.47,53.16,-,-,-,24.74,-,-,95.0
16,臺北市,1997/04/28,古亭,10.4,1.63,32.2,-,118,59,70.06,23.64,46.42,2.406,0.49,1.92,25.83,-,-,100.0
17,臺北市,1997/04/28,中山,18.0,1.79,27.9,-,108,-,96.84,37.86,58.98,3.464,0.72,2.74,25.19,-,-,85.0
18,臺北市,1997/04/28,大同,19.1,4.08,-,-,89,-,176.62,110.32,66.3,4.7,1.89,2.81,26.21,-,-,69.0
19,臺北市,1997/04/28,萬華,11.1,1.82,35.6,-,107,-,65.84,20.48,45.36,-,-,-,25.6,-,-,122.0
20,臺北市,1997/04/28,陽明,8.1,0.37,39.0,-,20,-,8.04,0.37,7.68,-,-,-,20.72,-,77.0,50.0
21,臺北市,1997/04/28,士林,6.7,1.41,22.2,-,92,-,56.43,14.78,41.65,-,-,-,25.17,-,-,71.0
22,臺北市,1997/04/27,松山,4.8,0.95,18.4,-,87,-,43.34,8.92,34.42,-,-,-,22.16,-,-,69.0
23,臺北市,1997/04/27,古亭,4.5,1.26,18.5,-,82,46,59.22,18.63,40.58,2.367,0.39,1.98,22.79,-,-,66.0
24,臺北市,1997/04/27,中山,6.7,1.16,18.7,-,79,-,58.62,14.63,43.99,2.86,0.4,2.46,22.33,-,-,65.0
25,臺北市,1997/04/27,大同,9.8,3.23,-,-,54,-,144.67,92.11,52.56,3.796,1.22,2.58,23.26,-,-,54.0
26,臺北市,1997/04/27,萬華,4.6,1.49,24.2,-,78,-,53.86,16.17,37.69,-,-,-,22.7,-,-,65.0
27,臺北市,1997/04/27,陽明,2.2,0.47,47.2,-,37,-,5.22,0.1,5.12,-,-,-,18.44,-,89.0,55.0
28,臺北市,1997/04/27,士林,3.3,1.19,18.8,-,80,-,50.75,15.6,35.16,-,-,-,22.34,-,-,65.0
29,臺北市,1997/04/26,松山,4.2,0.85,26.3,-,67,-,41.83,5.86,35.97,-,-,-,20.66,-,-,58.0
30,臺北市,1997/04/26,古亭,2.8,0.88,30.6,-,67,36,40.17,7.85,32.32,2.19,0.26,1.93,21.21,-,-,59.0
31,臺北市,1997/04/26,中山,3.6,0.93,31.6,-,53,-,41.71,6.29,35.42,2.439,0.31,2.14,21.16,-,-,51.0
32,臺北市,1997/04/26,大同,9.6,4.19,-,-,49,-,180.75,120.12,60.63,3.936,1.67,2.27,22.1,-,-,63.0
33,臺北市,1997/04/26,萬華,3.2,0.97,36.6,-,48,-,31.28,3.03,28.24,-,-,-,21.19,-,-,48.0
34,臺北市,1997/04/26,陽明,0.2,0.24,41.1,-,14,-,1.36,0.06,1.29,-,-,-,13.87,-,96.0,38.0
35,臺北市,1997/04/26,士林,1.4,0.48,-,-,44,-,24.83,3.13,21.7,-,-,-,21.49,-,-,44.0
36,臺北市,1997/04/25,松山,1.8,0.41,41.3,-,49,-,27.05,2.12,24.93,-,-,-,19.54,-,-,49.0
37,臺北市,1997/04/25,古亭,3.0,0.69,37.5,-,51,27,34.01,6.07,27.94,2.111,0.21,1.9,20.25,-,-,51.0
38,臺北市,1997/04/25,中山,1.5,0.64,44.9,-,45,-,28.5,2.45,26.05,2.24,0.14,2.1,19.91,-,-,46.0
39,臺北市,1997/04/25,大同,7.0,3.18,-,-,39,-,156.14,98.27,57.87,3.853,1.61,2.24,20.89,-,-,51.0
40,臺北市,1997/04/25,萬華,2.0,0.82,45.2,-,43,-,25.0,2.31,22.68,-,-,-,20.07,-,-,46.0
41,臺北市,1997/04/25,陽明,0.5,0.26,44.5,-,14,-,1.24,0.02,1.22,-,-,-,11.64,-,90.0,40.0
42,臺北市,1997/04/25,士林,0.7,0.45,44.9,-,40,-,13.86,1.29,12.57,-,-,-,19.74,-,-,43.0
43,臺北市,1997/04/24,松山,1.9,0.58,42.9,-,61,-,25.62,2.21,23.41,-,-,-,19.39,-,-,56.0
44,臺北市,1997/04/24,古亭,3.4,0.62,38.1,-,73,36,33.79,5.43,28.36,2.167,0.15,2.02,19.89,-,-,62.0
45,臺北市,1997/04/24,中山,1.2,0.66,46.2,-,64,-,28.07,2.82,25.25,2.22,0.12,2.1,19.61,-,-,61.0
46,臺北市,1997/04/24,大同,6.7,3.07,-,-,46,-,146.69,89.29,57.41,3.706,1.53,2.17,20.44,-,-,49.0
47,臺北市,1997/04/24,萬華,2.3,0.71,44.6,-,63,-,25.4,2.05,23.35,-,-,-,19.83,-,-,57.0
