序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1997/08/31,松山,3.3,1.14,14.3,-,-,-,45.96,16.58,29.38,-,-,-,28.69,-,-,41.0
2,臺北市,1997/08/31,古亭,3.0,1.47,13.0,-,45,28,54.62,28.05,26.58,2.461,0.31,2.17,27.89,-,-,49.0
3,臺北市,1997/08/31,中山,5.4,1.53,13.5,-,43,-,61.45,24.29,37.16,3.105,0.56,2.55,28.7,-,-,47.0
4,臺北市,1997/08/31,大同,6.6,4.08,-,-,43,-,158.32,115.07,43.25,4.195,1.65,2.55,29.13,-,-,67.0
5,臺北市,1997/08/31,萬華,2.6,1.16,17.1,-,37,-,32.6,7.56,25.04,-,-,-,27.82,-,-,62.0
6,臺北市,1997/08/31,陽明,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86.0,-
7,臺北市,1997/08/31,士林,2.8,1.37,14.4,-,35,-,45.97,17.14,28.83,-,-,-,27.46,-,-,64.0
8,臺北市,1997/08/30,松山,1.1,0.72,14.6,-,-,-,24.29,10.99,13.3,-,-,-,29.75,-,-,19.0
9,臺北市,1997/08/30,古亭,1.8,1.12,10.6,-,30,16,40.96,24.46,16.49,2.035,0.26,1.78,29.66,-,-,30.0
10,臺北市,1997/08/30,中山,1.7,1.11,9.9,-,23,-,39.58,17.01,22.57,2.519,0.34,2.18,30.49,-,-,23.0
11,臺北市,1997/08/30,大同,9.5,4.4,-,-,43,-,164.48,132.75,31.72,4.206,1.86,2.34,30.99,-,-,75.0
12,臺北市,1997/08/30,萬華,1.3,0.85,11.8,-,20,-,21.78,6.46,15.32,-,-,-,29.61,-,-,22.0
13,臺北市,1997/08/30,陽明,0.3,-,20.0,-,-,-,-,-,-,-,-,-,22.04,-,87.0,22.0
14,臺北市,1997/08/30,士林,-,0.73,12.6,-,24,-,19.17,5.76,13.41,-,-,-,29.34,-,-,24.0
15,臺北市,1997/08/29,松山,0.8,0.78,15.1,-,-,-,25.06,14.36,10.7,-,-,-,25.84,-,-,26.0
16,臺北市,1997/08/29,古亭,0.6,0.76,13.9,-,18,15,26.36,15.15,11.21,-,-,-,25.05,-,-,30.0
17,臺北市,1997/08/29,中山,1.3,0.75,12.7,-,22,-,30.22,15.66,14.56,2.455,0.23,2.22,26.13,-,-,22.0
18,臺北市,1997/08/29,大同,2.3,1.89,-,-,20,-,73.3,56.85,16.45,2.846,0.54,2.3,25.89,-,-,36.0
19,臺北市,1997/08/29,萬華,0.9,0.65,13.8,-,17,-,19.25,8.54,10.71,-,-,-,24.98,-,-,19.0
20,臺北市,1997/08/29,陽明,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-
21,臺北市,1997/08/29,士林,-,0.65,15.7,-,19,-,18.38,8.63,9.75,-,-,-,25.03,-,-,19.0
22,臺北市,1997/08/28,松山,2.8,0.78,8.4,-,30,-,23.76,9.97,13.79,-,-,-,28.53,-,-,30.0
23,臺北市,1997/08/28,古亭,1.4,0.6,11.1,-,38,19,19.66,7.78,11.87,1.786,0.08,1.71,29.21,-,-,38.0
24,臺北市,1997/08/28,中山,2.9,0.8,9.1,-,33,-,29.1,12.73,16.37,-,-,-,29.3,-,-,33.0
25,臺北市,1997/08/28,大同,6.8,3.46,-,-,39,-,128.01,105.55,22.46,3.666,1.56,2.11,30.0,-,-,53.0
26,臺北市,1997/08/28,萬華,2.1,0.77,9.5,-,29,-,18.2,5.95,12.26,-,-,-,29.53,-,-,29.0
27,臺北市,1997/08/28,陽明,1.0,0.25,16.5,-,14,-,2.83,0.31,2.52,-,-,-,21.14,-,95.0,18.0
28,臺北市,1997/08/28,士林,-,0.49,12.0,-,35,-,10.99,3.41,7.58,-,-,-,28.88,-,-,35.0
29,臺北市,1997/08/27,松山,1.6,0.78,6.0,-,22,-,26.82,12.43,14.38,-,-,-,29.78,-,-,22.0
30,臺北市,1997/08/27,古亭,0.9,0.68,7.5,-,23,13,24.67,12.01,12.66,1.971,0.13,1.84,29.99,-,-,23.0
31,臺北市,1997/08/27,中山,1.5,0.84,7.2,-,23,-,32.41,15.27,17.14,-,-,-,30.42,-,-,23.0
32,臺北市,1997/08/27,大同,7.5,4.14,-,-,40,-,158.45,134.85,23.6,3.983,1.86,2.13,31.36,-,-,64.0
33,臺北市,1997/08/27,萬華,0.9,0.72,8.0,-,19,-,17.61,5.45,12.16,-,-,-,29.85,-,-,19.0
34,臺北市,1997/08/27,陽明,5.6,0.28,11.6,-,18,-,6.07,1.34,4.73,-,-,-,21.72,-,85.0,18.0
35,臺北市,1997/08/27,士林,0.9,0.49,11.7,-,23,-,11.24,4.05,7.19,-,-,-,29.44,-,-,23.0
36,臺北市,1997/08/26,松山,2.5,0.77,6.2,-,21,-,33.33,18.91,14.42,-,-,-,29.42,-,-,21.0
37,臺北市,1997/08/26,古亭,1.0,0.7,5.7,-,28,14,30.91,17.56,13.36,1.906,0.09,1.82,30.16,-,-,28.0
38,臺北市,1997/08/26,中山,1.6,0.92,6.6,-,24,-,39.81,21.83,17.99,2.264,0.26,2.0,30.41,-,-,24.0
39,臺北市,1997/08/26,大同,10.3,4.58,-,-,43,-,180.97,155.96,25.01,4.317,2.09,2.22,31.25,-,-,69.0
40,臺北市,1997/08/26,萬華,0.9,0.69,8.2,-,-,-,19.78,7.33,12.44,-,-,-,29.74,-,-,19.0
41,臺北市,1997/08/26,陽明,2.1,0.16,14.5,-,13,-,3.91,0.39,3.52,-,-,-,21.53,-,85.0,18.0
42,臺北市,1997/08/26,士林,0.6,0.44,10.0,-,17,-,14.35,4.74,9.61,-,-,-,29.14,-,-,18.0
43,臺北市,1997/08/25,松山,4.1,0.79,18.3,-,28,-,33.9,14.62,19.29,-,-,-,29.59,-,-,53.0
44,臺北市,1997/08/25,古亭,4.2,1.09,15.3,-,46,28,47.94,24.77,23.17,2.177,0.3,1.89,29.87,-,-,47.0
45,臺北市,1997/08/25,中山,5.1,1.06,14.5,-,31,-,47.02,20.4,26.63,2.522,0.33,2.19,30.28,-,-,50.0
46,臺北市,1997/08/25,大同,14.6,5.21,-,-,57,-,198.87,155.63,43.24,4.728,2.39,2.34,31.32,-,-,86.0
47,臺北市,1997/08/25,萬華,4.4,0.83,22.8,-,-,-,25.96,4.81,21.15,-,-,-,29.72,-,-,67.0
48,臺北市,1997/08/25,陽明,4.7,0.4,31.1,-,21,-,8.14,0.42,7.72,-,-,-,22.98,-,85.0,50.0
49,臺北市,1997/08/25,士林,3.3,0.72,19.3,-,37,-,29.71,9.84,19.87,-,-,-,29.05,-,-,54.0
50,臺北市,1997/08/24,松山,3.4,0.8,23.0,-,34,-,28.41,10.36,18.05,-,-,-,29.35,-,-,60.0
51,臺北市,1997/08/24,古亭,2.9,0.79,15.4,-,43,26,35.59,16.1,19.49,2.069,0.24,1.83,29.7,-,-,43.0
52,臺北市,1997/08/24,中山,4.3,0.95,16.9,-,41,-,38.75,15.84,22.91,2.444,0.24,2.2,29.96,-,-,41.0
53,臺北市,1997/08/24,大同,7.7,2.89,-,-,42,-,110.91,82.28,28.63,3.464,1.14,2.33,30.93,-,-,51.0
54,臺北市,1997/08/24,萬華,3.6,0.66,18.9,-,-,-,21.84,4.52,17.31,-,-,-,29.62,-,-,38.0
55,臺北市,1997/08/24,陽明,1.4,0.26,31.8,-,20,-,5.41,0.45,4.96,-,-,-,22.59,-,86.0,57.0
56,臺北市,1997/08/24,士林,4.2,0.74,15.6,-,46,-,27.86,9.27,18.59,-,-,-,28.72,-,-,46.0
57,臺北市,1997/08/23,松山,2.4,1.05,17.6,-,33,-,40.98,20.15,20.83,-,-,-,29.94,-,-,77.0
58,臺北市,1997/08/23,古亭,2.9,1.06,18.8,-,42,26,50.99,31.17,19.82,2.219,0.36,1.86,30.3,-,-,82.0
59,臺北市,1997/08/23,中山,5.2,1.31,21.0,-,41,-,57.68,30.08,27.6,2.989,0.43,2.56,30.36,-,-,79.0
60,臺北市,1997/08/23,大同,11.7,4.27,-,-,55,-,163.18,129.04,34.14,4.428,1.81,2.62,31.33,-,-,84.0
61,臺北市,1997/08/23,萬華,4.1,0.92,28.7,-,-,-,27.85,9.06,18.79,-,-,-,29.83,-,-,96.0
62,臺北市,1997/08/23,陽明,2.0,0.31,27.2,-,18,-,5.41,2.19,3.23,-,-,-,23.68,-,86.0,63.0
63,臺北市,1997/08/23,士林,2.3,0.86,19.3,-,39,-,30.47,13.97,16.51,-,-,-,29.31,-,-,64.0
64,臺北市,1997/08/22,松山,1.0,0.8,10.7,-,20,-,28.7,15.49,13.21,-,-,-,30.07,-,-,29.0
65,臺北市,1997/08/22,古亭,1.9,0.99,13.6,-,36,20,42.39,25.29,17.1,2.131,0.31,1.82,30.92,-,-,58.0
66,臺北市,1997/08/22,中山,3.0,1.11,18.8,-,52,-,41.97,17.4,24.57,2.594,0.34,2.26,30.86,-,-,66.0
67,臺北市,1997/08/22,大同,7.5,3.5,-,-,55,-,133.89,101.56,32.33,3.873,1.5,2.37,31.83,-,-,55.0
68,臺北市,1997/08/22,萬華,2.5,0.85,25.8,-,-,-,24.22,5.4,18.82,-,-,-,30.38,-,-,82.0
69,臺北市,1997/08/22,陽明,0.8,0.28,19.2,-,16,-,7.58,2.51,5.07,-,-,-,23.53,-,85.0,70.0
70,臺北市,1997/08/22,士林,-,0.7,22.1,-,40,-,19.05,5.3,13.74,-,-,-,29.45,-,-,59.0
71,臺北市,1997/08/21,松山,1.1,0.78,16.2,-,23,-,26.9,11.34,15.56,-,-,-,30.25,-,-,51.0
