序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1993/07/31,松山,8.5,1.89,-,-,-,70,-,42.2,-,-,-,28.71,-,-,93.0
2,臺北市,1993/07/31,古亭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,臺北市,1993/07/31,中山,8.6,2.36,15.8,-,56,88,52.28,35.78,2.9,0.72,2.18,29.39,-,-,66.0
4,臺北市,1993/07/31,大同,21.6,7.59,-,-,109,-,-,-,5.1,3.08,2.02,30.31,-,-,154.0
5,臺北市,1993/07/31,萬華,5.1,1.32,18.4,-,41,-,-,-,-,-,-,29.16,-,-,64.0
6,臺北市,1993/07/31,陽明,4.7,0.32,39.2,-,-,0,0.0,-,-,-,-,22.89,-,91.0,64.0
7,臺北市,1993/07/31,士林,8.0,1.81,14.9,-,78,62,31.54,29.13,-,-,-,28.93,-,-,64.0
8,臺北市,1993/07/30,松山,6.1,1.12,7.0,-,-,43,23.7,22.3,-,-,-,30.04,-,-,21.0
9,臺北市,1993/07/30,古亭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,臺北市,1993/07/30,中山,7.7,1.51,7.2,-,54,58,33.06,25.23,2.31,0.39,1.92,31.14,-,-,52.0
11,臺北市,1993/07/30,大同,-,6.81,-,-,95,-,-,44.94,4.95,3.01,1.95,31.82,-,-,109.0
12,臺北市,1993/07/30,萬華,5.7,1.19,10.7,-,30,-,13.54,-,-,-,-,30.55,-,-,44.0
13,臺北市,1993/07/30,陽明,6.1,0.27,23.1,-,14,0,0.0,6.82,-,-,-,23.83,-,90.0,34.0
14,臺北市,1993/07/30,士林,6.1,0.87,8.9,-,40,31,11.9,16.85,-,-,-,30.59,-,-,40.0
15,臺北市,1993/07/29,松山,11.3,1.48,19.1,-,-,55,17.37,42.0,-,-,-,29.33,-,-,60.0
16,臺北市,1993/07/29,古亭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,臺北市,1993/07/29,中山,11.5,1.77,9.1,-,73,66,27.41,38.53,2.47,0.48,1.99,30.84,-,-,61.0
18,臺北市,1993/07/29,大同,-,6.13,-,-,109,-,-,49.43,5.2,2.96,2.24,31.55,-,-,112.0
19,臺北市,1993/07/29,萬華,6.2,0.95,13.2,-,45,-,9.51,-,-,-,-,29.56,-,-,45.0
20,臺北市,1993/07/29,陽明,5.2,0.3,26.0,-,20,0,0.0,8.95,-,-,-,23.81,-,87.0,44.0
21,臺北市,1993/07/29,士林,5.9,1.06,10.2,-,60,37,12.01,23.17,-,-,-,29.9,-,-,55.0
22,臺北市,1993/07/28,松山,17.6,1.49,19.0,-,-,62,22.37,45.87,-,-,-,29.0,-,-,71.0
23,臺北市,1993/07/28,古亭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,臺北市,1993/07/28,中山,15.7,1.79,12.0,-,75,71,29.24,41.93,2.64,0.57,2.07,30.22,-,-,62.0
25,臺北市,1993/07/28,大同,21.2,5.81,-,-,103,-,-,55.26,4.69,2.55,2.14,30.98,-,-,101.0
26,臺北市,1993/07/28,萬華,8.0,1.38,22.9,-,57,-,5.1,-,-,-,-,29.29,-,-,75.0
27,臺北市,1993/07/28,陽明,7.4,0.31,38.3,-,21,0,0.0,9.12,-,-,-,23.74,-,84.0,53.0
28,臺北市,1993/07/28,士林,7.6,1.07,11.0,-,56,43,18.74,21.96,-,-,-,29.37,-,-,53.0
29,臺北市,1993/07/27,松山,8.6,1.89,20.7,-,-,68,33.1,41.19,-,-,-,28.53,-,-,81.0
30,臺北市,1993/07/27,古亭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,臺北市,1993/07/27,中山,8.9,2.09,14.5,-,71,82,39.01,43.12,2.87,0.63,2.24,29.99,-,-,62.0
32,臺北市,1993/07/27,大同,16.9,6.59,-,-,102,213,-,54.65,5.08,2.72,2.36,30.65,-,-,97.0
33,臺北市,1993/07/27,萬華,5.6,1.23,19.9,-,46,-,4.64,-,-,-,-,29.37,-,-,62.0
34,臺北市,1993/07/27,陽明,4.3,0.39,32.0,-,25,26,21.4,9.63,-,-,-,23.87,-,85.0,77.0
35,臺北市,1993/07/27,士林,5.8,1.13,16.1,-,64,36,9.75,24.94,-,-,-,29.29,-,-,65.0
36,臺北市,1993/07/26,松山,8.1,1.81,12.5,-,65,68,28.05,44.8,-,-,-,28.34,-,-,58.0
37,臺北市,1993/07/26,古亭,1.4,1.38,6.4,-,48,-,-,-,2.41,0.45,-,30.12,-,-,48.0
38,臺北市,1993/07/26,中山,9.2,1.81,8.7,-,59,75,31.32,44.48,2.51,0.59,1.92,29.66,-,-,55.0
39,臺北市,1993/07/26,大同,21.0,5.86,-,-,96,215,-,53.45,4.65,2.57,2.08,29.97,-,-,111.0
40,臺北市,1993/07/26,萬華,4.9,1.17,19.0,-,-,35,-,38.51,-,-,-,29.66,-,-,48.0
41,臺北市,1993/07/26,陽明,4.2,0.34,30.6,-,23,-,3.26,7.82,-,-,-,23.18,-,91.0,40.0
42,臺北市,1993/07/26,士林,6.7,1.39,7.8,-,67,50,18.13,30.39,-,-,-,28.78,-,-,58.0
43,臺北市,1993/07/25,松山,7.6,1.46,21.1,-,71,51,18.76,35.8,-,-,-,29.68,-,-,70.0
44,臺北市,1993/07/25,古亭,1.0,1.69,6.2,-,63,58,28.87,28.38,2.53,0.49,2.01,30.56,-,-,56.0
45,臺北市,1993/07/25,中山,10.6,1.67,12.4,-,71,67,32.77,34.15,2.48,0.47,2.0,31.32,-,-,61.0
46,臺北市,1993/07/25,大同,17.5,5.14,-,-,81,-,-,48.06,4.09,1.96,2.13,32.32,-,-,91.0
47,臺北市,1993/07/25,萬華,5.1,0.94,20.0,-,38,29,-,31.66,-,-,-,30.66,-,-,49.0
48,臺北市,1993/07/25,陽明,4.6,0.46,35.2,-,38,-,1.11,10.48,-,-,-,24.29,-,87.0,59.0
49,臺北市,1993/07/25,士林,8.6,1.1,15.8,-,67,40,14.77,23.62,-,-,-,30.43,-,-,58.0
50,臺北市,1993/07/24,松山,12.6,1.41,22.4,-,86,54,16.86,40.64,-,-,-,30.18,-,-,68.0
51,臺北市,1993/07/24,古亭,2.0,1.6,6.9,-,75,52,18.45,34.91,2.53,0.58,1.95,31.15,-,-,63.0
52,臺北市,1993/07/24,中山,17.7,1.66,15.6,-,90,68,27.06,41.25,2.62,0.64,1.98,31.38,-,-,70.0
53,臺北市,1993/07/24,大同,29.2,4.65,-,-,112,-,-,51.0,4.11,1.91,2.2,32.36,-,-,81.0
54,臺北市,1993/07/24,萬華,14.8,1.21,21.0,-,74,46,13.37,42.06,-,-,-,31.16,-,-,62.0
55,臺北市,1993/07/24,陽明,6.8,0.37,28.7,-,31,-,0.65,9.79,-,-,-,23.9,-,88.0,47.0
56,臺北市,1993/07/24,士林,10.1,1.11,12.1,-,72,43,18.3,22.24,-,-,-,30.25,-,-,61.0
57,臺北市,1993/07/23,松山,9.8,1.22,14.8,-,68,52,24.42,30.82,-,-,-,28.36,-,-,77.0
58,臺北市,1993/07/23,古亭,2.1,1.53,8.9,-,67,54,29.8,24.47,2.32,0.58,2.0,29.77,-,-,59.0
59,臺北市,1993/07/23,中山,11.0,1.41,20.3,-,67,61,30.5,30.94,2.36,0.42,1.94,29.94,-,-,71.0
60,臺北市,1993/07/23,大同,25.3,5.31,-,-,102,-,-,44.78,4.22,2.06,2.16,30.67,-,-,79.0
61,臺北市,1993/07/23,萬華,8.2,1.05,19.7,-,45,37,10.13,34.04,-,-,-,29.63,-,-,72.0
62,臺北市,1993/07/23,陽明,2.2,0.23,34.0,-,22,-,6.29,1.46,-,-,-,23.18,-,86.0,61.0
63,臺北市,1993/07/23,士林,8.3,0.88,19.4,-,59,37,13.12,21.66,-,-,-,29.06,-,-,78.0
64,臺北市,1993/07/22,松山,6.7,0.99,9.3,-,43,43,16.94,29.38,-,-,-,27.94,-,-,57.0
65,臺北市,1993/07/22,古亭,1.6,1.7,4.7,-,56,62,31.85,29.79,3.05,0.75,2.25,27.65,-,-,53.0
66,臺北市,1993/07/22,中山,8.9,1.38,7.4,-,51,62,30.29,33.46,2.2,0.36,1.84,28.81,-,-,50.0
67,臺北市,1993/07/22,大同,17.9,6.64,-,-,104,270,-,48.84,5.01,2.94,2.06,29.54,-,-,113.0
68,臺北市,1993/07/22,萬華,6.5,1.43,12.2,-,43,49,16.6,40.99,-,-,-,28.64,-,-,43.0
69,臺北市,1993/07/22,陽明,2.1,0.24,20.5,-,14,4,1.07,0.9,-,-,-,22.38,-,95.0,38.0
70,臺北市,1993/07/22,士林,4.6,0.79,10.3,-,47,26,6.79,17.74,-,-,-,28.68,-,-,47.0
71,臺北市,1993/07/21,松山,7.1,1.59,3.4,-,66,65,30.35,37.75,-,-,-,27.59,-,-,58.0
72,臺北市,1993/07/21,古亭,1.3,2.52,3.1,-,62,85,56.85,27.55,2.89,0.88,2.03,27.2,-,-,56.0
73,臺北市,1993/07/21,中山,10.0,1.97,2.0,-,59,79,40.12,42.88,2.61,0.69,1.92,28.02,-,-,55.0
74,臺北市,1993/07/21,大同,10.4,3.56,-,-,111,-,-,43.67,4.42,2.19,2.23,28.54,-,-,82.0
75,臺北市,1993/07/21,萬華,8.0,1.34,5.1,-,42,39,16.19,33.5,-,-,-,27.66,-,-,42.0
76,臺北市,1993/07/21,陽明,2.9,0.2,11.7,-,17,-,2.15,3.8,-,-,-,21.92,-,98.0,17.0
77,臺北市,1993/07/21,士林,7.9,1.06,3.9,-,63,42,16.72,24.15,-,-,-,27.87,-,-,57.0
78,臺北市,1993/07/20,松山,7.5,1.19,20.6,-,86,44,13.35,34.83,-,-,-,31.3,-,-,67.0
79,臺北市,1993/07/20,古亭,-,1.54,6.2,-,64,53,23.75,29.0,2.45,0.59,1.86,31.77,-,-,57.0
80,臺北市,1993/07/20,中山,11.1,1.41,13.4,-,71,52,21.68,29.29,2.26,0.36,1.9,32.43,-,-,59.0
81,臺北市,1993/07/20,大同,14.6,0.06,-,-,90,111,74.61,37.0,3.5,1.43,2.06,32.76,-,-,70.0
82,臺北市,1993/07/20,萬華,6.8,0.82,16.9,-,53,17,9.87,-,-,-,-,31.45,-,-,51.0
83,臺北市,1993/07/20,陽明,5.8,0.29,20.0,-,21,-,0.78,6.85,-,-,-,24.39,-,84.0,43.0
84,臺北市,1993/07/20,士林,7.7,0.61,14.1,-,48,25,7.05,15.89,-,-,-,31.06,-,-,48.0
85,臺北市,1993/07/19,松山,7.8,1.73,9.8,-,82,62,26.5,39.45,-,-,-,31.16,-,-,66.0
86,臺北市,1993/07/19,古亭,1.2,1.78,4.6,-,66,57,27.44,29.35,2.27,0.42,1.84,31.49,-,-,58.0
87,臺北市,1993/07/19,中山,9.3,1.9,8.1,-,84,63,27.78,35.19,2.57,0.61,1.96,32.33,-,-,67.0
88,臺北市,1993/07/19,大同,14.0,0.05,-,-,119,144,99.2,44.45,4.3,2.03,2.28,33.29,-,-,84.0
89,臺北市,1993/07/19,萬華,4.5,0.84,13.3,-,59,4,3.65,-,-,-,-,31.44,-,-,55.0
90,臺北市,1993/07/19,陽明,3.6,0.29,24.1,-,40,-,0.08,5.38,-,-,-,25.06,-,74.0,43.0
91,臺北市,1993/07/19,士林,11.0,0.88,12.5,-,85,39,14.51,22.36,-,-,-,31.64,-,-,68.0
92,臺北市,1993/07/18,松山,11.2,1.12,30.7,-,88,42,7.98,37.36,-,-,-,30.8,-,-,69.0
93,臺北市,1993/07/18,古亭,2.3,1.61,8.6,-,76,48,15.77,31.84,2.19,0.35,1.84,31.6,-,-,63.0
94,臺北市,1993/07/18,中山,20.0,1.38,19.3,-,90,62,23.14,38.68,2.19,0.41,1.78,32.25,-,-,70.0
95,臺北市,1993/07/18,大同,22.3,0.07,-,-,130,156,102.42,51.07,3.68,1.68,2.0,33.26,-,-,90.0
96,臺北市,1993/07/18,萬華,13.3,0.98,27.4,-,78,14,13.29,-,-,-,-,31.81,-,-,64.0
97,臺北市,1993/07/18,陽明,6.5,0.46,31.5,-,66,24,14.0,7.07,-,-,-,24.78,-,87.0,58.0
98,臺北市,1993/07/18,士林,16.5,0.98,18.4,-,94,39,14.91,22.58,-,-,-,31.02,-,-,72.0
99,臺北市,1993/07/17,松山,14.7,1.49,31.6,-,99,60,13.88,49.76,-,-,-,30.99,-,-,77.0
100,臺北市,1993/07/17,古亭,4.3,1.8,7.1,-,84,61,16.98,43.63,2.37,0.63,1.74,31.83,-,-,67.0
101,臺北市,1993/07/17,中山,19.7,1.66,21.0,-,102,70,23.28,46.56,2.48,0.54,1.94,32.53,-,-,76.0
