序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1997/11/30,松山,2.7,0.84,11.1,-,20,-,34.37,9.81,24.56,-,-,-,18.41,-,-,20.0
2,臺北市,1997/11/30,古亭,2.2,0.67,17.0,-,21,27,26.77,7.41,19.36,1.991,0.12,1.87,18.61,-,-,21.0
3,臺北市,1997/11/30,中山,3.0,0.96,11.8,-,56,-,43.0,16.06,26.94,2.49,0.29,2.2,19.55,-,-,53.0
4,臺北市,1997/11/30,大同,5.6,3.39,-,-,29,-,131.64,102.82,28.82,3.421,1.28,2.14,20.17,-,-,53.0
5,臺北市,1997/11/30,萬華,2.4,0.79,15.7,-,21,-,24.24,4.02,20.22,-,-,-,18.62,-,-,21.0
6,臺北市,1997/11/30,陽明,0.1,0.21,35.2,-,13,-,1.83,0.09,1.74,-,-,-,13.59,-,99.0,32.0
7,臺北市,1997/11/30,士林,0.4,0.49,21.8,-,14,-,12.65,2.11,10.54,-,-,-,20.27,-,-,22.0
8,臺北市,1997/11/29,松山,3.6,1.29,10.4,-,40,-,56.39,26.05,30.34,-,-,-,21.62,-,-,40.0
9,臺北市,1997/11/29,古亭,2.0,1.03,10.4,-,43,36,43.02,18.29,24.72,2.292,0.28,2.01,21.45,-,-,43.0
10,臺北市,1997/11/29,中山,3.7,1.18,10.4,-,102,-,48.47,17.47,31.0,2.81,0.4,2.41,22.49,-,-,76.0
11,臺北市,1997/11/29,大同,6.7,3.38,-,-,48,-,129.62,98.38,31.24,3.855,1.6,2.25,22.92,-,-,48.0
12,臺北市,1997/11/29,萬華,2.5,1.14,13.1,-,63,-,35.09,5.61,29.47,-,-,-,21.35,-,-,57.0
13,臺北市,1997/11/29,陽明,4.8,0.15,25.1,-,16,-,7.4,0.3,7.11,-,-,-,16.83,-,92.0,31.0
14,臺北市,1997/11/29,士林,2.1,0.97,12.2,-,53,-,37.23,12.7,24.53,-,-,-,22.52,-,-,52.0
15,臺北市,1997/11/28,松山,10.0,1.43,18.8,-,58,-,-,-,-,-,-,-,23.68,-,-,85.0
16,臺北市,1997/11/28,古亭,7.9,1.45,22.0,-,68,52,66.44,30.45,35.98,2.591,0.55,2.04,23.92,-,-,89.0
17,臺北市,1997/11/28,中山,12.8,1.48,19.2,-,92,-,79.37,32.48,46.89,3.096,0.67,2.43,24.32,-,-,101.0
18,臺北市,1997/11/28,大同,17.3,4.68,-,-,86,-,175.89,127.94,47.95,4.853,2.46,2.39,24.96,-,-,77.0
19,臺北市,1997/11/28,萬華,8.0,1.38,22.6,-,85,-,48.87,11.28,37.6,-,-,-,23.47,-,-,108.0
20,臺北市,1997/11/28,陽明,6.2,0.32,61.1,-,41,-,8.54,0.08,8.45,-,-,-,19.75,-,82.0,74.0
21,臺北市,1997/11/28,士林,9.0,1.21,17.4,-,82,-,54.31,15.66,38.65,-,-,-,24.14,-,-,81.0
22,臺北市,1997/11/27,松山,3.0,-,12.8,-,32,-,-,-,-,-,-,-,23.58,-,-,32.0
23,臺北市,1997/11/27,古亭,1.8,1.38,16.7,-,33,37,55.84,32.84,22.99,2.47,0.45,2.02,23.41,-,-,33.0
24,臺北市,1997/11/27,中山,5.0,1.37,12.5,-,50,-,62.55,27.88,34.66,2.498,0.26,2.24,24.33,-,-,50.0
25,臺北市,1997/11/27,大同,11.0,5.02,-,-,49,-,188.34,148.94,39.41,4.903,2.69,2.21,24.71,-,-,94.0
26,臺北市,1997/11/27,萬華,4.3,1.35,16.8,-,39,-,43.85,15.58,28.28,-,-,-,23.52,-,-,39.0
27,臺北市,1997/11/27,陽明,1.9,0.27,40.5,-,13,-,3.64,0.13,3.51,-,-,-,17.88,-,88.0,45.0
28,臺北市,1997/11/27,士林,3.4,0.97,18.0,-,23,-,34.38,16.02,18.36,-,-,-,24.26,-,-,26.0
29,臺北市,1997/11/26,松山,3.6,-,5.5,-,43,-,87.45,46.52,41.4,-,-,-,20.96,-,-,43.0
30,臺北市,1997/11/26,古亭,2.7,1.46,9.1,-,42,38,70.17,36.18,33.98,2.724,0.6,2.13,20.48,-,-,42.0
31,臺北市,1997/11/26,中山,3.7,1.64,7.7,-,47,-,85.53,42.72,42.81,2.823,0.47,2.35,21.5,-,-,47.0
