序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1998/06/30,松山,7.2,1.39,20.5,-,48,-,66.46,22.92,43.53,-,-,-,28.65,-,-,73.0
2,臺北市,1998/06/30,古亭,4.9,1.48,10.9,-,60,37,72.32,33.39,38.94,2.536,0.69,1.92,28.58,-,-,55.0
3,臺北市,1998/06/30,中山,6.1,1.43,14.0,-,-,-,28.87,21.42,7.45,-,-,-,29.46,-,-,33.0
4,臺北市,1998/06/30,大同,6.2,3.69,-,-,-,-,142.77,97.66,45.11,4.396,1.73,2.67,30.15,-,-,58.0
5,臺北市,1998/06/30,萬華,4.6,1.04,13.7,-,55,-,35.3,5.76,29.54,-,-,-,28.23,-,-,51.0
6,臺北市,1998/06/30,陽明,3.8,0.22,34.4,-,17,-,7.69,0.44,7.26,-,-,-,23.35,-,86.0,62.0
7,臺北市,1998/06/30,士林,4.2,0.96,14.4,-,50,-,44.03,11.66,32.37,-,-,-,28.6,-,-,49.0
8,臺北市,1998/06/29,松山,4.7,0.82,24.8,-,37,-,36.06,9.71,26.35,-,-,-,29.77,-,-,82.0
9,臺北市,1998/06/29,古亭,1.6,1.08,23.5,-,44,30,48.29,21.35,26.94,2.327,0.51,1.84,29.9,-,-,93.0
10,臺北市,1998/06/29,中山,3.6,0.94,14.9,-,-,-,15.4,12.24,3.16,-,-,-,30.3,-,-,68.0
11,臺北市,1998/06/29,大同,5.4,3.08,-,-,-,-,113.84,79.81,34.03,3.721,1.48,2.24,31.31,-,-,38.0
12,臺北市,1998/06/29,萬華,2.3,1.22,26.3,-,42,-,22.76,3.1,19.66,-,-,-,29.41,-,-,92.0
13,臺北市,1998/06/29,陽明,3.4,0.23,34.9,-,18,-,6.28,0.37,5.9,-,-,-,23.66,-,87.0,43.0
14,臺北市,1998/06/29,士林,3.7,0.72,14.1,-,34,-,25.43,7.33,18.1,-,-,-,29.56,-,-,64.0
15,臺北市,1998/06/28,松山,3.6,0.85,16.0,-,27,-,34.82,13.36,21.46,-,-,-,30.29,-,-,41.0
16,臺北市,1998/06/28,古亭,3.1,0.77,14.8,-,31,23,35.74,15.24,20.5,1.949,0.04,1.91,30.47,-,-,44.0
17,臺北市,1998/06/28,中山,3.9,1.08,13.0,-,-,-,25.85,21.95,3.9,2.619,0.21,2.42,31.0,-,-,36.0
18,臺北市,1998/06/28,大同,5.3,2.49,-,-,-,-,103.33,75.72,27.61,3.684,1.12,2.56,31.84,-,-,37.0
19,臺北市,1998/06/28,萬華,3.3,1.77,15.6,-,35,-,22.34,5.38,16.96,-,-,-,29.96,-,-,46.0
20,臺北市,1998/06/28,陽明,2.7,0.22,26.9,-,13,-,5.08,0.84,4.24,-,-,-,23.86,-,85.0,35.0
21,臺北市,1998/06/28,士林,3.0,0.87,12.1,-,36,-,31.65,13.61,18.05,-,-,-,30.11,-,-,36.0
22,臺北市,1998/06/27,松山,3.5,1.1,20.6,-,35,-,47.12,21.46,25.66,-,-,-,30.6,-,-,90.0
23,臺北市,1998/06/27,古亭,3.0,1.07,20.9,-,44,24,46.7,21.99,24.72,2.523,0.49,2.04,30.9,-,-,84.0
24,臺北市,1998/06/27,中山,4.9,1.41,17.4,-,-,-,36.94,30.26,6.68,3.134,0.66,2.48,30.88,-,-,83.0
25,臺北市,1998/06/27,大同,6.9,2.86,-,-,-,-,114.95,81.49,33.46,4.687,1.5,3.19,31.65,-,-,39.0
26,臺北市,1998/06/27,萬華,5.3,2.11,19.5,-,41,-,35.69,13.23,22.46,-,-,-,29.83,-,-,85.0
27,臺北市,1998/06/27,陽明,0.9,0.19,35.9,-,13,-,3.9,0.49,3.41,-,-,-,24.97,-,86.0,48.0
28,臺北市,1998/06/27,士林,2.8,1.23,14.7,-,54,-,48.11,24.72,23.4,-,-,-,29.69,-,-,54.0
29,臺北市,1998/06/26,松山,6.1,1.72,18.5,-,43,-,75.73,30.83,44.9,-,-,-,28.94,-,-,79.0
30,臺北市,1998/06/26,古亭,4.7,1.78,17.0,-,59,48,81.7,41.28,40.42,3.085,1.0,2.09,28.21,-,-,100.0
31,臺北市,1998/06/26,中山,8.2,2.22,18.1,-,-,-,61.83,41.28,20.55,3.831,1.29,2.54,29.09,-,-,84.0
32,臺北市,1998/06/26,大同,9.5,3.33,-,-,-,-,130.55,77.89,52.65,5.232,1.84,3.39,29.2,-,-,55.0
33,臺北市,1998/06/26,萬華,7.9,2.68,23.5,-,69,-,57.74,19.26,38.48,-,-,-,27.63,-,-,131.0
34,臺北市,1998/06/26,陽明,1.7,0.21,36.0,-,13,-,2.95,0.13,2.82,-,-,-,23.28,-,87.0,44.0
35,臺北市,1998/06/26,士林,5.1,1.52,17.3,-,67,-,63.08,22.87,40.21,-,-,-,28.11,-,-,75.0
36,臺北市,1998/06/25,松山,4.8,1.61,12.6,-,47,-,76.55,35.35,41.19,-,-,-,28.01,-,-,69.0
37,臺北市,1998/06/25,古亭,4.6,1.63,15.1,-,45,39,70.81,38.1,32.71,2.639,0.66,1.98,27.91,-,-,83.0
38,臺北市,1998/06/25,中山,7.2,1.76,16.6,-,-,-,53.42,39.3,14.11,3.345,0.69,2.66,28.63,-,-,78.0
39,臺北市,1998/06/25,大同,8.7,3.91,-,-,-,-,156.05,104.26,51.79,4.796,1.86,2.94,28.93,-,-,60.0
40,臺北市,1998/06/25,萬華,5.3,1.91,16.9,-,50,-,54.03,19.89,34.14,-,-,-,27.52,-,-,90.0
41,臺北市,1998/06/25,陽明,2.9,0.25,42.3,-,16,-,4.28,0.26,4.01,-,-,-,23.13,-,88.0,77.0
42,臺北市,1998/06/25,士林,4.9,1.31,18.1,-,59,-,68.05,33.61,34.44,-,-,-,27.82,-,-,67.0
43,臺北市,1998/06/24,松山,4.3,1.72,11.3,-,37,-,79.52,43.53,35.99,-,-,-,26.45,-,-,59.0
44,臺北市,1998/06/24,古亭,3.7,1.77,11.6,-,42,41,84.14,48.62,35.52,2.771,0.8,1.97,26.3,-,-,86.0
45,臺北市,1998/06/24,中山,6.6,2.22,8.1,-,-,-,86.43,63.03,23.4,3.775,1.04,2.73,27.39,-,-,46.0
46,臺北市,1998/06/24,大同,9.9,5.31,-,-,-,-,217.23,169.4,47.83,5.672,2.71,2.96,27.73,-,-,96.0
47,臺北市,1998/06/24,萬華,5.8,1.59,14.6,-,53,-,57.32,23.45,33.88,-,-,-,26.18,-,-,88.0
48,臺北市,1998/06/24,陽明,2.2,0.14,26.3,-,13,-,4.44,0.31,4.13,-,-,-,22.07,-,89.0,32.0
49,臺北市,1998/06/24,士林,4.4,1.44,6.7,-,44,-,80.81,43.4,37.41,-,-,-,26.34,-,-,44.0
50,臺北市,1998/06/23,松山,7.0,1.74,6.7,-,45,-,88.11,46.97,41.14,-,-,-,27.19,-,-,45.0
51,臺北市,1998/06/23,古亭,4.2,1.62,7.6,-,40,39,74.05,40.36,33.69,2.842,0.73,2.11,27.06,-,-,40.0
52,臺北市,1998/06/23,中山,6.4,2.04,7.8,-,-,-,94.23,57.82,36.42,3.746,0.8,2.95,27.76,-,-,53.0
53,臺北市,1998/06/23,大同,8.6,4.2,-,-,-,-,181.25,136.26,44.99,5.345,1.99,3.36,27.98,-,-,62.0
54,臺北市,1998/06/23,萬華,4.0,1.29,10.7,-,46,-,44.6,14.27,30.33,-,-,-,26.65,-,-,62.0
55,臺北市,1998/06/23,陽明,2.3,0.22,22.5,-,13,-,8.39,1.16,7.23,-,-,-,22.26,-,90.0,37.0
56,臺北市,1998/06/23,士林,3.0,1.48,4.3,-,55,-,72.67,38.28,34.39,-,-,-,26.84,-,-,53.0
57,臺北市,1998/06/22,松山,5.0,1.89,8.0,-,45,-,86.54,45.15,41.39,-,-,-,28.12,-,-,45.0
58,臺北市,1998/06/22,古亭,4.1,1.76,10.4,-,53,46,78.93,38.61,40.32,2.889,0.89,2.0,27.76,-,-,52.0
59,臺北市,1998/06/22,中山,5.3,1.97,7.8,-,-,-,72.24,47.13,25.11,3.744,0.92,2.83,28.7,-,-,37.0
