序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,1999/01/31,松山,6.9,1.21,18.9,-,84,-,86.88,41.17,45.71,-,-,-,20.25,-,-,67.0,-
2,臺北市,1999/01/31,古亭,5.1,1.49,15.4,-,79,50,85.59,39.23,46.36,2.684,0.69,1.99,19.64,-,-,64.0,-
3,臺北市,1999/01/31,中山,5.9,1.42,21.6,-,85,-,88.83,43.39,45.44,2.785,0.56,2.23,20.16,-,-,67.0,-
4,臺北市,1999/01/31,大同,7.0,2.9,-,-,97,-,162.98,108.4,54.58,4.013,1.43,2.59,21.41,-,-,74.0,-
5,臺北市,1999/01/31,萬華,5.0,1.09,21.5,-,68,-,47.49,11.95,35.54,-,-,-,21.27,-,-,60.0,-
6,臺北市,1999/01/31,陽明,0.6,0.23,48.7,-,16,-,3.49,0.44,3.05,-,-,-,15.49,-,85.0,49.0,-
7,臺北市,1999/01/31,士林,2.2,0.98,18.7,-,52,-,48.16,20.03,28.13,-,-,-,19.59,-,-,51.0,-
8,臺北市,1999/01/30,松山,4.8,0.89,17.4,-,57,-,64.84,28.82,36.02,-,-,-,18.93,-,-,53.0,-
9,臺北市,1999/01/30,古亭,3.9,0.99,19.8,-,49,34,59.11,25.48,33.63,2.274,0.42,1.85,18.24,-,-,49.0,-
10,臺北市,1999/01/30,中山,4.9,1.13,18.8,-,59,-,66.62,28.29,38.32,2.494,0.46,2.03,18.95,-,-,54.0,-
11,臺北市,1999/01/30,大同,8.6,4.39,-,-,80,-,237.61,180.47,57.13,4.712,2.32,2.39,20.13,-,-,69.0,-
12,臺北市,1999/01/30,萬華,4.1,1.01,20.1,-,46,-,47.59,13.99,33.6,-,-,-,19.9,-,-,46.0,-
13,臺北市,1999/01/30,陽明,0.7,0.23,47.6,-,14,-,2.88,0.24,2.64,-,-,-,12.47,-,92.0,47.0,-
14,臺北市,1999/01/30,士林,2.1,0.59,25.9,-,36,-,30.79,10.91,19.88,-,-,-,19.2,-,-,36.0,-
15,臺北市,1999/01/29,松山,2.6,0.46,26.1,-,49,-,37.54,7.94,29.6,-,-,-,17.94,-,-,49.0,-
16,臺北市,1999/01/29,古亭,2.9,0.71,24.4,-,48,26,42.77,11.26,31.51,2.16,0.28,1.88,17.2,-,-,48.0,-
17,臺北市,1999/01/29,中山,2.1,0.55,30.1,-,50,-,31.79,4.69,27.1,2.2,0.19,2.01,17.73,-,-,50.0,-
18,臺北市,1999/01/29,大同,7.0,3.38,-,-,84,-,196.28,140.27,56.0,4.233,1.9,2.33,18.82,-,-,67.0,-
19,臺北市,1999/01/29,萬華,2.2,0.79,25.2,-,46,-,32.42,4.17,28.25,-,-,-,18.76,-,-,46.0,-
20,臺北市,1999/01/29,陽明,0.8,0.23,51.3,-,16,-,1.02,0.03,1.0,-,-,-,9.86,-,97.0,48.0,-
21,臺北市,1999/01/29,士林,1.5,0.31,31.1,-,42,-,16.19,1.5,14.69,-,-,-,17.42,-,-,42.0,-
22,臺北市,1999/01/28,松山,1.6,0.79,19.6,-,95,-,34.86,7.49,27.37,-,-,-,18.0,-,-,72.0,-
23,臺北市,1999/01/28,古亭,2.3,1.1,15.4,-,96,46,48.13,15.59,32.55,2.245,0.39,1.86,17.42,-,-,73.0,-
24,臺北市,1999/01/28,中山,2.5,1.12,11.7,-,97,-,50.45,13.18,37.26,2.46,0.32,2.14,17.75,-,-,74.0,-
25,臺北市,1999/01/28,大同,7.5,4.05,-,-,128,-,207.38,154.1,53.28,4.257,1.73,2.52,18.75,-,-,89.0,-
26,臺北市,1999/01/28,萬華,2.2,1.22,12.2,-,99,-,41.08,7.92,33.15,-,-,-,18.81,-,-,75.0,-
27,臺北市,1999/01/28,陽明,1.0,0.4,43.6,-,14,-,2.56,0.04,2.52,-,-,-,11.53,-,95.0,44.0,-
28,臺北市,1999/01/28,士林,2.0,0.84,12.1,-,71,-,35.45,7.82,27.62,-,-,-,17.39,-,-,61.0,-
29,臺北市,1999/01/27,松山,7.3,1.66,15.9,-,118,-,113.06,57.75,55.31,-,-,-,20.19,-,-,84.0,-
30,臺北市,1999/01/27,古亭,6.6,2.06,15.0,-,129,60,115.68,57.02,58.66,3.3,1.09,2.21,19.9,-,-,89.0,-
31,臺北市,1999/01/27,中山,8.7,2.09,15.1,-,137,-,128.07,69.19,58.88,3.495,1.02,2.48,19.99,-,-,93.0,-
32,臺北市,1999/01/27,大同,9.9,3.23,-,-,156,-,189.76,124.76,65.01,4.616,1.74,2.87,20.42,-,-,103.0,-
33,臺北市,1999/01/27,萬華,8.9,1.95,13.8,-,130,-,91.36,34.58,56.78,-,-,-,21.41,-,-,90.0,-
34,臺北市,1999/01/27,陽明,1.8,0.36,56.7,-,19,-,3.12,0.07,3.05,-,-,-,16.46,-,77.0,73.0,-
35,臺北市,1999/01/27,士林,3.5,1.29,15.2,-,96,-,64.98,30.26,34.72,-,-,-,19.42,-,-,73.0,-
36,臺北市,1999/01/26,松山,7.0,0.94,17.8,-,84,-,54.15,17.59,36.56,-,-,-,19.08,-,-,67.0,-
37,臺北市,1999/01/26,古亭,6.0,0.93,19.8,-,84,47,44.77,11.91,32.86,2.2,0.33,1.87,18.58,-,-,67.0,-
38,臺北市,1999/01/26,中山,7.0,1.0,24.3,-,93,-,43.49,9.83,33.66,2.325,0.27,2.06,19.09,-,-,71.0,-
39,臺北市,1999/01/26,大同,10.4,4.07,-,-,115,-,206.16,148.03,58.13,4.41,2.01,2.4,20.18,-,-,83.0,-
40,臺北市,1999/01/26,萬華,5.7,1.12,20.3,-,81,-,39.2,6.5,32.7,-,-,-,20.21,-,-,65.0,-
41,臺北市,1999/01/26,陽明,1.6,0.57,48.8,-,21,-,2.47,0.02,2.45,-,-,-,11.57,-,93.0,50.0,-
42,臺北市,1999/01/26,士林,4.3,0.6,28.9,-,62,-,16.87,1.58,15.3,-,-,-,19.21,-,-,56.0,-
43,臺北市,1999/01/25,松山,2.5,0.66,18.8,-,39,-,40.98,12.05,28.93,-,-,-,19.25,-,-,39.0,-
44,臺北市,1999/01/25,古亭,2.3,0.99,16.6,-,33,30,44.05,14.08,29.97,2.09,0.33,1.76,18.42,-,-,32.0,-
45,臺北市,1999/01/25,中山,2.0,1.01,18.5,-,46,-,44.9,12.6,32.3,2.418,0.32,2.1,19.0,-,-,46.0,-
46,臺北市,1999/01/25,大同,5.7,3.9,-,-,68,-,191.9,142.86,49.05,4.243,1.87,2.37,20.18,-,-,63.0,-
47,臺北市,1999/01/25,萬華,1.9,1.06,18.0,-,38,-,36.41,6.85,29.56,-,-,-,20.07,-,-,38.0,-
48,臺北市,1999/01/25,陽明,0.1,0.34,40.8,-,12,-,1.37,0.06,1.31,-,-,-,13.17,-,100.0,40.0,-
49,臺北市,1999/01/25,士林,0.9,0.6,20.9,-,26,-,19.99,3.08,16.91,-,-,-,19.16,-,-,26.0,-
50,臺北市,1999/01/24,松山,2.9,0.67,14.8,-,35,-,37.99,10.09,27.89,-,-,-,19.59,-,-,35.0,-
51,臺北市,1999/01/24,古亭,4.0,0.79,13.4,-,32,24,41.56,13.36,28.19,2.215,0.26,1.95,18.92,-,-,32.0,-
52,臺北市,1999/01/24,中山,3.6,0.85,14.9,-,37,-,44.98,14.56,30.42,2.201,0.14,2.06,19.49,-,-,37.0,-
53,臺北市,1999/01/24,大同,7.2,3.07,-,-,65,-,180.05,134.76,45.29,3.884,1.39,2.49,20.48,-,-,57.0,-
54,臺北市,1999/01/24,萬華,2.3,0.84,14.9,-,33,-,32.39,6.86,25.53,-,-,-,20.59,-,-,33.0,-
55,臺北市,1999/01/24,陽明,0.3,0.3,41.5,-,12,-,1.38,0.06,1.31,-,-,-,13.72,-,96.0,41.0,-
56,臺北市,1999/01/24,士林,1.3,0.57,17.9,-,26,-,23.95,6.26,17.69,-,-,-,19.59,-,-,26.0,-
57,臺北市,1999/01/23,松山,3.9,0.88,12.4,-,41,-,68.32,28.91,39.41,-,-,-,21.13,-,-,41.0,-
58,臺北市,1999/01/23,古亭,3.1,1.32,12.1,-,39,28,80.26,41.76,38.5,2.607,0.63,1.98,20.54,-,-,39.0,-
59,臺北市,1999/01/23,中山,3.8,1.18,14.0,-,37,-,69.75,33.57,36.18,2.717,0.54,2.18,20.92,-,-,37.0,-
60,臺北市,1999/01/23,大同,5.1,2.6,-,-,51,-,145.39,102.08,43.31,3.634,1.17,2.46,21.57,-,-,51.0,-
61,臺北市,1999/01/23,萬華,3.7,1.15,12.3,-,39,-,57.94,20.31,37.62,-,-,-,22.2,-,-,39.0,-
62,臺北市,1999/01/23,陽明,0.7,0.21,38.3,-,12,-,3.26,0.45,2.81,-,-,-,16.05,-,89.0,41.0,-
