序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2015/02/28,松山,2.8,0.4,414.62,33.5,16,9,17.94,3.45,14.49,1.55,18.5,80.62
2,臺北市,2015/02/28,古亭,2.0,0.41,-,28.3,33,12,18.79,3.26,15.52,1.86,19.27,84.56
3,臺北市,2015/02/28,中山,1.7,0.54,-,25.5,38,12,28.19,6.52,21.66,1.72,19.09,83.83
4,臺北市,2015/02/28,大同,1.7,0.93,-,-,33,8,44.71,21.88,22.82,-,-,-
5,臺北市,2015/02/28,萬華,1.3,0.55,-,25.6,21,10,24.85,4.05,20.79,1.27,18.83,81.83
6,臺北市,2015/02/28,陽明,2.0,0.25,419.91,40.0,12,11,3.79,0.66,3.09,-,15.22,94.79
7,臺北市,2015/02/28,士林,1.4,0.32,-,33.0,24,9,12.29,1.11,11.17,1.76,18.41,79.91
8,臺北市,2015/02/27,松山,3.3,0.43,414.19,29.5,20,9,20.39,3.58,16.81,1.78,19.03,87.16
9,臺北市,2015/02/27,古亭,3.4,0.42,-,27.2,31,13,17.89,2.58,15.3,2.71,19.98,90.29
10,臺北市,2015/02/27,中山,2.8,0.55,-,25.6,34,9,26.29,6.28,20.02,2.29,20.49,84.47
11,臺北市,2015/02/27,大同,3.5,1.09,-,-,33,8,55.95,28.91,27.04,-,-,-
12,臺北市,2015/02/27,萬華,3.1,0.46,-,27.5,25,8,23.03,3.81,19.22,2.59,20.1,83.05
13,臺北市,2015/02/27,陽明,0.6,0.22,417.01,45.0,6,5,1.38,0.53,0.81,-,14.36,99.42
14,臺北市,2015/02/27,士林,1.6,0.37,-,30.1,24,10,15.1,1.78,13.31,1.88,20.24,77.93
15,臺北市,2015/02/26,松山,3.2,0.82,440.84,14.2,32,19,46.13,20.75,25.38,1.5,19.29,82.47
16,臺北市,2015/02/26,古亭,1.9,0.65,-,14.6,45,18,30.34,10.38,19.95,1.98,19.88,85.47
17,臺北市,2015/02/26,中山,2.8,1.12,-,9.5,62,24,57.55,27.73,29.82,1.71,20.13,84.3
18,臺北市,2015/02/26,大同,3.6,2.0,-,-,61,20,100.32,66.36,33.96,-,-,-
19,臺北市,2015/02/26,萬華,1.9,1.09,-,9.4,39,20,53.39,23.92,29.46,1.46,19.79,82.75
20,臺北市,2015/02/26,陽明,1.3,0.27,415.04,33.6,12,11,5.49,0.95,4.53,-,15.12,99.87
21,臺北市,2015/02/26,士林,2.3,0.99,-,12.2,39,18,49.45,23.93,25.51,1.07,18.77,85.17
22,臺北市,2015/02/25,松山,3.2,0.98,446.46,15.3,52,22,54.8,21.26,33.54,1.36,20.63,77.13
23,臺北市,2015/02/25,古亭,3.3,1.06,-,13.0,67,31,51.95,18.56,33.4,1.34,21.06,81.74
24,臺北市,2015/02/25,中山,3.2,1.29,-,11.0,88,28,67.55,29.76,37.78,1.41,20.95,81.29
25,臺北市,2015/02/25,大同,4.1,2.01,-,-,78,28,91.48,50.6,40.88,-,-,-
26,臺北市,2015/02/25,萬華,4.1,1.2,-,10.8,65,28,56.04,19.01,37.04,1.08,20.63,79.56
27,臺北市,2015/02/25,陽明,2.0,0.28,414.8,38.6,19,15,6.22,1.23,4.97,-,16.12,96.84
28,臺北市,2015/02/25,士林,3.8,0.76,-,19.9,56,26,37.44,9.9,27.53,1.17,20.06,79.09
29,臺北市,2015/02/24,松山,2.2,0.72,430.69,20.1,35,18,38.46,11.84,26.62,1.62,18.34,82.59
30,臺北市,2015/02/24,古亭,2.7,0.75,-,18.6,47,22,36.15,9.86,26.29,1.86,18.81,88.56
