序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1996/10/31,松山,10.5,1.65,29.4,-,81,79,34.9,43.68,-,-,-,26.87,-,-,162.0
2,臺北市,1996/10/31,古亭,4.8,1.4,26.4,-,67,61,24.5,36.6,2.66,0.48,2.18,27.44,-,-,151.0
3,臺北市,1996/10/31,中山,9.0,1.88,25.1,-,80,93,41.38,51.13,3.78,0.84,2.94,26.87,-,-,139.0
4,臺北市,1996/10/31,大同,11.2,2.87,-,-,88,122,70.22,51.74,4.92,1.75,3.16,26.96,-,-,69.0
5,臺北市,1996/10/31,萬華,10.2,1.72,27.8,-,91,71,28.12,43.12,-,-,-,27.17,-,-,110.0
6,臺北市,1996/10/31,陽明,3.5,0.38,42.3,-,24,7,0.37,7.08,-,-,-,23.86,-,77.0,84.0
7,臺北市,1996/10/31,士林,7.1,1.54,20.9,-,79,68,35.07,32.48,-,-,-,25.94,-,-,82.0
8,臺北市,1996/10/30,松山,10.5,1.86,15.1,-,75,102,56.66,45.03,-,-,-,26.25,-,-,62.0
9,臺北市,1996/10/30,古亭,5.5,1.81,20.7,-,75,82,37.17,45.11,3.02,0.61,2.41,27.19,-,-,76.0
10,臺北市,1996/10/30,中山,8.6,1.97,20.2,-,45,98,47.82,50.31,3.13,0.64,2.49,27.19,-,-,80.0
11,臺北市,1996/10/30,大同,19.2,5.59,-,-,70,206,151.93,54.22,5.29,2.93,2.37,27.67,-,-,105.0
12,臺北市,1996/10/30,萬華,8.6,1.65,30.5,-,72,62,17.96,44.16,-,-,-,27.21,-,-,178.0
13,臺北市,1996/10/30,陽明,1.9,0.22,19.8,-,25,2,0.02,1.88,-,-,-,23.15,-,66.0,34.0
14,臺北市,1996/10/30,士林,5.9,1.32,17.3,-,49,60,27.0,32.6,-,-,-,26.42,-,-,68.0
15,臺北市,1996/10/29,松山,11.3,1.22,4.8,-,50,69,44.12,24.78,-,-,-,24.78,-,-,50.0
16,臺北市,1996/10/29,古亭,6.1,1.37,5.2,-,58,66,43.53,22.04,2.63,0.49,2.14,25.25,-,-,54.0
17,臺北市,1996/10/29,中山,9.0,1.64,5.5,-,48,89,61.61,27.39,2.69,0.68,2.0,25.76,-,-,48.0
