序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1995/07/31,松山,1.8,1.06,4.2,-,29,44,28.24,15.65,-,-,-,27.38,-,-,29.0
2,臺北市,1995/07/31,古亭,2.2,1.54,4.5,-,41,60,44.23,15.49,2.51,0.55,1.96,27.57,-,-,41.0
3,臺北市,1995/07/31,中山,3.0,1.42,2.5,-,32,63,44.09,18.76,2.58,0.56,2.01,27.65,-,-,32.0
4,臺北市,1995/07/31,大同,12.5,4.97,-,-,61,220,190.46,29.18,4.37,2.13,2.24,28.14,-,-,75.0
5,臺北市,1995/07/31,萬華,2.5,1.28,3.9,-,86,41,25.41,15.34,-,-,-,27.64,-,-,66.0
6,臺北市,1995/07/31,陽明,0.9,0.13,15.8,-,10,3,0.99,2.03,-,-,-,21.02,-,99.0,18.0
7,臺北市,1995/07/31,士林,1.1,0.74,4.7,-,25,30,16.2,13.55,-,-,-,27.39,-,-,25.0
8,臺北市,1995/07/30,松山,1.2,0.55,9.0,-,19,22,10.13,11.86,-,-,-,28.24,-,-,19.0
9,臺北市,1995/07/30,古亭,0.4,0.59,8.1,-,17,25,13.1,11.85,1.93,0.17,1.76,28.89,-,-,17.0
10,臺北市,1995/07/30,中山,1.3,0.76,6.2,-,19,32,17.19,14.62,2.14,0.25,1.89,28.58,-,-,19.0
11,臺北市,1995/07/30,大同,8.0,3.3,-,-,35,153,129.13,23.91,3.34,1.29,2.06,29.35,-,-,53.0
12,臺北市,1995/07/30,萬華,0.6,0.63,8.7,-,23,17,6.45,10.26,-,-,-,28.78,-,-,23.0
13,臺北市,1995/07/30,陽明,1.1,0.2,17.4,-,11,3,1.0,2.34,-,-,-,21.55,-,91.0,17.0
14,臺北市,1995/07/30,士林,0.1,0.45,9.9,-,17,16,5.96,9.93,-,-,-,28.43,-,-,17.0
15,臺北市,1995/07/29,松山,2.0,0.63,5.5,-,25,24,11.8,12.62,-,-,-,29.51,-,-,25.0
16,臺北市,1995/07/29,古亭,0.5,0.41,8.5,-,21,16,7.67,8.22,1.84,0.09,1.74,29.93,-,-,21.0
17,臺北市,1995/07/29,中山,1.6,0.92,4.5,-,24,36,21.89,14.05,2.25,0.34,1.91,29.78,-,-,24.0
