序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,1998/12/31,松山,2.2,0.64,10.5,-,42,-,54.66,22.32,32.34,-,-,-,18.15,-,-,42.0,-
2,臺北市,1998/12/31,古亭,2.0,1.1,8.3,-,39,28,63.54,30.9,32.64,2.391,0.47,1.92,16.93,-,-,39.0,-
3,臺北市,1998/12/31,中山,2.7,1.17,10.4,-,49,-,60.85,27.92,32.92,2.95,0.39,2.56,18.25,-,-,49.0,-
4,臺北市,1998/12/31,大同,7.4,3.89,-,-,-,-,215.11,167.2,47.91,4.874,2.2,2.68,18.72,-,-,66.0,-
5,臺北市,1998/12/31,萬華,2.6,0.9,9.8,-,39,-,51.35,16.03,35.32,-,-,-,18.29,-,-,39.0,-
6,臺北市,1998/12/31,陽明,1.7,0.23,45.5,-,19,-,2.13,0.06,2.07,-,-,-,11.84,-,97.0,54.0,-
7,臺北市,1998/12/31,士林,1.9,0.6,14.7,-,29,-,37.91,16.02,21.89,-,-,-,18.03,-,-,29.0,-
8,臺北市,1998/12/30,松山,3.9,0.8,20.8,-,52,-,55.32,21.89,33.44,-,-,-,20.82,-,-,51.0,-
9,臺北市,1998/12/30,古亭,1.3,0.77,28.1,-,35,27,38.24,14.86,23.38,2.109,0.25,1.86,20.17,-,-,39.0,-
10,臺北市,1998/12/30,中山,3.9,1.02,22.7,-,48,-,47.22,15.17,32.05,2.175,0.35,1.83,21.06,-,-,48.0,-
11,臺北市,1998/12/30,大同,6.3,4.51,-,-,-,-,230.07,175.26,54.81,4.758,2.46,2.3,21.17,-,-,79.0,-
12,臺北市,1998/12/30,萬華,1.4,0.83,27.8,-,35,-,34.01,6.99,27.02,-,-,-,21.38,-,-,36.0,-
13,臺北市,1998/12/30,陽明,1.2,0.18,49.9,-,13,-,1.83,0.19,1.64,-,-,-,13.14,-,89.0,46.0,-
14,臺北市,1998/12/30,士林,1.7,0.53,29.1,-,32,-,27.82,8.74,19.08,-,-,-,20.65,-,-,40.0,-
15,臺北市,1998/12/29,松山,3.9,0.27,24.3,-,52,-,42.89,8.88,34.01,-,-,-,20.21,-,-,51.0,-
16,臺北市,1998/12/29,古亭,3.5,0.65,29.7,-,52,9,33.75,8.12,25.62,-,0.21,1.5,19.29,-,-,51.0,-
17,臺北市,1998/12/29,中山,2.9,0.73,30.9,-,53,-,33.63,6.71,26.92,1.971,0.15,1.83,20.14,-,-,51.0,-
18,臺北市,1998/12/29,大同,3.7,3.51,-,-,-,-,195.1,139.31,55.79,4.294,2.0,2.29,20.4,-,-,56.0,-
19,臺北市,1998/12/29,萬華,3.0,0.72,29.2,-,49,-,31.32,3.74,27.58,-,-,-,20.38,-,-,49.0,-
20,臺北市,1998/12/29,陽明,0.9,0.25,52.8,-,16,-,0.76,0.09,0.67,-,-,-,12.43,-,90.0,47.0,-
21,臺北市,1998/12/29,士林,1.0,0.21,40.6,-,41,-,12.46,1.63,10.83,-,-,-,20.14,-,-,41.0,-
22,臺北市,1998/12/28,松山,6.8,0.84,13.5,-,67,-,67.64,24.34,43.29,-,-,-,20.22,-,-,58.0,-
23,臺北市,1998/12/28,古亭,6.8,0.78,22.5,-,50,1,40.95,11.77,29.17,2.177,0.22,1.96,19.23,-,-,50.0,-
24,臺北市,1998/12/28,中山,3.8,0.94,22.2,-,61,-,44.22,11.65,32.56,2.031,0.2,1.83,20.15,-,-,55.0,-
25,臺北市,1998/12/28,大同,4.4,4.25,-,-,-,-,221.23,165.45,55.78,4.53,2.34,2.2,20.59,-,-,66.0,-
26,臺北市,1998/12/28,萬華,5.7,0.87,20.3,-,55,-,40.87,6.95,33.92,-,-,-,20.21,-,-,52.0,-
27,臺北市,1998/12/28,陽明,0.7,0.26,51.2,-,14,-,1.17,0.06,1.11,-,-,-,12.2,-,97.0,45.0,-
28,臺北市,1998/12/28,士林,0.7,0.37,36.8,-,42,-,13.94,1.48,12.46,-,-,-,20.16,-,-,42.0,-
29,臺北市,1998/12/27,松山,4.2,0.74,15.2,-,39,-,40.42,9.2,31.22,-,-,-,19.48,-,-,39.0,-
30,臺北市,1998/12/27,古亭,3.1,0.63,19.8,-,38,1,36.01,11.43,24.58,2.118,0.25,1.87,18.44,-,-,38.0,-
31,臺北市,1998/12/27,中山,2.9,0.77,18.6,-,36,-,39.24,9.99,29.25,2.06,0.26,1.8,19.58,-,-,36.0,-
32,臺北市,1998/12/27,大同,3.5,2.85,-,-,-,-,180.33,130.74,49.59,3.845,1.49,2.35,19.84,-,-,40.0,-
33,臺北市,1998/12/27,萬華,2.3,0.71,17.7,-,35,-,33.37,5.88,27.5,-,-,-,19.48,-,-,35.0,-
34,臺北市,1998/12/27,陽明,0.3,0.23,47.8,-,13,-,1.1,0.09,1.01,-,-,-,12.06,-,94.0,42.0,-
35,臺北市,1998/12/27,士林,0.9,0.44,26.1,-,29,-,28.99,11.41,17.58,-,-,-,19.26,-,-,34.0,-
36,臺北市,1998/12/26,松山,5.3,0.82,13.7,-,43,-,57.41,22.9,34.51,-,-,-,18.52,-,-,43.0,-
37,臺北市,1998/12/26,古亭,2.1,0.57,24.3,-,35,1,33.36,8.55,24.8,2.116,0.24,1.87,18.33,-,-,35.0,-
