序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2014/04/30,松山,2.0,0.46,421.86,37.1,48,21,21.06,2.79,18.27,1.8,21.42,74.09
2,臺北市,2014/04/30,古亭,1.8,0.5,-,30.8,52,20,27.14,4.26,22.88,2.22,21.7,77.21
3,臺北市,2014/04/30,中山,2.4,0.68,-,30.1,70,23,36.87,7.67,29.21,2.05,22.3,74.95
4,臺北市,2014/04/30,大同,2.8,1.27,-,-,62,21,77.6,37.7,39.9,-,-,-
5,臺北市,2014/04/30,萬華,2.4,0.54,-,31.8,45,24,33.6,5.04,28.56,2.45,22.05,74.0
6,臺北市,2014/04/30,陽明,1.7,0.24,409.64,54.0,23,18,3.5,1.67,1.83,-,15.81,98.57
7,臺北市,2014/04/30,士林,1.7,0.34,-,50.4,33,22,12.81,1.55,11.26,2.02,22.08,71.63
8,臺北市,2014/04/29,松山,1.8,0.44,421.13,50.2,59,34,17.27,2.53,14.73,2.69,21.47,62.65
9,臺北市,2014/04/29,古亭,2.0,0.48,-,44.2,63,29,20.71,2.55,18.15,3.32,21.89,63.98
10,臺北市,2014/04/29,中山,4.3,0.61,-,41.0,85,33,31.56,5.73,25.82,2.66,22.44,63.95
11,臺北市,2014/04/29,大同,5.1,0.94,-,-,73,27,53.38,19.22,34.16,-,-,-
12,臺北市,2014/04/29,萬華,3.6,0.46,-,45.5,57,34,26.79,3.71,23.07,3.74,21.96,63.19
13,臺北市,2014/04/29,陽明,2.2,0.26,395.79,63.0,37,30,4.44,1.72,2.71,-,14.51,96.57
14,臺北市,2014/04/29,士林,3.6,0.34,-,60.4,53,34,11.03,1.07,9.94,2.61,21.97,62.96
15,臺北市,2014/04/28,松山,4.1,0.61,434.85,48.1,51,30,15.66,1.96,13.68,2.56,22.2,67.4
16,臺北市,2014/04/28,古亭,3.7,0.6,-,43.2,55,25,17.89,2.64,15.25,3.23,22.76,67.71
17,臺北市,2014/04/28,中山,2.3,0.75,-,40.8,70,27,27.94,6.17,21.77,2.58,23.2,67.6
18,臺北市,2014/04/28,大同,3.5,1.25,-,-,64,23,58.7,26.38,32.32,-,-,-
19,臺北市,2014/04/28,萬華,3.6,0.62,-,44.3,46,29,23.74,3.81,19.93,3.29,22.77,67.23
20,臺北市,2014/04/28,陽明,1.4,0.42,396.43,56.2,24,21,3.24,0.31,2.89,-,15.23,97.87
21,臺北市,2014/04/28,士林,2.2,0.51,-,54.0,38,27,10.77,1.9,8.87,2.97,22.78,66.34
22,臺北市,2014/04/27,松山,4.3,0.67,439.55,29.0,41,23,27.68,6.25,21.44,1.61,24.85,76.12
23,臺北市,2014/04/27,古亭,4.1,0.72,-,24.5,47,21,31.12,6.97,24.15,1.76,25.23,80.32
24,臺北市,2014/04/27,中山,2.9,0.82,-,25.5,61,19,37.91,9.61,28.3,1.58,25.51,77.65
25,臺北市,2014/04/27,大同,4.0,1.22,-,-,51,14,47.19,17.1,30.08,-,-,-
26,臺北市,2014/04/27,萬華,4.4,0.73,-,26.2,38,22,32.58,5.75,26.83,1.59,25.38,77.41
27,臺北市,2014/04/27,陽明,1.9,0.27,391.67,46.2,12,11,3.66,0.8,2.87,-,19.21,98.07
28,臺北市,2014/04/27,士林,2.8,0.41,-,39.7,26,17,14.95,1.99,12.94,1.81,24.95,77.49
29,臺北市,2014/04/26,松山,1.8,0.65,433.78,18.8,25,13,31.93,8.35,23.58,1.47,24.49,83.57
30,臺北市,2014/04/26,古亭,2.0,0.7,-,18.7,32,12,33.1,8.88,24.22,1.56,25.08,87.63
31,臺北市,2014/04/26,中山,2.5,0.87,-,17.0,48,12,46.38,15.19,31.19,1.48,25.5,83.08
32,臺北市,2014/04/26,大同,3.3,1.38,-,-,47,11,73.56,37.82,35.74,-,-,-
33,臺北市,2014/04/26,萬華,2.5,0.77,-,19.2,30,16,39.02,10.34,28.68,1.47,25.41,82.79
