序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
590,臺中市,2014/01/25,忠明,2.5,0.84,-,17.4,44,28,55.16,23.0,32.16,1.27,18.41,47.51
591,臺中市,2014/01/25,豐原,2.1,0.25,-,40.6,27,16,9.05,1.61,7.44,2.83,17.51,41.36
592,臺中市,2014/01/25,沙鹿,3.1,0.2,-,37.4,25,20,13.05,0.92,12.12,2.82,19.0,42.2
593,臺中市,2014/01/25,大里,2.2,0.6,430.19,19.6,48,26,37.72,11.82,25.89,1.65,16.98,51.99
594,臺中市,2014/01/24,西屯,4.3,0.74,-,21.0,70,43,63.3,26.76,36.54,1.61,15.49,57.75
595,臺中市,2014/01/24,忠明,4.5,0.94,-,21.5,67,43,66.85,28.67,38.19,1.06,16.05,52.0
596,臺中市,2014/01/24,豐原,3.0,0.39,-,43.2,40,23,16.26,2.34,13.92,1.7,13.51,49.33
597,臺中市,2014/01/24,沙鹿,4.6,0.58,-,25.8,58,46,35.51,6.23,29.28,1.89,15.58,55.64
598,臺中市,2014/01/24,大里,3.9,0.77,436.77,24.0,73,41,41.43,9.11,32.32,1.34,14.81,53.22
599,臺中市,2014/01/23,西屯,3.7,0.48,-,23.4,56,31,41.5,14.67,26.84,1.54,14.31,55.87
600,臺中市,2014/01/23,忠明,3.4,0.78,-,21.6,57,34,53.05,20.19,32.86,1.11,14.68,52.45
601,臺中市,2014/01/23,豐原,3.3,0.47,-,38.1,50,24,17.82,4.22,13.6,1.77,12.46,52.42
602,臺中市,2014/01/23,沙鹿,3.1,0.47,-,27.3,41,31,27.57,7.03,20.54,1.98,13.59,55.7
603,臺中市,2014/01/23,大里,3.8,0.73,435.39,22.4,73,37,41.13,12.12,29.0,1.3,13.27,57.48
604,臺中市,2014/01/22,西屯,2.2,0.2,-,34.9,59,30,10.61,1.46,9.16,5.41,12.81,51.4
605,臺中市,2014/01/22,忠明,3.0,0.36,-,29.8,54,26,19.8,2.65,17.15,2.69,13.58,48.45
606,臺中市,2014/01/22,豐原,2.5,0.24,-,37.0,41,20,7.95,1.08,6.86,3.01,10.75,51.62
607,臺中市,2014/01/22,沙鹿,3.1,0.24,-,33.8,50,28,12.83,1.53,11.3,6.84,11.59,53.01
608,臺中市,2014/01/22,大里,2.8,0.4,416.94,28.7,54,28,20.38,3.3,17.08,2.74,12.47,51.44
609,臺中市,2014/01/21,西屯,5.5,0.39,-,38.1,143,56,11.67,1.53,10.15,6.52,13.78,55.71
610,臺中市,2014/01/21,忠明,5.5,0.52,-,33.6,129,59,17.97,2.78,15.19,3.19,13.88,53.36
611,臺中市,2014/01/21,豐原,4.4,0.46,-,38.0,103,49,9.82,1.03,8.78,2.81,11.68,57.88
612,臺中市,2014/01/21,沙鹿,6.8,0.43,-,37.8,132,65,14.56,1.54,13.02,7.81,12.92,54.58
613,臺中市,2014/01/21,大里,4.3,0.55,424.31,29.8,123,57,20.51,2.68,17.82,2.93,13.23,57.5
614,臺中市,2014/01/20,西屯,5.1,0.54,-,28.1,120,66,31.42,9.53,21.89,2.55,15.77,74.59
615,臺中市,2014/01/20,忠明,3.6,0.67,-,26.3,105,74,30.8,6.49,24.31,1.45,15.91,68.68
616,臺中市,2014/01/20,豐原,3.4,0.43,-,38.7,76,49,12.57,1.61,10.95,2.23,14.1,68.92
617,臺中市,2014/01/20,沙鹿,4.6,0.54,-,33.0,88,64,21.96,5.04,16.92,3.37,15.09,75.94
618,臺中市,2014/01/20,大里,1.9,0.71,440.54,27.9,106,70,31.34,6.7,24.64,1.68,15.37,68.64
619,臺中市,2014/01/19,西屯,3.8,0.5,-,40.8,113,68,22.31,5.05,17.25,1.97,15.46,57.69
620,臺中市,2014/01/19,忠明,3.2,0.7,-,38.1,106,82,25.29,4.24,21.05,1.41,15.49,55.2
621,臺中市,2014/01/19,豐原,4.3,0.5,-,48.2,88,55,14.56,2.22,12.34,1.89,13.98,50.63
622,臺中市,2014/01/19,沙鹿,6.3,0.55,-,42.2,96,72,17.88,1.61,16.26,2.37,15.01,59.43
623,臺中市,2014/01/19,大里,2.2,0.68,-,35.6,122,88,-,-,-,1.43,14.45,62.13
624,臺中市,2014/01/18,西屯,4.4,0.4,-,52.6,107,58,11.35,1.55,9.8,6.33,15.22,54.43
625,臺中市,2014/01/18,忠明,5.2,0.43,-,47.0,97,62,16.83,1.73,15.1,2.67,15.29,51.52
626,臺中市,2014/01/18,豐原,4.0,0.38,-,51.5,80,53,8.77,1.5,7.27,2.96,13.09,54.16
627,臺中市,2014/01/18,沙鹿,6.2,0.38,-,52.3,103,66,13.87,1.07,12.79,7.28,14.33,55.91
628,臺中市,2014/01/18,大里,4.5,0.52,429.68,38.6,93,55,23.39,5.78,17.61,3.12,14.37,57.43
629,臺中市,2014/01/17,西屯,3.1,0.62,-,20.1,60,32,44.1,19.09,24.98,2.82,16.89,66.39
630,臺中市,2014/01/17,忠明,2.9,0.82,-,17.5,59,40,70.52,40.2,30.32,1.54,17.28,61.04
631,臺中市,2014/01/17,豐原,3.0,0.45,-,31.4,42,23,17.86,3.41,14.45,2.04,15.69,61.04
632,臺中市,2014/01/17,沙鹿,2.6,0.48,-,20.1,52,38,33.57,11.73,21.84,3.22,15.68,68.73
633,臺中市,2014/01/17,大里,3.1,0.77,442.86,19.4,68,42,39.32,9.42,29.9,1.71,16.74,63.17
634,臺中市,2014/01/16,西屯,1.8,0.45,-,24.7,49,28,29.87,8.73,21.15,2.06,16.63,59.26
635,臺中市,2014/01/16,忠明,3.2,0.65,-,20.5,50,36,43.69,16.93,26.76,1.14,16.85,55.01
636,臺中市,2014/01/16,豐原,1.9,0.32,-,31.3,33,23,12.34,2.24,10.08,1.79,15.14,57.89
637,臺中市,2014/01/16,沙鹿,2.9,0.4,-,25.7,47,34,24.53,5.81,18.72,3.07,15.56,60.77
638,臺中市,2014/01/16,大里,3.6,0.8,437.46,19.9,68,39,41.99,13.25,28.74,1.34,15.83,60.26
639,臺中市,2014/01/15,西屯,1.8,0.2,-,36.4,54,21,8.62,1.19,7.45,5.43,15.66,53.56
640,臺中市,2014/01/15,忠明,2.4,0.33,-,29.8,48,26,17.74,2.24,15.48,2.5,15.61,51.83
641,臺中市,2014/01/15,豐原,-,0.24,-,35.7,35,15,6.15,0.66,5.43,2.2,13.78,55.56
642,臺中市,2014/01/15,沙鹿,1.9,0.2,-,35.9,47,23,10.46,1.26,9.21,6.74,14.64,54.53
643,臺中市,2014/01/15,大里,2.4,0.42,414.97,30.9,44,27,21.41,3.16,18.26,2.28,15.16,55.21
644,臺中市,2014/01/14,西屯,2.0,0.27,-,32.1,45,24,11.05,0.95,10.11,6.7,14.78,77.44
645,臺中市,2014/01/14,忠明,2.2,0.4,-,27.4,42,29,18.39,2.9,15.48,3.02,14.74,72.23
646,臺中市,2014/01/14,豐原,-,0.31,-,32.3,30,17,7.78,1.11,6.67,2.83,13.22,77.59
647,臺中市,2014/01/14,沙鹿,2.5,0.28,-,34.5,36,25,10.65,0.99,9.64,8.13,13.83,77.85
648,臺中市,2014/01/14,大里,2.1,0.41,416.26,27.0,37,28,18.7,3.33,15.37,3.42,14.59,70.17
649,臺中市,2014/01/13,西屯,3.2,0.34,-,32.9,57,31,10.76,1.49,9.27,5.54,16.13,75.79
650,臺中市,2014/01/13,忠明,3.0,0.46,-,28.5,47,34,17.88,2.5,15.38,2.56,16.1,70.72
651,臺中市,2014/01/13,豐原,-,0.37,-,32.7,36,22,8.85,1.22,7.6,2.31,14.68,75.76
652,臺中市,2014/01/13,沙鹿,2.7,0.37,-,35.6,56,40,11.0,1.31,9.69,7.09,15.17,76.97
653,臺中市,2014/01/13,大里,3.0,0.46,418.81,28.7,47,29,20.62,5.41,15.21,3.17,15.97,69.47
654,臺中市,2014/01/12,西屯,1.3,0.33,-,25.8,64,35,14.54,1.99,12.55,4.18,18.03,77.91
655,臺中市,2014/01/12,忠明,2.0,0.41,-,23.5,57,40,18.92,2.64,16.27,1.97,17.88,73.02
656,臺中市,2014/01/12,豐原,-,0.33,-,31.9,50,30,11.28,2.17,9.11,2.35,16.44,75.61
657,臺中市,2014/01/12,沙鹿,2.0,0.29,-,27.4,51,35,13.01,1.72,11.29,4.98,17.3,80.61
658,臺中市,2014/01/12,大里,1.9,0.42,422.22,24.0,65,44,18.6,3.14,15.47,2.55,17.58,71.75
659,臺中市,2014/01/11,西屯,3.2,0.55,-,22.6,67,35,39.63,18.31,21.32,2.11,17.37,78.84
660,臺中市,2014/01/11,忠明,2.8,0.74,-,19.6,66,38,54.17,27.82,26.35,1.27,17.37,73.94
661,臺中市,2014/01/11,豐原,3.3,0.46,-,26.9,49,31,18.61,3.67,14.94,1.87,16.14,77.89
662,臺中市,2014/01/11,沙鹿,3.2,0.52,-,20.8,66,43,32.27,9.97,22.3,2.47,16.94,80.36
663,臺中市,2014/01/11,大里,3.6,0.71,441.84,19.3,74,43,40.58,14.88,25.69,1.56,16.56,75.45
664,臺中市,2014/01/10,西屯,2.9,0.39,-,26.5,44,22,20.45,5.73,14.71,3.26,16.44,70.48
665,臺中市,2014/01/10,忠明,2.9,0.5,-,22.3,37,22,30.59,9.49,21.1,1.64,16.42,66.21
666,臺中市,2014/01/10,豐原,1.3,0.35,-,28.0,22,12,11.49,2.18,9.31,2.12,15.12,69.52
667,臺中市,2014/01/10,沙鹿,3.4,0.35,-,26.0,38,30,21.18,4.66,16.52,4.62,15.33,72.51
668,臺中市,2014/01/10,大里,3.0,0.56,423.81,21.1,44,21,30.67,7.83,22.83,1.72,16.19,66.48
669,臺中市,2014/01/09,西屯,1.9,0.34,-,30.0,39,25,11.83,1.23,10.58,5.73,14.7,70.98
670,臺中市,2014/01/09,忠明,2.9,0.45,-,25.4,42,23,18.69,2.86,15.83,2.52,14.68,66.95
671,臺中市,2014/01/09,豐原,1.7,0.38,-,30.9,18,15,9.23,1.68,7.54,2.83,13.0,71.61
672,臺中市,2014/01/09,沙鹿,2.5,0.31,-,31.3,45,28,12.41,1.57,10.85,7.36,13.76,70.17
673,臺中市,2014/01/09,大里,2.1,0.46,421.86,25.4,37,22,18.68,2.77,15.9,3.1,14.75,66.44
674,臺中市,2014/01/08,西屯,3.5,0.54,-,27.8,76,50,30.72,7.47,23.26,2.84,18.98,73.02
675,臺中市,2014/01/08,忠明,3.3,0.77,-,22.0,79,52,42.24,13.91,28.32,1.51,18.92,69.64
676,臺中市,2014/01/08,豐原,3.9,0.45,-,42.6,59,40,15.22,2.88,12.34,2.18,17.69,68.73
677,臺中市,2014/01/08,沙鹿,4.0,0.63,-,29.3,79,61,27.28,5.65,21.61,3.76,18.94,69.75
678,臺中市,2014/01/08,大里,3.3,0.87,444.79,23.8,78,57,37.93,9.31,28.61,1.77,18.51,69.78
679,臺中市,2014/01/07,西屯,5.0,1.06,-,16.2,103,63,89.49,48.67,40.82,1.31,18.57,73.78
680,臺中市,2014/01/07,忠明,4.9,1.51,-,18.3,104,69,88.45,46.97,41.48,0.94,18.73,68.16
681,臺中市,2014/01/07,豐原,4.1,0.51,-,42.5,68,47,18.2,2.67,15.52,1.89,17.28,65.11
682,臺中市,2014/01/07,沙鹿,5.6,0.79,-,16.9,89,65,46.32,13.62,32.7,1.51,18.36,74.42
683,臺中市,2014/01/07,大里,4.3,1.12,450.76,21.6,101,65,53.37,18.02,35.35,1.12,17.89,68.4
684,臺中市,2014/01/06,西屯,3.7,0.72,-,16.0,85,55,55.12,19.94,35.18,1.67,17.03,66.9
685,臺中市,2014/01/06,忠明,4.7,1.03,-,12.2,86,59,63.82,23.63,40.19,1.09,17.31,61.98
686,臺中市,2014/01/06,豐原,3.6,0.62,-,27.8,72,51,26.46,5.4,21.06,1.62,15.82,60.85
687,臺中市,2014/01/06,沙鹿,4.2,0.54,-,18.0,70,51,30.4,5.26,25.13,2.18,15.78,70.34
688,臺中市,2014/01/06,大里,5.0,1.21,456.8,11.8,119,81,63.12,21.56,41.56,1.37,15.88,68.11
689,臺中市,2014/01/05,西屯,8.3,0.58,-,47.3,135,86,15.47,0.86,14.6,3.32,16.94,56.17
690,臺中市,2014/01/05,忠明,7.1,0.73,-,38.7,119,81,25.26,2.93,22.33,1.53,17.07,53.18
691,臺中市,2014/01/05,豐原,4.5,0.51,-,47.8,90,69,10.34,1.23,9.1,1.97,15.48,55.77
692,臺中市,2014/01/05,沙鹿,9.2,0.54,-,48.9,123,86,14.59,0.96,13.63,4.72,16.07,57.14
693,臺中市,2014/01/05,大里,5.0,0.86,447.39,24.6,123,90,32.1,5.42,26.66,1.28,16.15,63.0
694,臺中市,2014/01/04,西屯,7.4,0.61,-,38.5,133,82,22.89,0.78,22.07,4.1,18.62,62.75
695,臺中市,2014/01/04,忠明,7.0,0.72,-,31.5,118,77,29.59,2.18,27.4,1.84,18.67,60.09
696,臺中市,2014/01/04,豐原,3.9,0.5,-,39.4,87,53,12.78,1.51,11.27,1.91,17.18,64.36
697,臺中市,2014/01/04,沙鹿,9.2,0.66,-,35.0,140,98,27.15,1.64,25.51,4.65,17.56,65.44
698,臺中市,2014/01/04,大里,6.3,0.82,446.42,22.6,106,71,36.65,6.76,29.89,2.11,18.5,63.81
699,臺中市,2014/01/03,西屯,3.2,0.64,-,23.1,73,47,45.98,18.0,27.98,1.86,21.38,73.61
700,臺中市,2014/01/03,忠明,3.5,0.84,-,19.3,68,47,50.28,18.0,32.28,1.2,21.3,70.4
701,臺中市,2014/01/03,豐原,3.5,0.42,-,29.9,41,25,18.71,4.01,14.69,1.7,20.29,72.16
702,臺中市,2014/01/03,沙鹿,3.7,0.5,-,22.9,86,68,26.82,3.68,23.13,2.06,20.5,78.05
703,臺中市,2014/01/03,大里,4.4,0.87,444.6,18.7,71,50,44.68,12.01,32.67,1.4,20.9,70.65
704,臺中市,2014/01/02,西屯,3.8,0.97,-,16.8,86,61,62.09,26.68,35.41,1.36,19.85,68.94
705,臺中市,2014/01/02,忠明,3.6,1.48,-,16.2,89,62,96.52,53.89,42.62,0.98,20.17,63.56
706,臺中市,2014/01/02,豐原,2.7,0.42,-,37.6,53,30,17.46,3.59,13.87,2.0,18.97,60.03
707,臺中市,2014/01/02,沙鹿,4.2,0.67,-,26.5,89,71,32.26,6.15,26.11,1.82,18.95,75.32
708,臺中市,2014/01/02,大里,3.9,1.1,455.62,23.4,86,49,55.08,20.76,34.33,1.24,19.59,64.38
709,臺中市,2014/01/01,西屯,4.9,0.73,-,21.8,74,52,43.11,13.35,29.75,1.21,17.77,69.15
710,臺中市,2014/01/01,忠明,3.9,1.17,-,19.3,74,54,70.46,34.57,35.89,0.86,18.03,64.56
711,臺中市,2014/01/01,豐原,3.5,0.46,-,36.7,53,35,14.24,2.45,11.79,1.98,16.55,62.62
712,臺中市,2014/01/01,沙鹿,3.3,0.67,-,28.3,71,57,29.71,6.02,23.68,2.13,17.01,70.02
713,臺中市,2014/01/01,大里,3.5,0.98,458.03,22.7,87,66,42.46,12.84,29.63,1.08,17.36,66.8
714,臺南市,2014/01/31,新營,3.1,0.52,-,41.9,101,69,17.01,1.71,15.3,1.36,20.27,71.73
715,臺南市,2014/01/31,善化,3.2,0.46,444.06,42.6,85,57,15.43,0.68,14.76,1.52,17.94,75.9
716,臺南市,2014/01/31,安南,5.3,0.55,-,42.2,95,69,23.0,2.19,20.82,1.53,20.16,72.3
717,臺南市,2014/01/31,臺南,3.5,0.78,-,41.8,102,80,27.76,3.66,24.1,1.43,20.99,69.98
718,臺南市,2014/01/30,新營,2.1,0.64,-,45.2,116,69,26.09,5.07,21.02,1.37,19.57,73.79
719,臺南市,2014/01/30,善化,2.8,0.5,445.95,42.8,87,51,19.31,3.03,16.28,1.43,17.6,76.29
720,臺南市,2014/01/30,安南,5.9,0.64,-,44.9,106,69,27.99,7.26,20.73,1.43,19.48,73.99
721,臺南市,2014/01/30,臺南,4.2,0.89,-,46.4,107,71,32.91,7.18,25.73,1.34,20.51,71.52
722,臺南市,2014/01/29,新營,2.8,0.53,-,32.9,108,51,26.31,5.17,21.15,1.62,18.64,79.5
723,臺南市,2014/01/29,善化,3.1,0.5,443.73,34.1,93,43,21.82,4.21,17.61,1.66,16.9,78.57
724,臺南市,2014/01/29,安南,3.4,0.56,-,33.9,106,51,32.35,8.58,23.77,1.68,18.49,78.18
725,臺南市,2014/01/29,臺南,5.4,0.81,-,31.4,104,58,35.78,5.0,30.79,1.58,19.44,76.52
726,臺南市,2014/01/28,新營,2.9,0.55,-,28.7,109,46,33.93,11.58,22.35,1.57,17.95,78.31
727,臺南市,2014/01/28,善化,4.0,0.49,445.87,26.7,93,35,25.65,6.15,19.5,1.49,16.2,79.91
728,臺南市,2014/01/28,安南,4.0,0.53,-,32.7,104,41,-,-,-,1.74,17.86,77.55
729,臺南市,2014/01/28,臺南,5.1,0.75,-,30.4,107,53,36.7,8.01,28.69,1.64,18.59,76.68
730,臺南市,2014/01/27,新營,3.1,0.36,-,27.6,99,35,22.51,3.13,19.38,2.05,16.98,71.18
731,臺南市,2014/01/27,善化,4.5,0.38,423.59,29.7,102,38,20.88,2.37,18.52,2.29,15.76,73.17
732,臺南市,2014/01/27,安南,3.7,0.37,-,31.3,110,35,21.74,3.86,17.87,2.27,17.03,69.87
733,臺南市,2014/01/27,臺南,3.6,0.52,-,31.1,103,45,23.14,2.52,20.63,2.21,17.36,68.11
734,臺南市,2014/01/26,新營,3.7,0.48,-,27.5,108,53,25.81,4.99,20.82,2.69,17.41,64.95
735,臺南市,2014/01/26,善化,3.4,0.47,432.8,28.3,104,50,22.59,2.64,19.96,2.99,16.13,68.83
736,臺南市,2014/01/26,安南,4.7,0.47,-,29.6,118,53,27.42,5.94,21.48,2.85,17.88,63.03
737,臺南市,2014/01/26,臺南,4.4,0.53,-,29.9,107,57,26.28,4.21,22.07,2.71,18.69,57.06
738,臺南市,2014/01/25,新營,2.6,0.43,-,24.2,61,31,23.39,3.87,19.52,2.05,18.16,52.0
739,臺南市,2014/01/25,善化,3.1,0.32,428.5,27.8,56,27,16.44,2.21,14.23,2.97,16.37,60.33
740,臺南市,2014/01/25,安南,4.3,0.43,-,24.0,71,31,32.66,9.58,23.08,2.45,18.38,53.49
741,臺南市,2014/01/25,臺南,4.1,0.6,-,25.1,66,40,30.66,3.79,26.86,2.38,19.43,45.97
742,臺南市,2014/01/24,新營,3.5,0.45,-,36.1,83,45,22.94,3.14,19.8,1.58,16.06,59.9
743,臺南市,2014/01/24,善化,5.0,0.41,445.21,34.6,74,38,-,-,-,1.54,13.95,67.94
744,臺南市,2014/01/24,安南,3.5,0.45,-,36.5,81,41,31.67,6.04,25.63,1.8,16.0,62.03
745,臺南市,2014/01/24,臺南,3.9,0.62,-,41.5,77,51,27.01,2.46,24.56,1.69,16.82,57.37
746,臺南市,2014/01/23,新營,3.2,0.49,-,25.3,83,42,36.7,11.31,25.39,1.47,14.6,62.74
747,臺南市,2014/01/23,善化,4.2,0.43,444.94,26.0,79,41,-,-,-,1.6,12.79,68.7
748,臺南市,2014/01/23,安南,4.6,0.46,-,29.6,86,38,31.36,8.51,22.85,1.96,14.35,65.04
749,臺南市,2014/01/23,臺南,5.0,0.61,-,30.3,84,47,33.45,6.9,26.56,1.99,14.87,62.66
750,臺南市,2014/01/22,新營,3.7,0.35,-,29.8,95,37,18.31,2.7,15.62,2.99,13.0,57.62
751,臺南市,2014/01/22,善化,4.3,0.35,435.88,28.5,97,36,21.19,3.42,17.77,4.03,12.0,61.58
752,臺南市,2014/01/22,安南,-,0.35,-,33.0,111,36,18.43,1.93,16.49,3.48,12.93,57.5
753,臺南市,2014/01/22,臺南,4.1,0.44,-,31.2,107,43,20.77,3.26,17.49,3.18,13.21,55.37
754,臺南市,2014/01/21,新營,4.7,0.52,-,29.1,172,66,19.25,1.58,17.66,3.66,14.21,63.85
755,臺南市,2014/01/21,善化,5.1,0.51,443.69,27.7,162,63,20.33,1.56,18.75,4.94,13.23,65.94
756,臺南市,2014/01/21,安南,-,0.55,-,33.7,208,68,-,-,-,4.21,14.2,62.81
757,臺南市,2014/01/21,臺南,5.9,0.6,-,32.8,181,73,18.4,1.15,17.23,3.8,14.43,61.81
758,臺南市,2014/01/20,新營,2.9,0.49,-,34.1,123,61,18.81,2.51,16.3,2.38,15.85,76.57
759,臺南市,2014/01/20,善化,3.5,0.49,447.75,33.8,112,56,17.74,1.42,16.33,3.63,14.83,75.31
760,臺南市,2014/01/20,安南,1.6,0.48,-,38.3,126,64,-,-,-,3.23,15.83,73.68
761,臺南市,2014/01/20,臺南,3.7,0.58,-,38.2,116,72,18.06,1.89,16.17,2.81,16.35,72.18
762,臺南市,2014/01/19,新營,5.0,0.64,-,39.4,146,93,21.14,2.49,18.65,1.71,14.98,64.77
763,臺南市,2014/01/19,善化,4.7,0.57,452.16,37.8,135,80,18.6,1.59,17.0,2.14,13.33,70.34
764,臺南市,2014/01/19,安南,4.3,0.6,-,42.7,149,94,19.49,2.89,16.6,1.97,14.7,66.53
765,臺南市,2014/01/19,臺南,5.5,0.72,-,44.4,150,104,21.54,2.15,19.4,2.0,15.28,63.84
766,臺南市,2014/01/18,新營,4.7,0.47,-,39.6,148,65,21.96,3.68,18.28,3.49,15.33,62.7
767,臺南市,2014/01/18,善化,6.4,0.52,437.74,47.8,173,71,19.34,1.06,18.26,5.66,14.92,61.34
768,臺南市,2014/01/18,安南,4.8,0.47,-,45.3,184,65,15.58,0.96,14.59,4.31,15.5,61.06
769,臺南市,2014/01/18,臺南,4.9,0.53,-,43.1,162,70,19.45,2.22,17.23,3.82,15.76,59.69
770,臺南市,2014/01/17,新營,3.2,0.45,-,27.2,101,41,28.71,7.84,20.87,2.12,17.07,71.03
771,臺南市,2014/01/17,善化,3.9,0.39,436.5,26.5,93,35,22.16,3.68,18.48,2.58,15.67,73.49
772,臺南市,2014/01/17,安南,5.1,0.46,-,28.0,104,40,-,-,-,2.27,17.08,71.71
773,臺南市,2014/01/17,臺南,4.7,0.58,-,27.2,96,41,30.09,4.13,25.95,2.12,17.66,69.5
774,臺南市,2014/01/16,新營,2.9,0.43,-,25.8,77,36,29.17,7.69,21.49,1.66,16.52,65.68
775,臺南市,2014/01/16,善化,4.6,0.43,435.1,23.6,77,36,28.08,5.41,22.66,1.78,14.91,70.59
776,臺南市,2014/01/16,安南,4.9,0.43,-,28.3,85,32,-,-,-,1.88,16.41,65.88
777,臺南市,2014/01/16,臺南,5.5,0.59,-,28.8,83,45,31.34,6.13,25.21,1.84,16.79,64.19
778,臺南市,2014/01/15,新營,3.7,0.34,-,29.5,85,28,18.06,2.04,16.02,2.56,16.05,63.08
779,臺南市,2014/01/15,善化,3.8,0.31,420.79,30.4,74,28,19.22,1.81,17.4,3.55,15.33,65.85
780,臺南市,2014/01/15,安南,3.3,0.34,-,35.3,90,26,-,-,-,2.75,16.05,62.5
781,臺南市,2014/01/15,臺南,3.6,0.46,-,32.4,82,34,20.04,1.73,18.3,2.42,16.0,62.93
782,臺南市,2014/01/14,新營,2.8,0.38,-,24.0,92,35,17.92,2.31,15.61,3.73,15.38,77.99
783,臺南市,2014/01/14,善化,3.0,0.39,420.76,21.9,78,33,18.64,1.9,16.73,5.71,14.8,76.16
784,臺南市,2014/01/14,安南,3.0,0.38,-,28.1,101,32,13.97,1.74,12.22,4.47,15.42,75.0
785,臺南市,2014/01/14,臺南,2.4,0.45,-,27.1,94,40,16.16,1.53,14.63,3.93,15.7,75.2
786,臺南市,2014/01/13,新營,4.8,0.4,-,31.5,89,37,14.73,2.28,12.45,3.68,17.17,74.98
787,臺南市,2014/01/13,善化,3.1,0.41,419.32,28.7,72,34,15.61,1.18,14.39,4.96,16.32,74.73
788,臺南市,2014/01/13,安南,1.5,0.4,-,34.1,92,35,12.65,0.98,11.66,4.23,16.73,74.38
789,臺南市,2014/01/13,臺南,2.8,0.46,-,32.0,81,39,14.64,1.91,12.73,3.49,16.92,74.93
790,臺南市,2014/01/12,新營,2.5,0.38,-,28.5,103,45,16.17,1.88,14.3,2.81,18.11,81.59
791,臺南市,2014/01/12,善化,2.9,0.37,424.48,28.7,91,39,15.74,1.24,14.48,3.99,17.47,78.9
792,臺南市,2014/01/12,安南,2.4,0.35,-,33.6,99,47,15.24,2.45,12.79,3.38,18.2,78.79
793,臺南市,2014/01/12,臺南,2.8,0.45,-,31.5,94,52,18.5,2.59,15.91,2.84,18.61,79.5
794,臺南市,2014/01/11,新營,4.0,0.47,-,28.2,90,41,23.83,4.5,19.33,1.58,17.98,78.47
795,臺南市,2014/01/11,善化,4.3,0.39,435.9,30.3,75,39,21.87,5.07,16.8,1.79,17.05,78.15
796,臺南市,2014/01/11,安南,4.5,0.43,-,32.7,86,43,26.65,6.45,20.19,1.77,18.08,76.97
797,臺南市,2014/01/11,臺南,5.6,0.56,-,33.2,75,44,26.42,3.09,23.33,2.0,18.68,76.22
798,臺南市,2014/01/10,新營,3.4,0.38,-,22.6,80,33,23.53,3.18,20.35,2.01,16.75,74.26
799,臺南市,2014/01/10,善化,3.5,0.39,425.05,23.7,68,30,20.93,2.75,18.18,2.87,15.74,74.73
800,臺南市,2014/01/10,安南,3.5,0.38,-,27.8,80,33,19.66,2.27,17.44,2.51,16.41,73.36
801,臺南市,2014/01/10,臺南,4.0,0.51,-,25.7,71,37,23.66,3.96,19.71,2.42,16.72,72.96
802,臺南市,2014/01/09,新營,3.4,0.42,-,26.1,79,35,16.52,1.72,14.79,3.14,16.09,70.27
803,臺南市,2014/01/09,善化,3.9,0.45,423.31,24.4,72,31,18.56,1.45,17.1,4.63,15.57,70.67
804,臺南市,2014/01/09,安南,3.6,0.45,-,30.2,104,37,17.0,1.96,15.04,3.98,16.08,69.23
805,臺南市,2014/01/09,臺南,3.1,0.52,-,28.6,84,41,18.51,1.85,16.65,3.4,16.26,69.42
806,臺南市,2014/01/08,新營,3.1,0.52,-,33.4,120,65,24.32,3.8,20.52,2.19,20.06,73.9
807,臺南市,2014/01/08,善化,5.3,0.47,439.24,31.2,92,52,22.73,2.58,20.15,3.42,19.05,74.77
808,臺南市,2014/01/08,安南,4.1,0.51,-,31.0,104,61,26.74,5.43,21.3,2.88,20.26,72.46
809,臺南市,2014/01/08,臺南,6.1,0.73,-,29.3,106,71,28.35,1.96,26.39,2.45,20.65,70.32
810,臺南市,2014/01/07,新營,4.2,0.62,-,32.7,133,73,31.26,6.75,24.51,0.95,19.6,70.76
811,臺南市,2014/01/07,善化,7.0,0.58,447.49,35.1,112,66,27.25,3.09,24.14,1.36,18.2,73.3
812,臺南市,2014/01/07,安南,5.8,0.67,-,38.8,127,76,42.63,11.96,30.66,1.34,18.99,70.29
813,臺南市,2014/01/07,臺南,6.8,0.96,-,43.3,122,82,36.76,5.84,30.92,1.2,20.2,67.94
814,臺南市,2014/01/06,新營,5.8,0.58,-,21.9,128,71,29.84,4.59,25.25,1.74,17.82,67.65
815,臺南市,2014/01/06,善化,5.7,0.63,448.12,17.6,123,75,30.13,4.52,25.61,2.13,16.76,71.32
816,臺南市,2014/01/06,安南,5.5,0.65,-,25.6,142,82,33.96,7.38,26.58,1.97,17.7,67.95
817,臺南市,2014/01/06,臺南,6.0,0.86,-,26.1,139,94,35.38,4.42,30.96,1.9,18.46,65.26
818,臺南市,2014/01/05,新營,9.1,0.74,-,37.9,204,118,23.17,1.84,21.34,1.92,16.99,65.66
