序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
26,臺北市,2014/01/28,萬華,3.1,0.55,-,18.3,31,14,41.97,11.77,30.2,2.54,19.62,59.4
27,臺北市,2014/01/28,陽明,3.2,0.14,394.84,46.6,15,9,3.84,1.58,2.27,-,12.65,89.97
28,臺北市,2014/01/28,士林,3.9,0.23,-,38.1,31,14,13.12,2.23,10.9,2.14,19.95,58.01
29,臺北市,2014/01/27,松山,1.3,0.38,418.78,28.1,44,17,26.89,5.54,21.35,2.29,16.92,59.27
30,臺北市,2014/01/27,古亭,1.7,0.35,-,29.9,47,17,20.97,4.98,15.99,2.9,17.46,62.25
31,臺北市,2014/01/27,中山,3.0,0.55,-,24.7,54,22,35.21,9.66,25.55,2.15,17.77,60.84
32,臺北市,2014/01/27,大同,3.5,1.06,-,-,57,20,72.5,42.55,29.96,-,-,-
33,臺北市,2014/01/27,萬華,3.1,0.39,-,25.3,41,18,31.03,7.33,23.71,3.0,17.62,59.17
34,臺北市,2014/01/27,陽明,1.1,0.13,403.5,44.9,19,9,3.05,1.38,1.67,-,9.8,94.72
35,臺北市,2014/01/27,士林,1.9,0.2,-,40.2,37,16,9.63,1.81,7.81,2.81,17.58,59.0
36,臺北市,2014/01/26,松山,3.3,0.44,422.21,43.5,95,54,16.51,1.22,15.29,2.88,16.01,65.4
37,臺北市,2014/01/26,古亭,3.0,0.53,-,33.3,88,55,22.58,2.42,20.16,2.44,16.34,67.84
38,臺北市,2014/01/26,中山,2.8,0.62,-,34.1,107,62,30.98,6.36,24.63,1.93,16.88,66.7
39,臺北市,2014/01/26,大同,3.3,0.92,-,-,97,60,53.33,21.26,32.07,-,-,-
40,臺北市,2014/01/26,萬華,1.6,0.55,-,31.9,86,56,28.07,2.85,25.22,1.78,16.73,63.62
41,臺北市,2014/01/26,陽明,2.4,0.26,406.88,53.2,-,-,3.74,0.84,2.91,-,9.3,94.79
42,臺北市,2014/01/26,士林,3.3,0.45,-,43.2,93,56,18.19,5.3,12.89,3.0,16.44,64.34
