序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1998/02/28,松山,3.3,0.76,26.0,-,46,-,38.1,3.31,34.78,-,-,-,14.06,-,-,46.0
2,臺北市,1998/02/28,古亭,2.7,0.95,19.8,-,69,51,56.06,18.65,37.4,2.43,0.32,2.11,13.55,-,-,59.0
3,臺北市,1998/02/28,中山,3.0,0.81,-,-,53,-,40.69,7.05,33.65,2.307,0.1,2.21,14.54,-,-,51.0
4,臺北市,1998/02/28,大同,7.9,3.42,-,-,-,-,213.87,157.6,56.27,3.83,1.6,2.23,14.73,-,-,47.0
5,臺北市,1998/02/28,萬華,2.6,0.86,23.9,-,55,-,35.41,4.35,31.06,-,-,-,13.62,-,-,52.0
6,臺北市,1998/02/28,陽明,1.2,0.33,55.8,-,33,-,1.85,0.17,1.68,-,-,-,7.49,-,93.0,49.0
7,臺北市,1998/02/28,士林,2.6,0.58,30.0,-,52,-,19.84,2.27,17.57,-,-,-,14.05,-,-,51.0
8,臺北市,1998/02/27,松山,3.4,0.92,16.2,-,21,-,54.3,7.86,46.45,-,-,-,13.55,-,-,32.0
9,臺北市,1998/02/27,古亭,2.1,0.99,17.3,-,37,33,56.45,19.58,36.86,2.476,0.36,2.11,13.0,-,-,37.0
10,臺北市,1998/02/27,中山,2.9,1.3,12.6,-,31,-,70.87,25.37,45.49,2.603,0.36,2.25,14.15,-,-,31.0
11,臺北市,1998/02/27,大同,7.9,4.83,-,-,-,-,292.74,233.4,59.34,4.184,1.86,2.33,14.36,-,-,80.0
12,臺北市,1998/02/27,萬華,2.2,1.03,17.2,-,29,-,49.46,7.99,41.47,-,-,-,13.25,-,-,35.0
13,臺北市,1998/02/27,陽明,0.2,0.24,55.4,-,-,-,1.65,0.14,1.51,-,-,-,8.96,-,99.0,52.0
14,臺北市,1998/02/27,士林,1.1,1.07,7.7,-,30,-,54.96,14.42,40.53,-,-,-,13.7,-,-,30.0
15,臺北市,1998/02/26,松山,6.3,1.06,15.3,-,61,-,59.69,10.38,49.31,-,-,-,14.53,-,-,56.0
16,臺北市,1998/02/26,古亭,4.1,1.08,21.6,-,83,55,56.59,19.18,37.41,2.657,0.4,2.25,14.35,-,-,67.0
17,臺北市,1998/02/26,中山,5.5,1.21,18.0,-,79,-,62.44,17.44,45.0,2.667,0.32,2.35,15.12,-,-,65.0
18,臺北市,1998/02/26,大同,11.9,4.41,-,-,-,-,253.62,190.21,62.41,4.654,2.27,2.38,15.56,-,-,68.0
19,臺北市,1998/02/26,萬華,4.8,1.05,20.6,-,68,-,52.46,9.09,43.36,-,-,-,14.27,-,-,59.0
20,臺北市,1998/02/26,陽明,2.4,0.34,59.9,-,28,-,2.95,0.16,2.79,-,-,-,8.34,-,90.0,54.0
21,臺北市,1998/02/26,士林,3.3,0.88,20.3,-,61,-,37.82,8.15,29.68,-,-,-,14.74,-,-,55.0
22,臺北市,1998/02/25,松山,3.4,0.94,15.3,-,41,-,49.23,10.26,38.97,-,-,-,12.59,-,-,41.0
