序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppm)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","小時風速值 WS_HR (m/sec)","溫度 AMB_TEMP (℃)","降雨強度 RAIN_INT (㎜)","酸雨 PH_RAIN (pH)","相對濕度 RH (percent)","導電度 RAIN_COND (μmho/cm)"
1,臺北市,2015/04/30,松山,6.5,0.45,420.49,49.8,62,35,22.87,3.21,19.66,1.946,0.111,1.835,2.45,2.02,23.84,-,-,73.07,-
2,臺北市,2015/04/30,古亭,5.0,0.5,-,42.1,77,40,23.35,2.59,20.76,2.061,0.114,1.947,3.0,2.61,24.54,-,-,75.13,-
3,臺北市,2015/04/30,中山,11.3,0.57,-,41.5,55,41,32.99,5.67,27.32,2.047,0.144,1.903,2.67,2.46,24.74,-,-,74.01,-
4,臺北市,2015/04/30,大同,11.2,1.32,-,-,80,40,72.95,31.59,41.35,2.369,0.389,1.981,-,-,-,-,-,-,-
5,臺北市,2015/04/30,萬華,8.9,0.47,-,45.8,61,38,29.5,4.4,25.09,-,-,-,3.51,3.17,24.17,-,-,73.55,-
6,臺北市,2015/04/30,陽明,2.2,0.28,412.44,55.4,32,26,6.03,1.85,4.19,-,-,-,-,-,18.71,0.0,0.0,89.79,0.0
7,臺北市,2015/04/30,士林,5.4,0.36,-,51.3,51,37,14.93,1.47,13.45,-,-,-,2.77,2.53,24.5,-,-,71.55,-
8,臺北市,2015/04/29,松山,3.7,0.54,428.65,23.2,57,29,31.4,7.79,23.61,2.058,0.18,1.878,1.79,1.37,26.06,-,-,74.71,-
9,臺北市,2015/04/29,古亭,3.9,0.59,-,18.4,63,33,27.26,5.41,21.85,2.164,0.19,1.973,1.81,1.35,26.24,-,-,78.67,-
10,臺北市,2015/04/29,中山,4.5,0.85,-,17.9,40,-,40.52,14.99,25.53,2.238,0.254,1.983,1.87,0.94,26.61,-,-,77.01,-
11,臺北市,2015/04/29,大同,5.2,1.21,-,-,61,27,47.99,21.67,26.32,2.731,0.596,2.135,-,-,-,-,-,-,-
12,臺北市,2015/04/29,萬華,4.2,0.64,-,18.3,52,28,30.52,6.06,24.46,-,-,-,1.45,0.94,26.11,-,-,76.86,-
13,臺北市,2015/04/29,陽明,1.8,0.21,410.86,33.7,19,15,6.59,1.97,4.62,-,-,-,-,-,19.3,0.0,0.0,96.25,0.0
14,臺北市,2015/04/29,士林,3.1,0.37,-,25.9,33,25,17.48,3.33,14.16,-,-,-,2.24,1.95,25.85,-,-,75.59,-
15,臺北市,2015/04/28,松山,3.0,0.6,435.49,24.1,58,29,30.91,7.65,23.26,2.099,0.199,1.9,2.13,1.88,25.76,-,-,71.62,-
16,臺北市,2015/04/28,古亭,3.4,0.59,-,21.0,59,32,24.07,4.47,19.6,2.154,0.186,1.968,1.98,1.46,25.57,-,-,76.0,-
17,臺北市,2015/04/28,中山,4.6,0.87,-,22.5,50,34,38.71,12.32,26.39,2.25,0.274,1.976,1.98,0.91,26.17,-,-,75.99,-
18,臺北市,2015/04/28,大同,4.6,1.29,-,-,74,34,45.44,18.11,27.33,2.507,0.425,2.083,-,-,-,-,-,-,-
19,臺北市,2015/04/28,萬華,4.3,0.66,-,25.5,59,34,26.83,4.39,22.44,-,-,-,1.58,1.1,25.71,-,-,74.85,-
20,臺北市,2015/04/28,陽明,1.8,0.24,412.7,37.5,21,18,4.81,1.3,3.52,-,-,-,-,-,18.43,0.0,0.0,96.61,0.0
21,臺北市,2015/04/28,士林,4.0,0.42,-,33.4,49,31,17.49,1.8,15.69,-,-,-,2.17,1.99,25.16,-,-,76.47,-
22,臺北市,2015/04/27,松山,5.3,0.65,433.56,33.0,54,31,35.73,8.16,27.57,2.121,0.209,1.912,1.35,0.96,25.75,-,-,67.88,-
23,臺北市,2015/04/27,古亭,3.2,0.55,-,30.0,56,28,23.39,3.79,19.61,2.095,0.136,1.959,1.69,1.29,25.87,-,-,70.75,-
24,臺北市,2015/04/27,中山,3.3,0.84,-,29.7,43,-,39.25,10.46,28.79,2.221,0.252,1.97,1.59,1.0,26.57,-,-,69.11,-
25,臺北市,2015/04/27,大同,4.0,1.46,-,-,61,28,64.26,30.64,33.62,2.509,0.448,2.061,-,-,-,-,-,-,-
26,臺北市,2015/04/27,萬華,2.9,0.65,-,33.0,39,23,27.37,3.78,23.57,-,-,-,1.27,0.91,25.97,-,-,68.3,-
27,臺北市,2015/04/27,陽明,2.1,0.29,410.41,54.1,29,22,5.61,1.43,4.18,-,-,-,-,-,19.4,0.0,0.0,89.68,0.0
28,臺北市,2015/04/27,士林,3.3,0.42,-,40.0,42,23,17.77,3.14,14.63,-,-,-,1.61,1.4,25.65,-,-,70.22,-
29,臺北市,2015/04/26,松山,2.0,0.32,412.6,52.2,53,21,12.34,2.19,10.16,1.871,0.071,1.8,1.89,1.44,24.58,-,-,62.96,-
30,臺北市,2015/04/26,古亭,1.1,0.33,-,42.7,46,17,13.18,1.53,11.65,1.969,0.052,1.917,2.72,2.53,24.99,-,-,64.63,-
31,臺北市,2015/04/26,中山,2.2,0.47,-,43.2,32,18,20.9,3.32,17.59,2.007,0.117,1.89,2.31,2.0,25.33,-,-,65.29,-
32,臺北市,2015/04/26,大同,2.7,0.84,-,-,57,17,49.99,20.8,29.19,2.199,0.236,1.963,-,-,-,-,-,-,-
33,臺北市,2015/04/26,萬華,2.0,0.37,-,45.7,38,18,19.04,2.07,16.98,-,-,-,2.52,2.28,24.96,-,-,62.84,-
34,臺北市,2015/04/26,陽明,2.9,0.21,405.13,54.2,23,17,4.0,0.78,3.2,-,-,-,-,-,17.23,0.0,0.0,96.1,0.0
35,臺北市,2015/04/26,士林,4.0,0.26,-,55.4,38,14,9.87,1.51,8.36,-,-,-,2.47,2.16,24.95,-,-,63.83,-
36,臺北市,2015/04/25,松山,3.8,0.34,417.59,47.8,53,19,18.47,1.6,16.85,1.93,0.104,1.826,2.35,1.81,22.23,-,-,69.41,-
37,臺北市,2015/04/25,古亭,1.7,0.3,-,46.3,48,19,13.87,1.58,12.27,1.954,0.057,1.897,3.35,3.04,22.56,-,-,70.77,-
38,臺北市,2015/04/25,中山,4.1,0.42,-,46.2,40,19,21.88,2.55,19.33,1.986,0.107,1.878,3.15,2.74,23.21,-,-,69.74,-
39,臺北市,2015/04/25,大同,4.9,0.94,-,-,64,17,56.33,21.41,34.92,2.224,0.268,1.956,-,-,-,-,-,-,-
40,臺北市,2015/04/25,萬華,4.0,0.37,-,45.6,48,18,23.45,2.63,20.82,-,-,-,3.59,3.35,22.56,-,-,68.66,-
41,臺北市,2015/04/25,陽明,1.4,0.18,413.01,65.1,18,10,2.05,0.81,1.25,-,-,-,-,-,14.44,0.5,4.57,97.82,87.39
42,臺北市,2015/04/25,士林,4.2,0.22,-,63.5,46,15,9.04,1.1,7.94,-,-,-,3.35,3.21,22.79,-,-,64.67,-
43,臺北市,2015/04/24,松山,3.3,0.42,422.19,33.6,36,16,25.74,5.35,20.39,1.993,0.134,1.859,1.87,1.46,22.92,-,-,77.82,-
44,臺北市,2015/04/24,古亭,3.6,0.47,-,27.5,49,18,25.07,4.28,20.79,2.067,0.121,1.946,2.2,1.89,23.39,-,-,79.42,-
45,臺北市,2015/04/24,中山,3.6,0.62,-,28.8,-,15,33.97,8.33,25.64,2.138,0.189,1.949,2.16,1.65,23.93,-,-,77.27,-
46,臺北市,2015/04/24,大同,4.6,1.43,-,-,51,16,84.65,45.39,39.26,2.514,0.472,2.042,-,-,-,-,-,-,-
47,臺北市,2015/04/24,萬華,4.0,0.5,-,30.8,37,17,30.36,5.04,25.32,-,-,-,2.46,2.15,23.45,-,-,76.08,-
48,臺北市,2015/04/24,陽明,1.1,0.2,409.23,49.5,13,9,2.08,0.4,1.61,-,-,-,-,-,16.71,0.0,0.0,99.52,0.0
49,臺北市,2015/04/24,士林,2.8,0.36,-,38.4,28,13,18.83,4.46,14.37,-,-,-,1.84,1.51,23.67,-,-,72.93,-
50,臺北市,2015/04/23,松山,2.3,0.38,416.33,45.8,36,12,19.65,2.86,16.8,1.917,0.101,1.816,2.53,2.1,22.57,-,-,71.77,-
51,臺北市,2015/04/23,古亭,1.9,0.45,-,36.3,39,13,21.93,2.71,19.21,2.01,0.094,1.916,2.99,2.76,22.98,-,-,73.71,-
52,臺北市,2015/04/23,中山,2.2,0.55,-,39.0,49,12,27.71,4.78,22.93,2.024,0.152,1.871,2.72,2.34,23.37,-,-,73.57,-
53,臺北市,2015/04/23,大同,2.9,1.03,-,-,52,12,57.54,23.86,33.68,2.275,0.317,1.958,-,-,-,-,-,-,-
54,臺北市,2015/04/23,萬華,2.5,0.44,-,39.5,33,10,27.38,3.49,23.87,-,-,-,3.18,3.05,22.86,-,-,71.83,-
55,臺北市,2015/04/23,陽明,1.6,0.2,409.58,54.8,15,10,2.71,0.94,1.76,-,-,-,-,-,15.53,0.0,0.0,98.28,0.0
56,臺北市,2015/04/23,士林,2.9,0.28,-,53.4,25,12,11.97,2.58,9.39,-,-,-,2.61,2.41,23.22,-,-,69.39,-
57,臺北市,2015/04/22,松山,2.1,0.39,418.64,40.4,33,13,24.18,4.21,19.96,1.926,0.11,1.816,2.01,1.6,19.27,-,-,74.91,-
58,臺北市,2015/04/22,古亭,3.3,0.39,-,37.9,40,15,19.72,2.85,16.84,1.985,0.077,1.908,2.73,2.52,19.59,-,-,77.74,-
59,臺北市,2015/04/22,中山,2.2,0.54,-,34.3,46,14,30.84,5.61,25.23,2.053,0.149,1.904,2.44,2.05,20.21,-,-,76.56,-
60,臺北市,2015/04/22,大同,3.2,1.21,-,-,50,14,69.82,33.44,36.38,2.356,0.383,1.974,-,-,-,-,-,-,-
61,臺北市,2015/04/22,萬華,2.6,0.41,-,37.3,30,11,27.74,4.32,23.42,-,-,-,3.1,2.78,19.67,-,-,73.66,-
62,臺北市,2015/04/22,陽明,0.9,0.19,418.6,57.5,9,7,4.14,2.34,1.8,-,-,-,-,-,12.32,0.0,0.0,97.04,0.0
63,臺北市,2015/04/22,士林,2.1,0.28,-,48.8,28,13,9.76,1.15,8.61,-,-,-,2.48,2.16,19.77,-,-,72.15,-
64,臺北市,2015/04/21,松山,2.9,0.43,420.02,41.9,41,23,23.27,2.46,20.81,1.949,0.111,1.838,2.23,1.85,18.19,-,-,83.16,-
65,臺北市,2015/04/21,古亭,4.0,0.47,-,36.1,51,26,23.45,2.49,20.93,2.035,0.103,1.932,2.97,2.61,18.49,-,-,86.96,-
66,臺北市,2015/04/21,中山,1.7,0.59,-,37.4,56,20,29.8,4.98,24.82,2.034,0.144,1.89,2.62,2.21,19.05,-,-,84.82,-
67,臺北市,2015/04/21,大同,1.9,1.16,-,-,50,20,64.29,29.03,35.26,2.333,0.359,1.974,-,-,-,-,-,-,-
68,臺北市,2015/04/21,萬華,2.0,0.47,-,41.3,35,19,23.88,2.8,21.08,-,-,-,3.2,2.95,18.5,-,-,81.92,-
69,臺北市,2015/04/21,陽明,1.6,0.26,427.46,57.7,7,5,3.47,1.45,2.02,-,-,-,-,-,12.45,3.8,4.61,100.0,4.73
70,臺北市,2015/04/21,士林,1.2,0.41,-,47.2,28,17,14.68,1.97,12.71,-,-,-,1.83,1.47,18.6,-,-,79.38,-
71,臺北市,2015/04/20,松山,3.0,0.65,429.85,17.9,33,16,38.79,16.58,22.21,2.151,0.236,1.915,2.24,1.8,25.33,-,-,69.78,-
72,臺北市,2015/04/20,古亭,2.8,0.63,-,16.4,51,20,28.99,9.87,19.11,2.181,0.205,1.976,2.29,1.7,25.07,-,-,76.86,-
73,臺北市,2015/04/20,中山,3.0,1.04,-,13.1,55,17,48.69,22.63,26.06,2.338,0.332,2.006,2.27,1.55,26.27,-,-,70.68,-
74,臺北市,2015/04/20,大同,2.8,1.51,-,-,51,13,59.25,31.86,27.39,2.645,0.45,2.194,-,-,-,-,-,-,-
75,臺北市,2015/04/20,萬華,2.0,0.63,-,19.2,35,17,28.74,8.5,20.24,-,-,-,2.63,2.09,25.64,-,-,69.8,-
76,臺北市,2015/04/20,陽明,1.8,0.22,420.29,36.5,20,15,5.81,1.51,4.31,-,-,-,-,-,19.49,3.5,4.39,85.58,12.02
77,臺北市,2015/04/20,士林,2.1,0.41,-,21.9,32,14,18.21,5.33,12.88,-,-,-,3.0,2.36,25.65,-,-,70.15,-
78,臺北市,2015/04/19,松山,4.0,0.72,439.49,12.0,33,18,41.0,17.4,23.6,2.216,0.265,1.951,1.22,0.71,26.35,-,-,77.24,-
79,臺北市,2015/04/19,古亭,3.1,0.71,-,9.9,47,22,34.45,11.93,22.52,2.216,0.212,2.003,1.31,0.97,26.12,-,-,84.57,-
80,臺北市,2015/04/19,中山,3.3,0.84,-,9.5,58,21,45.28,18.79,26.5,2.351,0.257,2.094,1.42,0.84,27.08,-,-,78.37,-
81,臺北市,2015/04/19,大同,3.9,2.05,-,-,56,18,110.55,78.17,32.37,2.891,0.668,2.223,-,-,-,-,-,-,-
82,臺北市,2015/04/19,萬華,2.8,0.8,-,9.1,29,19,41.76,15.08,26.68,-,-,-,1.15,0.83,26.51,-,-,78.25,-
83,臺北市,2015/04/19,陽明,1.5,0.19,416.87,28.5,14,10,6.46,1.29,5.17,-,-,-,-,-,21.09,1.5,4.62,88.03,24.17
84,臺北市,2015/04/19,士林,2.8,0.44,-,17.7,37,17,23.41,6.22,17.18,-,-,-,1.91,1.46,26.94,-,-,73.14,-
85,臺北市,2015/04/18,松山,4.0,0.76,446.59,22.4,58,35,39.3,11.21,28.09,2.297,0.301,1.996,1.35,0.93,25.15,-,-,78.32,-
