序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2014/08/31,松山,3.5,0.44,432.6,36.8,35,21,21.09,3.75,17.34,1.48,29.7,67.54
2,臺北市,2014/08/31,古亭,2.3,0.44,-,28.6,38,15,20.76,4.65,16.1,1.97,29.57,72.41
3,臺北市,2014/08/31,中山,4.2,0.51,-,30.0,51,21,26.77,4.72,22.05,1.91,30.75,67.14
4,臺北市,2014/08/31,大同,5.7,1.58,-,-,54,17,70.46,36.29,34.18,-,-,-
5,臺北市,2014/08/31,萬華,3.2,0.49,-,30.0,37,19,25.67,4.45,21.22,1.56,30.38,68.44
6,臺北市,2014/08/31,陽明,2.6,0.2,417.87,48.0,23,21,8.02,2.06,5.96,-,24.28,96.65
7,臺北市,2014/08/31,士林,3.4,0.39,-,39.0,38,24,17.64,2.35,15.28,1.76,30.15,68.92
8,臺北市,2014/08/30,松山,2.5,0.33,421.68,28.3,28,18,19.58,5.35,14.22,1.56,30.65,63.78
9,臺北市,2014/08/30,古亭,2.8,0.41,-,24.4,36,17,21.12,6.22,14.9,2.05,30.33,69.9
10,臺北市,2014/08/30,中山,3.2,0.48,-,24.8,47,19,26.24,6.02,20.23,1.87,31.29,64.93
11,臺北市,2014/08/30,大同,4.6,1.63,-,-,48,15,72.55,44.35,28.2,-,-,-
12,臺北市,2014/08/30,萬華,3.3,0.47,-,27.5,33,21,25.69,5.76,19.94,1.58,30.98,66.31
13,臺北市,2014/08/30,陽明,2.0,0.15,412.36,34.3,20,19,6.91,2.1,4.8,-,24.22,97.47
14,臺北市,2014/08/30,士林,2.6,0.29,-,28.8,30,17,15.28,2.86,12.42,1.9,30.58,66.62
15,臺北市,2014/08/29,松山,0.8,0.32,416.27,9.8,19,6,19.93,8.01,11.92,1.56,31.47,58.52
16,臺北市,2014/08/29,古亭,1.4,0.29,-,11.2,25,8,17.18,6.03,11.15,2.29,31.59,63.05
17,臺北市,2014/08/29,中山,1.5,0.47,-,10.1,39,12,26.49,10.81,15.68,2.39,32.39,58.36
18,臺北市,2014/08/29,大同,3.4,1.51,-,-,41,10,80.96,57.97,22.99,-,-,-
19,臺北市,2014/08/29,萬華,2.1,0.39,-,10.4,21,10,27.54,10.55,16.99,1.92,32.16,59.67
20,臺北市,2014/08/29,陽明,3.2,0.1,406.26,26.7,12,11,5.52,1.56,3.96,-,25.36,91.42
21,臺北市,2014/08/29,士林,1.6,0.25,-,17.2,21,12,15.74,3.51,12.23,2.05,31.41,62.57
22,臺北市,2014/08/28,松山,3.2,0.43,426.59,38.4,38,22,23.5,5.73,17.77,1.47,30.55,63.2
23,臺北市,2014/08/28,古亭,3.5,0.45,-,34.4,43,18,21.43,4.62,16.8,1.99,30.48,67.66
24,臺北市,2014/08/28,中山,4.4,0.58,-,31.1,55,21,29.51,6.97,22.54,1.91,31.38,63.17
25,臺北市,2014/08/28,大同,4.6,1.54,-,-,51,15,69.23,39.43,29.8,-,-,-
26,臺北市,2014/08/28,萬華,3.4,0.49,-,34.8,40,24,27.23,5.82,21.4,1.57,31.07,64.47
27,臺北市,2014/08/28,陽明,2.6,0.19,413.39,47.1,25,24,5.29,0.89,4.39,-,24.77,96.64
28,臺北市,2014/08/28,士林,3.4,0.45,-,35.6,45,25,24.57,5.49,19.07,1.84,30.71,66.7
29,臺北市,2014/08/27,松山,1.8,0.53,425.02,27.6,28,19,32.01,9.46,22.56,1.33,30.93,63.2
30,臺北市,2014/08/27,古亭,2.5,0.54,-,34.3,43,21,24.61,6.22,18.39,1.77,30.91,66.04
31,臺北市,2014/08/27,中山,4.2,0.72,-,32.3,55,21,36.75,9.34,27.42,1.82,32.11,59.58
32,臺北市,2014/08/27,大同,4.7,1.89,-,-,50,18,76.39,44.21,32.18,-,-,-
33,臺北市,2014/08/27,萬華,3.9,0.62,-,36.4,39,24,28.8,4.88,23.93,1.4,31.68,61.96
34,臺北市,2014/08/27,陽明,2.0,0.2,411.54,49.4,23,24,6.65,1.14,5.5,-,25.0,96.05
35,臺北市,2014/08/27,士林,3.4,0.45,-,41.4,38,24,23.7,4.76,18.94,1.8,31.3,63.05
36,臺北市,2014/08/26,松山,1.7,0.29,415.16,10.1,26,9,18.53,8.01,10.53,1.62,30.79,62.11
37,臺北市,2014/08/26,古亭,1.5,0.29,-,10.4,28,8,17.64,7.47,10.16,2.5,30.88,66.66
38,臺北市,2014/08/26,中山,2.8,0.44,-,7.8,38,10,25.85,10.9,14.94,2.4,31.53,62.26
39,臺北市,2014/08/26,大同,3.1,1.39,-,-,36,8,75.45,54.19,21.25,-,-,-
40,臺北市,2014/08/26,萬華,2.0,0.38,-,9.2,21,10,24.5,9.75,14.75,2.01,31.29,63.89
41,臺北市,2014/08/26,陽明,1.5,0.06,403.57,15.6,6,5,4.46,1.8,2.66,-,24.64,92.9
42,臺北市,2014/08/26,士林,1.6,0.2,-,13.8,22,8,15.09,5.1,9.99,2.42,30.62,64.6
43,臺北市,2014/08/25,松山,5.3,0.51,430.6,43.3,44,26,24.85,5.08,19.77,1.5,30.56,65.96
44,臺北市,2014/08/25,古亭,3.2,0.52,-,34.1,48,23,22.73,4.31,18.43,1.74,30.29,71.23
45,臺北市,2014/08/25,中山,4.2,0.7,-,28.2,54,23,31.27,6.59,24.68,1.69,31.05,67.04
46,臺北市,2014/08/25,大同,4.6,1.54,-,-,54,19,60.84,30.26,30.58,-,-,-
47,臺北市,2014/08/25,萬華,2.8,0.6,-,33.3,40,24,25.95,3.96,21.99,1.33,31.0,67.33
48,臺北市,2014/08/25,陽明,3.3,0.22,416.16,40.1,23,21,8.58,2.25,6.32,-,24.79,96.74
49,臺北市,2014/08/25,士林,3.0,0.43,-,33.5,44,28,20.71,4.2,16.51,1.94,30.13,70.9
50,臺北市,2014/08/24,松山,7.5,0.43,431.0,38.0,35,21,25.15,5.32,19.83,1.55,30.13,61.16
51,臺北市,2014/08/24,古亭,4.5,0.41,-,31.5,39,17,21.73,4.63,17.11,1.85,30.02,67.4
52,臺北市,2014/08/24,中山,3.1,0.52,-,27.6,48,17,27.28,6.51,20.77,1.9,30.78,63.81
