序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1993/09/30,松山,4.3,1.22,14.5,-,67,48,19.27,27.9,-,-,-,23.68,-,-,58.0
2,臺北市,1993/09/30,古亭,2.4,1.34,11.3,-,59,50,19.35,29.26,2.23,0.29,1.94,23.64,-,-,55.0
3,臺北市,1993/09/30,中山,5.6,1.45,8.1,-,59,64,26.71,37.46,2.46,0.44,2.01,24.41,-,-,54.0
4,臺北市,1993/09/30,大同,15.0,5.26,-,-,98,267,214.34,52.74,2.52,2.22,0.32,24.86,-,-,74.0
5,臺北市,1993/09/30,萬華,5.6,1.35,10.3,-,40,40,11.1,27.59,-,-,-,24.03,-,-,40.0
6,臺北市,1993/09/30,陽明,3.1,0.33,43.6,-,-,6,0.53,-,-,-,-,18.42,-,97.0,45.0
7,臺北市,1993/09/30,士林,2.2,1.05,18.0,-,51,35,13.93,19.2,-,-,-,24.47,-,-,50.0
8,臺北市,1993/09/29,松山,6.1,-,14.3,-,90,71,33.57,36.92,-,-,-,27.73,-,-,86.0
9,臺北市,1993/09/29,古亭,7.8,2.64,18.5,-,97,96,55.86,40.52,3.08,0.78,2.24,27.95,-,-,87.0
10,臺北市,1993/09/29,中山,7.5,1.95,17.0,-,85,79,37.77,41.19,2.72,0.58,2.14,28.86,-,-,76.0
11,臺北市,1993/09/29,大同,20.4,6.25,-,-,105,231,155.97,58.33,4.31,2.78,1.53,29.8,-,-,97.0
12,臺北市,1993/09/29,萬華,6.6,1.54,20.4,-,61,47,14.56,31.68,-,-,-,28.49,-,-,88.0
13,臺北市,1993/09/29,陽明,5.1,0.33,49.9,-,32,5,0.04,3.26,-,-,-,22.15,-,83.0,85.0
14,臺北市,1993/09/29,士林,3.2,1.23,20.2,-,78,46,18.32,27.0,-,-,-,28.19,-,-,73.0
15,臺北市,1993/09/28,松山,4.1,0.9,16.1,-,62,41,14.98,26.16,-,-,-,27.54,-,-,56.0
16,臺北市,1993/09/28,古亭,2.9,1.66,14.3,-,74,68,35.64,31.01,3.08,0.47,2.66,27.69,-,-,62.0
17,臺北市,1993/09/28,中山,5.0,1.35,12.1,-,61,59,25.54,32.94,2.23,0.28,1.94,28.68,-,-,56.0
18,臺北市,1993/09/28,大同,19.1,6.89,-,-,120,275,218.22,55.08,4.87,3.0,1.87,29.62,-,-,117.0
19,臺北市,1993/09/28,萬華,2.8,1.43,15.9,-,47,41,13.18,26.79,-,-,-,28.2,-,-,47.0
20,臺北市,1993/09/28,陽明,5.5,0.29,40.5,-,27,6,0.83,4.97,-,-,-,22.77,-,79.0,52.0
21,臺北市,1993/09/28,士林,4.1,0.82,19.9,-,48,26,6.12,18.36,-,-,-,28.35,-,-,48.0
22,臺北市,1993/09/27,松山,4.9,1.01,16.6,-,77,42,9.5,31.94,-,-,-,26.76,-,-,63.0
23,臺北市,1993/09/27,古亭,2.6,1.26,19.0,-,94,45,17.02,30.02,2.06,0.25,1.82,26.63,-,-,72.0
24,臺北市,1993/09/27,中山,3.3,0.99,18.9,-,73,40,9.46,30.24,2.08,0.17,1.92,27.65,-,-,61.0
25,臺北市,1993/09/27,大同,19.0,6.88,-,-,115,256,197.45,57.16,4.95,3.1,1.85,28.68,-,-,117.0
26,臺北市,1993/09/27,萬華,3.1,1.32,18.5,-,50,35,7.57,26.7,-,-,-,27.63,-,-,50.0
27,臺北市,1993/09/27,陽明,5.4,0.33,42.6,-,27,6,0.66,-,-,-,-,20.02,-,91.0,43.0
28,臺北市,1993/09/27,士林,3.1,0.6,30.7,-,69,17,2.83,12.48,-,-,-,27.51,-,-,60.0
29,臺北市,1993/09/26,松山,7.4,0.92,16.4,-,63,41,9.2,30.91,-,-,-,25.52,-,-,57.0
30,臺北市,1993/09/26,古亭,1.7,1.02,23.1,-,37,35,9.26,25.14,1.93,0.17,1.75,25.76,-,-,37.0
31,臺北市,1993/09/26,中山,7.7,1.05,13.8,-,56,47,13.38,33.26,2.09,0.22,1.87,26.7,-,-,53.0
32,臺北市,1993/09/26,大同,18.2,5.31,-,-,94,233,183.2,52.97,3.86,2.13,1.74,27.58,-,-,76.0
33,臺北市,1993/09/26,萬華,2.5,1.02,20.8,-,36,28,4.42,23.06,-,-,-,26.78,-,-,36.0
34,臺北市,1993/09/26,陽明,0.3,0.28,50.2,-,20,1,0.03,-,-,-,-,19.14,-,93.0,46.0
35,臺北市,1993/09/26,士林,7.9,0.51,30.6,-,53,17,2.18,13.26,-,-,-,26.83,-,-,51.0
36,臺北市,1993/09/25,松山,7.5,1.18,10.8,-,57,53,17.6,34.74,-,-,-,24.27,-,-,54.0
37,臺北市,1993/09/25,古亭,3.7,1.26,15.9,-,36,49,21.21,29.65,2.54,0.25,2.3,23.84,-,-,36.0
38,臺北市,1993/09/25,中山,9.1,1.71,6.1,-,56,86,39.56,45.86,2.39,0.38,2.01,25.25,-,-,53.0
39,臺北市,1993/09/25,大同,26.2,8.02,-,-,117,326,267.96,60.73,5.63,3.73,1.9,26.1,-,-,141.0
40,臺北市,1993/09/25,萬華,3.6,1.31,12.4,-,29,38,7.35,29.77,-,-,-,25.03,-,-,29.0
41,臺北市,1993/09/25,陽明,0.4,-,46.7,-,-,1,0.09,-,-,-,-,18.41,-,92.0,44.0
42,臺北市,1993/09/25,士林,1.6,0.58,27.6,-,40,18,2.15,13.67,-,-,-,25.76,-,-,40.0
43,臺北市,1993/09/24,松山,7.1,1.07,13.1,-,65,49,13.86,34.13,-,-,-,24.76,-,-,57.0
44,臺北市,1993/09/24,古亭,4.4,1.12,18.6,-,58,42,16.12,27.18,2.05,0.15,1.93,24.63,-,-,54.0
45,臺北市,1993/09/24,中山,7.4,1.64,9.0,-,54,70,29.45,40.39,2.17,0.37,1.8,26.03,-,-,52.0
46,臺北市,1993/09/24,大同,25.1,6.85,-,-,90,272,218.44,56.36,4.9,3.1,1.79,26.86,-,-,113.0
47,臺北市,1993/09/24,萬華,4.3,1.04,17.7,-,42,29,4.8,23.54,-,-,-,25.87,-,-,42.0
48,臺北市,1993/09/24,陽明,-,-,-,-,-,-,-,-,-,-,-,-,-,98.0,-
49,臺北市,1993/09/24,士林,0.5,0.6,26.9,-,49,17,2.62,14.95,-,-,-,26.39,-,-,49.0
50,臺北市,1993/09/23,松山,18.7,0.88,7.9,-,50,57,24.93,31.74,-,-,-,26.25,-,-,50.0
51,臺北市,1993/09/23,古亭,10.6,1.28,8.8,-,55,55,23.5,30.66,2.09,0.43,1.65,26.34,-,-,53.0
52,臺北市,1993/09/23,中山,24.6,1.24,6.6,-,42,70,35.42,34.6,2.32,0.45,1.87,27.1,-,-,42.0
53,臺北市,1993/09/23,大同,42.4,6.42,-,-,104,268,224.6,49.17,4.83,3.15,1.68,27.89,-,-,92.0
54,臺北市,1993/09/23,萬華,14.1,1.15,7.1,-,27,43,15.84,27.02,-,-,-,27.12,-,-,27.0
55,臺北市,1993/09/23,陽明,3.3,0.29,32.6,-,19,4,0.08,3.96,-,-,-,20.56,-,86.0,38.0
56,臺北市,1993/09/23,士林,8.0,0.79,13.3,-,45,32,9.02,21.26,-,-,-,26.64,-,-,45.0
57,臺北市,1993/09/22,松山,16.0,1.27,15.8,-,110,58,20.97,36.94,-,-,-,28.68,-,-,81.0
58,臺北市,1993/09/22,古亭,11.0,1.41,18.1,-,80,53,19.53,32.92,2.03,0.39,1.71,29.1,-,-,65.0
59,臺北市,1993/09/22,中山,19.5,1.47,14.0,-,85,67,28.69,37.59,2.44,0.44,2.0,29.48,-,-,67.0
60,臺北市,1993/09/22,大同,35.5,6.03,-,-,149,224,169.23,51.98,4.78,2.91,1.86,30.46,-,-,100.0
61,臺北市,1993/09/22,萬華,14.4,1.19,17.2,-,73,39,8.87,29.6,-,-,-,29.33,-,-,61.0
62,臺北市,1993/09/22,陽明,8.1,0.27,41.1,-,89,8,0.22,6.69,-,-,-,21.84,-,84.0,69.0
63,臺北市,1993/09/22,士林,8.7,0.93,18.4,-,87,43,18.95,22.95,-,-,-,28.71,-,-,69.0
64,臺北市,1993/09/21,松山,13.6,1.34,34.5,-,132,65,25.44,40.35,-,-,-,28.99,-,-,114.0
65,臺北市,1993/09/21,古亭,12.6,1.51,29.1,-,114,59,24.9,37.46,2.47,0.4,1.93,29.68,-,-,95.0
66,臺北市,1993/09/21,中山,11.3,-,25.5,-,91,54,17.27,35.99,2.37,0.37,2.0,29.84,-,-,80.0
67,臺北市,1993/09/21,大同,24.7,5.37,-,-,138,185,139.66,59.66,4.31,2.43,1.89,30.87,-,-,94.0
68,臺北市,1993/09/21,萬華,15.2,-,25.9,-,80,34,5.3,27.76,-,-,-,29.78,-,-,94.0
69,臺北市,1993/09/21,陽明,8.4,0.35,49.6,-,94,20,8.11,13.05,-,-,-,22.75,-,82.0,72.0
70,臺北市,1993/09/21,士林,6.6,0.9,23.6,-,77,31,8.56,21.97,-,-,-,29.02,-,-,71.0
71,臺北市,1993/09/20,松山,6.8,0.87,3.4,-,44,53,35.55,16.5,-,-,-,29.75,-,-,44.0
72,臺北市,1993/09/20,古亭,1.7,1.22,5.7,-,39,48,33.83,13.6,2.18,0.27,1.93,-,-,-,39.0
73,臺北市,1993/09/20,中山,2.7,-,2.4,-,32,49,33.14,15.81,2.17,0.28,1.89,30.72,-,-,32.0
74,臺北市,1993/09/20,大同,20.5,6.62,-,-,82,251,212.7,34.35,4.72,3.12,1.6,31.62,-,-,118.0
75,臺北市,1993/09/20,萬華,1.4,-,4.2,-,23,21,10.04,9.7,-,-,-,30.4,-,-,23.0
76,臺北市,1993/09/20,陽明,1.5,0.15,14.6,-,17,2,0.06,-,-,-,-,23.65,-,72.0,18.0
77,臺北市,1993/09/20,士林,1.1,0.63,5.5,-,24,24,14.13,7.78,-,-,-,30.22,-,-,24.0
78,臺北市,1993/09/19,松山,-,0.6,3.2,-,25,30,16.93,12.22,-,-,-,29.78,-,-,25.0
79,臺北市,1993/09/19,古亭,1.1,0.78,5.0,-,19,32,21.16,10.05,1.71,0.07,1.64,-,-,-,19.0
80,臺北市,1993/09/19,中山,1.7,-,0.9,-,24,42,28.45,-,1.9,0.15,1.75,30.12,-,-,24.0
81,臺北市,1993/09/19,大同,15.6,5.36,-,-,67,221,197.95,30.24,3.65,2.06,1.59,31.65,-,-,82.0
82,臺北市,1993/09/19,萬華,1.6,1.35,4.1,-,20,21,11.23,6.96,-,-,-,30.63,-,-,21.0
83,臺北市,1993/09/19,陽明,1.7,0.18,12.5,-,-,3,0.12,-,-,-,-,23.2,-,76.0,46.0
84,臺北市,1993/09/19,士林,-,0.45,6.1,-,27,9,5.62,-,-,-,-,30.45,-,-,27.0
85,臺北市,1993/09/18,松山,11.7,0.99,9.5,-,54,46,21.29,24.59,-,-,-,30.01,-,-,52.0
86,臺北市,1993/09/18,古亭,-,1.32,11.1,-,54,53,28.93,22.93,2.29,0.37,1.93,-,-,-,52.0
87,臺北市,1993/09/18,中山,10.1,1.5,8.2,-,65,57,29.12,30.52,2.34,0.36,1.98,30.91,-,-,58.0
88,臺北市,1993/09/18,大同,25.9,6.15,-,-,97,251,214.93,48.07,3.94,2.21,1.73,31.79,-,-,96.0
89,臺北市,1993/09/18,萬華,9.9,1.24,12.1,-,50,31,11.69,20.86,-,-,-,30.73,-,-,50.0
90,臺北市,1993/09/18,陽明,3.5,0.29,25.3,-,17,5,0.59,-,-,-,-,23.41,-,82.0,40.0
91,臺北市,1993/09/18,士林,7.8,0.8,11.8,-,60,24,9.07,14.28,-,-,-,30.11,-,-,55.0
92,臺北市,1993/09/17,松山,9.0,1.17,18.3,-,57,55,23.74,31.49,-,-,-,30.05,-,-,58.0
93,臺北市,1993/09/17,古亭,-,1.48,18.9,-,64,57,35.34,26.78,2.63,0.48,2.17,4.45,-,-,68.0
94,臺北市,1993/09/17,中山,7.2,1.41,13.9,-,66,62,27.94,33.96,2.45,0.46,1.98,30.77,-,-,58.0
95,臺北市,1993/09/17,大同,18.2,4.92,-,-,87,178,127.43,44.42,3.82,1.86,1.96,31.71,-,-,72.0
96,臺北市,1993/09/17,萬華,5.0,1.02,18.5,-,41,28,6.17,21.39,-,-,-,30.59,-,-,88.0
97,臺北市,1993/09/17,陽明,4.2,0.31,43.8,-,19,4,0.1,-,-,-,-,23.66,-,82.0,60.0
98,臺北市,1993/09/17,士林,6.3,1.08,14.9,-,60,35,13.26,24.5,-,-,-,29.67,-,-,55.0
99,臺北市,1993/09/16,松山,3.2,0.65,6.9,-,35,26,12.13,13.72,-,-,-,30.38,-,-,35.0
100,臺北市,1993/09/16,古亭,5.4,1.1,10.2,-,40,45,30.23,18.83,1.96,0.3,1.75,27.44,-,-,40.0
101,臺北市,1993/09/16,中山,4.5,1.17,6.0,-,55,50,27.31,23.6,2.17,0.36,1.82,31.3,-,-,52.0
102,臺北市,1993/09/16,大同,17.4,5.37,-,-,91,186,160.49,33.82,4.09,2.22,1.87,32.09,-,-,89.0
103,臺北市,1993/09/16,萬華,5.3,0.76,11.2,-,42,21,5.9,-,-,-,-,31.08,-,-,42.0
104,臺北市,1993/09/16,陽明,-,0.19,17.8,-,14,4,0.09,-,-,-,-,23.52,-,79.0,29.0
105,臺北市,1993/09/16,士林,-,0.59,9.5,-,45,20,8.82,-,-,-,-,30.58,-,-,45.0
106,臺北市,1993/09/15,松山,5.0,0.71,1.8,-,38,38,24.99,12.79,-,-,-,29.75,-,-,38.0
107,臺北市,1993/09/15,古亭,2.2,1.01,4.3,-,35,41,28.94,10.87,1.79,0.24,1.53,29.07,-,-,35.0
108,臺北市,1993/09/15,中山,5.1,1.33,1.4,-,43,55,40.53,14.18,2.31,0.38,1.93,30.73,-,-,43.0
109,臺北市,1993/09/15,大同,18.3,5.82,-,-,90,226,206.13,29.69,4.39,2.53,1.87,31.5,-,-,81.0
110,臺北市,1993/09/15,萬華,3.4,0.79,2.7,-,33,22,12.26,9.27,-,-,-,-,-,-,33.0
111,臺北市,1993/09/15,陽明,-,0.16,9.0,-,-,1,0.11,-,-,-,-,23.3,-,82.0,13.0
112,臺北市,1993/09/15,士林,-,0.45,3.9,-,34,12,10.42,-,-,-,-,30.33,-,-,34.0
113,臺北市,1993/09/14,松山,12.0,1.46,23.5,-,104,61,23.33,37.28,-,-,-,29.29,-,-,79.0
114,臺北市,1993/09/14,古亭,9.6,1.97,24.8,-,104,66,28.86,35.83,2.92,0.79,2.12,29.36,-,-,87.0
115,臺北市,1993/09/14,中山,12.1,1.77,21.5,-,99,74,30.72,42.92,2.62,0.6,2.01,29.86,-,-,75.0
116,臺北市,1993/09/14,大同,20.7,5.11,-,-,138,164,118.67,54.67,4.21,2.19,2.02,30.59,-,-,94.0
117,臺北市,1993/09/14,萬華,9.6,1.38,29.3,-,89,-,-,-,-,-,-,20.38,-,-,98.0
118,臺北市,1993/09/14,陽明,7.6,0.43,52.2,-,63,7,0.01,7.77,-,-,-,22.99,-,86.0,89.0
119,臺北市,1993/09/14,士林,6.9,1.28,23.8,-,119,36,11.63,24.53,-,-,-,28.83,-,-,85.0
120,臺北市,1993/09/13,松山,5.5,1.17,6.9,-,45,47,24.58,21.2,-,-,-,28.53,-,-,45.0
