序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1996/08/31,松山,5.7,1.19,20.8,-,-,53,12.67,40.68,-,-,-,27.88,-,-,80.0
2,臺北市,1996/08/31,古亭,3.2,1.41,19.5,-,58,51,21.96,28.69,2.67,0.6,2.07,28.23,-,-,78.0
3,臺北市,1996/08/31,中山,7.9,1.88,20.4,-,61,76,35.26,40.34,3.4,0.88,2.52,28.55,-,-,77.0
4,臺北市,1996/08/31,大同,16.1,5.56,-,-,69,191,142.56,48.8,4.91,2.47,2.44,29.25,-,-,94.0
5,臺北市,1996/08/31,萬華,5.5,1.31,22.0,-,63,40,9.1,31.27,-,-,-,28.45,-,-,74.0
6,臺北市,1996/08/31,陽明,5.1,0.26,25.6,-,-,8,0.26,7.86,-,-,-,23.27,-,85.0,39.0
7,臺北市,1996/08/31,士林,5.6,1.4,21.4,-,59,54,24.77,28.79,-,-,-,28.39,-,-,72.0
8,臺北市,1996/08/30,松山,7.9,1.48,10.7,-,-,77,15.11,61.54,-,-,-,26.52,-,-,42.0
9,臺北市,1996/08/30,古亭,4.1,1.46,15.4,-,71,68,32.07,35.9,3.29,0.88,2.41,27.03,-,-,72.0
10,臺北市,1996/08/30,中山,8.9,2.56,10.9,-,70,121,68.83,52.31,3.78,1.09,2.69,26.87,-,-,60.0
11,臺北市,1996/08/30,大同,14.5,5.72,-,-,76,208,151.6,56.21,5.55,2.82,2.73,27.4,-,-,103.0
12,臺北市,1996/08/30,萬華,3.5,1.33,20.5,-,53,38,5.37,32.73,-,-,-,26.9,-,-,99.0
13,臺北市,1996/08/30,陽明,2.3,0.3,30.8,-,-,5,0.1,4.91,-,-,-,22.55,-,88.0,34.0
14,臺北市,1996/08/30,士林,3.8,1.45,10.5,-,61,54,19.4,34.17,-,-,-,26.4,-,-,55.0
15,臺北市,1996/08/29,松山,-,-,-,-,-,-,-,-,-,-,-,26.17,-,-,-
16,臺北市,1996/08/29,古亭,3.4,1.26,17.4,-,42,60,26.2,33.62,2.9,0.65,2.26,26.34,-,-,60.0
17,臺北市,1996/08/29,中山,5.9,1.91,17.4,-,61,69,20.31,48.36,2.98,0.44,2.54,26.82,-,-,87.0
18,臺北市,1996/08/29,大同,14.6,6.03,-,-,84,199,142.16,57.14,5.3,2.91,2.38,27.63,-,-,108.0
19,臺北市,1996/08/29,萬華,4.1,1.13,29.0,-,53,33,4.74,28.43,-,-,-,26.74,-,-,89.0
20,臺北市,1996/08/29,陽明,5.0,0.25,34.3,-,-,-,-,-,-,-,-,21.82,-,87.0,52.0
21,臺北市,1996/08/29,士林,4.0,1.17,20.0,-,79,41,6.86,34.31,-,-,-,26.74,-,-,84.0
22,臺北市,1996/08/28,松山,7.3,1.67,18.8,-,90,57,13.42,43.59,-,-,-,27.86,-,-,70.0
23,臺北市,1996/08/28,古亭,4.1,1.26,17.9,-,64,52,19.96,32.04,2.64,0.59,2.06,27.75,-,-,57.0
24,臺北市,1996/08/28,中山,8.9,1.79,19.8,-,73,64,19.12,45.16,2.87,0.75,2.12,28.31,-,-,61.0
25,臺北市,1996/08/28,大同,17.0,5.41,-,-,84,168,113.78,54.51,4.78,2.48,2.29,29.23,-,-,103.0
26,臺北市,1996/08/28,萬華,4.6,0.86,30.1,-,57,24,1.87,21.95,-,-,-,28.16,-,-,69.0
27,臺北市,1996/08/28,陽明,6.5,0.26,29.4,-,25,-,-,-,-,-,-,23.11,-,84.0,45.0
28,臺北市,1996/08/28,士林,9.1,1.32,14.8,-,80,51,14.17,36.34,-,-,-,27.97,-,-,65.0
29,臺北市,1996/08/27,松山,6.9,1.09,15.1,-,65,45,12.5,32.71,-,-,-,29.19,-,-,57.0
30,臺北市,1996/08/27,古亭,5.4,1.25,18.9,-,67,50,18.0,31.99,2.57,0.55,2.02,29.41,-,-,58.0
31,臺北市,1996/08/27,中山,9.8,1.43,17.7,-,-,52,16.89,34.93,2.81,0.67,2.14,29.64,-,-,55.0
32,臺北市,1996/08/27,大同,16.1,3.69,-,-,58,116,74.41,41.78,4.0,1.68,2.32,30.54,-,-,54.0
33,臺北市,1996/08/27,萬華,7.0,0.89,25.0,-,65,28,4.1,23.66,-,-,-,29.54,-,-,59.0
34,臺北市,1996/08/27,陽明,4.3,0.3,33.7,-,27,7,0.19,6.34,-,-,-,22.68,-,86.0,42.0
35,臺北市,1996/08/27,士林,5.9,0.98,-,-,44,39,12.37,26.33,-,-,-,28.71,-,-,44.0
36,臺北市,1996/08/26,松山,4.6,0.9,14.0,-,40,37,11.13,25.54,-,-,-,29.04,-,-,40.0
37,臺北市,1996/08/26,古亭,3.0,1.02,13.4,-,36,41,14.48,26.93,2.67,0.49,2.18,28.96,-,-,36.0
38,臺北市,1996/08/26,中山,5.0,1.11,13.0,-,-,42,12.44,29.55,2.58,0.41,2.18,29.24,-,-,33.0
39,臺北市,1996/08/26,大同,14.3,3.86,-,-,53,134,96.48,37.13,3.9,1.78,2.11,30.03,-,-,58.0
40,臺北市,1996/08/26,萬華,3.8,0.86,16.5,-,44,27,4.92,22.49,-,-,-,29.06,-,-,44.0
