序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1996/11/30,松山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,臺北市,1996/11/30,古亭,2.2,0.7,18.5,-,63,30,11.77,18.41,2.22,0.24,1.98,16.33,-,-,57.0
3,臺北市,1996/11/30,中山,2.2,0.59,23.5,-,56,29,5.97,23.05,2.19,0.11,2.08,16.35,-,-,53.0
4,臺北市,1996/11/30,大同,6.0,3.3,-,-,44,161,122.12,38.65,4.17,1.93,2.24,16.84,-,-,52.0
5,臺北市,1996/11/30,萬華,1.9,0.72,20.2,-,57,27,4.49,22.49,-,-,-,16.24,-,-,53.0
6,臺北市,1996/11/30,陽明,1.3,0.2,31.6,-,31,1,0.07,0.75,-,-,-,7.79,-,91.0,31.0
7,臺北市,1996/11/30,士林,1.7,0.39,31.9,-,56,14,2.49,11.2,-,-,-,16.24,-,-,53.0
8,臺北市,1996/11/29,松山,2.9,1.18,11.9,-,46,60,31.68,28.16,-,-,-,19.6,-,-,46.0
9,臺北市,1996/11/29,古亭,2.0,1.27,8.2,-,51,51,31.0,20.19,2.51,0.43,2.08,19.97,-,-,51.0
10,臺北市,1996/11/29,中山,3.0,1.2,9.9,-,40,56,24.26,31.26,2.77,0.36,2.42,20.28,-,-,40.0
11,臺北市,1996/11/29,大同,6.6,4.42,-,-,47,183,141.29,41.69,4.87,2.43,2.44,20.76,-,-,67.0
12,臺北市,1996/11/29,萬華,2.0,1.12,7.7,-,44,42,14.09,28.25,-,-,-,20.05,-,-,44.0
13,臺北市,1996/11/29,陽明,2.5,0.29,27.9,-,15,5,0.26,4.32,-,-,-,13.6,-,95.0,26.0
14,臺北市,1996/11/29,士林,1.7,0.81,17.3,-,29,34,14.08,20.32,-,-,-,20.24,-,-,29.0
15,臺北市,1996/11/28,松山,5.3,0.85,12.1,-,54,46,14.84,31.62,-,-,-,19.96,-,-,52.0
16,臺北市,1996/11/28,古亭,1.8,0.85,15.2,-,46,21,13.14,8.04,2.16,0.27,1.89,20.53,-,-,46.0
17,臺北市,1996/11/28,中山,3.9,1.14,12.6,-,49,51,18.8,31.87,2.59,0.38,2.21,20.53,-,-,49.0
18,臺北市,1996/11/28,大同,8.5,4.95,-,-,58,201,155.61,45.13,4.87,2.66,2.21,21.13,-,-,83.0
19,臺北市,1996/11/28,萬華,2.5,1.03,15.3,-,46,33,7.98,25.28,-,-,-,20.61,-,-,46.0
20,臺北市,1996/11/28,陽明,1.3,0.27,31.5,-,13,2,0.11,1.85,-,-,-,13.86,-,100.0,28.0
21,臺北市,1996/11/28,士林,2.3,0.51,26.6,-,45,17,2.96,13.56,-,-,-,21.07,-,-,45.0
22,臺北市,1996/11/27,松山,4.1,0.86,11.4,-,45,39,11.44,27.95,-,-,-,19.57,-,-,45.0
23,臺北市,1996/11/27,古亭,2.7,0.9,9.6,-,52,28,15.24,12.7,2.12,0.17,1.95,20.07,-,-,51.0
24,臺北市,1996/11/27,中山,3.4,1.05,12.2,-,38,51,21.14,30.15,2.42,0.39,2.03,20.53,-,-,38.0
25,臺北市,1996/11/27,大同,8.1,4.87,-,-,54,205,163.35,41.26,4.84,2.56,2.28,21.04,-,-,79.0
26,臺北市,1996/11/27,萬華,2.5,0.96,10.2,-,41,32,6.94,25.29,-,-,-,20.29,-,-,41.0
27,臺北市,1996/11/27,陽明,1.0,0.25,27.9,-,15,1,0.04,0.9,-,-,-,14.27,-,97.0,27.0
28,臺北市,1996/11/27,士林,1.2,0.66,21.9,-,36,24,11.2,13.02,-,-,-,21.03,-,-,36.0
29,臺北市,1996/11/26,松山,6.5,1.28,9.7,-,45,67,39.01,27.86,-,-,-,22.78,-,-,45.0
30,臺北市,1996/11/26,古亭,4.3,1.56,8.4,-,43,61,48.22,12.62,2.63,0.51,2.12,23.41,-,-,43.0
31,臺北市,1996/11/26,中山,6.4,1.53,13.8,-,33,78,47.39,30.12,2.86,0.65,2.21,23.65,-,-,33.0
32,臺北市,1996/11/26,大同,12.1,6.38,-,-,61,258,217.49,41.0,5.85,3.37,2.48,24.33,-,-,114.0
33,臺北市,1996/11/26,萬華,5.2,1.49,9.0,-,37,56,29.71,26.34,-,-,-,23.62,-,-,37.0
34,臺北市,1996/11/26,陽明,0.8,0.13,26.8,-,13,1,0.32,0.68,-,-,-,18.15,-,87.0,26.0
35,臺北市,1996/11/26,士林,1.4,0.85,15.3,-,29,34,16.73,17.47,-,-,-,24.2,-,-,29.0
36,臺北市,1996/11/25,松山,4.3,0.87,14.0,-,40,44,14.04,29.72,-,-,-,21.9,-,-,40.0
37,臺北市,1996/11/25,古亭,6.5,0.81,12.2,-,43,40,16.9,22.79,2.1,0.29,1.81,22.25,-,-,43.0
38,臺北市,1996/11/25,中山,4.0,0.96,18.4,-,32,44,15.85,27.83,2.37,0.23,2.13,22.45,-,-,32.0
39,臺北市,1996/11/25,大同,8.5,4.81,-,-,53,154,120.6,33.64,4.88,2.65,2.22,22.9,-,-,75.0
40,臺北市,1996/11/25,萬華,4.1,0.9,13.5,-,37,33,7.66,25.7,-,-,-,22.36,-,-,37.0
41,臺北市,1996/11/25,陽明,0.0,0.12,31.2,-,10,0,0.03,0.38,-,-,-,15.71,-,100.0,26.0
42,臺北市,1996/11/25,士林,0.1,0.38,28.6,-,27,11,2.44,8.73,-,-,-,23.2,-,-,28.0
43,臺北市,1996/11/24,松山,1.9,0.72,19.2,-,32,33,9.85,23.23,-,-,-,20.22,-,-,32.0
44,臺北市,1996/11/24,古亭,1.3,0.8,14.5,-,37,33,12.32,20.55,2.07,0.15,1.92,20.61,-,-,37.0
45,臺北市,1996/11/24,中山,1.7,0.83,19.6,-,23,40,13.58,26.01,2.44,0.24,2.2,21.07,-,-,27.0
46,臺北市,1996/11/24,大同,5.2,4.01,-,-,44,136,121.39,14.31,4.27,2.05,2.22,21.68,-,-,61.0
47,臺北市,1996/11/24,萬華,1.1,0.81,16.4,-,29,28,5.15,22.78,-,-,-,20.91,-,-,29.0
48,臺北市,1996/11/24,陽明,0.1,0.15,30.6,-,-,1,0.09,0.66,-,-,-,14.45,-,100.0,26.0
49,臺北市,1996/11/24,士林,0.3,0.39,28.9,-,25,12,1.96,9.53,-,-,-,21.68,-,-,30.0
50,臺北市,1996/11/23,松山,2.2,0.85,16.1,-,26,46,19.52,26.85,-,-,-,19.3,-,-,26.0
51,臺北市,1996/11/23,古亭,1.7,1.21,10.2,-,31,57,29.03,27.6,2.54,0.44,2.1,19.42,-,-,31.0
52,臺北市,1996/11/23,中山,1.9,1.36,10.3,-,26,68,30.31,37.25,2.92,0.64,2.28,19.88,-,-,26.0
53,臺北市,1996/11/23,大同,7.7,5.14,-,-,53,186,145.24,41.11,-,-,-,20.43,-,-,85.0
54,臺北市,1996/11/23,萬華,1.6,1.04,10.7,-,25,37,8.73,28.33,-,-,-,19.54,-,-,25.0
55,臺北市,1996/11/23,陽明,0.3,0.2,31.1,-,-,0,0.1,0.33,-,-,-,14.35,-,99.0,27.0
56,臺北市,1996/11/23,士林,0.9,0.67,17.0,-,26,29,7.85,20.68,-,-,-,20.18,-,-,27.0
57,臺北市,1996/11/22,松山,2.0,0.82,18.8,-,24,39,9.52,29.49,-,-,-,17.83,-,-,33.0
58,臺北市,1996/11/22,古亭,1.9,0.85,16.7,-,23,40,12.6,27.83,2.06,0.17,1.89,17.97,-,-,31.0
