序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2014/12/31,松山,2.9,0.67,429.05,27.4,56,25,41.9,15.32,26.57,1.72,15.94,64.57
2,臺北市,2014/12/31,古亭,3.3,0.68,-,26.4,60,30,37.85,13.15,24.7,2.37,16.66,65.91
3,臺北市,2014/12/31,中山,4.3,1.01,-,18.9,73,27,58.18,20.37,37.8,1.86,17.43,63.87
4,臺北市,2014/12/31,大同,6.2,1.81,-,-,73,26,124.69,76.67,48.02,-,-,-
5,臺北市,2014/12/31,萬華,3.3,0.7,-,23.6,48,26,40.64,10.25,30.39,2.21,16.98,59.95
6,臺北市,2014/12/31,陽明,3.7,0.24,408.78,54.1,41,25,3.45,0.47,2.95,-,11.02,60.3
7,臺北市,2014/12/31,士林,5.0,0.73,-,33.5,58,29,42.03,17.36,24.67,1.74,16.64,61.72
8,臺北市,2014/12/30,松山,4.5,0.73,431.52,23.2,74,35,47.38,13.17,34.21,1.74,14.73,62.92
9,臺北市,2014/12/30,古亭,3.3,0.72,-,31.5,79,37,38.18,9.09,29.07,2.24,16.18,60.21
10,臺北市,2014/12/30,中山,3.4,0.86,-,24.7,90,33,51.26,13.79,37.46,1.98,16.44,60.86
11,臺北市,2014/12/30,大同,5.5,1.49,-,-,87,28,102.0,56.59,45.41,-,-,-
12,臺北市,2014/12/30,萬華,4.0,0.75,-,23.6,69,34,49.49,11.64,37.85,2.33,16.2,56.9
13,臺北市,2014/12/30,陽明,3.5,0.29,414.24,58.4,42,30,3.94,0.88,3.02,-,9.2,75.86
14,臺北市,2014/12/30,士林,5.4,0.45,-,50.0,65,34,17.63,2.15,15.48,2.01,16.33,56.5
15,臺北市,2014/12/29,松山,3.9,0.74,432.09,24.8,61,33,46.56,15.94,30.62,1.52,14.31,61.35
16,臺北市,2014/12/29,古亭,3.3,0.67,-,28.7,74,38,34.19,8.48,25.71,1.72,14.75,64.74
17,臺北市,2014/12/29,中山,4.8,0.92,-,19.8,86,34,55.4,18.76,36.64,1.45,15.2,64.32
18,臺北市,2014/12/29,大同,5.4,1.56,-,-,85,29,89.95,44.71,45.24,-,-,-
19,臺北市,2014/12/29,萬華,4.8,0.79,-,22.9,64,38,46.25,12.24,34.01,1.21,14.97,57.93
20,臺北市,2014/12/29,陽明,3.6,0.29,413.79,53.2,43,32,4.03,0.41,3.59,-,6.96,80.99
21,臺北市,2014/12/29,士林,3.2,0.6,-,30.5,55,33,30.42,7.03,23.39,1.41,14.17,62.79
22,臺北市,2014/12/28,松山,1.8,0.45,416.94,27.5,18,11,24.87,4.27,20.6,1.15,14.92,86.3
23,臺北市,2014/12/28,古亭,1.7,0.55,-,20.5,34,17,29.81,4.75,25.06,1.4,15.05,96.8
24,臺北市,2014/12/28,中山,2.4,0.58,-,21.9,38,16,34.19,7.48,26.71,1.42,15.5,88.63
25,臺北市,2014/12/28,大同,2.2,1.26,-,-,43,12,72.74,40.52,32.23,-,-,-
26,臺北市,2014/12/28,萬華,2.0,0.59,-,19.7,26,17,30.59,3.95,26.64,0.93,15.17,86.94
27,臺北市,2014/12/28,陽明,1.4,0.22,407.48,47.1,10,8,2.78,0.51,2.24,-,8.94,98.27
28,臺北市,2014/12/28,士林,1.4,0.4,-,27.1,25,14,19.63,1.36,18.26,1.13,14.75,83.94
29,臺北市,2014/12/27,松山,2.9,0.38,413.59,24.8,26,13,28.3,5.92,22.38,1.83,16.11,83.44
30,臺北市,2014/12/27,古亭,2.5,0.38,-,25.1,36,15,24.4,5.05,19.35,2.74,16.52,87.51
31,臺北市,2014/12/27,中山,1.3,0.52,-,22.3,49,15,34.01,8.64,25.37,2.37,16.93,84.27
32,臺北市,2014/12/27,大同,3.1,1.15,-,-,43,8,85.45,51.93,33.52,-,-,-
33,臺北市,2014/12/27,萬華,2.3,0.4,-,22.2,29,11,30.19,6.33,23.86,3.02,16.66,81.95
34,臺北市,2014/12/27,陽明,0.6,0.17,406.47,45.5,7,3,1.4,0.24,1.19,-,10.18,98.98
35,臺北市,2014/12/27,士林,1.4,0.26,-,38.7,19,12,13.81,3.16,10.65,2.38,16.87,74.84
36,臺北市,2014/12/26,松山,1.6,0.39,412.54,27.0,38,18,27.3,5.18,22.12,2.14,16.4,71.1
37,臺北市,2014/12/26,古亭,1.5,0.35,-,30.5,43,20,18.62,3.34,15.28,3.38,16.75,73.54
38,臺北市,2014/12/26,中山,2.6,0.56,-,23.6,64,19,35.5,10.92,24.58,2.77,17.15,72.84
39,臺北市,2014/12/26,大同,3.8,1.03,-,-,52,13,72.74,41.06,31.68,-,-,-
40,臺北市,2014/12/26,萬華,3.1,0.42,-,22.8,43,21,31.05,6.66,24.39,3.42,16.9,69.99
41,臺北市,2014/12/26,陽明,1.6,0.16,405.08,44.9,12,8,1.58,0.26,1.29,-,9.2,96.33
42,臺北市,2014/12/26,士林,1.5,0.24,-,42.4,37,16,10.35,2.9,7.45,3.07,16.87,66.72
43,臺北市,2014/12/25,松山,2.7,0.64,423.03,28.7,72,35,33.55,5.79,27.75,1.94,17.11,69.4
44,臺北市,2014/12/25,古亭,3.8,0.61,-,29.8,75,42,28.34,4.47,23.86,2.79,17.33,73.07
45,臺北市,2014/12/25,中山,3.8,0.84,-,24.5,89,36,44.19,12.2,31.99,2.09,17.72,72.27
46,臺北市,2014/12/25,大同,4.2,1.25,-,-,83,30,80.31,42.79,37.52,-,-,-
47,臺北市,2014/12/25,萬華,3.2,0.65,-,26.8,69,37,35.68,6.87,28.81,2.86,17.42,69.24
48,臺北市,2014/12/25,陽明,2.4,0.37,413.51,50.3,35,26,4.35,0.46,3.83,-,9.72,91.7
49,臺北市,2014/12/25,士林,3.2,0.49,-,42.7,63,36,17.25,1.31,15.96,2.13,17.16,67.99
50,臺北市,2014/12/24,松山,3.3,0.76,433.19,25.3,53,28,43.87,16.87,27.0,1.91,18.7,66.98
51,臺北市,2014/12/24,古亭,3.2,0.63,-,23.8,52,28,32.26,9.54,22.72,2.39,18.89,70.25
52,臺北市,2014/12/24,中山,1.7,0.9,-,20.9,79,32,49.26,17.19,32.07,1.85,19.52,68.22
53,臺北市,2014/12/24,大同,4.5,1.72,-,-,76,28,97.99,58.82,39.16,-,-,-
54,臺北市,2014/12/24,萬華,2.1,0.73,-,22.2,50,31,38.8,11.12,27.68,2.13,19.04,67.16
55,臺北市,2014/12/24,陽明,1.9,0.25,409.28,48.8,26,19,5.19,0.72,4.42,-,12.91,77.09
56,臺北市,2014/12/24,士林,3.8,0.74,-,30.0,58,37,40.48,13.83,26.64,1.77,18.99,67.5
57,臺北市,2014/12/23,松山,3.7,0.91,431.08,19.7,55,27,57.79,27.79,30.0,1.38,17.88,55.03
58,臺北市,2014/12/23,古亭,3.6,0.9,-,19.3,63,31,49.27,19.33,29.94,1.62,18.41,56.91
59,臺北市,2014/12/23,中山,6.3,1.27,-,16.1,85,32,77.76,36.88,40.89,1.78,18.8,56.37
60,臺北市,2014/12/23,大同,6.5,2.17,-,-,83,30,124.41,75.44,48.97,-,-,-
61,臺北市,2014/12/23,萬華,5.6,1.01,-,15.7,58,31,58.81,18.67,40.14,1.77,18.52,53.77
62,臺北市,2014/12/23,陽明,1.8,0.22,406.9,40.8,23,17,3.14,0.27,2.96,-,11.3,74.23
63,臺北市,2014/12/23,士林,4.9,0.78,-,27.0,89,50,44.09,14.38,29.72,1.88,18.35,55.9
64,臺北市,2014/12/22,松山,4.4,0.48,445.43,31.5,67,36,22.6,4.32,18.29,2.42,13.58,53.56
65,臺北市,2014/12/22,古亭,5.1,0.46,-,32.5,78,36,18.54,3.91,14.63,3.55,14.11,56.11
66,臺北市,2014/12/22,中山,5.4,0.66,-,25.0,99,34,35.08,10.23,24.84,2.69,14.18,57.94
67,臺北市,2014/12/22,大同,5.6,1.05,-,-,86,29,68.82,38.11,30.71,-,-,-
68,臺北市,2014/12/22,萬華,5.0,0.54,-,25.3,72,37,29.9,6.91,22.98,3.11,14.0,53.42
69,臺北市,2014/12/22,陽明,4.8,0.33,412.96,41.7,43,30,6.22,0.51,5.66,-,5.88,80.97
70,臺北市,2014/12/22,士林,5.1,0.41,-,38.3,66,34,13.25,3.1,10.15,2.71,13.66,55.25
71,臺北市,2014/12/21,松山,2.7,0.43,473.78,34.7,51,26,18.94,2.47,16.47,1.81,15.27,67.58
72,臺北市,2014/12/21,古亭,2.7,0.46,-,31.0,63,28,21.55,3.69,17.86,2.47,15.55,72.36
73,臺北市,2014/12/21,中山,3.4,0.52,-,30.2,73,24,26.36,5.1,21.26,1.9,15.97,69.89
74,臺北市,2014/12/21,大同,4.5,1.03,-,-,71,20,69.95,38.79,31.16,-,-,-
75,臺北市,2014/12/21,萬華,3.9,0.51,-,25.9,56,25,29.49,5.35,24.14,2.01,15.78,67.27
76,臺北市,2014/12/21,陽明,2.2,0.28,410.77,46.4,27,19,3.08,0.45,2.57,-,7.77,93.09
77,臺北市,2014/12/21,士林,2.6,0.39,-,41.2,49,25,12.11,1.89,10.22,2.18,15.49,66.23
78,臺北市,2014/12/20,松山,3.5,0.41,475.48,30.1,40,20,21.8,3.0,18.8,1.97,15.87,65.56
79,臺北市,2014/12/20,古亭,2.8,0.43,-,27.0,52,20,24.17,4.06,20.11,2.45,16.19,69.93
80,臺北市,2014/12/20,中山,1.0,0.62,-,21.0,65,21,36.85,8.5,28.35,2.06,16.56,69.1
81,臺北市,2014/12/20,大同,3.7,1.14,-,-,66,16,77.28,41.44,35.84,-,-,-
82,臺北市,2014/12/20,萬華,2.1,0.5,-,22.1,44,20,31.5,5.67,25.83,2.15,16.35,65.8
83,臺北市,2014/12/20,陽明,2.5,0.24,409.82,43.7,27,22,4.89,0.82,4.07,-,8.4,91.44
84,臺北市,2014/12/20,士林,2.8,0.32,-,39.1,42,19,13.41,1.59,11.81,2.41,16.08,64.5
85,臺北市,2014/12/19,松山,3.8,0.79,489.28,11.4,36,18,59.07,24.72,34.35,1.4,16.69,75.73
86,臺北市,2014/12/19,古亭,3.2,0.89,-,11.8,43,17,55.82,21.71,34.12,1.5,17.21,77.16
87,臺北市,2014/12/19,中山,6.3,1.27,-,9.9,62,17,85.5,47.17,38.34,1.57,17.46,78.13
88,臺北市,2014/12/19,大同,4.7,1.88,-,-,60,16,111.44,70.1,41.34,-,-,-
89,臺北市,2014/12/19,萬華,3.6,0.98,-,11.3,36,17,61.58,26.58,35.0,1.72,17.23,75.69
90,臺北市,2014/12/19,陽明,1.2,0.18,406.82,38.1,9,8,3.81,0.34,3.5,-,10.56,93.51
91,臺北市,2014/12/19,士林,2.5,0.65,-,21.8,34,17,43.31,17.05,26.25,1.73,17.06,74.5
92,臺北市,2014/12/18,松山,3.0,0.4,449.44,22.1,44,14,27.75,6.46,21.29,2.05,15.53,56.36
93,臺北市,2014/12/18,古亭,1.7,0.36,-,26.2,50,16,19.64,4.84,14.8,3.0,15.32,60.53
94,臺北市,2014/12/18,中山,3.9,0.57,-,18.2,68,15,38.1,12.65,25.46,2.35,15.99,59.48
95,臺北市,2014/12/18,大同,4.5,1.12,-,-,54,11,80.51,50.46,30.05,-,-,-
96,臺北市,2014/12/18,萬華,2.4,0.43,-,18.7,41,16,32.01,8.57,23.43,2.9,15.65,56.17
97,臺北市,2014/12/18,陽明,1.6,0.17,407.9,37.6,22,11,3.07,0.53,2.51,-,7.04,84.66
98,臺北市,2014/12/18,士林,2.8,0.25,-,34.8,44,14,10.75,2.32,8.43,2.83,15.68,56.61
99,臺北市,2014/12/17,松山,4.6,0.4,419.05,28.7,74,20,20.12,3.9,16.23,2.14,11.77,49.08
100,臺北市,2014/12/17,古亭,4.6,0.42,-,27.0,81,23,20.44,4.01,16.44,2.61,12.06,52.9
101,臺北市,2014/12/17,中山,4.9,0.52,-,22.4,98,20,32.03,9.14,22.89,1.99,12.4,53.49
102,臺北市,2014/12/17,大同,5.9,1.03,-,-,89,17,70.89,42.99,27.91,-,-,-
103,臺北市,2014/12/17,萬華,4.3,0.47,-,21.9,73,23,29.41,7.18,22.23,1.98,12.08,49.28
104,臺北市,2014/12/17,陽明,3.7,0.24,410.75,37.5,40,17,4.8,0.79,4.0,-,3.02,78.25
105,臺北市,2014/12/17,士林,4.7,0.32,-,34.2,72,20,13.44,2.76,10.67,2.17,11.82,51.11
106,臺北市,2014/12/16,松山,4.0,0.53,423.76,29.1,87,38,22.89,2.66,20.22,1.81,14.79,60.86
107,臺北市,2014/12/16,古亭,5.6,0.6,-,24.3,92,42,25.56,3.11,22.45,2.03,15.21,65.07
108,臺北市,2014/12/16,中山,4.7,0.75,-,20.3,105,33,38.08,10.01,28.07,1.72,15.53,64.2
109,臺北市,2014/12/16,大同,6.3,1.14,-,-,98,31,70.35,36.45,33.89,-,-,-
110,臺北市,2014/12/16,萬華,5.8,0.63,-,20.2,84,38,32.36,5.46,26.9,1.42,15.31,61.5
111,臺北市,2014/12/16,陽明,5.8,0.38,414.99,39.7,50,32,7.32,0.64,6.63,-,6.19,90.36
112,臺北市,2014/12/16,士林,5.6,0.5,-,31.4,78,37,17.64,2.73,14.89,2.2,14.92,61.8
